Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,19.37,19.40,19.40,19.15,338.50K,0.26%
Apr 18  2016,19.32,18.68,19.40,18.61,232.46K,3.43%
Apr 15  2016,18.68,18.70,18.83,18.62,91.04K,-0.11%
Apr 14  2016,18.70,18.73,18.90,18.70,112.68K,-0.05%
Apr 13  2016,18.71,18.44,18.73,18.40,134.49K,1.52%
Apr 12  2016,18.43,18.56,18.66,18.38,202.96K,-0.75%
Apr 11  2016,18.57,18.53,18.86,18.40,83.65K,0.27%
Apr 08  2016,18.52,18.63,18.69,18.38,164.29K,-0.11%
Apr 07  2016,18.54,18.57,18.57,18.20,132.32K,-0.27%
Apr 06  2016,18.59,18.64,18.71,18.50,138.79K,0.00%
Apr 05  2016,18.59,18.52,18.60,18.34,306.48K,0.32%
Apr 04  2016,18.53,18.66,18.68,18.44,213.39K,-0.70%
Apr 01  2016,18.66,18.49,18.83,18.45,234.35K,0.27%
Mar 31  2016,18.61,18.77,18.77,18.49,210.12K,-0.48%
Mar 30  2016,18.70,18.58,18.96,18.58,234.02K,1.30%
Mar 29  2016,18.46,18.48,18.70,18.44,245.13K,0.05%
Mar 28  2016,18.45,18.48,18.54,18.25,135.18K,0.33%
Mar 24  2016,18.39,18.44,18.54,18.26,144.16K,-0.97%
Mar 23  2016,18.57,18.13,18.61,18.02,251.76K,2.48%
Mar 22  2016,18.12,18.43,18.43,18.02,217.41K,-1.74%
Mar 21  2016,18.44,18.42,18.70,18.41,192.73K,0.11%
Mar 18  2016,18.42,18.39,18.54,18.06,307.17K,0.55%
Mar 17  2016,18.32,18.64,18.74,18.29,142.78K,-1.87%
Mar 16  2016,18.67,18.64,18.94,18.57,155.53K,0.05%
Mar 15  2016,18.66,18.87,18.91,18.42,151.38K,-0.64%
Mar 14  2016,18.78,18.61,18.94,18.26,234.92K,1.79%
Mar 11  2016,18.45,18.09,18.70,18.04,299.65K,2.56%
Mar 10  2016,17.99,17.24,18.18,17.24,301.50K,8.37%
Mar 09  2016,16.60,17.28,17.30,16.48,126.13K,-3.15%
Mar 08  2016,17.14,17.31,17.34,17.08,70.54K,-0.87%
Mar 07  2016,17.29,18.00,18.05,17.18,190.30K,-3.35%
Mar 04  2016,17.89,17.26,17.89,17.07,124.10K,3.83%
Mar 03  2016,17.23,17.20,17.28,17.01,66.95K,0.35%
Mar 02  2016,17.17,16.65,17.20,16.65,88.34K,3.12%
Mar 01  2016,16.65,16.29,16.70,16.29,72.86K,2.59%
Feb 29  2016,16.23,16.30,16.43,16.17,64.44K,-0.12%
Feb 26  2016,16.25,16.42,16.55,16.12,68.67K,-0.85%
Feb 25  2016,16.39,16.59,16.74,16.23,62.55K,-0.79%
Feb 24  2016,16.52,16.12,16.54,16.07,64.01K,1.91%
Feb 23  2016,16.21,16.39,16.39,16.00,176.27K,-0.80%
Feb 22  2016,16.34,16.54,16.66,16.31,122.30K,-1.03%
Feb 19  2016,16.51,16.47,16.56,16.20,57.22K,-0.24%
Feb 18  2016,16.55,16.23,16.62,16.20,99.22K,2.29%
Feb 17  2016,16.18,16.45,16.61,16.02,155.18K,-0.92%
Feb 16  2016,16.33,16.45,16.67,16.06,59.05K,0.37%
Feb 12  2016,16.27,15.80,16.36,15.74,98.88K,3.76%
Feb 11  2016,15.68,15.88,15.88,15.55,63.77K,-2.18%
Feb 10  2016,16.03,15.74,16.16,15.74,78.62K,2.62%
Feb 09  2016,15.62,15.80,15.80,15.46,157.74K,-1.26%
Feb 08  2016,15.82,16.19,16.19,15.66,96.94K,-2.89%
Feb 05  2016,16.29,16.58,16.64,16.12,59.95K,-1.75%
Feb 04  2016,16.58,16.15,16.68,16.08,98.68K,2.60%
Feb 03  2016,16.16,16.10,16.26,15.94,176.62K,0.94%
Feb 02  2016,16.01,16.21,16.21,15.87,72.30K,-2.08%
Feb 01  2016,16.35,16.21,16.59,16.19,182.60K,0.93%
Jan 29  2016,16.20,16.18,16.25,16.06,121.06K,0.68%
Jan 28  2016,16.09,16.54,16.59,16.08,97.98K,-2.07%
Jan 27  2016,16.43,16.49,16.69,16.36,93.53K,-0.30%
Jan 26  2016,16.48,16.62,16.75,16.35,71.50K,-0.90%
Jan 25  2016,16.63,16.98,17.04,16.50,56.58K,-2.06%
Jan 22  2016,16.98,16.98,17.12,16.85,82.37K,0.95%
Jan 21  2016,16.82,16.56,16.87,16.39,93.49K,1.69%
Jan 20  2016,16.54,16.49,16.56,16.09,132.11K,-0.36%
Jan 19  2016,16.60,16.73,17.04,16.45,161.69K,-0.48%
Jan 18  2016,16.68,17.23,17.23,16.59,55.58K,-2.91%
Jan 15  2016,17.18,17.75,17.87,17.06,144.72K,-4.24%
Jan 14  2016,17.94,17.54,17.96,17.36,108.53K,2.22%
Jan 13  2016,17.55,17.41,17.74,17.41,98.16K,0.75%
Jan 12  2016,17.42,17.75,17.85,17.35,227.66K,-1.30%
Jan 11  2016,17.65,18.03,18.03,17.48,150.82K,-2.05%
Jan 08  2016,18.02,18.09,18.29,17.97,115.20K,-0.61%
Jan 07  2016,18.13,18.22,18.45,18.03,157.27K,-1.47%
Jan 06  2016,18.40,18.24,18.49,18.03,131.22K,0.11%
Jan 05  2016,18.38,18.29,18.61,18.24,73.25K,0.77%
Jan 04  2016,18.24,18.47,18.47,18.06,113.52K,-2.41%
Dec 31  2015,18.69,18.64,18.89,18.46,82.20K,0.11%
Dec 30  2015,18.67,18.52,18.89,18.50,99.36K,0.54%
Dec 29  2015,18.57,18.34,18.90,18.34,197.41K,1.36%
Dec 24  2015,18.32,18.21,18.55,18.16,26.11K,0.22%
Dec 23  2015,18.28,18.18,18.57,18.11,137.97K,0.66%
Dec 22  2015,18.16,18.36,18.36,18.04,73.69K,-0.93%
Dec 21  2015,18.33,18.17,18.44,18.17,112.68K,1.50%
Dec 18  2015,18.06,18.31,18.35,17.84,166.79K,-1.47%
Dec 17  2015,18.33,18.45,18.60,18.15,149.46K,-0.65%
Dec 16  2015,18.45,18.27,18.54,18.25,120.11K,1.37%
Dec 15  2015,18.20,18.06,18.26,17.96,168.20K,0.78%
Dec 14  2015,18.06,18.24,18.24,17.77,155.26K,-1.10%
Dec 11  2015,18.26,18.42,18.48,18.06,118.95K,-1.83%
Dec 10  2015,18.60,18.06,18.72,17.95,249.71K,2.82%
Dec 09  2015,18.09,18.25,18.43,17.92,256.01K,-1.09%
Dec 08  2015,18.29,18.30,18.34,18.03,79.77K,-0.87%
