Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.92,7.82,7.92,7.81,104.23K,1.67%
Apr 18  2016,7.79,7.80,7.90,7.77,130.75K,-0.38%
Apr 15  2016,7.82,8.00,8.01,7.75,170.47K,-2.37%
Apr 14  2016,8.01,7.75,8.02,7.69,299.12K,4.16%
Apr 13  2016,7.69,7.61,7.72,7.60,258.95K,1.05%
Apr 12  2016,7.61,7.76,7.77,7.60,220.90K,-1.93%
Apr 11  2016,7.76,7.69,7.79,7.67,95.85K,1.17%
Apr 08  2016,7.67,7.80,7.80,7.65,107.77K,-0.65%
Apr 07  2016,7.72,7.85,7.88,7.69,65.59K,-1.53%
Apr 06  2016,7.84,7.84,7.90,7.81,139.19K,0.00%
Apr 05  2016,7.84,7.90,7.94,7.75,219.54K,-1.01%
Apr 04  2016,7.92,7.90,7.94,7.79,142.37K,0.25%
Apr 01  2016,7.90,7.75,7.92,7.68,235.07K,2.33%
Mar 31  2016,7.72,7.97,7.97,7.72,353.36K,-2.53%
Mar 30  2016,7.92,7.90,8.03,7.87,184.12K,0.38%
Mar 29  2016,7.89,7.79,7.92,7.76,107.75K,0.64%
Mar 28  2016,7.84,7.89,7.89,7.70,93.10K,-0.13%
Mar 24  2016,7.85,7.84,7.89,7.74,184.59K,0.38%
Mar 23  2016,7.82,7.85,7.93,7.80,138.40K,-0.51%
Mar 22  2016,7.86,8.07,8.07,7.83,265.50K,-2.72%
Mar 21  2016,8.08,7.78,8.13,7.78,323.46K,4.26%
Mar 18  2016,7.75,8.10,8.10,7.64,669.06K,-3.73%
Mar 17  2016,8.05,8.00,8.09,7.95,180.30K,1.00%
Mar 16  2016,7.97,8.03,8.04,7.88,183.81K,-0.50%
Mar 15  2016,8.01,7.85,8.15,7.80,291.58K,2.17%
Mar 14  2016,7.84,7.90,7.93,7.79,192.56K,-0.76%
Mar 11  2016,7.90,8.02,8.05,7.88,263.65K,-2.11%
Mar 10  2016,8.07,8.14,8.24,8.00,241.29K,-1.10%
Mar 09  2016,8.16,8.16,8.25,8.12,349.42K,0.37%
Mar 08  2016,8.13,8.02,8.14,7.96,360.49K,1.37%
Mar 07  2016,8.02,8.01,8.08,7.97,618.01K,0.25%
Mar 04  2016,8.00,8.28,8.28,7.94,237.97K,-2.32%
Mar 03  2016,8.19,8.23,8.30,8.06,252.28K,-0.73%
Mar 02  2016,8.25,8.03,8.26,8.03,267.77K,2.23%
Mar 01  2016,8.07,7.94,8.07,7.94,374.71K,1.89%
Feb 29  2016,7.92,8.10,8.14,7.88,841.10K,-1.74%
Feb 26  2016,8.06,8.24,8.37,8.05,371.77K,-2.07%
Feb 25  2016,8.23,7.90,8.26,7.90,312.07K,3.78%
