Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.13,3.89,4.13,3.80,2.33M,7.83%
Apr 18  2016,3.83,3.67,4.01,3.55,1.04M,0.00%
Apr 15  2016,3.83,3.88,3.89,3.76,468.94K,-2.54%
Apr 14  2016,3.93,4.07,4.13,3.85,778.14K,-4.38%
Apr 13  2016,4.11,4.15,4.26,4.07,1.50M,-1.20%
Apr 12  2016,4.16,3.98,4.25,3.92,1.76M,6.67%
Apr 11  2016,3.90,3.90,4.01,3.85,1.61M,3.17%
Apr 08  2016,3.78,3.71,3.82,3.60,2.63M,7.39%
Apr 07  2016,3.52,3.64,3.69,3.50,815.79K,-3.30%
Apr 06  2016,3.64,3.53,3.69,3.50,1.10M,4.90%
Apr 05  2016,3.47,3.52,3.60,3.42,1.37M,-1.98%
Apr 04  2016,3.54,3.78,3.78,3.51,846.73K,-4.58%
Apr 01  2016,3.71,3.85,3.85,3.70,946.46K,-6.31%
Mar 31  2016,3.96,3.99,4.09,3.91,886.00K,-0.25%
Mar 30  2016,3.97,4.06,4.22,3.95,1.43M,0.51%
Mar 29  2016,3.95,3.83,4.01,3.73,625.86K,0.77%
Mar 28  2016,3.92,4.05,4.05,3.89,734.62K,-3.45%
Mar 24  2016,4.06,3.86,4.10,3.78,838.93K,2.53%
Mar 23  2016,3.96,4.24,4.33,3.87,2.13M,-9.79%
Mar 22  2016,4.39,4.23,4.47,4.17,1.16M,2.33%
Mar 21  2016,4.29,4.20,4.33,4.19,798.42K,0.94%
Mar 18  2016,4.25,4.36,4.47,4.16,1.04M,-0.23%
Mar 17  2016,4.26,4.09,4.28,4.04,660.72K,6.77%
Mar 16  2016,3.99,3.84,4.02,3.84,1.85M,5.56%
Mar 15  2016,3.78,3.92,3.93,3.57,2.07M,-5.74%
Mar 14  2016,4.01,3.98,4.07,3.83,1.63M,-1.72%
Mar 11  2016,4.08,3.92,4.25,3.92,1.65M,5.43%
Mar 10  2016,3.87,3.79,3.99,3.72,1.90M,2.65%
Mar 09  2016,3.77,3.93,4.00,3.71,1.57M,-1.82%
Mar 08  2016,3.84,4.25,4.29,3.80,2.27M,-9.43%
Mar 07  2016,4.24,4.40,4.49,4.22,5.08M,0.00%
Mar 04  2016,4.24,4.12,4.38,4.05,1.50M,4.95%
Mar 03  2016,4.04,3.89,4.20,3.78,3.15M,3.59%
Mar 02  2016,3.90,3.62,3.92,3.60,1.82M,7.14%
Mar 01  2016,3.64,3.68,3.68,3.49,2.26M,1.39%
Feb 29  2016,3.59,3.50,3.62,3.36,1.52M,4.97%
Feb 26  2016,3.42,3.47,3.53,3.35,1.35M,3.01%
Feb 25  2016,3.32,3.35,3.41,3.21,584.51K,-2.64%
Feb 24  2016,3.41,3.08,3.48,3.07,692.30K,6.56%
Feb 23  2016,3.20,3.38,3.39,3.15,486.96K,-5.88%
Feb 22  2016,3.40,3.31,3.49,3.27,991.45K,9.68%
Feb 19  2016,3.10,3.12,3.20,3.01,434.65K,-3.13%
Feb 18  2016,3.20,3.46,3.46,3.20,919.61K,-4.48%
Feb 17  2016,3.35,3.05,3.37,3.04,876.66K,10.93%
Feb 16  2016,3.02,3.15,3.15,2.81,1.69M,-1.95%
Feb 12  2016,3.08,3.19,3.22,3.02,1.35M,1.65%
Feb 11  2016,3.03,3.02,3.12,2.95,1.94M,-1.62%
Feb 10  2016,3.08,3.27,3.37,3.07,1.18M,-6.67%
Feb 09  2016,3.30,3.52,3.52,3.26,783.89K,-8.08%
Feb 08  2016,3.59,3.74,3.92,3.54,782.84K,-4.27%
Feb 05  2016,3.75,3.67,3.79,3.50,995.78K,2.46%
Feb 04  2016,3.66,3.68,3.78,3.51,851.51K,1.39%
Feb 03  2016,3.61,3.55,3.65,3.31,980.00K,4.64%
Feb 02  2016,3.45,3.59,3.59,3.42,785.67K,-7.26%
Feb 01  2016,3.72,3.52,3.83,3.52,664.77K,-4.12%
Jan 29  2016,3.88,4.02,4.10,3.83,2.02M,-1.27%
Jan 28  2016,3.93,4.07,4.14,3.74,1.37M,2.61%
Jan 27  2016,3.83,3.86,4.06,3.68,1.44M,1.32%
Jan 26  2016,3.78,3.67,3.80,3.60,1.62M,6.78%
Jan 25  2016,3.54,3.45,3.67,3.38,724.58K,-4.58%
Jan 22  2016,3.71,3.53,3.74,3.38,2.42M,13.80%
Jan 21  2016,3.26,3.00,3.47,2.98,1.30M,6.54%
Jan 20  2016,3.06,2.74,3.10,2.51,3.62M,7.75%
Jan 19  2016,2.84,3.26,3.27,2.81,2.31M,-9.55%
Jan 18  2016,3.14,3.38,3.43,3.10,426.26K,-7.37%
Jan 15  2016,3.39,3.20,3.43,3.16,725.94K,-2.59%
Jan 14  2016,3.48,3.10,3.49,3.00,718.09K,13.36%
Jan 13  2016,3.07,3.30,3.40,3.05,775.45K,-4.95%
Jan 12  2016,3.23,3.37,3.37,3.00,1.30M,-1.22%
Jan 11  2016,3.27,3.45,3.45,3.14,1.21M,-5.76%
Jan 08  2016,3.47,3.61,3.65,3.36,892.22K,-2.25%
Jan 07  2016,3.55,3.68,3.80,3.54,687.17K,-6.82%
Jan 06  2016,3.81,4.08,4.10,3.76,642.61K,-10.35%
Jan 05  2016,4.25,4.16,4.29,4.09,444.92K,0.71%
Jan 04  2016,4.22,4.36,4.45,4.19,560.28K,-0.47%
Dec 31  2015,4.24,4.09,4.32,4.07,298.59K,2.91%
Dec 30  2015,4.12,4.30,4.37,4.10,382.01K,-4.41%
Dec 29  2015,4.31,4.43,4.55,4.24,457.71K,1.65%
Dec 24  2015,4.24,4.33,4.42,4.10,291.90K,-1.62%
Dec 23  2015,4.31,4.09,4.34,4.07,595.93K,9.39%
Dec 22  2015,3.94,3.90,4.10,3.89,1.74M,-1.01%
Dec 21  2015,3.98,3.72,4.01,3.67,1.11M,6.70%
Dec 18  2015,3.73,3.59,3.77,3.54,1.41M,3.90%
Dec 17  2015,3.59,3.55,3.60,3.48,1.23M,1.13%
