Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,40.43,39.78,40.70,39.68,278.06K,0.45%
Apr 18  2016,40.25,38.02,40.49,38.02,252.42K,3.36%
Apr 15  2016,38.94,39.64,39.85,38.73,392.63K,-2.60%
Apr 14  2016,39.98,39.55,40.00,39.10,187.94K,1.01%
Apr 13  2016,39.58,39.93,40.05,39.36,216.78K,-0.65%
Apr 12  2016,39.84,38.32,40.10,37.90,686.85K,4.81%
Apr 11  2016,38.01,38.09,38.33,37.97,458.79K,-0.24%
Apr 08  2016,38.10,38.50,38.75,37.98,279.25K,0.55%
Apr 07  2016,37.89,38.04,38.18,37.59,321.45K,-0.58%
Apr 06  2016,38.11,38.16,38.47,37.72,371.14K,1.01%
Apr 05  2016,37.73,38.64,38.87,37.73,304.79K,-2.81%
Apr 04  2016,38.82,39.79,39.79,38.78,287.27K,-2.34%
Apr 01  2016,39.75,38.96,40.13,38.69,681.56K,0.84%
Mar 31  2016,39.42,38.38,39.79,38.38,614.32K,2.63%
Mar 30  2016,38.41,39.23,39.23,38.41,406.59K,-0.67%
Mar 29  2016,38.67,38.75,39.06,38.52,242.43K,-0.85%
Mar 28  2016,39.00,39.12,39.23,38.53,219.57K,0.62%
Mar 24  2016,38.76,38.84,39.00,38.35,233.19K,-1.32%
Mar 23  2016,39.28,40.34,40.39,38.80,267.19K,-1.97%
Mar 22  2016,40.07,39.61,40.35,39.56,380.55K,1.24%
Mar 21  2016,39.58,39.32,39.63,39.13,171.06K,0.23%
Mar 18  2016,39.49,40.18,40.18,39.15,333.90K,-0.83%
Mar 17  2016,39.82,40.30,40.84,39.75,345.67K,-0.70%
Mar 16  2016,40.10,39.44,40.41,39.44,271.53K,2.53%
Mar 15  2016,39.11,39.00,39.19,38.22,332.88K,-0.53%
Mar 14  2016,39.32,39.25,39.62,38.61,298.41K,-0.15%
Mar 11  2016,39.38,39.11,39.54,38.40,178.75K,1.57%
Mar 10  2016,38.77,39.22,39.36,38.31,179.91K,-1.45%
Mar 09  2016,39.34,39.39,39.68,38.93,527.27K,0.23%
Mar 08  2016,39.25,40.12,40.42,39.06,553.74K,-2.27%
Mar 07  2016,40.16,38.85,40.25,38.81,477.98K,3.48%
Mar 04  2016,38.81,38.77,38.92,38.32,396.08K,0.99%
Mar 03  2016,38.43,38.05,38.68,37.71,353.13K,1.45%
Mar 02  2016,37.88,37.84,38.25,37.09,257.95K,-0.05%
Mar 01  2016,37.90,37.99,38.26,37.62,256.89K,1.04%
Feb 29  2016,37.51,37.67,37.75,37.11,450.53K,1.41%
Feb 26  2016,36.99,37.66,37.76,36.90,336.87K,-0.94%
Feb 25  2016,37.34,37.12,37.74,36.50,587.96K,0.59%
Feb 24  2016,37.12,36.29,37.30,36.29,406.89K,0.13%
Feb 23  2016,37.07,38.46,39.05,36.73,347.40K,-3.74%
Feb 22  2016,38.51,37.55,38.73,37.52,545.59K,3.08%
Feb 19  2016,37.36,35.90,37.48,35.82,373.22K,2.36%
Feb 18  2016,36.50,37.77,37.77,35.77,638.69K,-2.22%
Feb 17  2016,37.33,35.92,37.67,35.73,673.55K,4.98%
Feb 16  2016,35.56,35.10,35.61,34.57,720.83K,3.19%
Feb 12  2016,34.46,33.82,34.89,33.58,487.49K,2.22%
Feb 11  2016,33.71,34.04,34.83,33.12,471.50K,-2.40%
Feb 10  2016,34.54,34.61,35.44,34.19,493.54K,0.00%
Feb 09  2016,34.54,36.00,36.27,34.39,624.15K,-4.32%
Feb 08  2016,36.10,37.45,37.94,36.01,428.81K,-5.17%
Feb 05  2016,38.07,38.06,38.59,37.31,473.96K,-2.16%
Feb 04  2016,38.91,38.50,39.15,38.17,343.04K,0.78%
Feb 03  2016,38.61,37.60,38.72,37.46,412.29K,3.15%
Feb 02  2016,37.43,37.28,37.55,36.39,327.80K,-0.82%
Feb 01  2016,37.74,38.15,38.35,37.45,515.47K,-1.72%
Jan 29  2016,38.40,36.95,38.58,36.95,1.02M,4.98%
Jan 28  2016,36.58,37.59,37.74,36.28,719.09K,0.22%
Jan 27  2016,36.50,36.63,37.59,36.28,636.75K,-1.24%
Jan 26  2016,36.96,36.95,37.69,36.35,519.30K,1.37%
Jan 25  2016,36.46,37.53,38.36,36.24,443.39K,-4.43%
Jan 22  2016,38.15,36.73,38.19,36.73,471.50K,5.39%
Jan 21  2016,36.20,34.27,36.64,34.14,838.14K,6.19%
Jan 20  2016,34.09,34.06,34.47,32.87,1.01M,-2.46%
Jan 19  2016,34.95,35.01,35.59,34.24,845.38K,0.06%
Jan 18  2016,34.93,35.33,36.05,34.78,358.72K,-3.43%
Jan 15  2016,36.17,36.53,37.28,35.20,674.16K,-6.30%
Jan 14  2016,38.60,37.13,39.08,37.12,589.69K,3.32%
Jan 13  2016,37.36,38.08,38.08,36.70,378.64K,-0.59%
Jan 12  2016,37.58,37.94,38.31,36.82,430.74K,-0.92%
Jan 11  2016,37.93,38.45,38.78,37.24,443.37K,-2.19%
Jan 08  2016,38.78,38.09,39.55,38.09,369.53K,1.92%
Jan 07  2016,38.05,37.50,38.48,37.04,598.23K,-1.73%
Jan 06  2016,38.72,39.62,39.62,38.20,664.79K,-3.08%
Jan 05  2016,39.95,40.03,40.07,39.31,405.87K,-0.37%
Jan 04  2016,40.10,40.05,40.24,39.29,485.81K,-0.40%
Dec 31  2015,40.26,40.00,40.36,39.40,290.11K,0.55%
Dec 30  2015,40.04,40.52,40.88,39.91,212.85K,-1.57%
Dec 29  2015,40.68,40.34,41.17,40.34,300.69K,0.07%
Dec 24  2015,40.65,41.24,41.24,40.05,165.22K,-1.45%
Dec 23  2015,41.25,40.80,41.69,40.61,430.03K,1.10%
Dec 22  2015,40.80,40.70,40.99,40.16,384.05K,1.09%
Dec 21  2015,40.36,40.61,41.08,40.19,687.02K,-1.10%
Dec 18  2015,40.81,39.67,40.82,39.67,677.27K,2.00%
Dec 17  2015,40.01,38.58,40.03,38.58,556.60K,2.75%
Dec 16  2015,38.94,37.54,39.00,37.54,478.22K,2.72%
