Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,46.00,45.75,46.03,44.39,82.87K,0.07%
Apr 18  2016,45.97,45.87,46.10,45.73,45.27K,-0.04%
Apr 15  2016,45.99,46.01,46.24,45.55,52.01K,0.04%
Apr 14  2016,45.97,45.88,46.00,45.26,30.87K,0.04%
Apr 13  2016,45.95,45.15,46.29,44.11,110.56K,2.02%
Apr 12  2016,45.04,46.00,46.00,44.61,86.72K,-2.09%
Apr 11  2016,46.00,45.55,46.38,45.38,151.03K,1.66%
Apr 08  2016,45.25,44.75,45.86,43.92,118.88K,1.23%
Apr 07  2016,44.70,45.35,45.67,43.17,456.24K,-2.06%
Apr 06  2016,45.64,44.00,45.81,43.91,400.04K,3.73%
Apr 05  2016,44.00,43.21,44.32,43.17,178.33K,0.94%
Apr 04  2016,43.59,44.98,44.98,42.97,129.62K,-1.98%
Apr 01  2016,44.47,42.79,44.80,42.39,181.19K,3.06%
Mar 31  2016,43.15,41.75,43.15,41.00,145.78K,4.71%
Mar 30  2016,41.21,39.99,41.34,39.71,159.16K,4.38%
Mar 29  2016,39.48,38.33,39.64,38.07,132.85K,3.22%
Mar 28  2016,38.25,38.08,38.54,38.08,41.15K,0.58%
Mar 24  2016,38.03,36.79,38.20,36.56,93.33K,3.34%
Mar 23  2016,36.80,35.51,37.69,35.51,108.02K,3.60%
Mar 22  2016,35.52,34.85,35.62,34.77,335.98K,1.63%
Mar 21  2016,34.95,34.99,35.04,34.77,77.70K,0.20%
Mar 18  2016,34.88,34.10,35.12,34.00,216.27K,2.77%
Mar 17  2016,33.94,33.86,34.15,33.50,83.13K,0.21%
Mar 16  2016,33.87,33.95,34.95,33.75,110.31K,0.00%
Mar 15  2016,33.87,35.70,35.70,33.53,178.06K,-5.21%
Mar 14  2016,35.73,35.94,36.49,35.22,73.19K,-0.25%
Mar 11  2016,35.82,35.75,36.59,35.55,267.98K,0.62%
Mar 10  2016,35.60,36.36,36.36,34.55,97.45K,-1.52%
Mar 09  2016,36.15,37.01,37.15,36.11,52.98K,-1.63%
Mar 08  2016,36.75,36.01,37.51,35.52,180.53K,1.44%
Mar 07  2016,36.23,35.10,36.50,34.66,121.07K,3.25%
Mar 04  2016,35.09,36.33,36.40,34.56,151.96K,-3.55%
Mar 03  2016,36.38,38.50,38.50,36.33,163.23K,-5.68%
Mar 02  2016,38.57,39.05,39.41,38.24,52.66K,-1.78%
Mar 01  2016,39.27,39.43,40.46,38.82,68.60K,-0.33%
Feb 29  2016,39.40,39.14,39.84,39.07,63.34K,0.66%
Feb 26  2016,39.14,38.40,39.36,38.24,44.52K,1.87%
Feb 25  2016,38.42,38.83,39.08,37.60,89.13K,-1.41%
Feb 24  2016,38.97,39.74,40.33,38.62,86.50K,-2.09%
Feb 23  2016,39.80,40.36,40.36,39.60,137.67K,-1.04%
Feb 22  2016,40.22,39.99,40.52,39.28,90.27K,2.06%
Feb 19  2016,39.41,38.08,39.75,38.04,112.94K,2.44%
Feb 18  2016,38.47,37.55,39.73,35.10,161.39K,3.14%
Feb 17  2016,37.30,37.31,38.50,36.19,137.79K,-0.21%
Feb 16  2016,37.38,36.38,37.92,35.00,128.94K,11.72%
Feb 12  2016,33.46,33.22,33.97,32.60,92.43K,1.03%
Feb 11  2016,33.12,33.65,34.12,32.79,60.76K,-3.33%
Feb 10  2016,34.26,35.01,35.72,34.16,61.29K,-0.67%
Feb 09  2016,34.49,34.08,36.34,33.91,81.82K,-0.52%
Feb 08  2016,34.67,35.00,36.36,33.86,311.69K,-8.55%
Feb 05  2016,37.91,43.16,43.16,37.40,423.69K,-13.13%
Feb 04  2016,43.64,45.01,45.21,43.22,81.60K,-3.26%
Feb 03  2016,45.11,47.33,47.33,44.46,46.18K,-3.07%
Feb 02  2016,46.54,47.17,47.25,45.58,49.38K,-0.04%
Feb 01  2016,46.56,47.59,47.59,46.41,36.61K,-0.98%
Jan 29  2016,47.02,46.10,47.50,46.10,89.23K,2.60%
Jan 28  2016,45.83,46.58,46.99,45.33,65.50K,-1.40%
Jan 27  2016,46.48,47.21,47.42,45.99,60.53K,-1.13%
Jan 26  2016,47.01,46.81,47.27,46.10,85.43K,1.03%
Jan 25  2016,46.53,47.77,47.77,45.27,51.22K,-0.89%
Jan 22  2016,46.95,43.96,47.53,43.96,148.57K,7.93%
Jan 21  2016,43.50,43.18,44.02,42.81,181.93K,1.35%
Jan 20  2016,42.92,42.00,43.60,38.84,268.81K,-1.33%
Jan 19  2016,43.50,43.57,45.10,42.84,115.37K,-0.57%
Jan 18  2016,43.75,43.77,45.70,43.21,22.97K,-2.78%
Jan 15  2016,45.00,45.24,46.08,43.75,118.78K,-2.81%
Jan 14  2016,46.30,47.56,47.80,45.68,159.31K,-4.14%
Jan 13  2016,48.30,49.55,49.88,48.00,73.84K,-1.43%
Jan 12  2016,49.00,47.93,49.61,47.57,152.88K,2.36%
Jan 11  2016,47.87,52.29,52.29,47.03,190.02K,-6.87%
Jan 08  2016,51.40,48.21,52.01,48.21,189.97K,7.19%
Jan 07  2016,47.95,46.66,49.40,46.46,112.61K,-0.06%
Jan 06  2016,47.98,48.00,48.25,47.20,39.61K,-0.48%
Jan 05  2016,48.21,46.12,48.29,46.12,107.29K,4.71%
Jan 04  2016,46.04,46.69,47.58,45.39,128.54K,-1.88%
Dec 31  2015,46.92,47.70,48.19,46.79,103.45K,-1.64%
Dec 30  2015,47.70,47.82,48.00,46.96,62.94K,0.06%
Dec 29  2015,47.67,44.85,48.00,44.85,89.36K,6.41%
Dec 24  2015,44.80,45.51,45.53,44.00,23.96K,-1.50%
Dec 23  2015,45.48,46.11,46.52,45.10,49.52K,-0.66%
Dec 22  2015,45.78,46.25,46.65,45.00,61.95K,-0.89%
Dec 21  2015,46.19,45.56,46.63,45.56,111.50K,1.94%
Dec 18  2015,45.31,45.92,46.00,44.92,1.09M,-1.33%
Dec 17  2015,45.92,45.99,46.46,45.78,434.02K,-0.02%
Dec 16  2015,45.93,46.95,46.95,45.63,131.31K,-2.13%
Dec 15  2015,46.93,47.00,47.63,46.80,285.34K,0.49%
Dec 14  2015,46.70,46.50,47.20,46.37,181.70K,1.97%
Dec 11  2015,45.80,46.51,46.51,45.30,459.30K,-1.44%
Dec 10  2015,46.47,46.02,47.66,45.63,129.16K,1.60%
Dec 09  2015,45.74,46.70,46.70,45.54,124.21K,-2.06%
