Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.82,5.67,5.84,5.67,6.72M,5.43%
Apr 18  2016,5.52,5.60,5.64,5.47,5.98M,0.91%
Apr 15  2016,5.47,5.34,5.52,5.28,5.04M,3.21%
Apr 14  2016,5.30,5.52,5.58,5.10,12.07M,-4.68%
Apr 13  2016,5.56,5.42,5.72,5.40,8.80M,-2.28%
Apr 12  2016,5.69,5.49,5.70,5.35,8.99M,4.60%
Apr 11  2016,5.44,5.28,5.49,5.24,7.09M,6.88%
Apr 08  2016,5.09,4.98,5.14,4.96,5.89M,2.21%
Apr 07  2016,4.98,4.82,5.06,4.81,9.78M,6.64%
Apr 06  2016,4.67,4.58,4.69,4.53,7.50M,0.21%
Apr 05  2016,4.66,4.60,4.67,4.48,6.08M,4.95%
Apr 04  2016,4.44,4.51,4.52,4.33,3.87M,-1.99%
Apr 01  2016,4.53,4.29,4.55,4.20,5.72M,2.26%
Mar 31  2016,4.43,4.53,4.60,4.42,7.48M,-0.67%
Mar 30  2016,4.46,4.38,4.46,4.22,8.70M,1.13%
Mar 29  2016,4.41,4.05,4.42,4.03,8.60M,10.53%
Mar 28  2016,3.99,4.04,4.04,3.87,2.73M,-0.50%
Mar 24  2016,4.01,3.93,4.12,3.89,5.47M,3.35%
Mar 23  2016,3.88,4.01,4.07,3.81,13.40M,-5.83%
Mar 22  2016,4.12,4.18,4.25,4.11,5.69M,-0.24%
Mar 21  2016,4.13,4.02,4.19,4.00,4.88M,0.98%
Mar 18  2016,4.09,4.11,4.20,4.02,21.49M,0.74%
Mar 17  2016,4.06,4.21,4.28,4.03,7.41M,-2.17%
Mar 16  2016,4.15,3.89,4.15,3.77,9.30M,4.80%
Mar 15  2016,3.96,3.77,3.99,3.73,5.01M,3.13%
Mar 14  2016,3.84,3.94,4.05,3.82,5.10M,-2.04%
Mar 11  2016,3.92,4.01,4.11,3.88,5.31M,-2.97%
Mar 10  2016,4.04,3.85,4.09,3.83,8.24M,6.32%
Mar 09  2016,3.80,3.76,3.90,3.61,8.64M,-0.78%
Mar 08  2016,3.83,4.10,4.15,3.73,16.18M,-4.01%
Mar 07  2016,3.99,4.08,4.18,3.95,11.43M,0.25%
Mar 04  2016,3.98,4.14,4.29,3.94,14.88M,-3.40%
Mar 03  2016,4.12,3.90,4.24,3.90,13.82M,5.91%
Mar 02  2016,3.89,3.88,3.95,3.83,4.56M,0.78%
Mar 01  2016,3.86,4.03,4.04,3.78,8.53M,-2.53%
Feb 29  2016,3.96,3.97,4.04,3.93,6.40M,1.28%
Feb 26  2016,3.91,3.93,4.06,3.85,7.16M,-3.22%
Feb 25  2016,4.04,3.97,4.08,3.93,8.82M,-6.91%
Feb 24  2016,4.34,4.42,4.63,4.22,8.99M,2.36%
Feb 23  2016,4.24,4.21,4.31,4.15,6.08M,3.67%
Feb 22  2016,4.09,3.95,4.14,3.91,5.65M,0.49%
Feb 19  2016,4.07,4.11,4.29,4.05,6.54M,-1.93%
Feb 18  2016,4.15,3.75,4.33,3.72,8.89M,7.79%
Feb 17  2016,3.85,3.84,3.87,3.67,5.96M,2.12%
Feb 16  2016,3.77,3.87,4.20,3.76,7.69M,-9.59%
Feb 12  2016,4.17,3.93,4.18,3.86,5.56M,2.46%
Feb 11  2016,4.07,4.10,4.30,3.87,16.18M,13.69%
Feb 10  2016,3.58,3.30,3.61,3.20,10.06M,5.92%
Feb 09  2016,3.38,3.53,3.58,3.28,9.75M,-0.88%
Feb 08  2016,3.41,3.58,3.62,3.40,9.34M,6.23%
Feb 05  2016,3.21,2.71,3.26,2.66,8.47M,14.23%
Feb 04  2016,2.81,2.55,2.93,2.55,15.41M,12.40%
Feb 03  2016,2.50,2.36,2.50,2.33,3.65M,7.30%
Feb 02  2016,2.33,2.42,2.43,2.27,1.69M,-2.51%
Feb 01  2016,2.39,2.33,2.41,2.33,3.37M,3.46%
Jan 29  2016,2.31,2.25,2.35,2.24,2.93M,2.67%
Jan 28  2016,2.25,2.33,2.33,2.24,2.45M,-4.66%
Jan 27  2016,2.36,2.31,2.37,2.25,3.62M,1.72%
Jan 26  2016,2.32,2.23,2.32,2.21,3.53M,6.42%
Jan 25  2016,2.18,2.23,2.32,2.15,6.18M,-1.36%
Jan 22  2016,2.21,2.07,2.23,2.07,6.46M,2.79%
Jan 21  2016,2.15,2.06,2.17,2.00,2.84M,-0.46%
Jan 20  2016,2.16,2.06,2.19,2.05,4.95M,8.00%
Jan 19  2016,2.00,2.24,2.24,1.91,5.05M,-9.50%
Jan 18  2016,2.21,2.17,2.24,2.17,484.10K,2.79%
Jan 15  2016,2.15,2.37,2.39,2.15,3.27M,-6.52%
Jan 14  2016,2.30,2.33,2.37,2.24,2.94M,-4.17%
Jan 13  2016,2.40,2.35,2.45,2.31,1.69M,1.27%
Jan 12  2016,2.37,2.42,2.43,2.31,2.67M,-2.47%
Jan 11  2016,2.43,2.69,2.69,2.39,2.25M,-7.95%
Jan 08  2016,2.64,2.70,2.73,2.59,3.45M,-6.05%
Jan 07  2016,2.81,2.70,2.84,2.63,3.65M,7.25%
Jan 06  2016,2.62,2.65,2.73,2.60,3.36M,1.16%
Jan 05  2016,2.59,2.64,2.67,2.58,1.65M,-0.77%
Jan 04  2016,2.61,2.55,2.64,2.55,2.40M,3.98%
Dec 31  2015,2.51,2.55,2.55,2.47,2.61M,-1.57%
Dec 30  2015,2.55,2.53,2.60,2.52,2.47M,-0.78%
Dec 29  2015,2.57,2.64,2.68,2.54,1.59M,-5.17%
Dec 24  2015,2.71,2.65,2.72,2.65,1.10M,2.65%
Dec 23  2015,2.64,2.65,2.69,2.60,3.76M,-0.38%
Dec 22  2015,2.65,2.62,2.68,2.59,1.77M,0.38%
Dec 21  2015,2.64,2.65,2.72,2.61,2.71M,0.00%
Dec 18  2015,2.64,2.52,2.69,2.50,7.87M,6.45%
Dec 17  2015,2.48,2.56,2.59,2.46,2.67M,-7.12%
Dec 16  2015,2.67,2.64,2.69,2.54,4.46M,3.49%
Dec 15  2015,2.58,2.65,2.65,2.49,3.94M,0.00%
Dec 14  2015,2.58,2.75,2.75,2.54,4.90M,-7.19%
Dec 11  2015,2.78,2.62,2.84,2.61,5.01M,4.51%
Dec 10  2015,2.66,2.67,2.75,2.61,1.76M,1.14%
Dec 09  2015,2.63,2.70,2.71,2.59,1.51M,0.77%
Dec 08  2015,2.61,2.69,2.75,2.56,2.52M,-2.97%
Dec 07  2015,2.69,2.80,2.84,2.66,1.63M,-5.94%
Dec 04  2015,2.86,2.72,2.86,2.72,2.43M,6.32%
Dec 03  2015,2.69,2.71,2.74,2.61,5.12M,1.13%
Dec 02  2015,2.66,2.66,2.73,2.59,1.48M,-3.27%
Dec 01  2015,2.75,2.56,2.76,2.56,2.62M,5.36%
Nov 30  2015,2.61,2.56,2.61,2.53,3.02M,3.16%
