Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.91,13.93,14.95,13.93,309.31K,7.34%
Apr 18  2016,13.89,13.02,14.03,13.02,195.86K,4.59%
Apr 15  2016,13.28,13.77,13.77,13.04,112.60K,-4.46%
Apr 14  2016,13.90,13.93,14.03,13.56,246.93K,0.00%
Apr 13  2016,13.90,14.03,14.60,13.83,383.28K,2.36%
Apr 12  2016,13.58,12.90,13.78,12.81,540.70K,6.51%
Apr 11  2016,12.75,12.12,12.78,12.11,493.66K,6.78%
Apr 08  2016,11.94,11.98,12.27,11.80,108.94K,1.19%
Apr 07  2016,11.80,12.05,12.33,11.75,410.84K,-2.96%
Apr 06  2016,12.16,11.97,12.33,11.80,555.95K,2.62%
Apr 05  2016,11.85,11.83,12.07,11.75,105.44K,-0.84%
Apr 04  2016,11.95,12.23,12.38,11.80,175.11K,-1.24%
Apr 01  2016,12.10,11.63,12.18,11.48,212.89K,2.98%
Mar 31  2016,11.75,12.02,12.12,11.55,171.97K,-2.08%
Mar 30  2016,12.00,11.99,12.08,11.85,221.85K,1.78%
Mar 29  2016,11.79,11.50,11.91,11.21,200.66K,1.20%
Mar 28  2016,11.65,12.19,12.21,11.45,165.01K,-3.24%
Mar 24  2016,12.04,11.66,12.04,11.32,200.04K,1.86%
Mar 23  2016,11.82,12.26,12.35,11.74,151.28K,-3.90%
Mar 22  2016,12.30,12.36,12.39,12.12,189.98K,-0.57%
Mar 21  2016,12.37,12.16,12.57,11.88,294.30K,2.66%
Mar 18  2016,12.05,11.96,12.25,11.72,2.46M,1.52%
Mar 17  2016,11.87,11.57,11.95,11.50,439.50K,3.76%
Mar 16  2016,11.44,11.42,11.63,11.11,430.70K,0.44%
Mar 15  2016,11.39,11.35,11.49,11.06,404.15K,-0.96%
Mar 14  2016,11.50,11.92,11.92,11.39,587.88K,-2.46%
Mar 11  2016,11.79,11.76,12.04,11.43,329.81K,0.43%
Mar 10  2016,11.74,11.98,12.31,11.63,304.83K,-0.34%
Mar 09  2016,11.78,11.92,11.96,11.30,652.67K,0.08%
Mar 08  2016,11.77,12.51,12.51,11.22,464.44K,-6.81%
Mar 07  2016,12.63,13.50,13.63,12.54,787.72K,5.25%
Mar 04  2016,12.00,11.18,13.22,11.14,1.00M,8.30%
Mar 03  2016,11.08,11.01,11.77,11.00,574.98K,1.56%
Mar 02  2016,10.91,10.20,11.17,10.20,317.99K,8.77%
Mar 01  2016,10.03,10.26,10.26,10.00,160.52K,-0.30%
Feb 29  2016,10.06,9.68,10.15,9.65,220.55K,5.34%
Feb 26  2016,9.55,9.52,9.70,9.36,221.18K,1.06%
Feb 25  2016,9.45,10.00,10.13,9.38,332.67K,-5.41%
Feb 24  2016,9.99,10.35,10.35,9.89,276.07K,-5.84%
Feb 23  2016,10.61,11.07,11.08,10.34,304.64K,-4.07%
Feb 22  2016,11.06,10.87,11.39,10.79,448.79K,6.86%
Feb 19  2016,10.35,10.32,10.62,10.21,183.19K,1.57%
Feb 18  2016,10.19,10.46,10.46,10.10,313.37K,-1.26%
Feb 17  2016,10.32,9.84,10.54,9.78,356.93K,6.72%
Feb 16  2016,9.67,9.52,9.92,9.49,441.05K,2.33%
Feb 12  2016,9.45,9.71,9.97,9.43,248.81K,0.11%
Feb 11  2016,9.44,9.77,9.77,9.20,391.25K,-1.97%
Feb 10  2016,9.63,9.22,9.76,9.22,295.70K,2.45%
Feb 09  2016,9.40,9.32,9.41,9.15,206.47K,-1.47%
Feb 08  2016,9.54,9.60,9.76,9.40,172.01K,-1.34%
Feb 05  2016,9.67,9.69,9.78,9.50,331.56K,-1.23%
