Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,48.84,47.85,48.85,47.85,94.61K,1.67%
Apr 18  2016,48.04,47.56,48.25,47.28,88.36K,0.71%
Apr 15  2016,47.70,47.69,47.85,47.42,59.73K,0.04%
Apr 14  2016,47.68,47.61,47.85,47.55,69.06K,-0.02%
Apr 13  2016,47.69,47.69,47.80,47.25,97.84K,0.36%
Apr 12  2016,47.52,47.12,47.62,47.12,39.16K,0.93%
Apr 11  2016,47.08,46.82,47.34,46.61,59.55K,0.56%
Apr 08  2016,46.82,46.56,47.18,46.36,54.02K,1.47%
Apr 07  2016,46.14,46.55,46.69,46.02,92.76K,-1.16%
Apr 06  2016,46.68,46.66,46.85,46.27,62.84K,0.19%
Apr 05  2016,46.59,47.00,47.00,46.47,60.92K,-1.08%
Apr 04  2016,47.10,47.64,47.64,47.00,58.58K,-0.95%
Apr 01  2016,47.55,47.51,47.64,47.00,94.92K,-0.11%
Mar 31  2016,47.60,47.45,47.67,47.37,109.11K,0.02%
Mar 30  2016,47.59,47.61,47.82,47.23,83.79K,-1.00%
Mar 29  2016,48.07,47.79,48.09,47.60,79.93K,0.56%
Mar 28  2016,47.80,47.49,47.85,47.30,55.52K,1.01%
Mar 24  2016,47.32,47.75,47.75,47.10,88.60K,-1.21%
Mar 23  2016,47.90,47.83,48.05,47.75,49.23K,-0.13%
Mar 22  2016,47.96,47.94,48.17,47.63,56.22K,-0.12%
Mar 21  2016,48.02,47.85,48.11,47.34,55.51K,0.46%
Mar 18  2016,47.80,48.16,48.52,47.18,464.03K,-0.42%
Mar 17  2016,48.00,47.79,48.27,47.74,99.31K,0.40%
Mar 16  2016,47.81,47.82,48.15,47.58,145.11K,0.06%
Mar 15  2016,47.78,47.70,47.88,47.29,122.46K,0.00%
Mar 14  2016,47.78,47.82,47.97,47.53,82.69K,0.04%
Mar 11  2016,47.76,47.34,47.79,47.03,68.65K,1.53%
Mar 10  2016,47.04,47.73,47.85,46.71,138.07K,-1.03%
Mar 09  2016,47.53,47.72,47.75,47.25,114.99K,0.23%
Mar 08  2016,47.42,46.89,47.86,46.85,109.30K,0.96%
Mar 07  2016,46.97,46.39,47.19,46.29,116.87K,1.12%
Mar 04  2016,46.45,46.55,46.68,46.18,134.20K,0.02%
Mar 03  2016,46.44,46.36,46.78,46.15,128.18K,0.24%
