Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.72,20.88,20.88,20.56,108.82K,-0.38%
Apr 18  2016,20.80,20.64,20.93,20.58,61.72K,0.53%
Apr 15  2016,20.69,20.66,20.77,20.55,82.15K,0.15%
Apr 14  2016,20.66,20.47,20.79,20.42,188.84K,1.27%
Apr 13  2016,20.40,21.40,21.40,20.10,303.76K,-4.40%
Apr 12  2016,21.34,21.43,21.45,21.17,105.18K,-0.09%
Apr 11  2016,21.36,21.11,21.52,21.11,104.22K,1.28%
Apr 08  2016,21.09,21.20,21.38,21.03,84.99K,0.00%
Apr 07  2016,21.09,21.15,21.19,21.00,106.71K,-0.28%
Apr 06  2016,21.15,21.73,21.82,21.07,201.96K,-2.44%
Apr 05  2016,21.68,21.52,21.70,21.43,131.69K,0.09%
Apr 04  2016,21.66,21.80,22.13,21.54,160.50K,-0.60%
Apr 01  2016,21.79,21.87,22.05,21.57,192.74K,-1.04%
Mar 31  2016,22.02,22.22,22.28,21.82,213.89K,-0.81%
Mar 30  2016,22.20,21.70,22.41,21.50,200.65K,2.54%
Mar 29  2016,21.65,21.38,21.77,21.36,110.13K,1.26%
Mar 28  2016,21.38,21.16,21.48,21.11,112.27K,1.52%
Mar 24  2016,21.06,21.13,21.15,20.90,115.06K,-0.61%
Mar 23  2016,21.19,21.22,21.39,21.08,168.95K,0.14%
Mar 22  2016,21.16,21.10,21.44,21.09,120.47K,-0.14%
Mar 21  2016,21.19,21.15,21.35,21.13,71.35K,0.05%
Mar 18  2016,21.18,21.12,21.25,20.97,186.15K,-0.05%
Mar 17  2016,21.19,20.83,21.23,20.83,262.44K,1.88%
Mar 16  2016,20.80,20.95,21.01,20.68,112.53K,-0.72%
Mar 15  2016,20.95,21.04,21.16,20.82,122.28K,-0.80%
Mar 14  2016,21.12,20.94,21.46,20.94,118.43K,0.76%
Mar 11  2016,20.96,20.89,21.14,20.80,290.44K,1.06%
Mar 10  2016,20.74,20.10,20.81,20.10,221.18K,3.24%
