Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,58.49,59.47,59.47,57.91,145.15K,-0.81%
Apr 18  2016,58.97,57.57,59.44,57.50,93.37K,1.73%
Apr 15  2016,57.97,58.64,58.67,57.94,117.96K,-1.50%
Apr 14  2016,58.85,58.11,60.41,58.11,255.70K,1.55%
Apr 13  2016,57.95,57.64,58.05,57.30,95.11K,1.42%
Apr 12  2016,57.14,56.98,57.52,56.70,155.82K,0.53%
Apr 11  2016,56.84,56.56,57.33,56.08,109.49K,0.55%
Apr 08  2016,56.53,57.87,58.08,56.00,173.16K,-1.38%
Apr 07  2016,57.32,59.01,59.01,56.86,150.87K,-3.32%
Apr 06  2016,59.29,59.48,59.54,58.33,148.47K,-0.15%
Apr 05  2016,59.38,59.54,59.54,57.80,259.27K,-0.79%
Apr 04  2016,59.85,62.63,62.63,59.77,226.14K,-4.15%
Apr 01  2016,62.44,62.25,62.62,61.85,155.15K,-0.08%
Mar 31  2016,62.49,62.05,62.66,61.67,105.06K,0.79%
Mar 30  2016,62.00,62.90,63.42,61.91,65.00K,-0.83%
Mar 29  2016,62.52,61.07,62.78,60.80,128.44K,1.91%
Mar 28  2016,61.35,62.77,62.77,61.20,111.39K,-1.79%
Mar 24  2016,62.47,62.41,62.93,61.51,101.70K,-0.78%
Mar 23  2016,62.96,63.30,64.33,62.79,205.05K,0.25%
Mar 22  2016,62.80,62.64,63.12,62.37,150.27K,-0.38%
Mar 21  2016,63.04,63.04,63.70,62.68,158.38K,-0.13%
Mar 18  2016,63.12,64.73,64.73,62.73,300.23K,-1.41%
Mar 17  2016,64.02,63.71,65.50,63.43,318.04K,0.49%
Mar 16  2016,63.71,62.66,64.27,62.66,170.97K,1.64%
Mar 15  2016,62.68,62.27,63.24,61.82,183.12K,-0.54%
Mar 14  2016,63.02,63.57,65.00,62.18,172.99K,-0.63%
Mar 11  2016,63.42,61.33,63.64,60.90,242.64K,4.62%
Mar 10  2016,60.62,61.41,62.35,58.78,473.45K,5.32%
Mar 09  2016,57.56,59.10,59.44,57.30,424.29K,-1.61%
Mar 08  2016,58.50,60.52,60.70,58.45,226.20K,-3.64%
Mar 07  2016,60.71,60.61,61.78,60.58,202.63K,0.75%
Mar 04  2016,60.26,60.60,61.08,60.01,167.72K,-0.08%
Mar 03  2016,60.31,59.47,61.13,59.47,134.91K,1.67%
Mar 02  2016,59.32,61.19,61.19,59.18,221.40K,-2.40%
Mar 01  2016,60.78,59.80,61.26,59.78,194.59K,2.84%
Feb 29  2016,59.10,58.76,59.34,58.13,192.18K,1.04%
Feb 26  2016,58.49,57.08,58.62,56.85,205.37K,4.75%
Feb 25  2016,55.84,56.25,56.33,54.50,192.15K,-0.73%
Feb 24  2016,56.25,54.80,56.25,53.80,168.95K,1.88%
Feb 23  2016,55.21,56.15,56.65,55.03,158.93K,-0.72%
Feb 22  2016,55.61,56.66,56.91,55.20,246.73K,0.31%
Feb 19  2016,55.44,56.53,56.53,55.20,238.31K,-2.33%
Feb 18  2016,56.76,57.83,57.83,55.94,229.65K,-0.42%
Feb 17  2016,57.00,54.27,57.08,53.85,370.62K,6.24%
Feb 16  2016,53.65,51.99,53.84,51.00,299.79K,5.28%
Feb 12  2016,50.96,50.76,50.99,49.76,247.10K,1.55%
Feb 11  2016,50.18,50.34,51.39,49.64,231.65K,-1.72%
Feb 10  2016,51.06,51.60,52.61,50.82,215.83K,-0.16%
Feb 09  2016,51.14,50.60,51.76,50.32,314.52K,0.22%
