Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,70.51,70.74,70.74,69.76,796.67K,0.11%
Apr 18  2016,70.43,70.49,70.91,70.12,689.96K,-0.41%
Apr 15  2016,70.72,70.51,70.91,70.25,820.59K,0.13%
Apr 14  2016,70.63,69.36,70.77,69.30,1.02M,1.98%
Apr 13  2016,69.26,69.44,69.73,69.01,761.86K,0.16%
Apr 12  2016,69.15,69.63,69.73,68.87,767.97K,0.07%
Apr 11  2016,69.10,69.18,69.47,69.01,339.18K,-0.09%
Apr 08  2016,69.16,69.48,69.78,68.90,544.53K,-0.06%
Apr 07  2016,69.20,69.16,69.42,68.81,1.23M,-0.25%
Apr 06  2016,69.37,70.75,70.75,68.71,1.20M,-2.28%
Apr 05  2016,70.99,72.27,72.56,70.79,487.90K,-2.42%
Apr 04  2016,72.75,72.70,72.98,72.36,394.88K,0.34%
Apr 01  2016,72.50,72.63,73.11,71.85,672.82K,-0.30%
Mar 31  2016,72.72,73.75,74.10,72.55,765.71K,-1.48%
Mar 30  2016,73.81,74.06,74.33,73.36,575.91K,-0.18%
Mar 29  2016,73.94,73.94,74.58,73.63,502.77K,-0.05%
Mar 28  2016,73.98,74.28,74.50,73.47,333.88K,0.09%
Mar 24  2016,73.91,73.15,74.25,73.15,637.82K,0.45%
Mar 23  2016,73.58,73.94,73.94,72.85,541.76K,0.59%
Mar 22  2016,73.15,72.63,73.76,72.51,725.28K,0.22%
Mar 21  2016,72.99,72.74,73.50,72.68,513.17K,0.34%
Mar 18  2016,72.74,74.17,74.46,72.52,1.53M,-2.02%
Mar 17  2016,74.24,73.00,74.59,72.51,835.09K,1.77%
Mar 16  2016,72.95,71.93,73.80,71.93,743.72K,1.01%
Mar 15  2016,72.22,71.00,72.45,70.81,748.65K,1.72%
Mar 14  2016,71.00,70.70,71.46,69.80,721.80K,0.60%
Mar 11  2016,70.58,70.10,71.36,69.89,679.56K,1.32%
Mar 10  2016,69.66,70.96,70.99,69.24,1.01M,-1.64%
Mar 09  2016,70.82,71.90,72.00,70.76,985.81K,-1.50%
Mar 08  2016,71.90,71.05,72.17,70.75,830.70K,1.17%
Mar 07  2016,71.07,69.79,71.67,69.40,647.19K,1.22%
Mar 04  2016,70.21,69.81,70.76,69.28,703.61K,0.57%
Mar 03  2016,69.81,69.51,70.11,68.90,598.85K,0.52%
Mar 02  2016,69.45,69.76,69.93,68.01,1.18M,-1.01%
Mar 01  2016,70.16,68.53,70.30,67.73,875.94K,2.08%
Feb 29  2016,68.73,68.19,69.47,68.17,847.33K,-0.03%
Feb 26  2016,68.75,67.20,69.21,67.20,598.54K,2.32%
Feb 25  2016,67.19,66.56,67.75,65.52,602.68K,-0.52%
Feb 24  2016,67.54,66.73,67.81,66.40,620.93K,0.27%
Feb 23  2016,67.36,67.00,67.57,66.85,423.18K,0.24%
Feb 22  2016,67.20,66.35,67.45,66.35,599.41K,1.20%
Feb 19  2016,66.40,66.11,66.56,65.60,327.20K,-0.15%
Feb 18  2016,66.50,65.17,66.69,65.02,702.22K,2.32%
Feb 17  2016,64.99,64.66,65.19,64.23,712.05K,1.03%
Feb 16  2016,64.33,64.28,64.80,63.84,481.33K,0.72%
Feb 12  2016,63.87,63.52,64.00,63.18,329.27K,0.85%
Feb 11  2016,63.33,63.22,63.70,62.87,444.42K,-1.14%
Feb 10  2016,64.06,63.96,64.92,63.83,561.04K,0.34%
Feb 09  2016,63.84,62.62,63.93,62.58,520.62K,1.08%
Feb 08  2016,63.16,64.00,64.19,62.90,875.98K,-1.67%
Feb 05  2016,64.23,65.01,65.13,64.01,304.80K,-1.15%
Feb 04  2016,64.98,65.93,65.95,64.86,282.87K,-0.75%
Feb 03  2016,65.47,65.05,65.71,64.65,374.34K,1.17%
Feb 02  2016,64.71,64.72,65.10,64.25,436.68K,-0.54%
Feb 01  2016,65.06,66.14,66.14,64.64,552.30K,-1.11%
Jan 29  2016,65.79,65.19,65.92,64.84,742.14K,1.23%
Jan 28  2016,64.99,64.99,65.24,64.36,727.08K,0.48%
Jan 27  2016,64.68,65.20,65.44,64.31,454.78K,-0.12%
Jan 26  2016,64.76,65.48,65.95,64.67,905.66K,-0.75%
Jan 25  2016,65.25,64.94,65.97,64.80,572.29K,0.74%
Jan 22  2016,64.77,64.64,64.97,64.25,443.83K,1.47%
Jan 21  2016,63.83,62.69,64.14,62.62,715.31K,2.47%
Jan 20  2016,62.29,62.60,63.23,61.25,771.37K,-1.55%
Jan 19  2016,63.27,63.96,64.00,62.75,770.95K,-0.05%
Jan 18  2016,63.30,64.50,65.00,63.00,394.49K,-2.99%
Jan 15  2016,65.25,63.51,65.32,63.51,520.45K,-0.05%
Jan 14  2016,65.28,63.39,65.37,63.25,500.65K,2.95%
