Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.50,4.37,4.51,4.37,6.57M,2.27%
Apr 18  2016,4.40,4.17,4.42,4.15,2.52M,3.77%
Apr 15  2016,4.24,4.08,4.26,4.05,1.76M,3.41%
Apr 14  2016,4.10,4.25,4.25,4.08,1.22M,-3.76%
Apr 13  2016,4.26,4.26,4.35,4.25,2.65M,0.24%
Apr 12  2016,4.25,4.10,4.29,4.09,2.04M,5.20%
Apr 11  2016,4.04,4.04,4.10,4.01,1.30M,1.25%
Apr 08  2016,3.99,3.83,4.00,3.81,1.78M,6.97%
Apr 07  2016,3.73,3.95,3.95,3.70,2.85M,-6.05%
Apr 06  2016,3.97,4.00,4.01,3.92,795.70K,-0.50%
Apr 05  2016,3.99,3.95,4.01,3.95,1.54M,0.76%
Apr 04  2016,3.96,4.11,4.11,3.93,1.21M,-3.18%
Apr 01  2016,4.09,4.05,4.14,4.02,1.11M,0.00%
Mar 31  2016,4.09,4.20,4.22,4.05,1.61M,-2.62%
Mar 30  2016,4.20,4.21,4.26,4.08,1.26M,0.96%
Mar 29  2016,4.16,4.02,4.16,4.00,915.89K,0.97%
Mar 28  2016,4.12,4.07,4.12,3.94,1.76M,1.98%
Mar 24  2016,4.04,4.04,4.09,3.95,2.98M,-1.94%
Mar 23  2016,4.12,4.30,4.30,4.11,1.73M,-6.36%
Mar 22  2016,4.40,4.32,4.42,4.26,1.80M,0.23%
Mar 21  2016,4.39,4.39,4.45,4.29,1.36M,-1.57%
Mar 18  2016,4.46,4.40,4.53,4.37,3.71M,0.22%
Mar 17  2016,4.45,4.28,4.46,4.26,3.50M,5.95%
Mar 16  2016,4.20,4.05,4.22,4.00,1.81M,3.70%
Mar 15  2016,4.05,4.11,4.12,3.96,3.23M,-3.34%
Mar 14  2016,4.19,4.23,4.25,4.09,2.76M,0.72%
Mar 11  2016,4.16,4.44,4.44,4.15,4.50M,-5.24%
Mar 10  2016,4.39,4.38,4.44,4.32,2.39M,-0.45%
Mar 09  2016,4.41,4.37,4.50,4.29,3.64M,2.08%
Mar 08  2016,4.32,4.27,4.37,4.20,8.21M,-2.48%
Mar 07  2016,4.43,4.36,4.46,4.32,5.19M,3.26%
Mar 04  2016,4.29,4.14,4.58,4.11,12.31M,7.52%
Mar 03  2016,3.99,3.92,4.02,3.84,7.11M,1.53%
