Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.38,6.78,7.48,6.72,2.72M,12.33%
Apr 18  2016,6.57,6.25,6.73,6.25,2.55M,-2.09%
Apr 15  2016,6.71,6.85,6.98,6.64,1.82M,-4.96%
Apr 14  2016,7.06,7.25,7.31,6.83,1.59M,-0.84%
Apr 13  2016,7.12,7.55,7.67,7.05,3.37M,-5.94%
Apr 12  2016,7.57,7.36,7.72,7.12,3.49M,6.17%
Apr 11  2016,7.13,6.85,7.20,6.85,1.50M,6.26%
Apr 08  2016,6.71,6.52,6.84,6.48,2.95M,7.88%
Apr 07  2016,6.22,6.30,6.44,6.01,2.41M,-2.81%
Apr 06  2016,6.40,6.56,6.61,6.31,2.05M,1.59%
Apr 05  2016,6.30,6.18,6.36,6.07,1.70M,2.44%
Apr 04  2016,6.15,6.17,6.49,6.07,2.02M,-1.28%
Apr 01  2016,6.23,6.25,6.36,6.15,1.57M,-4.89%
Mar 31  2016,6.55,6.41,6.64,6.25,1.65M,2.02%
Mar 30  2016,6.42,6.57,6.75,6.15,2.54M,2.23%
Mar 29  2016,6.28,5.80,6.35,5.67,1.70M,3.46%
Mar 28  2016,6.07,6.27,6.29,5.96,1.12M,-3.50%
Mar 24  2016,6.29,6.00,6.50,5.84,2.11M,-1.56%
Mar 23  2016,6.39,7.14,7.19,6.27,2.92M,-12.47%
Mar 22  2016,7.30,6.83,7.38,6.78,1.74M,5.80%
Mar 21  2016,6.90,6.69,7.06,6.68,1.48M,1.92%
Mar 18  2016,6.77,6.82,7.15,6.60,4.61M,0.30%
Mar 17  2016,6.75,6.39,6.94,6.21,4.00M,9.76%
Mar 16  2016,6.15,6.31,6.33,6.06,2.42M,2.84%
Mar 15  2016,5.98,6.35,6.40,5.86,2.58M,-8.70%
Mar 14  2016,6.55,6.06,6.70,6.05,2.19M,2.83%
Mar 11  2016,6.37,5.96,6.52,5.92,3.45M,12.74%
Mar 10  2016,5.65,5.73,5.82,5.45,1.74M,-2.92%
Mar 09  2016,5.82,6.15,6.19,5.76,2.91M,-0.51%
Mar 08  2016,5.85,6.58,6.59,5.62,3.57M,-10.82%
Mar 07  2016,6.56,6.52,7.03,6.30,4.14M,4.79%
Mar 04  2016,6.26,5.93,6.41,5.71,5.03M,7.19%
Mar 03  2016,5.84,4.98,6.08,4.77,6.93M,18.94%
Mar 02  2016,4.91,4.37,4.96,4.32,3.36M,11.59%
