Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,85.99,85.52,86.24,85.05,75.47K,0.58%
Apr 18  2016,85.49,83.37,85.82,83.37,511.53K,1.77%
Apr 15  2016,84.00,83.11,84.12,82.80,54.31K,1.20%
Apr 14  2016,83.00,84.25,84.25,81.60,77.80K,-1.24%
Apr 13  2016,84.04,83.71,84.68,82.80,193.51K,1.25%
Apr 12  2016,83.00,82.83,83.43,82.25,54.76K,0.33%
Apr 11  2016,82.73,82.53,83.05,82.42,90.73K,0.66%
Apr 08  2016,82.19,83.08,83.17,81.87,42.58K,-0.56%
Apr 07  2016,82.65,82.65,83.06,81.97,54.88K,-0.48%
Apr 06  2016,83.05,83.10,83.88,82.39,28.79K,-0.88%
Apr 05  2016,83.79,83.78,84.45,82.55,32.90K,-0.48%
Apr 04  2016,84.19,83.13,84.80,82.58,91.42K,1.47%
Apr 01  2016,82.97,82.41,83.11,80.64,92.81K,0.57%
Mar 31  2016,82.50,84.08,85.29,82.22,82.34K,-2.01%
Mar 30  2016,84.19,84.45,85.66,83.96,72.55K,-0.12%
Mar 29  2016,84.29,84.07,85.00,84.07,60.04K,0.35%
Mar 28  2016,84.00,85.15,85.16,83.50,53.62K,-1.20%
Mar 24  2016,85.02,85.50,85.70,84.72,46.97K,-0.48%
Mar 23  2016,85.43,85.22,85.69,85.10,52.27K,0.27%
Mar 22  2016,85.20,84.99,85.69,84.93,50.30K,0.11%
Mar 21  2016,85.11,85.00,85.84,84.45,56.82K,0.35%
Mar 18  2016,84.81,85.32,85.55,84.52,82.62K,-0.55%
Mar 17  2016,85.28,84.05,85.60,84.02,107.16K,1.13%
Mar 16  2016,84.33,84.38,84.91,84.12,155.21K,-0.05%
Mar 15  2016,84.37,85.88,86.00,84.01,69.87K,-1.72%
Mar 14  2016,85.85,87.15,88.00,85.70,35.30K,-1.57%
Mar 11  2016,87.22,86.96,88.11,86.66,28.09K,0.38%
Mar 10  2016,86.89,87.74,88.12,86.61,54.56K,-1.01%
Mar 09  2016,87.78,86.19,88.47,86.18,93.56K,1.32%
Mar 08  2016,86.64,86.95,87.52,85.73,47.63K,-0.33%
Mar 07  2016,86.93,86.73,87.75,86.17,52.05K,0.12%
Mar 04  2016,86.83,88.65,89.00,86.73,61.47K,-1.81%
Mar 03  2016,88.43,88.81,89.62,87.93,43.02K,-0.03%
Mar 02  2016,88.46,88.31,88.93,87.37,102.60K,0.63%
Mar 01  2016,87.91,88.40,89.73,86.75,107.16K,-1.27%
Feb 29  2016,89.04,88.03,89.84,88.03,40.46K,1.18%
Feb 26  2016,88.00,87.92,88.99,87.50,57.45K,0.57%
Feb 25  2016,87.50,87.51,89.35,85.68,102.47K,-0.43%
Feb 24  2016,87.88,89.34,89.34,86.95,49.86K,0.13%
Feb 23  2016,87.77,89.30,90.52,86.80,59.79K,-1.94%
Feb 22  2016,89.51,88.84,91.55,88.84,76.30K,0.52%
Feb 19  2016,89.05,88.57,89.61,87.72,47.33K,0.15%
Feb 18  2016,88.92,86.30,89.57,85.99,67.95K,2.85%
Feb 17  2016,86.46,85.18,87.18,84.78,92.05K,2.32%
Feb 16  2016,84.50,85.80,85.80,82.93,58.74K,1.65%
Feb 12  2016,83.13,83.48,84.33,82.50,37.96K,0.16%
Feb 11  2016,83.00,82.94,84.11,82.29,40.55K,-1.19%
Feb 10  2016,84.00,84.98,86.59,83.43,45.77K,-0.83%
Feb 09  2016,84.70,82.92,85.47,82.33,50.01K,1.61%
Feb 08  2016,83.36,85.42,85.43,82.85,46.70K,-3.40%
Feb 05  2016,86.29,86.80,87.59,85.40,41.49K,-0.86%
Feb 04  2016,87.04,87.21,87.21,86.20,48.56K,0.40%
Feb 03  2016,86.69,87.11,87.23,85.13,35.04K,-0.28%
Feb 02  2016,86.93,86.04,87.14,85.37,90.55K,0.15%
Feb 01  2016,86.80,86.63,87.41,86.05,32.17K,-0.29%
Jan 29  2016,87.05,87.12,88.27,86.31,79.57K,0.51%
Jan 28  2016,86.61,83.53,87.39,83.53,46.66K,0.28%
Jan 27  2016,86.37,87.26,88.00,85.28,58.90K,-1.63%
Jan 26  2016,87.80,86.60,88.41,85.95,40.85K,2.25%
Jan 25  2016,85.87,86.81,88.15,85.22,72.81K,-1.57%
Jan 22  2016,87.24,84.38,87.24,84.21,90.91K,4.45%
Jan 21  2016,83.52,83.71,83.99,81.90,50.74K,-0.26%
Jan 20  2016,83.74,84.39,85.02,82.60,124.85K,-1.61%
Jan 19  2016,85.11,83.70,85.52,83.70,73.37K,2.65%
Jan 18  2016,82.91,84.07,84.07,82.77,49.99K,-2.12%
Jan 15  2016,84.71,82.92,85.11,82.02,69.18K,0.33%
Jan 14  2016,84.43,84.25,85.32,81.96,80.15K,0.48%
Jan 13  2016,84.03,85.10,86.88,83.33,76.99K,-1.23%
Jan 12  2016,85.08,83.55,85.29,82.17,114.99K,2.52%
Jan 11  2016,82.99,81.15,83.77,81.15,101.22K,2.72%
Jan 08  2016,80.79,83.03,84.10,80.47,114.15K,-2.07%
Jan 07  2016,82.50,85.13,85.14,80.88,71.33K,-4.16%
Jan 06  2016,86.08,85.57,86.50,84.50,92.19K,-0.47%
Jan 05  2016,86.49,83.19,86.69,83.19,89.88K,4.28%
Jan 04  2016,82.94,82.63,83.36,80.88,49.98K,-0.38%
Dec 31  2015,83.26,85.22,85.22,83.11,42.79K,-2.71%
Dec 30  2015,85.58,83.81,85.83,83.81,38.87K,1.72%
Dec 29  2015,84.13,83.80,84.19,83.00,62.99K,1.24%
Dec 24  2015,83.10,82.31,83.65,81.61,41.46K,0.72%
Dec 23  2015,82.51,82.57,83.30,82.32,130.62K,0.01%
Dec 22  2015,82.50,83.19,83.79,82.35,84.89K,-0.71%
Dec 21  2015,83.09,82.53,83.59,82.53,82.98K,0.90%
Dec 18  2015,82.35,84.62,85.14,82.22,151.31K,-3.05%
Dec 17  2015,84.94,84.73,85.34,83.99,60.80K,0.39%
Dec 16  2015,84.61,84.22,85.05,83.56,46.59K,0.73%
