Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,53.67,53.56,54.23,53.44,882.15K,-0.32%
Apr 18  2016,53.84,53.14,54.04,53.14,729.57K,1.26%
Apr 15  2016,53.17,53.44,53.65,52.95,625.75K,-0.78%
Apr 14  2016,53.59,53.37,54.05,53.05,630.47K,0.58%
Apr 13  2016,53.28,52.09,53.43,52.03,789.47K,3.06%
Apr 12  2016,51.70,51.62,52.06,51.34,908.07K,0.41%
Apr 11  2016,51.49,51.80,52.28,51.46,627.95K,-0.46%
Apr 08  2016,51.73,52.23,52.79,51.51,801.51K,-0.29%
Apr 07  2016,51.88,53.51,53.65,51.51,1.02M,-3.57%
Apr 06  2016,53.80,54.10,54.10,53.08,1.50M,-0.59%
Apr 05  2016,54.12,52.93,54.41,52.76,852.94K,1.08%
Apr 04  2016,53.54,54.50,54.50,52.98,859.17K,-1.76%
Apr 01  2016,54.50,55.95,56.12,54.44,853.06K,-2.38%
Mar 31  2016,55.83,55.84,56.47,55.32,962.16K,-0.25%
Mar 30  2016,55.97,55.90,56.19,55.55,638.93K,0.76%
Mar 29  2016,55.55,55.00,55.75,54.34,896.85K,0.89%
Mar 28  2016,55.06,54.82,55.47,54.81,564.88K,0.36%
Mar 24  2016,54.86,55.04,55.17,54.26,804.38K,-1.03%
Mar 23  2016,55.43,55.99,56.04,55.30,962.46K,0.33%
Mar 22  2016,55.25,55.58,55.90,54.93,1.03M,-1.30%
Mar 21  2016,55.98,55.61,56.15,55.43,594.25K,0.36%
Mar 18  2016,55.78,55.43,56.01,55.25,2.16M,0.40%
Mar 17  2016,55.56,55.23,55.90,54.90,843.99K,0.29%
Mar 16  2016,55.40,55.24,56.21,54.89,1.19M,0.40%
Mar 15  2016,55.18,54.79,55.36,54.26,1.07M,0.38%
Mar 14  2016,54.97,55.13,55.47,54.45,1.05M,-0.22%
Mar 11  2016,55.09,54.00,55.09,53.90,981.76K,2.88%
Mar 10  2016,53.55,54.42,54.74,52.69,1.23M,-0.94%
Mar 09  2016,54.06,53.94,54.44,53.55,1.39M,1.03%
Mar 08  2016,53.51,55.43,55.46,53.46,1.61M,-3.22%
Mar 07  2016,55.29,54.73,55.59,54.56,1.47M,1.10%
Mar 04  2016,54.69,54.47,54.81,53.95,1.13M,1.35%
Mar 03  2016,53.96,53.98,54.65,53.50,1.31M,1.33%
Mar 02  2016,53.25,53.19,53.72,52.82,1.16M,0.23%
Mar 01  2016,53.13,53.00,53.92,52.90,1.51M,1.20%
Feb 29  2016,52.50,51.93,52.82,51.49,1.78M,1.70%
Feb 26  2016,51.62,51.94,52.82,50.44,1.61M,7.30%
Feb 25  2016,48.11,47.67,48.20,47.01,652.76K,1.03%
Feb 24  2016,47.62,47.77,47.81,46.34,1.05M,-1.20%
Feb 23  2016,48.20,48.98,49.26,47.97,924.79K,-0.97%
Feb 22  2016,48.67,47.72,48.81,47.67,1.08M,3.31%
Feb 19  2016,47.11,47.57,47.70,46.56,817.87K,-1.48%
Feb 18  2016,47.82,48.53,48.58,47.23,971.31K,-0.29%
Feb 17  2016,47.96,47.17,48.49,46.93,2.05M,2.30%
Feb 16  2016,46.88,46.81,46.88,45.43,1.48M,2.29%
Feb 12  2016,45.83,44.61,46.05,44.39,947.42K,4.06%
Feb 11  2016,44.04,43.43,44.73,43.20,1.60M,-0.16%
Feb 10  2016,44.11,43.84,45.17,43.84,1.26M,1.19%
Feb 09  2016,43.59,43.21,43.89,42.09,2.02M,-0.55%
Feb 08  2016,43.83,45.00,45.07,43.17,1.17M,-3.63%
Feb 05  2016,45.48,45.93,46.44,45.28,751.02K,-0.29%
Feb 04  2016,45.61,44.94,45.65,43.72,1.43M,1.47%
Feb 03  2016,44.95,47.76,47.76,44.28,2.56M,-5.45%
Feb 02  2016,47.54,48.80,48.83,47.18,2.13M,-2.78%
Feb 01  2016,48.90,48.51,49.10,47.79,1.25M,0.47%
Jan 29  2016,48.67,48.74,48.75,47.80,1.68M,0.68%
Jan 28  2016,48.34,49.90,49.90,47.53,1.28M,-2.19%
Jan 27  2016,49.42,49.54,50.15,49.19,1.27M,-0.22%
Jan 26  2016,49.53,48.87,49.55,48.51,2.08M,1.77%
Jan 25  2016,48.67,51.62,51.62,48.50,2.26M,-2.31%
Jan 22  2016,49.82,50.48,50.99,49.21,3.06M,0.97%
Jan 21  2016,49.34,49.75,50.22,49.01,2.67M,0.45%
Jan 20  2016,49.12,49.15,49.76,47.42,2.22M,-1.15%
Jan 19  2016,49.69,49.72,49.84,48.81,1.76M,2.50%
Jan 18  2016,48.48,48.36,49.14,48.12,206.19K,-0.62%
Jan 15  2016,48.78,49.46,49.50,48.03,1.44M,-3.88%
Jan 14  2016,50.75,51.00,51.19,49.72,2.14M,-1.82%
Jan 13  2016,51.69,53.85,54.23,51.00,5.45M,2.32%
Jan 12  2016,50.52,51.24,51.67,49.91,1.00M,-0.67%
Jan 11  2016,50.86,50.29,50.95,49.84,881.53K,1.50%
Jan 08  2016,50.11,50.25,51.50,50.05,1.03M,0.74%
Jan 07  2016,49.74,51.01,51.97,49.57,1.59M,-4.97%
Jan 06  2016,52.34,53.67,53.91,51.83,2.10M,-3.70%
Jan 05  2016,54.35,55.69,55.97,54.12,1.05M,-2.42%
Jan 04  2016,55.70,55.21,56.11,54.45,938.94K,-0.75%
Dec 31  2015,56.12,57.04,57.07,55.96,603.74K,-1.92%
Dec 30  2015,57.22,58.00,58.04,57.16,340.76K,-0.63%
Dec 29  2015,57.58,57.64,58.43,57.53,449.56K,-0.69%
Dec 24  2015,57.98,58.14,58.32,57.82,291.42K,-0.24%
Dec 23  2015,58.12,57.80,58.26,57.35,594.84K,0.97%
Dec 22  2015,57.56,58.00,58.02,57.18,551.11K,-0.42%
Dec 21  2015,57.80,57.23,57.85,57.16,758.78K,1.49%
Dec 18  2015,56.95,56.84,57.55,56.74,2.35M,-0.61%
Dec 17  2015,57.30,59.05,59.07,57.29,1.07M,-2.05%
Dec 16  2015,58.50,57.20,58.68,57.11,1.28M,3.07%
Dec 15  2015,56.76,57.04,57.61,56.68,3.95M,0.05%
Dec 14  2015,56.73,57.03,57.39,56.15,1.04M,-0.61%
Dec 11  2015,57.08,58.00,58.07,57.03,976.97K,-2.41%
Dec 10  2015,58.49,57.89,58.78,57.57,901.73K,1.40%
Dec 09  2015,57.68,58.12,58.98,57.21,1.50M,-1.15%
Dec 08  2015,58.35,58.42,58.95,57.92,675.73K,-0.75%
Dec 07  2015,58.79,59.98,60.13,58.63,822.96K,-1.97%
Dec 04  2015,59.97,59.32,60.35,59.02,910.68K,1.28%
Dec 03  2015,59.21,60.65,60.78,59.03,859.00K,-1.82%
Dec 02  2015,60.31,61.43,61.82,60.21,1.11M,-1.76%
Dec 01  2015,61.39,61.53,61.98,60.94,1.32M,1.07%
Nov 30  2015,60.74,60.20,60.77,59.72,1.67M,1.05%
Nov 27  2015,60.11,59.99,60.20,59.26,515.28K,0.27%
Nov 26  2015,59.95,59.95,60.05,59.78,124.01K,0.28%
Nov 25  2015,59.78,59.45,60.17,59.44,843.44K,0.62%
Nov 24  2015,59.41,58.55,59.88,58.44,1.68M,0.54%
Nov 23  2015,59.09,59.81,59.95,59.05,839.78K,-1.43%
Nov 20  2015,59.95,60.40,60.40,59.70,1.63M,0.08%
Nov 19  2015,59.90,60.07,60.25,59.41,1.66M,0.12%
Nov 18  2015,59.83,59.15,60.07,58.86,1.25M,2.36%
Nov 17  2015,58.45,58.40,58.61,57.83,649.89K,0.43%
Nov 16  2015,58.20,57.97,58.36,57.23,1.84M,0.73%
Nov 13  2015,57.78,59.25,59.35,57.68,1.28M,-2.42%
Nov 12  2015,59.21,60.29,60.49,59.15,1.65M,-2.07%
Nov 11  2015,60.46,61.50,61.88,60.40,1.37M,-1.75%
Nov 10  2015,61.54,62.75,62.83,61.43,1.37M,-2.15%
Nov 09  2015,62.89,64.34,64.34,62.89,1.53M,-1.93%
Nov 06  2015,64.13,63.25,64.52,62.77,1.32M,2.74%
Nov 05  2015,62.42,63.73,63.74,59.46,4.86M,-10.25%
Nov 04  2015,69.55,70.00,70.16,69.30,714.05K,-0.27%
Nov 03  2015,69.74,69.96,70.00,69.06,723.70K,-0.53%
Nov 02  2015,70.11,69.01,70.17,68.84,925.48K,1.67%
Oct 30  2015,68.96,69.37,69.86,68.92,1.33M,-0.62%
Oct 29  2015,69.39,70.62,70.90,69.25,1.01M,-2.38%
Oct 28  2015,71.08,70.32,71.10,69.27,657.20K,1.86%
Oct 27  2015,69.78,70.22,70.58,69.45,828.64K,-0.89%
Oct 26  2015,70.41,70.40,70.59,70.06,846.07K,0.30%
Oct 23  2015,70.20,69.89,70.64,69.77,1.09M,2.01%
Oct 22  2015,68.82,67.57,68.97,67.09,967.20K,1.99%
Oct 21  2015,67.48,66.97,67.67,66.96,737.74K,1.17%
Oct 20  2015,66.70,65.39,66.85,65.18,843.38K,2.18%
Oct 19  2015,65.28,64.62,65.28,64.42,471.24K,0.79%
Oct 16  2015,64.77,65.07,65.21,64.28,544.97K,0.26%
Oct 15  2015,64.60,65.23,65.63,64.20,641.12K,0.03%
Oct 14  2015,64.58,64.47,65.46,64.34,946.91K,0.17%
Oct 13  2015,64.47,65.80,65.93,64.43,749.34K,-1.53%
Oct 09  2015,65.47,64.23,65.82,64.15,1.13M,2.03%
Oct 08  2015,64.17,64.50,64.66,63.42,1.02M,-0.31%
Oct 07  2015,64.37,63.42,64.48,63.20,1.05M,2.24%
Oct 06  2015,62.96,64.39,64.58,62.95,782.04K,-2.21%
Oct 05  2015,64.38,64.37,64.80,64.16,933.70K,0.70%
Oct 02  2015,63.93,63.22,64.06,62.72,823.40K,0.44%
Oct 01  2015,63.65,64.61,64.63,63.00,999.03K,-0.56%
Sep 30  2015,64.01,62.47,64.09,62.47,1.96M,3.74%
Sep 29  2015,61.70,60.92,61.91,60.53,1.47M,1.26%
Sep 28  2015,60.93,62.16,62.39,60.72,1.22M,-2.93%
Sep 25  2015,62.77,63.07,63.80,62.68,1.67M,0.46%
Sep 24  2015,62.48,60.37,62.95,57.95,2.46M,1.05%
Sep 23  2015,61.83,61.45,62.42,60.47,1.31M,-0.82%
Sep 22  2015,62.34,64.14,64.37,60.18,2.15M,-4.93%
Sep 21  2015,65.57,65.90,66.06,64.05,1.35M,-0.43%
Sep 18  2015,65.85,65.85,66.64,65.19,3.20M,-1.57%
Sep 17  2015,66.90,66.80,67.52,66.16,680.26K,0.15%
Sep 16  2015,66.80,65.73,66.95,65.26,805.05K,1.84%
Sep 15  2015,65.59,64.75,65.75,64.42,693.16K,1.60%
Sep 14  2015,64.56,65.90,65.90,64.53,700.12K,-2.17%
Sep 11  2015,65.99,64.45,65.99,64.38,844.65K,2.06%
Sep 10  2015,64.66,63.92,65.34,63.92,607.07K,0.45%
Sep 09  2015,64.37,64.90,65.58,64.23,1.07M,1.04%
Sep 08  2015,63.71,63.54,64.58,63.24,710.30K,1.66%
Sep 04  2015,62.67,62.87,62.96,62.22,786.52K,-1.65%
Sep 03  2015,63.72,63.71,64.37,63.40,638.32K,0.16%
Sep 02  2015,63.62,63.01,63.67,62.60,909.21K,1.71%
Sep 01  2015,62.55,63.33,63.34,62.02,1.55M,-3.65%
