Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,32.51,32.52,32.56,32.24,109.11K,-0.28%
Apr 18  2016,32.60,32.42,32.76,32.33,761.25K,0.25%
Apr 15  2016,32.52,32.25,32.56,32.24,195.94K,0.65%
Apr 14  2016,32.31,32.24,32.39,32.15,106.53K,-0.03%
Apr 13  2016,32.32,32.35,32.53,32.11,213.44K,-0.37%
Apr 12  2016,32.44,32.71,32.81,32.32,266.53K,-0.92%
Apr 11  2016,32.74,32.63,32.85,32.53,176.15K,0.21%
Apr 08  2016,32.67,32.45,32.72,32.29,322.42K,1.11%
Apr 07  2016,32.31,32.15,32.54,32.06,166.09K,0.40%
Apr 06  2016,32.18,32.31,32.44,32.07,156.72K,-0.28%
Apr 05  2016,32.27,32.47,32.50,32.04,182.34K,-0.77%
Apr 04  2016,32.52,32.30,32.59,32.15,188.45K,0.59%
Apr 01  2016,32.33,32.08,32.39,32.08,210.66K,0.12%
Mar 31  2016,32.29,32.05,32.33,32.01,254.14K,0.59%
Mar 30  2016,32.10,32.20,32.63,32.02,462.68K,-0.31%
Mar 29  2016,32.20,31.74,32.43,31.74,240.91K,0.06%
Mar 28  2016,32.18,32.17,32.30,32.01,193.19K,0.19%
Mar 24  2016,32.12,31.63,32.41,31.60,293.65K,0.25%
Mar 23  2016,32.04,31.75,32.04,31.39,414.82K,-0.50%
Mar 22  2016,32.20,32.10,32.55,32.10,247.48K,-0.12%
Mar 21  2016,32.24,32.09,32.42,32.09,562.61K,0.44%
Mar 18  2016,32.10,31.88,32.71,31.84,3.36M,0.75%
Mar 17  2016,31.86,31.63,32.11,31.63,1.08M,0.06%
Mar 16  2016,31.84,31.83,32.06,31.41,1.07M,-0.34%
Mar 15  2016,31.95,32.76,33.05,31.76,714.67K,-2.80%
Mar 14  2016,32.87,33.00,33.20,32.48,1.76M,-0.69%
Mar 11  2016,33.10,33.21,33.29,33.04,305.39K,0.00%
Mar 10  2016,33.10,33.00,33.43,33.00,401.73K,-1.16%
Mar 09  2016,33.49,33.30,33.60,33.30,230.17K,0.54%
Mar 08  2016,33.31,33.23,33.70,33.23,268.00K,0.21%
Mar 07  2016,33.24,33.29,33.40,33.03,246.44K,-0.24%
Mar 04  2016,33.32,33.22,33.39,33.05,235.38K,0.09%
Mar 03  2016,33.29,33.15,33.46,33.01,200.06K,0.06%
Mar 02  2016,33.27,33.15,33.43,33.12,249.48K,0.24%
Mar 01  2016,33.19,33.58,33.85,33.15,273.45K,-1.60%
Feb 29  2016,33.73,33.50,33.97,33.50,592.15K,0.69%
Feb 26  2016,33.50,33.61,33.61,33.17,573.96K,-0.42%
Feb 25  2016,33.64,33.08,33.68,33.04,354.21K,1.69%
Feb 24  2016,33.08,33.13,33.30,32.94,289.29K,-0.93%
Feb 23  2016,33.39,32.38,33.45,32.38,1.09M,3.25%
Feb 22  2016,32.34,32.07,32.53,32.07,270.39K,0.22%
Feb 19  2016,32.27,32.07,32.42,32.05,204.99K,0.22%
Feb 18  2016,32.20,31.91,32.43,31.90,600.81K,0.78%
Feb 17  2016,31.95,32.05,32.19,31.65,296.06K,-0.25%
Feb 16  2016,32.03,31.56,32.19,31.54,294.75K,-0.06%
Feb 12  2016,32.05,31.55,32.14,31.53,702.30K,0.72%
Feb 11  2016,31.82,31.39,31.87,30.98,468.26K,0.38%
Feb 10  2016,31.70,31.33,32.00,31.11,616.87K,1.28%
Feb 09  2016,31.30,30.07,31.34,30.07,800.76K,3.13%
Feb 08  2016,30.35,30.49,30.57,29.60,433.54K,-2.29%
Feb 05  2016,31.06,31.06,31.69,30.71,571.99K,0.00%
Feb 04  2016,31.06,30.73,31.21,30.72,435.67K,0.36%
Feb 03  2016,30.95,30.48,30.99,30.47,286.68K,1.58%
Feb 02  2016,30.47,30.14,30.50,30.11,347.43K,0.30%
Feb 01  2016,30.38,30.30,30.41,29.92,323.23K,0.66%
Jan 29  2016,30.18,29.60,30.25,29.52,480.65K,2.24%
Jan 28  2016,29.52,29.30,29.64,29.30,447.06K,0.24%
Jan 27  2016,29.45,29.92,29.96,29.39,415.23K,-1.44%
Jan 26  2016,29.88,29.56,29.94,29.49,757.10K,0.61%
Jan 25  2016,29.70,29.62,29.79,29.45,550.65K,0.20%
Jan 22  2016,29.64,29.00,29.68,28.97,1.68M,3.46%
Jan 21  2016,28.65,28.97,29.02,28.40,471.80K,-1.17%
Jan 20  2016,28.99,28.77,29.13,28.51,298.17K,-0.38%
Jan 19  2016,29.10,28.79,29.50,28.79,954.60K,0.76%
Jan 18  2016,28.88,29.00,29.23,28.73,162.93K,-0.45%
Jan 15  2016,29.01,29.42,29.54,29.00,493.80K,-2.52%
Jan 14  2016,29.76,29.80,29.80,29.31,183.07K,-0.27%
Jan 13  2016,29.84,30.30,30.30,29.75,395.23K,-1.29%
Jan 12  2016,30.23,29.85,30.28,29.85,648.81K,1.34%
Jan 11  2016,29.83,29.35,29.91,29.35,168.74K,0.13%
Jan 08  2016,29.79,30.17,30.20,29.72,111.75K,-0.60%
Jan 07  2016,29.97,30.20,30.43,29.82,207.72K,-1.25%
Jan 06  2016,30.35,30.12,30.45,30.11,165.92K,0.07%
Jan 05  2016,30.33,30.06,30.41,30.06,177.72K,0.63%
Jan 04  2016,30.14,29.49,30.18,29.47,233.45K,1.24%
Dec 31  2015,29.77,30.33,30.34,29.77,199.22K,-1.85%
Dec 30  2015,30.33,30.40,30.49,30.17,191.10K,-0.49%
Dec 29  2015,30.48,29.96,30.60,29.96,275.97K,1.46%
Dec 24  2015,30.04,30.28,30.59,30.01,162.65K,-1.25%
Dec 23  2015,30.42,30.43,30.52,30.25,130.10K,-0.10%
Dec 22  2015,30.45,30.48,30.54,30.13,151.76K,-0.29%
Dec 21  2015,30.54,29.96,30.55,29.96,621.39K,0.83%
Dec 18  2015,30.29,29.44,30.36,29.42,852.42K,2.16%
Dec 17  2015,29.65,29.01,29.69,28.68,496.46K,2.14%
Dec 16  2015,29.03,28.76,29.22,28.75,328.31K,1.08%
Dec 15  2015,28.72,28.48,28.79,28.35,199.34K,0.88%
Dec 14  2015,28.47,28.24,28.48,28.15,208.64K,0.42%
Dec 11  2015,28.35,28.45,28.45,28.17,220.25K,-1.73%
Dec 10  2015,28.85,28.47,28.95,28.47,212.71K,1.33%
Dec 09  2015,28.47,29.07,29.18,28.33,227.48K,-2.50%
Dec 08  2015,29.20,29.45,29.75,29.00,263.67K,-1.22%
Dec 07  2015,29.56,29.47,29.99,29.47,151.66K,-0.47%
Dec 04  2015,29.70,29.65,29.93,29.40,143.01K,0.44%
Dec 03  2015,29.57,29.61,29.74,29.33,214.37K,0.00%
Dec 02  2015,29.57,30.00,30.08,29.42,194.21K,-1.76%
Dec 01  2015,30.10,30.26,30.32,30.10,189.95K,-0.63%
Nov 30  2015,30.29,30.22,30.35,30.08,122.73K,0.17%
Nov 27  2015,30.24,30.00,30.24,29.95,117.07K,0.33%
Nov 26  2015,30.14,30.13,30.26,30.01,76.04K,-0.20%
Nov 25  2015,30.20,30.04,30.26,29.77,279.91K,-0.23%
Nov 24  2015,30.27,30.20,30.47,29.80,482.73K,0.40%
Nov 23  2015,30.15,29.29,30.19,29.18,642.20K,5.46%
Nov 20  2015,28.59,28.41,28.69,28.29,65.13K,0.81%
Nov 19  2015,28.36,28.27,28.47,28.00,101.46K,0.11%
Nov 18  2015,28.33,28.16,28.47,28.16,77.81K,0.60%
Nov 17  2015,28.16,28.27,28.31,28.00,109.39K,-0.49%
Nov 16  2015,28.30,27.45,28.50,27.45,147.11K,3.06%
Nov 13  2015,27.46,27.82,27.88,27.40,119.38K,-1.54%
Nov 12  2015,27.89,28.45,28.48,27.81,142.85K,-2.14%
Nov 11  2015,28.50,28.42,28.78,28.42,148.34K,0.56%
