Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,18.61,18.46,18.64,18.42,3.73M,0.81%
Apr 18  2016,18.46,18.15,18.56,18.10,4.19M,1.26%
Apr 15  2016,18.23,18.31,18.38,18.17,2.07M,-1.09%
Apr 14  2016,18.43,18.20,18.50,18.20,2.88M,1.32%
Apr 13  2016,18.19,18.00,18.24,17.96,3.23M,2.13%
Apr 12  2016,17.81,17.47,17.95,17.34,4.38M,2.83%
Apr 11  2016,17.32,17.29,17.45,17.26,2.58M,0.64%
Apr 08  2016,17.21,17.30,17.55,17.11,5.69M,0.70%
Apr 07  2016,17.09,17.82,17.85,16.98,7.92M,-5.27%
Apr 06  2016,18.04,17.89,18.04,17.71,3.38M,1.35%
Apr 05  2016,17.80,17.76,17.93,17.49,2.79M,-1.06%
Apr 04  2016,17.99,18.30,18.35,17.94,2.29M,-1.53%
Apr 01  2016,18.27,18.28,18.41,18.10,2.49M,-0.60%
Mar 31  2016,18.38,18.35,18.54,18.32,3.97M,-0.38%
Mar 30  2016,18.45,18.29,18.53,18.17,2.54M,1.99%
Mar 29  2016,18.09,18.50,18.52,18.05,4.13M,-3.11%
Mar 28  2016,18.67,18.51,18.70,18.36,1.94M,1.25%
Mar 24  2016,18.44,18.50,18.52,18.17,2.70M,-1.07%
Mar 23  2016,18.64,18.95,18.95,18.54,2.24M,-0.16%
Mar 22  2016,18.67,18.78,18.85,18.65,2.87M,-1.84%
Mar 21  2016,19.02,18.49,19.03,18.48,3.31M,2.92%
Mar 18  2016,18.48,18.58,18.74,18.43,8.83M,-0.75%
Mar 17  2016,18.62,18.45,18.69,18.29,3.59M,0.98%
Mar 16  2016,18.44,18.75,18.93,18.43,3.30M,-1.07%
Mar 15  2016,18.64,18.70,18.78,18.40,3.54M,-0.64%
Mar 14  2016,18.76,18.84,19.07,18.72,2.99M,-0.64%
Mar 11  2016,18.88,18.43,18.88,18.31,3.39M,3.51%
Mar 10  2016,18.24,18.50,18.55,18.06,3.70M,-0.55%
Mar 09  2016,18.34,18.45,18.49,18.13,4.73M,0.33%
Mar 08  2016,18.28,18.43,18.54,18.05,3.59M,-1.19%
Mar 07  2016,18.50,18.38,18.70,18.28,3.79M,0.38%
Mar 04  2016,18.43,18.42,18.58,18.31,4.34M,0.22%
Mar 03  2016,18.39,18.66,18.93,18.36,4.62M,-1.24%
Mar 02  2016,18.62,18.80,18.97,18.38,4.29M,-1.27%
Mar 01  2016,18.86,18.27,18.88,18.26,5.27M,4.14%
Feb 29  2016,18.11,17.97,18.18,17.79,5.41M,1.23%
Feb 26  2016,17.89,17.70,18.11,17.62,4.08M,2.05%
Feb 25  2016,17.53,17.28,17.54,17.14,3.67M,2.04%
Feb 24  2016,17.18,17.16,17.28,16.72,5.90M,-1.60%
Feb 23  2016,17.46,17.70,17.79,17.28,6.18M,-0.74%
Feb 22  2016,17.59,17.75,17.84,17.56,5.84M,0.23%
Feb 19  2016,17.55,17.76,17.80,17.24,5.84M,-2.50%
Feb 18  2016,18.00,18.00,18.09,17.48,6.42M,0.67%
Feb 17  2016,17.88,16.95,18.00,16.90,9.49M,7.52%
Feb 16  2016,16.63,16.67,16.69,16.02,6.99M,1.96%
Feb 12  2016,16.31,16.22,16.31,15.92,6.70M,2.97%
Feb 11  2016,15.84,16.91,16.92,15.32,14.76M,-8.49%
Feb 10  2016,17.31,17.65,17.81,17.23,4.50M,-1.31%
Feb 09  2016,17.54,18.00,18.06,17.22,6.50M,-3.84%
Feb 08  2016,18.24,18.50,18.54,18.11,4.38M,-2.88%
Feb 05  2016,18.78,18.69,19.02,18.60,4.72M,0.64%
Feb 04  2016,18.66,18.15,18.78,18.15,3.91M,2.75%
Feb 03  2016,18.16,18.42,18.46,17.83,4.48M,-0.27%
Feb 02  2016,18.21,18.59,18.67,18.02,6.00M,-5.21%
Feb 01  2016,19.21,19.21,19.32,18.94,2.41M,-1.34%
Jan 29  2016,19.47,19.25,19.47,18.83,5.66M,1.78%
Jan 28  2016,19.13,18.81,19.13,18.52,3.33M,3.41%
Jan 27  2016,18.50,18.41,18.85,18.32,3.94M,0.49%
Jan 26  2016,18.41,18.30,18.53,18.21,2.58M,1.10%
Jan 25  2016,18.21,18.71,18.71,18.12,3.00M,-2.67%
Jan 22  2016,18.71,18.78,18.88,18.51,3.53M,2.46%
Jan 21  2016,18.26,17.78,18.42,17.72,5.12M,2.87%
Jan 20  2016,17.75,17.80,18.05,17.13,5.28M,-1.61%
Jan 19  2016,18.04,18.24,18.28,17.92,4.29M,1.01%
Jan 18  2016,17.86,17.95,18.11,17.85,1.45M,-1.00%
Jan 15  2016,18.04,18.20,18.41,17.84,10.05M,-4.14%
Jan 14  2016,18.82,18.50,18.92,18.22,3.85M,1.62%
Jan 13  2016,18.52,18.96,19.15,18.48,6.71M,-1.65%
Jan 12  2016,18.83,19.04,19.16,18.47,3.69M,-0.58%
