Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,26.83,26.56,26.87,26.42,173.30K,0.75%
Apr 18  2016,26.63,26.29,26.84,26.29,194.69K,0.53%
Apr 15  2016,26.49,25.92,26.50,25.83,263.50K,2.20%
Apr 14  2016,25.92,26.46,26.47,25.91,277.58K,-2.15%
Apr 13  2016,26.49,26.90,26.90,26.26,157.33K,-1.23%
Apr 12  2016,26.82,26.92,27.05,26.70,156.10K,-0.26%
Apr 11  2016,26.89,27.16,27.16,26.74,155.63K,-0.74%
Apr 08  2016,27.09,27.40,27.50,26.87,223.52K,-0.84%
Apr 07  2016,27.32,27.44,27.60,27.08,313.61K,-0.40%
Apr 06  2016,27.43,27.22,27.64,27.12,324.74K,0.66%
Apr 05  2016,27.25,27.33,27.51,26.93,212.19K,-0.80%
Apr 04  2016,27.47,28.03,28.03,27.19,215.25K,-1.47%
Apr 01  2016,27.88,26.99,28.38,26.92,810.39K,2.69%
Mar 31  2016,27.15,27.25,27.25,26.90,288.35K,-0.07%
Mar 30  2016,27.17,27.30,27.32,27.13,383.23K,-0.11%
Mar 29  2016,27.20,27.12,27.30,27.04,236.67K,0.26%
Mar 28  2016,27.13,27.02,27.18,26.90,108.48K,0.52%
Mar 24  2016,26.99,27.05,27.24,26.76,164.95K,-0.88%
Mar 23  2016,27.23,27.24,27.32,26.93,266.36K,0.00%
Mar 22  2016,27.23,26.98,27.26,26.98,240.02K,0.63%
Mar 21  2016,27.06,27.20,27.33,26.86,269.36K,0.22%
Mar 18  2016,27.00,27.15,27.28,26.80,511.72K,-0.30%
Mar 17  2016,27.08,26.83,27.20,26.76,291.08K,1.04%
Mar 16  2016,26.80,26.79,26.85,26.63,358.12K,0.07%
Mar 15  2016,26.78,27.02,27.07,26.65,267.86K,-1.14%
Mar 14  2016,27.09,27.23,27.37,26.81,537.72K,-0.51%
Mar 11  2016,27.23,26.67,27.42,26.64,633.91K,2.41%
Mar 10  2016,26.59,26.55,26.95,26.46,694.60K,0.30%
Mar 09  2016,26.51,26.24,26.52,26.15,470.37K,1.18%
Mar 08  2016,26.20,26.39,26.60,26.10,726.69K,0.00%
Mar 07  2016,26.20,26.25,26.61,26.09,673.89K,-0.08%
Mar 04  2016,26.22,25.87,26.82,25.76,1.15M,1.67%
Mar 03  2016,25.79,26.04,26.28,25.46,1.01M,-0.73%
Mar 02  2016,25.98,24.85,26.47,24.85,1.29M,5.40%
Mar 01  2016,24.65,24.65,25.44,24.50,717.08K,8.07%
Feb 29  2016,22.81,22.95,22.96,22.62,267.81K,-0.39%
Feb 26  2016,22.90,23.27,23.34,22.82,464.05K,-0.99%
Feb 25  2016,23.13,22.95,23.19,22.75,490.10K,0.70%
Feb 24  2016,22.97,22.77,23.11,22.55,261.51K,0.13%
Feb 23  2016,22.94,23.06,23.24,22.82,296.68K,-0.82%
Feb 22  2016,23.13,23.56,23.58,23.10,301.16K,-1.03%
Feb 19  2016,23.37,23.52,23.63,23.33,295.21K,-0.89%
Feb 18  2016,23.58,23.70,23.89,23.52,173.90K,-0.76%
Feb 17  2016,23.76,23.14,23.87,23.05,153.70K,3.04%
Feb 16  2016,23.06,22.75,23.20,22.64,135.47K,1.95%
Feb 12  2016,22.62,22.89,22.89,22.47,185.78K,-0.70%
Feb 11  2016,22.78,22.65,23.00,22.54,197.04K,-0.96%
Feb 10  2016,23.00,22.47,23.04,22.47,674.17K,2.95%
Feb 09  2016,22.34,21.91,22.67,21.91,345.96K,0.99%
Feb 08  2016,22.12,22.54,22.54,21.91,321.04K,-2.94%
Feb 05  2016,22.79,22.43,22.90,22.43,383.56K,0.97%
Feb 04  2016,22.57,22.38,22.79,22.38,130.37K,0.04%
Feb 03  2016,22.56,22.72,22.80,22.48,166.28K,-0.53%
Feb 02  2016,22.68,22.95,22.95,22.47,171.31K,-1.99%
Feb 01  2016,23.14,22.75,23.29,22.33,324.90K,1.40%
Jan 29  2016,22.82,22.48,22.88,22.44,534.75K,1.65%
Jan 28  2016,22.45,22.27,22.52,22.22,158.37K,0.54%
Jan 27  2016,22.33,22.35,22.50,22.20,151.11K,-0.09%
Jan 26  2016,22.35,22.62,22.62,22.26,244.82K,-1.11%
Jan 25  2016,22.60,22.65,22.75,22.54,314.16K,-0.35%
Jan 22  2016,22.68,22.38,22.76,22.20,239.26K,2.30%
Jan 21  2016,22.17,22.17,22.35,21.86,152.94K,-0.09%
Jan 20  2016,22.19,22.16,22.43,21.85,413.36K,-0.94%
Jan 19  2016,22.40,22.51,22.52,22.26,316.20K,0.67%
Jan 18  2016,22.25,22.18,22.71,22.08,89.27K,-1.37%
Jan 15  2016,22.56,22.80,23.21,22.48,223.44K,-2.38%
Jan 14  2016,23.11,22.97,23.29,22.60,319.48K,-0.09%
Jan 13  2016,23.13,23.20,23.42,23.02,307.53K,0.17%
Jan 12  2016,23.09,23.05,23.28,22.88,492.69K,0.48%
Jan 11  2016,22.98,22.99,23.07,22.77,169.48K,0.04%
Jan 08  2016,22.97,22.81,23.06,22.81,327.23K,0.92%
Jan 07  2016,22.76,23.18,23.33,22.70,321.10K,-2.86%
Jan 06  2016,23.43,23.22,23.74,23.14,189.81K,0.09%
Jan 05  2016,23.41,23.56,23.79,23.39,202.84K,-0.64%
Jan 04  2016,23.56,23.56,23.75,23.34,270.01K,-0.84%
Dec 31  2015,23.76,23.88,24.04,23.56,173.20K,-0.75%
Dec 30  2015,23.94,23.97,24.11,23.75,167.78K,-0.08%
Dec 29  2015,23.96,23.68,24.20,23.68,192.07K,0.84%
Dec 24  2015,23.76,23.58,23.97,23.58,119.73K,1.32%
Dec 23  2015,23.45,23.36,23.62,23.25,341.35K,0.90%
Dec 22  2015,23.24,23.32,23.41,23.01,235.55K,-0.09%
Dec 21  2015,23.26,23.04,23.53,23.03,180.56K,1.35%
Dec 18  2015,22.95,22.74,23.13,22.61,417.14K,0.66%
Dec 17  2015,22.80,22.85,22.95,22.46,231.22K,-0.18%
Dec 16  2015,22.84,22.11,22.99,22.11,328.71K,3.58%
Dec 15  2015,22.05,21.86,22.10,21.42,291.98K,1.33%
Dec 14  2015,21.76,21.64,21.90,21.48,298.51K,0.09%
Dec 11  2015,21.74,21.44,21.88,21.44,119.50K,0.14%
Dec 10  2015,21.71,21.54,21.88,21.50,302.97K,0.37%
Dec 09  2015,21.63,21.93,22.02,21.56,201.09K,-1.86%
Dec 08  2015,22.04,21.85,22.09,21.83,152.63K,0.14%
Dec 07  2015,22.01,22.19,22.56,21.93,144.01K,-1.30%
Dec 04  2015,22.30,22.04,22.39,22.04,131.51K,1.04%
Dec 03  2015,22.07,22.26,22.37,21.93,161.59K,-0.81%
Dec 02  2015,22.25,22.33,22.52,22.10,155.60K,-0.89%
Dec 01  2015,22.45,22.39,22.58,22.13,217.86K,0.22%
Nov 30  2015,22.40,22.07,22.50,21.88,246.46K,1.50%
Nov 27  2015,22.07,21.91,22.11,21.68,119.67K,0.55%
Nov 26  2015,21.95,21.76,22.00,21.56,82.00K,1.90%
Nov 25  2015,21.54,21.03,21.66,21.03,248.42K,1.60%
Nov 24  2015,21.20,21.04,21.31,20.88,174.15K,0.66%
Nov 23  2015,21.06,20.69,21.19,20.69,117.16K,1.35%
Nov 20  2015,20.78,20.94,20.94,20.58,123.84K,-0.24%
Nov 19  2015,20.83,21.13,21.13,20.83,123.51K,-1.47%
Nov 18  2015,21.14,20.52,21.17,20.50,309.97K,2.92%
Nov 17  2015,20.54,20.36,20.57,20.36,116.42K,0.44%
Nov 16  2015,20.45,19.70,20.54,19.51,198.37K,3.13%
Nov 13  2015,19.83,19.76,20.02,19.76,136.89K,-0.10%
Nov 12  2015,19.85,20.41,20.59,19.80,260.14K,-3.22%
Nov 11  2015,20.51,20.56,20.73,20.50,133.89K,-0.58%
Nov 10  2015,20.63,20.69,20.77,20.57,273.69K,-0.29%
Nov 09  2015,20.69,20.79,20.95,20.61,116.75K,-0.86%
Nov 06  2015,20.87,20.80,20.94,20.74,102.98K,0.48%
Nov 05  2015,20.77,20.80,20.98,20.74,255.61K,-0.38%
Nov 04  2015,20.85,21.01,21.07,20.74,155.83K,-0.52%
Nov 03  2015,20.96,20.93,21.07,20.75,308.69K,0.38%
Nov 02  2015,20.88,20.78,20.93,20.44,333.51K,0.43%
Oct 30  2015,20.79,20.94,21.11,20.60,777.25K,-0.43%
Oct 29  2015,20.88,21.50,21.50,20.70,698.91K,-7.16%
Oct 28  2015,22.49,21.76,22.49,21.74,229.47K,3.55%
Oct 27  2015,21.72,22.35,22.51,21.68,233.82K,-3.68%
Oct 26  2015,22.55,22.72,22.72,22.47,165.90K,-0.79%
Oct 23  2015,22.73,22.08,22.80,22.08,211.41K,3.27%
Oct 22  2015,22.01,21.66,22.30,21.66,335.58K,3.63%
Oct 21  2015,21.24,21.38,21.63,21.23,216.04K,-0.23%
Oct 20  2015,21.29,21.27,21.42,21.25,104.41K,0.00%
Oct 19  2015,21.29,21.21,21.32,21.11,71.37K,0.24%
Oct 16  2015,21.24,21.04,21.33,21.02,219.47K,1.29%
Oct 15  2015,20.97,20.77,21.18,20.77,197.23K,0.96%
Oct 14  2015,20.77,21.39,21.59,20.74,227.14K,-3.13%
Oct 13  2015,21.44,21.59,21.75,21.40,182.42K,-0.37%
Oct 09  2015,21.52,21.85,21.92,21.48,196.30K,-1.51%
Oct 08  2015,21.85,21.63,21.90,21.62,125.38K,0.97%
Oct 07  2015,21.64,21.79,21.87,21.60,140.49K,-0.96%
Oct 06  2015,21.85,22.13,22.17,21.77,203.13K,-1.18%
Oct 05  2015,22.11,21.86,22.26,21.78,315.95K,1.75%
Oct 02  2015,21.73,21.89,21.89,21.60,267.27K,-1.18%
Oct 01  2015,21.99,22.10,22.10,21.60,168.76K,-0.18%
Sep 30  2015,22.03,21.78,22.11,21.70,322.01K,1.66%
Sep 29  2015,21.67,21.76,21.91,21.56,411.36K,-0.23%
Sep 28  2015,21.72,22.00,22.20,21.52,242.09K,-1.54%
Sep 25  2015,22.06,22.26,22.52,22.02,208.86K,-0.81%
Sep 24  2015,22.24,22.42,22.69,22.23,195.08K,-1.51%
Sep 23  2015,22.58,22.73,22.75,22.45,117.64K,-0.44%
Sep 22  2015,22.68,22.71,22.88,22.56,164.61K,-1.00%
Sep 21  2015,22.91,22.65,23.09,22.56,366.65K,1.15%
Sep 18  2015,22.65,22.49,22.77,22.37,311.14K,-0.09%
Sep 17  2015,22.67,22.44,22.77,22.29,476.97K,0.98%
Sep 16  2015,22.45,21.92,22.55,21.92,219.02K,2.46%
Sep 15  2015,21.91,21.98,22.04,21.73,235.41K,-0.09%
Sep 14  2015,21.93,22.05,22.14,21.79,161.78K,-0.77%
Sep 11  2015,22.10,22.22,22.46,22.02,209.48K,-0.99%
Sep 10  2015,22.32,22.34,22.54,22.15,168.32K,-0.13%
Sep 09  2015,22.35,22.31,22.53,22.07,269.83K,0.31%
Sep 08  2015,22.28,22.02,22.40,21.99,194.38K,2.15%
Sep 04  2015,21.81,21.70,22.09,21.61,128.99K,-0.55%
Sep 03  2015,21.93,21.77,22.20,21.62,230.13K,0.73%
Sep 02  2015,21.77,21.54,21.87,21.38,298.18K,1.21%
Sep 01  2015,21.51,21.97,22.11,21.44,269.03K,-3.63%
Aug 31  2015,22.32,22.02,22.45,21.95,282.03K,0.68%
Aug 28  2015,22.17,21.86,22.27,21.86,226.34K,0.86%
Aug 27  2015,21.98,21.89,22.21,21.64,226.27K,0.87%
Aug 26  2015,21.79,21.50,21.89,21.03,243.20K,1.59%
Aug 25  2015,21.45,21.61,21.88,21.25,276.98K,0.94%
Aug 24  2015,21.25,19.03,21.50,19.03,350.82K,-1.44%
Aug 21  2015,21.56,22.11,22.11,21.42,322.76K,-3.10%
Aug 20  2015,22.25,22.02,22.36,22.02,186.71K,-0.18%
Aug 19  2015,22.29,22.93,22.93,22.10,307.99K,-2.75%
Aug 18  2015,22.92,22.91,22.97,22.58,148.07K,-0.22%
Aug 17  2015,22.97,23.00,23.04,22.75,166.41K,-0.56%
Aug 14  2015,23.10,23.18,23.32,22.96,170.14K,-0.99%
Aug 13  2015,23.33,22.79,23.43,22.79,235.04K,1.52%
Aug 12  2015,22.98,23.07,23.14,22.48,186.01K,-1.63%
Aug 11  2015,23.36,23.08,23.43,23.06,255.62K,0.78%
Aug 10  2015,23.18,23.02,23.22,22.89,206.74K,0.70%
Aug 07  2015,23.02,23.17,23.26,22.90,147.15K,-0.52%
Aug 06  2015,23.14,23.46,23.56,23.01,230.96K,-1.70%
Aug 05  2015,23.54,22.64,23.56,22.64,609.27K,3.56%
Aug 04  2015,22.73,22.65,22.96,22.49,421.88K,0.18%
Jul 31  2015,22.69,24.10,24.10,22.56,463.35K,-4.22%
Jul 30  2015,23.69,23.26,23.71,23.20,179.07K,1.50%
Jul 29  2015,23.34,23.20,23.55,23.20,218.43K,0.43%
Jul 28  2015,23.24,23.30,23.35,22.98,157.55K,0.17%
Jul 27  2015,23.20,23.69,23.70,23.18,147.05K,-2.15%
Jul 24  2015,23.71,23.90,24.00,23.64,160.01K,-0.79%
Jul 23  2015,23.90,23.93,23.99,23.80,137.76K,-0.25%
Jul 22  2015,23.96,24.00,24.02,23.72,283.17K,-0.33%
Jul 21  2015,24.04,23.94,24.09,23.93,205.54K,0.21%
Jul 20  2015,23.99,23.92,24.13,23.92,408.15K,-0.08%
Jul 17  2015,24.01,24.00,24.13,23.90,667.86K,0.17%
Jul 16  2015,23.97,24.05,24.24,23.88,205.69K,0.08%
Jul 15  2015,23.95,23.95,24.00,23.89,327.85K,0.08%
Jul 14  2015,23.93,23.79,23.97,23.68,355.47K,0.34%
Jul 13  2015,23.85,23.78,23.90,23.72,135.91K,0.93%
Jul 10  2015,23.63,23.45,23.71,23.43,267.85K,1.03%
Jul 09  2015,23.39,23.77,23.77,23.18,332.38K,-1.06%
Jul 08  2015,23.64,23.66,23.80,23.60,204.80K,-0.25%
Jul 07  2015,23.70,23.40,23.70,23.37,250.27K,1.07%
Jul 06  2015,23.45,23.61,23.74,23.20,297.22K,-1.26%
Jul 03  2015,23.75,23.70,23.78,23.70,35.17K,0.13%
Jul 02  2015,23.72,23.89,23.89,23.61,91.51K,0.13%
Jun 30  2015,23.69,23.48,23.72,23.44,110.73K,0.72%
Jun 29  2015,23.52,23.75,23.75,23.50,151.41K,-1.51%
Jun 26  2015,23.88,23.94,24.03,23.86,106.43K,-0.50%
Jun 25  2015,24.00,23.91,24.02,23.91,408.91K,0.50%
Jun 24  2015,23.88,23.90,23.94,23.77,220.96K,-0.17%
Jun 23  2015,23.92,23.92,24.07,23.86,307.45K,-0.08%
Jun 22  2015,23.94,23.55,23.94,23.55,91.29K,1.74%
Jun 19  2015,23.53,23.53,23.66,23.50,384.89K,-0.25%
Jun 18  2015,23.59,23.65,23.65,23.55,428.58K,-0.08%
Jun 17  2015,23.61,23.70,23.75,23.57,127.52K,-0.34%
Jun 16  2015,23.69,23.55,23.79,23.55,241.53K,0.38%
Jun 15  2015,23.60,23.74,23.74,23.51,113.85K,-0.63%
Jun 12  2015,23.75,23.60,23.83,23.57,128.72K,0.47%
Jun 11  2015,23.64,23.77,23.95,23.61,77.87K,-1.09%
Jun 10  2015,23.90,23.59,23.95,23.59,180.40K,1.31%
Jun 09  2015,23.59,23.55,23.60,23.12,159.14K,0.47%
Jun 08  2015,23.48,23.63,23.69,23.39,134.04K,-0.34%
Jun 05  2015,23.56,23.71,23.85,23.52,184.56K,-0.88%
Jun 04  2015,23.77,23.84,24.20,23.46,299.15K,-0.63%
Jun 03  2015,23.92,23.79,23.97,23.68,322.38K,1.01%
Jun 02  2015,23.68,23.71,23.72,23.37,238.76K,-0.17%
Jun 01  2015,23.72,23.79,23.84,23.53,362.51K,0.30%
May 29  2015,23.65,23.73,23.73,23.38,182.30K,0.04%
May 28  2015,23.64,23.57,23.82,23.51,200.70K,0.68%
May 27  2015,23.48,23.10,23.56,23.10,196.14K,2.22%
May 26  2015,22.97,23.37,23.43,22.81,205.61K,-1.71%
May 25  2015,23.37,23.35,23.50,23.27,79.41K,0.04%
May 22  2015,23.36,23.37,23.40,23.19,144.29K,0.00%
May 21  2015,23.36,23.31,23.44,23.20,112.78K,0.09%
May 20  2015,23.34,23.51,23.72,23.19,217.34K,-0.55%
May 19  2015,23.47,23.05,23.53,23.05,303.64K,0.90%
May 15  2015,23.26,23.03,23.26,23.01,185.42K,1.22%
May 14  2015,22.98,22.75,23.04,22.61,188.15K,1.32%
May 13  2015,22.68,22.58,22.93,22.51,167.46K,0.49%
May 12  2015,22.57,22.48,22.95,22.37,534.89K,-0.35%
May 11  2015,22.65,22.77,22.81,22.55,234.76K,-0.26%
May 08  2015,22.71,22.75,22.89,22.52,171.81K,0.49%
May 07  2015,22.60,22.80,22.92,22.38,279.15K,-1.22%
May 06  2015,22.88,23.74,23.74,22.81,176.87K,-3.05%
May 05  2015,23.60,23.88,23.88,23.50,144.61K,-1.05%
May 04  2015,23.85,23.86,24.05,23.63,255.66K,-0.08%
May 01  2015,23.87,23.08,23.96,23.07,323.83K,3.11%
Apr 30  2015,23.15,23.26,24.07,23.08,704.14K,2.30%
Apr 29  2015,22.63,22.51,22.66,22.19,153.99K,0.31%
Apr 28  2015,22.56,22.66,22.78,22.52,226.29K,-0.27%
Apr 27  2015,22.62,22.75,22.77,22.55,102.75K,-0.26%
Apr 24  2015,22.68,22.75,22.80,22.62,133.99K,0.04%
Apr 23  2015,22.67,22.76,22.82,22.55,285.84K,-0.57%
Apr 22  2015,22.80,22.79,22.89,22.70,332.60K,0.35%
Apr 21  2015,22.72,22.87,22.95,22.68,178.00K,-0.61%
Apr 20  2015,22.86,22.85,23.10,22.85,269.52K,-0.04%
Apr 17  2015,22.87,23.12,23.12,22.72,130.69K,-1.21%
Apr 16  2015,23.15,23.07,23.22,23.05,126.73K,0.56%
Apr 15  2015,23.02,23.04,23.13,22.99,280.37K,0.22%
Apr 14  2015,22.97,23.09,23.14,22.86,88.56K,-0.26%
Apr 13  2015,23.03,23.00,23.08,22.92,89.33K,0.09%
Apr 10  2015,23.01,23.05,23.05,22.82,53.47K,0.00%
Apr 09  2015,23.01,23.24,23.38,22.85,112.38K,-1.12%
Apr 08  2015,23.27,23.29,23.46,23.14,153.80K,-0.30%
Apr 07  2015,23.34,23.39,23.50,23.29,85.34K,-0.43%
Apr 06  2015,23.44,23.18,23.62,23.15,63.64K,1.17%
Apr 02  2015,23.17,23.04,23.28,23.00,154.93K,0.65%
Apr 01  2015,23.02,23.20,23.20,22.84,274.20K,-0.69%
Mar 31  2015,23.18,23.26,23.27,22.93,199.59K,-0.73%
Mar 30  2015,23.35,23.70,23.70,23.26,227.35K,-1.27%
Mar 27  2015,23.65,23.34,23.68,23.34,314.27K,0.68%
Mar 26  2015,23.49,23.47,23.75,23.30,148.88K,-0.13%
Mar 25  2015,23.52,23.74,23.75,23.45,304.32K,-0.34%
Mar 24  2015,23.60,23.08,23.69,23.02,287.67K,2.48%
Mar 23  2015,23.03,22.46,23.13,22.40,585.98K,2.90%
Mar 20  2015,22.38,22.15,22.40,21.94,187.64K,1.45%
Mar 19  2015,22.06,21.98,22.23,21.88,358.74K,0.50%
Mar 18  2015,21.95,21.84,22.10,21.72,147.14K,0.73%
Mar 17  2015,21.79,21.52,21.85,21.46,162.36K,0.41%
Mar 16  2015,21.70,21.65,21.77,21.54,217.76K,0.51%
Mar 13  2015,21.59,21.83,21.93,21.55,118.35K,-1.60%
Mar 12  2015,21.94,21.75,22.08,21.65,137.97K,0.55%
Mar 11  2015,21.82,21.47,21.90,21.47,152.30K,1.54%
Mar 10  2015,21.49,21.52,21.82,21.31,213.82K,-1.69%
Mar 09  2015,21.86,21.77,21.91,21.36,117.44K,0.37%
Mar 06  2015,21.78,22.32,22.37,21.72,157.96K,-2.68%
Mar 05  2015,22.38,22.38,22.51,22.30,135.79K,0.04%
Mar 04  2015,22.37,22.84,22.86,22.30,172.88K,-1.84%
Mar 03  2015,22.79,23.10,23.15,22.66,159.69K,-1.30%
Mar 02  2015,23.09,22.71,23.15,22.71,173.67K,1.72%
