Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,9.79,9.89,9.91,9.77,147.74K,-1.51%
Apr 18  2016,9.94,9.73,10.09,9.73,78.50K,1.84%
Apr 15  2016,9.76,9.83,9.83,9.70,91.06K,-0.71%
Apr 14  2016,9.83,9.87,9.88,9.74,94.36K,0.31%
Apr 13  2016,9.80,9.63,9.85,9.63,146.58K,2.83%
Apr 12  2016,9.53,9.52,9.69,9.46,108.31K,1.49%
Apr 11  2016,9.39,9.40,9.51,9.35,99.89K,0.11%
Apr 08  2016,9.38,9.60,9.71,9.36,124.40K,-1.78%
Apr 07  2016,9.55,9.86,9.87,9.35,165.40K,-3.14%
Apr 06  2016,9.86,9.78,9.86,9.60,135.07K,1.34%
Apr 05  2016,9.73,9.96,9.96,9.59,193.44K,-2.80%
Apr 04  2016,10.01,10.30,10.32,10.00,86.28K,-3.00%
Apr 01  2016,10.32,10.24,10.47,10.17,188.74K,0.58%
Mar 31  2016,10.26,10.27,10.27,10.08,153.05K,1.28%
Mar 30  2016,10.13,10.28,10.28,10.06,119.52K,-0.88%
Mar 29  2016,10.22,10.00,10.25,9.85,92.31K,2.20%
Mar 28  2016,10.00,9.91,10.00,9.71,83.42K,0.91%
Mar 24  2016,9.91,10.00,10.00,9.78,150.38K,-1.49%
Mar 23  2016,10.06,10.00,10.24,9.95,154.18K,-1.57%
Mar 22  2016,10.22,10.48,10.48,10.15,160.83K,-2.76%
Mar 21  2016,10.51,10.60,10.75,10.45,111.09K,-1.50%
Mar 18  2016,10.67,10.53,10.68,10.49,278.16K,1.52%
Mar 17  2016,10.51,10.40,10.60,10.30,201.06K,1.45%
Mar 16  2016,10.36,10.12,10.39,10.12,176.35K,2.07%
Mar 15  2016,10.15,10.29,10.29,10.00,131.99K,-1.84%
Mar 14  2016,10.34,10.38,10.50,10.29,273.27K,-0.29%
Mar 11  2016,10.37,10.14,10.38,10.10,175.96K,3.18%
Mar 10  2016,10.05,9.99,10.14,9.85,236.78K,1.62%
Mar 09  2016,9.89,10.17,10.20,9.89,287.40K,-2.37%
Mar 08  2016,10.13,10.05,10.15,9.91,159.02K,1.10%
Mar 07  2016,10.02,10.18,10.35,9.74,370.99K,-1.09%
Mar 04  2016,10.13,9.89,10.25,9.70,462.68K,7.77%
Mar 03  2016,9.40,9.39,9.62,9.37,178.08K,0.53%
Mar 02  2016,9.35,9.22,9.37,9.18,94.54K,1.30%
Mar 01  2016,9.23,9.00,9.25,8.87,346.51K,4.89%
Feb 29  2016,8.80,9.00,9.06,8.78,279.79K,-1.23%
Feb 26  2016,8.91,8.87,9.12,8.76,558.36K,3.60%
