Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,42.73,42.07,42.82,41.54,750.10K,2.67%
Apr 18  2016,41.62,41.18,42.30,40.64,526.39K,-1.00%
Apr 15  2016,42.04,42.38,42.65,41.92,757.22K,-2.46%
Apr 14  2016,43.10,43.42,43.42,42.35,356.29K,-0.05%
Apr 13  2016,43.12,43.11,44.04,42.75,326.35K,1.60%
Apr 12  2016,42.44,40.07,43.16,39.88,994.91K,7.50%
Apr 11  2016,39.48,40.10,40.62,39.48,490.14K,-0.40%
Apr 08  2016,39.64,40.23,41.03,39.51,314.92K,0.61%
Apr 07  2016,39.40,40.02,40.25,38.76,417.73K,-2.88%
Apr 06  2016,40.57,40.54,40.63,39.19,482.28K,1.83%
Apr 05  2016,39.84,40.01,41.02,39.77,371.96K,-1.58%
Apr 04  2016,40.48,41.74,41.95,40.16,279.08K,-3.16%
Apr 01  2016,41.80,40.82,41.84,40.81,377.21K,0.14%
Mar 31  2016,41.74,41.74,42.52,41.36,486.20K,-1.00%
Mar 30  2016,42.16,43.39,43.87,41.67,342.32K,-1.56%
Mar 29  2016,42.83,41.91,42.93,41.25,278.33K,0.52%
Mar 28  2016,42.61,42.74,42.77,41.34,192.31K,-0.14%
Mar 24  2016,42.67,41.49,42.68,40.70,650.82K,-1.52%
Mar 23  2016,43.33,45.69,45.79,43.02,343.94K,-5.04%
Mar 22  2016,45.63,45.82,46.36,45.30,317.09K,-1.47%
Mar 21  2016,46.31,45.90,46.79,45.12,446.79K,0.46%
Mar 18  2016,46.10,48.39,48.95,45.47,503.67K,-3.66%
Mar 17  2016,47.85,46.98,48.65,46.24,334.76K,3.80%
Mar 16  2016,46.10,45.76,46.78,44.89,390.76K,1.56%
Mar 15  2016,45.39,45.13,45.48,43.45,418.87K,-0.85%
Mar 14  2016,45.78,45.29,45.93,43.95,402.75K,-1.04%
Mar 11  2016,46.26,45.18,47.55,45.18,295.67K,3.35%
Mar 10  2016,44.76,45.82,45.82,43.35,473.06K,-1.34%
Mar 09  2016,45.37,45.76,46.12,44.26,553.51K,0.84%
Mar 08  2016,44.99,47.64,48.20,44.85,396.70K,-6.80%
Mar 07  2016,48.27,46.60,48.93,46.60,482.86K,4.41%
Mar 04  2016,46.23,46.88,48.31,45.68,357.18K,-0.30%
Mar 03  2016,46.37,45.78,46.49,45.45,397.33K,2.16%
Mar 02  2016,45.39,43.66,45.95,43.66,549.48K,5.78%
Mar 01  2016,42.91,43.76,43.76,42.53,409.74K,0.26%
Feb 29  2016,42.80,42.64,43.70,42.23,436.36K,1.30%
Feb 26  2016,42.25,41.44,43.64,41.44,642.27K,5.44%
Feb 25  2016,40.07,40.69,40.86,38.45,564.11K,-1.52%
Feb 24  2016,40.69,39.42,40.77,38.14,483.07K,1.04%
Feb 23  2016,40.27,41.62,41.89,39.97,517.68K,-4.35%
Feb 22  2016,42.10,40.98,43.34,40.95,557.40K,5.25%
Feb 19  2016,40.00,39.75,40.14,38.37,473.02K,-0.87%
Feb 18  2016,40.35,40.94,41.03,39.76,745.40K,0.30%
Feb 17  2016,40.23,38.51,40.59,38.46,644.73K,5.56%
Feb 16  2016,38.11,36.95,38.17,36.58,613.82K,5.16%
Feb 12  2016,36.24,35.68,36.61,34.77,399.18K,3.75%
Feb 11  2016,34.93,35.74,36.56,33.60,471.86K,-3.59%
Feb 10  2016,36.23,35.87,37.55,35.21,525.50K,0.58%
Feb 09  2016,36.02,35.58,36.09,34.33,667.95K,-0.14%
Feb 08  2016,36.07,36.98,37.09,35.58,491.69K,-4.88%
Feb 05  2016,37.92,37.32,38.12,36.11,436.97K,0.42%
Feb 04  2016,37.76,34.58,38.38,34.58,752.44K,10.25%
Feb 03  2016,34.25,33.47,34.35,31.63,677.18K,3.85%
Feb 02  2016,32.98,34.00,34.01,32.15,627.06K,-5.45%
Feb 01  2016,34.88,36.49,36.49,33.79,803.18K,-6.59%
Jan 29  2016,37.34,35.59,37.34,33.49,974.90K,5.69%
Jan 28  2016,35.33,35.17,38.23,34.85,589.16K,-0.34%
Jan 27  2016,35.45,36.40,36.91,34.82,387.92K,-3.04%
Jan 26  2016,36.56,36.12,38.03,36.07,280.22K,1.73%
Jan 25  2016,35.94,38.31,38.51,35.79,380.75K,-6.89%
Jan 22  2016,38.60,38.20,41.51,37.65,432.43K,2.82%
Jan 21  2016,37.54,35.82,38.00,35.49,398.20K,4.92%
Jan 20  2016,35.78,35.48,35.98,33.52,261.00K,-0.56%
Jan 19  2016,35.98,35.83,37.68,35.36,394.79K,0.19%
Jan 18  2016,35.91,37.03,37.19,35.59,120.36K,-3.02%
Jan 15  2016,37.03,36.40,37.44,35.51,384.60K,-2.37%
Jan 14  2016,37.93,35.82,38.11,35.37,364.68K,6.13%
Jan 13  2016,35.74,37.34,37.99,35.35,561.36K,-2.75%
Jan 12  2016,36.75,38.46,38.81,36.14,345.43K,-2.83%
Jan 11  2016,37.82,39.53,39.66,37.52,358.49K,-3.81%
Jan 08  2016,39.32,39.41,40.40,39.16,294.33K,0.33%
Jan 07  2016,39.19,41.51,41.51,39.12,307.09K,-7.77%
Jan 06  2016,42.49,43.76,43.85,42.32,408.05K,-4.52%
Jan 05  2016,44.50,45.68,46.03,43.92,160.15K,-2.92%
Jan 04  2016,45.84,45.19,45.91,44.54,146.73K,0.31%
Dec 31  2015,45.70,46.49,46.49,45.16,130.10K,-1.74%
Dec 30  2015,46.51,48.13,48.78,46.10,179.91K,-3.41%
Dec 29  2015,48.15,48.33,49.16,47.19,117.20K,-1.03%
Dec 24  2015,48.65,49.18,49.25,48.00,71.59K,-0.82%
Dec 23  2015,49.05,46.31,49.10,46.09,322.81K,7.24%
Dec 22  2015,45.74,44.56,46.00,44.27,226.71K,2.72%
Dec 21  2015,44.53,44.68,45.06,43.79,153.67K,-0.20%
Dec 18  2015,44.62,44.93,46.64,44.52,264.96K,-0.25%
Dec 17  2015,44.73,45.64,45.84,44.60,307.12K,-1.78%
Dec 16  2015,45.54,44.98,45.70,44.53,332.50K,2.25%
Dec 15  2015,44.54,44.50,45.69,43.71,296.06K,-0.16%
Dec 14  2015,44.61,47.34,47.34,44.02,678.96K,-8.59%
Dec 11  2015,48.80,50.59,50.60,48.10,297.24K,-5.15%
