Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,42.00,42.69,42.86,41.68,904.52K,-0.71%
Apr 18  2016,42.30,42.37,42.73,42.23,543.83K,-0.91%
Apr 15  2016,42.69,42.20,42.89,42.20,482.45K,1.50%
Apr 14  2016,42.06,42.20,42.49,41.93,532.75K,-0.19%
Apr 13  2016,42.14,42.97,43.09,41.89,444.04K,-1.06%
Apr 12  2016,42.59,42.30,42.93,42.30,666.48K,0.92%
Apr 11  2016,42.20,42.47,42.70,42.12,448.75K,-0.68%
Apr 08  2016,42.49,42.13,42.63,42.11,593.19K,1.29%
Apr 07  2016,41.95,42.06,42.27,41.52,694.51K,-0.31%
Apr 06  2016,42.08,43.69,43.69,41.87,1.42M,-4.15%
Apr 05  2016,43.90,44.85,44.87,43.77,781.98K,-2.36%
Apr 04  2016,44.96,44.75,44.96,44.51,324.95K,0.54%
Apr 01  2016,44.72,45.00,45.15,44.36,595.83K,-0.75%
Mar 31  2016,45.06,45.05,45.29,44.75,911.57K,0.69%
Mar 30  2016,44.75,43.69,45.10,43.60,577.38K,2.97%
Mar 29  2016,43.46,43.57,43.77,43.31,271.01K,-0.23%
Mar 28  2016,43.56,43.26,43.59,43.11,217.08K,0.67%
Mar 24  2016,43.27,42.95,43.50,42.94,289.96K,0.39%
Mar 23  2016,43.10,43.39,43.44,42.84,621.59K,0.23%
Mar 22  2016,43.00,43.25,43.41,42.91,313.96K,-0.92%
Mar 21  2016,43.40,43.27,43.46,42.88,321.41K,0.49%
Mar 18  2016,43.19,43.87,43.94,43.16,1.52M,-1.82%
Mar 17  2016,43.99,44.10,44.33,43.82,537.13K,0.39%
Mar 16  2016,43.82,43.30,44.49,43.21,506.56K,1.08%
Mar 15  2016,43.35,43.35,43.55,42.95,1.14M,0.44%
Mar 14  2016,43.16,43.11,43.62,42.92,771.34K,-0.05%
Mar 11  2016,43.18,43.89,43.89,43.13,529.56K,-0.67%
Mar 10  2016,43.47,44.16,44.16,43.08,518.75K,-0.66%
Mar 09  2016,43.76,44.05,44.56,43.66,549.03K,-0.27%
Mar 08  2016,43.88,43.11,43.91,42.98,501.18K,2.21%
Mar 07  2016,42.93,42.39,43.58,42.12,567.95K,0.89%
Mar 04  2016,42.55,42.95,42.95,42.15,647.98K,-0.63%
Mar 03  2016,42.82,43.05,43.42,42.54,529.36K,-0.51%
Mar 02  2016,43.04,43.63,43.63,42.63,533.58K,-1.37%
Mar 01  2016,43.64,43.25,43.80,42.87,440.04K,0.93%
Feb 29  2016,43.24,43.59,43.78,42.94,842.24K,-0.25%
Feb 26  2016,43.35,42.71,43.44,42.65,554.17K,1.83%
Feb 25  2016,42.57,42.55,42.83,41.98,619.85K,0.21%
Feb 24  2016,42.48,41.98,42.58,41.40,701.80K,0.43%
Feb 23  2016,42.30,41.67,42.40,41.55,471.41K,1.66%
Feb 22  2016,41.61,41.54,42.43,41.52,765.78K,0.36%
Feb 19  2016,41.46,41.31,41.65,41.16,693.61K,-0.12%
Feb 18  2016,41.51,41.49,41.79,41.31,705.20K,0.56%
Feb 17  2016,41.28,40.67,41.43,40.40,631.40K,2.05%
Feb 16  2016,40.45,40.45,41.11,40.11,855.80K,-0.12%
Feb 12  2016,40.50,40.77,40.99,40.09,454.16K,-1.00%
Feb 11  2016,40.91,40.93,41.12,40.32,457.61K,-0.51%
