Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.78,9.00,9.08,8.75,388.80K,-2.88%
Apr 18  2016,9.04,9.19,9.19,8.90,548.99K,-0.77%
Apr 15  2016,9.11,9.46,9.46,9.00,3.77M,-9.62%
Apr 14  2016,10.08,10.44,10.44,9.85,101.02K,-2.61%
Apr 13  2016,10.35,10.33,10.42,10.25,76.91K,2.27%
Apr 12  2016,10.12,10.41,10.41,9.97,201.35K,-2.79%
Apr 11  2016,10.41,10.70,10.75,10.38,196.55K,-2.71%
Apr 08  2016,10.70,10.59,10.80,10.43,295.39K,2.20%
Apr 07  2016,10.47,10.75,10.76,10.28,130.64K,-2.24%
Apr 06  2016,10.71,10.30,10.80,10.13,353.95K,5.73%
Apr 05  2016,10.13,9.95,10.19,9.95,30.27K,0.60%
Apr 04  2016,10.07,10.38,10.39,10.04,53.17K,-1.66%
Apr 01  2016,10.24,10.57,10.64,10.18,137.87K,-3.67%
Mar 31  2016,10.63,10.75,10.79,10.48,78.09K,0.47%
Mar 30  2016,10.58,9.84,10.62,9.84,251.50K,7.19%
Mar 29  2016,9.87,9.90,10.01,9.67,224.53K,0.30%
Mar 28  2016,9.84,9.70,9.90,9.65,38.95K,1.23%
Mar 24  2016,9.72,9.60,9.73,9.37,27.04K,1.14%
Mar 23  2016,9.61,9.41,9.62,9.38,101.84K,0.84%
Mar 22  2016,9.53,9.67,9.81,9.50,231.94K,-2.66%
Mar 21  2016,9.79,9.78,9.92,9.76,43.13K,1.45%
Mar 18  2016,9.65,9.60,9.77,9.57,67.87K,0.00%
Mar 17  2016,9.65,9.56,9.67,9.35,249.64K,0.94%
Mar 16  2016,9.56,9.45,9.68,9.25,766.57K,4.71%
Mar 15  2016,9.13,9.37,9.50,9.06,54.59K,-3.79%
Mar 14  2016,9.49,9.49,9.57,9.27,60.85K,1.50%
Mar 11  2016,9.35,9.25,9.50,9.11,38.29K,1.08%
Mar 10  2016,9.25,9.82,9.82,9.21,91.33K,-4.05%
Mar 09  2016,9.64,9.76,9.76,9.40,78.00K,-0.82%
Mar 08  2016,9.72,9.92,9.93,9.60,85.54K,-1.62%
Mar 07  2016,9.88,9.53,9.88,9.49,81.20K,3.67%
Mar 04  2016,9.53,9.61,9.84,9.53,105.35K,-1.04%
Mar 03  2016,9.63,9.75,9.76,9.55,159.88K,-1.03%
Mar 02  2016,9.73,9.50,9.75,9.50,316.18K,2.42%
Mar 01  2016,9.50,9.73,9.81,9.40,255.31K,-2.96%
Feb 29  2016,9.79,9.37,10.01,9.37,37.10K,1.03%
Feb 26  2016,9.69,9.48,9.91,9.36,57.56K,2.98%
Feb 25  2016,9.41,9.60,9.60,8.63,116.31K,-2.99%
Feb 24  2016,9.70,9.57,9.80,9.44,39.54K,0.83%
Feb 23  2016,9.62,9.52,9.76,9.51,29.13K,1.05%
Feb 22  2016,9.52,9.48,9.71,9.48,82.77K,0.00%
Feb 19  2016,9.52,9.73,9.81,9.45,70.12K,-1.65%
Feb 18  2016,9.68,10.33,10.33,9.56,118.82K,-0.10%
Feb 17  2016,9.69,9.31,10.01,9.31,114.26K,2.32%
Feb 16  2016,9.47,9.82,9.82,9.18,41.72K,4.18%
Feb 12  2016,9.09,9.46,9.46,9.01,31.11K,1.11%
Feb 11  2016,8.99,8.70,9.03,8.61,160.29K,2.86%
Feb 10  2016,8.74,8.95,9.14,8.66,91.06K,-2.35%
Feb 09  2016,8.95,9.00,9.13,8.84,86.49K,-2.51%
Feb 08  2016,9.18,9.75,9.75,8.78,126.51K,-6.33%
Feb 05  2016,9.80,9.61,10.07,9.61,34.84K,-0.81%
Feb 04  2016,9.88,9.63,10.05,9.63,17.34K,1.13%
Feb 03  2016,9.77,9.75,9.80,9.29,52.66K,0.51%
Feb 02  2016,9.72,9.97,9.97,9.68,87.84K,-1.62%
Feb 01  2016,9.88,9.34,10.11,9.34,61.33K,-3.33%
Jan 29  2016,10.22,10.14,10.40,10.03,93.80K,0.79%
Jan 28  2016,10.14,10.41,10.46,10.04,40.16K,-2.22%
Jan 27  2016,10.37,10.49,10.74,10.36,139.27K,-2.45%
Jan 26  2016,10.63,10.52,10.65,10.30,136.61K,1.82%
Jan 25  2016,10.44,10.25,10.55,10.08,170.93K,1.26%
Jan 22  2016,10.31,9.24,10.68,9.24,269.78K,18.92%
Jan 21  2016,8.67,8.89,9.11,8.62,69.45K,-1.14%
Jan 20  2016,8.77,8.96,9.06,8.65,200.73K,-3.52%
Jan 19  2016,9.09,9.26,9.44,8.98,28.20K,-0.98%
Jan 18  2016,9.18,9.82,9.82,9.15,20.44K,-3.27%
Jan 15  2016,9.49,9.44,9.57,9.20,90.96K,-2.27%
Jan 14  2016,9.71,9.68,9.77,9.26,103.03K,2.86%
Jan 13  2016,9.44,9.53,9.65,9.40,112.41K,-0.53%
Jan 12  2016,9.49,9.75,9.85,9.39,117.19K,-2.67%
Jan 11  2016,9.75,10.12,10.12,9.68,119.67K,-3.66%
Jan 08  2016,10.12,10.11,10.23,10.10,148.96K,0.90%
Jan 07  2016,10.03,10.22,10.30,9.93,77.31K,-2.81%
Jan 06  2016,10.32,10.50,10.50,10.25,156.75K,-1.71%
Jan 05  2016,10.50,10.54,10.57,10.38,61.19K,0.10%
Jan 04  2016,10.49,10.64,10.64,10.33,47.64K,-1.69%
Dec 31  2015,10.67,10.68,10.88,10.63,28.36K,-1.30%
Dec 30  2015,10.81,10.52,11.00,10.52,46.99K,-0.55%
Dec 29  2015,10.87,10.86,11.00,10.74,32.80K,-0.64%
Dec 24  2015,10.94,10.76,10.96,10.74,17.24K,1.67%
Dec 23  2015,10.76,10.74,10.81,10.52,90.04K,0.65%
Dec 22  2015,10.69,10.45,10.72,10.45,49.44K,1.81%
Dec 21  2015,10.50,10.40,10.50,10.02,93.33K,0.96%
Dec 18  2015,10.40,10.50,10.59,10.38,251.21K,-1.33%
Dec 17  2015,10.54,10.61,10.75,10.49,63.01K,-0.75%
Dec 16  2015,10.62,10.57,10.68,10.49,79.48K,0.57%
Dec 15  2015,10.56,10.67,10.68,10.54,25.46K,0.28%
Dec 14  2015,10.53,10.45,10.64,10.32,161.86K,0.00%
Dec 11  2015,10.53,10.73,10.77,10.38,106.70K,-2.23%
Dec 10  2015,10.77,10.79,10.90,10.68,160.12K,-0.55%
Dec 09  2015,10.83,10.68,11.01,10.67,94.56K,0.93%
Dec 08  2015,10.73,10.61,10.75,10.44,61.15K,0.85%
Dec 07  2015,10.64,10.69,10.86,10.60,76.28K,-1.75%
Dec 04  2015,10.83,10.94,11.07,10.79,44.21K,-1.28%
Dec 03  2015,10.97,11.01,11.25,10.75,62.86K,-1.97%
Dec 02  2015,11.19,11.40,11.51,11.09,35.24K,-2.36%
Dec 01  2015,11.46,11.72,11.72,11.42,97.97K,-1.38%
Nov 30  2015,11.62,11.45,11.77,11.41,200.36K,1.22%
Nov 27  2015,11.48,11.25,11.48,11.25,48.62K,1.77%
Nov 26  2015,11.28,11.01,11.36,11.01,9.00K,-0.09%
Nov 25  2015,11.29,11.37,11.48,11.29,200.93K,-1.14%
Nov 24  2015,11.42,11.40,11.45,11.31,45.99K,-0.26%
Nov 23  2015,11.45,11.41,11.48,11.33,124.49K,0.44%
Nov 20  2015,11.40,11.32,11.46,11.32,86.33K,0.44%
Nov 19  2015,11.35,11.37,11.46,11.28,135.42K,-0.44%
Nov 18  2015,11.40,11.48,11.48,11.29,110.69K,-1.04%
Nov 17  2015,11.52,11.56,11.60,11.34,61.54K,-0.26%
Nov 16  2015,11.55,11.66,11.76,11.50,139.44K,-1.20%
Nov 13  2015,11.69,11.55,11.74,11.47,201.85K,0.78%
Nov 12  2015,11.60,11.52,11.74,11.50,90.53K,0.00%
Nov 11  2015,11.60,11.57,11.65,11.36,138.97K,0.26%
Nov 10  2015,11.57,11.57,11.62,11.37,324.66K,-0.43%
Nov 09  2015,11.62,11.65,11.77,11.52,131.80K,-0.85%
Nov 06  2015,11.72,11.63,11.77,11.54,201.58K,1.30%
Nov 05  2015,11.57,10.94,11.70,10.66,830.03K,15.24%
Nov 04  2015,10.04,10.07,10.18,9.86,132.12K,-0.40%
Nov 03  2015,10.08,10.27,10.36,10.05,134.63K,-1.95%
Nov 02  2015,10.28,10.12,10.43,10.12,221.36K,0.49%
Oct 30  2015,10.23,10.45,10.53,10.18,94.08K,-2.11%
Oct 29  2015,10.45,10.46,10.58,10.42,21.53K,-0.85%
Oct 28  2015,10.54,10.58,10.66,10.40,156.18K,-0.75%
Oct 27  2015,10.62,10.68,10.68,10.40,132.79K,-0.47%
Oct 26  2015,10.67,10.65,10.76,10.55,57.92K,-0.28%
Oct 23  2015,10.70,10.43,10.80,10.42,161.06K,2.59%
Oct 22  2015,10.43,10.61,10.61,10.30,118.32K,-1.04%
Oct 21  2015,10.54,10.46,10.55,10.29,88.63K,0.57%
Oct 20  2015,10.48,10.40,10.62,10.33,134.15K,0.19%
Oct 19  2015,10.46,10.27,10.53,10.25,32.67K,0.87%
Oct 16  2015,10.37,10.47,10.48,10.17,60.78K,0.39%
Oct 15  2015,10.33,9.87,10.35,9.87,105.72K,5.52%
Oct 14  2015,9.79,9.90,10.01,9.73,115.43K,-1.11%
Oct 13  2015,9.90,10.41,10.41,9.88,82.50K,-6.25%
Oct 09  2015,10.56,10.74,10.84,10.39,329.07K,-1.03%
Oct 08  2015,10.67,9.80,10.93,9.79,1.35M,16.36%
Oct 07  2015,9.17,9.01,9.24,9.01,69.15K,2.34%
Oct 06  2015,8.96,8.99,9.02,8.76,31.02K,0.45%
Oct 05  2015,8.92,8.88,9.03,8.86,37.72K,0.90%
Oct 02  2015,8.84,8.50,8.85,8.50,54.57K,2.79%
Oct 01  2015,8.60,8.63,8.72,8.43,65.57K,0.00%
Sep 30  2015,8.60,8.93,9.04,8.60,241.89K,-3.70%
Sep 29  2015,8.93,9.14,9.17,8.74,79.60K,-1.76%
Sep 28  2015,9.09,8.89,9.12,8.89,98.14K,0.55%
Sep 25  2015,9.04,8.92,9.11,8.92,109.68K,1.35%
Sep 24  2015,8.92,9.19,9.19,8.89,114.67K,-2.73%
Sep 23  2015,9.17,9.30,9.32,9.01,48.34K,-1.29%
Sep 22  2015,9.29,9.46,9.47,9.20,77.27K,-2.21%
Sep 21  2015,9.50,9.66,9.66,9.35,104.97K,2.37%
Sep 18  2015,9.28,9.31,9.47,9.18,318.52K,-1.59%
Sep 17  2015,9.43,9.39,9.56,9.39,49.49K,-0.21%
Sep 16  2015,9.45,9.32,9.50,9.31,30.76K,1.72%
Sep 15  2015,9.29,9.18,9.33,9.09,86.31K,0.98%
Sep 14  2015,9.20,9.37,9.41,9.10,98.47K,-1.08%
Sep 11  2015,9.30,9.37,9.51,9.24,282.30K,-1.69%
Sep 10  2015,9.46,9.40,9.66,9.36,199.35K,-0.21%
Sep 09  2015,9.48,9.30,9.51,9.30,260.56K,2.93%
Sep 08  2015,9.21,9.08,9.31,9.08,107.71K,1.10%
Sep 04  2015,9.11,9.48,9.55,9.08,368.91K,-4.71%
Sep 03  2015,9.56,9.62,9.68,9.35,107.65K,-0.31%
Sep 02  2015,9.59,9.43,9.64,9.41,146.41K,1.05%
Sep 01  2015,9.49,9.59,9.65,9.47,168.78K,-1.96%
Aug 31  2015,9.68,9.64,9.95,9.64,149.55K,-0.92%
Aug 28  2015,9.77,9.80,9.89,9.65,66.37K,-0.10%
Aug 27  2015,9.78,9.78,9.93,9.64,117.53K,0.62%
Aug 26  2015,9.72,9.62,9.76,9.38,130.36K,3.51%
Aug 25  2015,9.39,10.28,10.28,9.35,132.47K,-3.00%
Aug 24  2015,9.68,9.90,10.12,9.66,165.84K,-4.82%
Aug 21  2015,10.17,10.44,10.55,10.05,397.93K,-2.77%
Aug 20  2015,10.46,10.36,10.84,10.29,112.40K,0.48%
Aug 19  2015,10.41,10.59,10.59,10.40,84.25K,-1.70%
Aug 18  2015,10.59,10.69,10.90,10.56,99.63K,-1.94%
Aug 17  2015,10.80,10.30,10.84,10.26,563.42K,3.75%
Aug 14  2015,10.41,10.60,10.62,10.31,410.91K,-1.79%
Aug 13  2015,10.60,10.54,10.79,10.44,1.02M,-1.49%
Aug 12  2015,10.76,11.12,11.12,10.59,445.80K,-4.53%
Aug 11  2015,11.27,11.93,11.93,11.18,689.11K,-2.93%
Aug 10  2015,11.61,11.89,11.89,11.39,457.39K,0.78%
Aug 07  2015,11.52,11.45,11.53,11.16,227.08K,2.04%
Aug 06  2015,11.29,11.10,12.00,10.86,326.62K,-10.33%
Aug 05  2015,12.59,12.61,12.61,12.40,89.54K,-0.16%
Aug 04  2015,12.61,12.34,12.61,12.34,102.58K,1.94%
Jul 31  2015,12.37,12.14,12.50,12.01,101.60K,1.89%
Jul 30  2015,12.14,12.10,12.20,12.02,76.03K,1.08%
Jul 29  2015,12.01,11.52,12.03,11.52,62.27K,3.45%
Jul 28  2015,11.61,11.53,11.69,11.24,117.23K,-0.09%
Jul 27  2015,11.62,11.82,11.82,11.49,76.56K,-2.84%
Jul 24  2015,11.96,11.79,12.00,11.79,65.37K,1.44%
