Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.31,14.40,14.43,14.18,133.75K,0.14%
Apr 18  2016,14.29,13.80,14.42,13.64,157.86K,1.56%
Apr 15  2016,14.07,14.08,14.17,13.96,88.93K,-0.42%
Apr 14  2016,14.13,14.35,14.44,14.12,56.95K,-1.53%
Apr 13  2016,14.35,14.18,14.45,14.05,150.97K,1.13%
Apr 12  2016,14.19,13.91,14.36,13.84,1.67M,2.38%
Apr 11  2016,13.86,13.93,14.16,13.78,73.17K,0.36%
Apr 08  2016,13.81,13.76,13.96,13.76,116.42K,2.30%
Apr 07  2016,13.50,13.65,13.69,13.45,55.21K,-1.03%
Apr 06  2016,13.64,13.57,13.80,13.47,99.33K,1.41%
Apr 05  2016,13.45,13.38,13.81,13.28,96.86K,0.00%
Apr 04  2016,13.45,13.73,13.85,13.40,99.77K,-3.31%
Apr 01  2016,13.91,14.25,14.28,13.82,107.24K,-3.34%
Mar 31  2016,14.39,14.10,14.48,14.10,176.96K,1.91%
Mar 30  2016,14.12,14.40,14.51,14.09,128.03K,-0.70%
Mar 29  2016,14.22,14.15,14.25,13.87,103.20K,0.00%
Mar 28  2016,14.22,14.32,14.41,14.10,85.01K,-0.56%
Mar 24  2016,14.30,14.30,14.38,14.15,81.89K,-1.17%
Mar 23  2016,14.47,14.75,14.82,14.35,112.33K,-2.49%
Mar 22  2016,14.84,14.68,14.96,14.58,91.50K,0.54%
Mar 21  2016,14.76,14.91,15.00,14.73,105.92K,-0.27%
Mar 18  2016,14.80,15.17,15.17,14.48,637.64K,-1.86%
Mar 17  2016,15.08,14.87,15.24,14.76,184.75K,2.17%
Mar 16  2016,14.76,15.01,15.09,14.74,176.09K,-0.87%
Mar 15  2016,14.89,15.04,15.14,14.60,149.64K,-1.78%
Mar 14  2016,15.16,15.34,15.51,15.01,142.63K,-2.19%
Mar 11  2016,15.50,15.55,15.81,15.37,116.22K,0.58%
Mar 10  2016,15.41,15.15,15.49,14.93,137.54K,1.18%
Mar 09  2016,15.23,15.20,15.43,15.00,118.39K,1.20%
Mar 08  2016,15.05,15.44,15.44,15.02,126.99K,-2.53%
Mar 07  2016,15.44,14.93,15.59,14.93,339.55K,3.83%
Mar 04  2016,14.87,14.83,15.04,14.64,395.56K,0.61%
Mar 03  2016,14.78,14.62,14.90,14.41,105.72K,1.16%
Mar 02  2016,14.61,14.47,14.65,14.25,138.27K,0.90%
Mar 01  2016,14.48,14.55,14.68,14.45,137.28K,-0.28%
Feb 29  2016,14.52,14.33,14.73,14.09,186.56K,1.97%
Feb 26  2016,14.24,14.09,14.51,14.09,114.93K,2.52%
Feb 25  2016,13.89,13.90,14.08,13.53,127.19K,-1.21%
Feb 24  2016,14.06,13.79,14.20,13.78,118.09K,0.36%
Feb 23  2016,14.01,14.35,14.51,13.83,66.34K,-2.64%
