Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,45.14,44.66,45.31,44.66,1.51M,1.39%
Apr 18  2016,44.52,43.97,44.63,43.96,1.05M,0.23%
Apr 15  2016,44.42,44.11,44.60,43.90,1.03M,0.18%
Apr 14  2016,44.34,44.25,44.70,44.07,1.22M,0.52%
Apr 13  2016,44.11,43.50,44.16,43.43,1.86M,2.18%
Apr 12  2016,43.17,42.75,43.38,42.62,1.53M,0.98%
Apr 11  2016,42.75,42.39,42.85,42.35,1.38M,1.04%
Apr 08  2016,42.31,42.10,42.58,42.06,1.35M,1.27%
Apr 07  2016,41.78,42.41,42.50,41.56,1.30M,-1.65%
Apr 06  2016,42.48,42.38,42.60,41.83,1.05M,0.26%
Apr 05  2016,42.37,42.50,42.50,42.12,721.40K,-0.73%
Apr 04  2016,42.68,42.68,42.96,42.54,650.52K,0.14%
Apr 01  2016,42.62,42.15,42.73,41.81,917.16K,0.31%
Mar 31  2016,42.49,42.85,43.33,42.30,1.89M,-0.75%
Mar 30  2016,42.81,42.67,42.87,42.30,1.16M,0.99%
Mar 29  2016,42.39,42.23,42.55,41.77,915.81K,0.07%
Mar 28  2016,42.36,41.61,42.50,41.61,1.09M,1.92%
Mar 24  2016,41.56,42.60,42.60,41.18,2.71M,-3.35%
Mar 23  2016,43.00,43.95,43.99,42.76,1.92M,-3.28%
Mar 22  2016,44.46,44.00,44.79,43.81,2.45M,0.70%
Mar 21  2016,44.15,43.96,44.38,43.60,1.53M,0.55%
Mar 18  2016,43.91,43.55,44.05,43.48,4.18M,0.41%
Mar 17  2016,43.73,42.29,43.74,42.13,2.61M,3.97%
Mar 16  2016,42.06,41.83,42.22,41.77,1.47M,0.38%
Mar 15  2016,41.90,41.69,41.95,41.57,1.31M,0.14%
Mar 14  2016,41.84,41.49,41.98,41.12,1.63M,1.11%
Mar 11  2016,41.38,41.50,41.55,41.02,1.88M,0.58%
Mar 10  2016,41.14,41.30,41.50,40.71,1.47M,0.10%
Mar 09  2016,41.10,40.87,41.21,40.63,1.95M,1.33%
