Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.590,4.440,4.600,4.420,332.01K,4.79%
Apr 18  2016,4.380,4.220,4.390,4.210,181.26K,3.06%
Apr 15  2016,4.250,4.220,4.360,4.200,163.10K,0.00%
Apr 14  2016,4.250,4.270,4.330,4.220,204.41K,-0.70%
Apr 13  2016,4.280,4.180,4.340,4.150,417.84K,2.88%
Apr 12  2016,4.160,4.130,4.210,4.030,220.25K,1.46%
Apr 11  2016,4.100,3.930,4.160,3.930,360.40K,5.40%
Apr 08  2016,3.890,3.950,4.020,3.850,365.33K,-0.51%
Apr 07  2016,3.910,4.100,4.160,3.900,324.81K,-4.40%
Apr 06  2016,4.090,4.150,4.180,4.070,215.76K,-1.92%
Apr 05  2016,4.170,4.210,4.230,4.135,171.49K,-0.71%
Apr 04  2016,4.200,4.400,4.400,4.170,210.60K,-4.11%
Apr 01  2016,4.380,4.180,4.390,4.130,326.04K,4.29%
Mar 31  2016,4.200,4.270,4.320,4.180,291.34K,-1.18%
Mar 30  2016,4.250,4.330,4.360,4.240,176.05K,-2.07%
Mar 29  2016,4.340,4.320,4.360,4.200,172.17K,-1.14%
Mar 28  2016,4.390,4.450,4.450,4.300,148.58K,-0.90%
Mar 24  2016,4.430,4.380,4.430,4.280,199.05K,0.23%
Mar 23  2016,4.420,4.400,4.490,4.330,281.62K,-1.12%
Mar 22  2016,4.470,4.400,4.535,4.400,143.77K,1.82%
Mar 21  2016,4.390,4.460,4.530,4.390,160.31K,-2.66%
Mar 18  2016,4.510,4.590,4.590,4.460,371.34K,-0.44%
Mar 17  2016,4.530,4.550,4.610,4.470,186.62K,1.12%
Mar 16  2016,4.480,4.360,4.500,4.330,250.33K,2.75%
Mar 15  2016,4.360,4.430,4.450,4.340,231.02K,-2.90%
Mar 14  2016,4.490,4.600,4.640,4.460,277.60K,-2.60%
Mar 11  2016,4.610,4.600,4.650,4.560,497.70K,0.44%
Mar 10  2016,4.590,4.500,4.610,4.500,263.92K,2.68%
Mar 09  2016,4.470,4.370,4.510,4.310,474.06K,2.29%
Mar 08  2016,4.370,4.490,4.490,4.200,681.34K,-3.32%
Mar 07  2016,4.520,4.690,4.810,4.510,445.97K,-2.80%
Mar 04  2016,4.650,4.630,4.790,4.610,455.21K,1.53%
Mar 03  2016,4.580,4.700,4.760,4.570,360.35K,-2.76%
Mar 02  2016,4.710,4.470,4.720,4.440,394.76K,7.29%
Mar 01  2016,4.390,4.430,4.470,4.390,384.38K,-0.23%
Feb 29  2016,4.400,4.410,4.510,4.370,276.15K,-0.45%
Feb 26  2016,4.420,4.300,4.520,4.300,501.71K,0.45%
Feb 25  2016,4.400,4.290,4.450,4.250,309.24K,1.85%
Feb 24  2016,4.320,4.390,4.450,4.270,378.48K,-1.37%
Feb 23  2016,4.380,4.460,4.530,4.340,290.94K,-2.01%
Feb 22  2016,4.470,4.440,4.620,4.400,612.54K,1.36%
Feb 19  2016,4.410,4.400,4.440,4.340,259.51K,-0.45%
Feb 18  2016,4.430,4.350,4.480,4.280,285.16K,1.37%
Feb 17  2016,4.370,4.240,4.460,4.200,522.03K,3.80%
Feb 16  2016,4.210,4.140,4.240,4.050,467.84K,0.96%
Feb 12  2016,4.170,4.030,4.230,4.030,471.88K,3.73%
Feb 11  2016,4.020,4.070,4.130,3.880,572.50K,0.75%
Feb 10  2016,3.990,3.970,4.040,3.870,481.17K,1.53%
Feb 09  2016,3.930,4.030,4.030,3.900,486.83K,-3.20%
Feb 08  2016,4.060,4.130,4.130,3.980,754.76K,0.00%
Feb 05  2016,4.060,3.940,4.060,3.905,475.46K,3.31%
Feb 04  2016,3.930,3.800,4.030,3.800,455.47K,3.69%
Feb 03  2016,3.790,3.570,3.820,3.570,326.16K,6.46%
Feb 02  2016,3.560,3.730,3.730,3.535,506.50K,-3.52%
Feb 01  2016,3.690,3.630,3.760,3.620,771.86K,-3.15%
Jan 29  2016,3.810,3.680,3.930,3.660,8.98M,4.38%
Jan 28  2016,3.650,3.870,3.870,3.610,601.80K,-4.70%
Jan 27  2016,3.830,3.810,3.890,3.740,261.36K,0.00%
Jan 26  2016,3.830,3.690,3.850,3.660,644.22K,5.22%
Jan 25  2016,3.640,3.650,3.700,3.550,480.05K,1.11%
Jan 22  2016,3.600,3.570,3.640,3.520,374.73K,3.45%
Jan 21  2016,3.480,3.500,3.570,3.435,524.77K,-0.57%
Jan 20  2016,3.500,3.400,3.530,3.320,393.25K,2.94%
Jan 19  2016,3.400,3.400,3.460,3.350,315.93K,1.19%
Jan 18  2016,3.360,3.370,3.370,3.280,114.18K,0.00%
Jan 15  2016,3.360,3.360,3.410,3.270,689.99K,0.90%
Jan 14  2016,3.330,3.450,3.520,3.300,4.19M,-4.86%
Jan 13  2016,3.500,3.500,3.590,3.470,221.62K,0.00%
Jan 12  2016,3.500,3.460,3.520,3.410,488.39K,1.74%
Jan 11  2016,3.440,3.580,3.590,3.420,321.60K,-3.37%
Jan 08  2016,3.560,3.540,3.590,3.520,201.81K,0.28%
Jan 07  2016,3.550,3.670,3.710,3.550,227.23K,-4.31%
Jan 06  2016,3.710,3.700,3.750,3.690,134.87K,-0.54%
Jan 05  2016,3.730,3.790,3.790,3.710,182.64K,-1.06%
Jan 04  2016,3.770,3.790,3.790,3.650,329.84K,0.53%
Dec 31  2015,3.750,3.820,3.860,3.730,144.21K,-2.34%
Dec 30  2015,3.840,3.750,3.840,3.690,178.63K,1.32%
Dec 29  2015,3.790,3.990,3.990,3.760,375.36K,-0.79%
Dec 24  2015,3.820,3.740,3.830,3.720,228.05K,4.37%
Dec 23  2015,3.660,3.490,3.750,3.490,633.63K,5.17%
Dec 22  2015,3.480,3.480,3.490,3.390,387.70K,-0.29%
Dec 21  2015,3.490,3.510,3.560,3.460,311.14K,-1.13%
Dec 18  2015,3.530,3.420,3.530,3.410,1.23M,4.13%
Dec 17  2015,3.390,3.470,3.470,3.380,314.68K,-3.14%
Dec 16  2015,3.500,3.410,3.500,3.410,325.91K,3.24%
Dec 15  2015,3.390,3.450,3.460,3.380,202.05K,-0.29%
Dec 14  2015,3.400,3.440,3.470,3.320,222.93K,-2.86%
Dec 11  2015,3.500,3.450,3.530,3.430,319.20K,1.45%
Dec 10  2015,3.450,3.440,3.520,3.420,508.35K,0.29%
Dec 09  2015,3.440,3.450,3.530,3.400,215.73K,0.58%
Dec 08  2015,3.420,3.450,3.480,3.370,583.92K,-0.87%
Dec 07  2015,3.450,3.570,3.600,3.420,217.38K,-3.36%
Dec 04  2015,3.570,3.580,3.655,3.480,343.90K,-0.83%
Dec 03  2015,3.600,3.630,3.650,3.580,319.19K,-0.83%
Dec 02  2015,3.630,3.710,3.730,3.600,320.87K,-2.68%
Dec 01  2015,3.730,3.680,3.780,3.650,273.62K,2.19%
Nov 30  2015,3.650,3.630,3.690,3.610,213.07K,-0.27%
Nov 27  2015,3.660,3.640,3.680,3.620,39.20K,0.00%
Nov 26  2015,3.660,3.600,3.730,3.600,78.42K,1.67%
Nov 25  2015,3.600,3.670,3.690,3.590,108.06K,-2.44%
Nov 24  2015,3.690,3.650,3.700,3.590,197.50K,1.65%
Nov 23  2015,3.630,3.610,3.640,3.610,199.84K,-0.55%
Nov 20  2015,3.650,3.610,3.670,3.580,274.46K,1.96%
Nov 19  2015,3.580,3.710,3.710,3.580,252.77K,-3.76%
Nov 18  2015,3.720,3.600,3.730,3.600,139.58K,3.62%
Nov 17  2015,3.590,3.640,3.670,3.550,140.36K,-2.18%
Nov 16  2015,3.670,3.640,3.680,3.610,252.20K,1.66%
Nov 13  2015,3.610,3.630,3.640,3.590,302.47K,-0.55%
Nov 12  2015,3.630,3.620,3.650,3.590,241.30K,0.28%
Nov 11  2015,3.620,3.690,3.710,3.570,254.89K,-2.43%
Nov 10  2015,3.710,3.740,3.750,3.650,289.23K,-0.80%
Nov 09  2015,3.740,3.740,3.740,3.650,250.39K,0.27%
Nov 06  2015,3.730,3.740,3.800,3.710,287.84K,-1.84%
Nov 05  2015,3.800,3.830,3.860,3.750,268.81K,-0.78%
Nov 04  2015,3.830,3.880,3.940,3.800,226.77K,-1.54%
Nov 03  2015,3.890,3.870,3.920,3.860,163.39K,-0.26%
Nov 02  2015,3.900,3.910,3.925,3.800,307.43K,-0.26%
Oct 30  2015,3.910,3.950,3.950,3.780,213.59K,-0.26%
Oct 29  2015,3.920,4.110,4.120,3.860,232.36K,-4.85%
Oct 28  2015,4.120,4.140,4.230,4.040,318.24K,0.00%
Oct 27  2015,4.120,4.120,4.170,4.060,145.38K,0.24%
Oct 26  2015,4.110,4.190,4.190,4.050,124.03K,-1.44%
Oct 23  2015,4.170,4.130,4.220,4.120,172.72K,1.21%
Oct 22  2015,4.120,4.150,4.200,4.110,154.20K,0.24%
Oct 21  2015,4.110,4.050,4.140,4.000,106.80K,0.98%
Oct 20  2015,4.070,4.050,4.110,4.040,101.11K,1.50%
Oct 19  2015,4.010,4.010,4.030,3.920,301.58K,0.25%
Oct 16  2015,4.000,4.200,4.220,4.000,237.43K,-4.99%
Oct 15  2015,4.210,4.220,4.270,4.150,244.22K,-0.94%
Oct 14  2015,4.250,4.120,4.310,4.120,261.84K,3.41%
Oct 13  2015,4.110,4.250,4.250,4.100,185.56K,-4.86%
Oct 09  2015,4.320,4.350,4.440,4.270,417.02K,3.60%
Oct 08  2015,4.170,4.200,4.230,4.130,237.90K,-0.71%
Oct 07  2015,4.200,4.150,4.270,4.150,293.65K,2.44%
Oct 06  2015,4.100,4.030,4.130,4.030,277.26K,3.02%
Oct 05  2015,3.980,4.080,4.080,3.970,325.64K,-2.21%
Oct 02  2015,4.070,3.980,4.070,3.950,141.96K,3.30%
Oct 01  2015,3.940,3.920,4.000,3.850,268.97K,0.77%
Sep 30  2015,3.910,3.910,4.030,3.860,457.65K,0.77%
Sep 29  2015,3.880,3.850,3.890,3.840,456.77K,3.19%
Sep 28  2015,3.760,3.830,3.830,3.750,211.30K,-3.84%
Sep 25  2015,3.910,3.930,3.940,3.880,223.22K,-0.26%
Sep 24  2015,3.920,3.850,4.005,3.850,304.54K,3.16%
Sep 23  2015,3.800,3.810,3.820,3.770,135.06K,0.00%
Sep 22  2015,3.800,3.830,3.840,3.740,319.97K,-2.06%
Sep 21  2015,3.880,3.890,3.920,3.870,148.99K,-0.26%
Sep 18  2015,3.890,3.970,4.030,3.850,508.22K,-1.77%
Sep 17  2015,3.960,3.980,4.000,3.890,190.76K,-0.75%
Sep 16  2015,3.990,4.000,4.070,3.920,156.42K,0.50%
Sep 15  2015,3.970,3.820,4.000,3.790,370.40K,3.39%
Sep 14  2015,3.840,3.860,3.860,3.730,216.18K,-0.52%
Sep 11  2015,3.860,3.900,3.920,3.820,230.33K,-1.03%
Sep 10  2015,3.900,4.030,4.030,3.870,158.02K,-2.26%
Sep 09  2015,3.990,3.900,4.040,3.880,350.37K,3.37%
Sep 08  2015,3.860,3.720,3.920,3.720,1.06M,4.61%
Sep 04  2015,3.690,3.680,3.770,3.600,376.19K,1.37%
Sep 03  2015,3.640,3.720,3.790,3.640,821.21K,-1.09%
Sep 02  2015,3.680,3.750,3.770,3.610,490.25K,-1.08%
Sep 01  2015,3.720,3.970,3.970,3.690,695.40K,-5.82%
Aug 31  2015,3.950,3.830,3.970,3.820,768.55K,2.60%
Aug 28  2015,3.850,3.790,3.890,3.770,255.32K,2.39%
Aug 27  2015,3.760,3.650,3.780,3.640,489.42K,4.16%
Aug 26  2015,3.610,3.680,3.680,3.570,243.83K,-1.37%
Aug 25  2015,3.660,3.700,3.700,3.640,296.21K,-0.27%
Aug 24  2015,3.670,3.500,3.710,3.410,449.92K,0.82%
Aug 21  2015,3.640,3.780,3.800,3.610,143.48K,-3.45%
Aug 20  2015,3.770,3.750,3.820,3.635,360.48K,2.45%
Aug 19  2015,3.680,3.680,3.690,3.610,168.09K,0.27%
Aug 18  2015,3.670,3.750,3.750,3.620,354.47K,-3.17%
Aug 17  2015,3.790,3.930,3.930,3.770,166.72K,-2.57%
Aug 14  2015,3.890,3.850,3.900,3.830,157.40K,1.04%
Aug 13  2015,3.850,3.900,3.940,3.810,205.87K,-2.78%
Aug 12  2015,3.960,3.930,3.970,3.850,225.82K,1.80%
Aug 11  2015,3.890,3.950,3.950,3.850,330.32K,-2.99%
Aug 10  2015,4.010,3.920,4.060,3.900,349.59K,2.30%
Aug 07  2015,3.920,3.970,4.010,3.910,102.65K,0.00%
Aug 06  2015,3.920,4.000,4.000,3.920,360.61K,-2.73%
Aug 05  2015,4.030,4.200,4.240,3.945,428.35K,-4.05%
Aug 04  2015,4.200,4.200,4.230,4.130,354.47K,0.00%
Jul 31  2015,4.200,4.450,4.450,4.140,308.49K,-5.19%
Jul 30  2015,4.430,4.400,4.500,4.360,589.46K,0.68%
Jul 29  2015,4.400,4.310,4.410,4.300,280.84K,0.23%
Jul 28  2015,4.390,4.290,4.390,4.270,214.86K,2.81%
Jul 27  2015,4.270,4.240,4.310,4.200,233.99K,-0.47%
Jul 24  2015,4.290,4.190,4.290,4.130,269.35K,1.66%
Jul 23  2015,4.220,4.310,4.320,4.180,93.48K,-2.09%
Jul 22  2015,4.310,4.260,4.360,4.260,151.59K,-1.15%
Jul 21  2015,4.360,4.260,4.400,4.260,247.19K,1.87%
Jul 20  2015,4.280,4.440,4.440,4.250,160.42K,-5.10%
Jul 17  2015,4.510,4.600,4.600,4.500,79.35K,-2.59%
Jul 16  2015,4.630,4.610,4.650,4.600,71.53K,0.00%
Jul 15  2015,4.630,4.700,4.700,4.570,153.20K,0.65%
Jul 14  2015,4.600,4.530,4.670,4.530,200.29K,1.55%
Jul 13  2015,4.530,4.440,4.560,4.440,67.82K,0.89%
Jul 10  2015,4.490,4.520,4.550,4.470,163.44K,0.67%
Jul 09  2015,4.460,4.550,4.560,4.420,134.80K,-0.22%
Jul 08  2015,4.470,4.570,4.610,4.430,72.24K,-2.19%
Jul 07  2015,4.570,4.580,4.580,4.380,189.31K,-1.51%
Jul 06  2015,4.640,4.650,4.660,4.550,123.03K,-1.07%
Jul 03  2015,4.690,4.670,4.710,4.670,13.75K,-0.21%
Jul 02  2015,4.700,4.670,4.760,4.610,157.71K,0.00%
Jun 30  2015,4.700,4.760,4.820,4.630,188.72K,-1.26%
Jun 29  2015,4.760,4.940,4.940,4.750,159.72K,-3.05%
Jun 26  2015,4.910,4.950,4.950,4.880,247.78K,-2.19%
Jun 25  2015,5.020,5.030,5.060,4.970,720.23K,0.60%
Jun 24  2015,4.990,5.010,5.030,4.910,228.80K,-0.20%
