Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,37.15,37.06,37.25,36.63,171.13K,-0.27%
Apr 18  2016,37.25,37.30,37.47,37.13,306.89K,0.16%
Apr 15  2016,37.19,36.66,37.31,36.60,182.23K,1.45%
Apr 14  2016,36.66,36.97,37.23,36.22,222.54K,-0.73%
Apr 13  2016,36.93,36.00,37.15,35.76,403.20K,2.67%
Apr 12  2016,35.97,37.30,37.44,35.48,448.01K,-3.77%
Apr 11  2016,37.38,37.15,38.56,36.82,1.13M,1.60%
Apr 08  2016,36.79,36.02,37.01,35.90,245.55K,1.94%
Apr 07  2016,36.09,35.95,36.47,35.63,813.57K,0.00%
Apr 06  2016,36.09,35.38,36.48,35.27,735.04K,1.92%
Apr 05  2016,35.41,35.25,35.49,34.61,501.05K,0.11%
Apr 04  2016,35.37,33.35,35.41,33.35,358.69K,5.90%
Apr 01  2016,33.40,33.36,33.57,33.10,305.58K,0.00%
Mar 31  2016,33.40,33.38,34.10,33.01,1.02M,0.00%
Mar 30  2016,33.40,33.47,34.01,33.31,338.74K,0.00%
Mar 29  2016,33.40,33.94,33.99,32.95,444.39K,-1.33%
Mar 28  2016,33.85,34.00,35.00,33.16,301.30K,1.96%
Mar 24  2016,33.20,33.00,33.84,32.80,528.37K,3.94%
Mar 23  2016,31.94,31.09,32.10,31.05,109.66K,2.77%
Mar 22  2016,31.08,31.26,31.42,30.94,120.97K,-1.18%
Mar 21  2016,31.45,31.43,31.81,30.93,96.89K,0.51%
Mar 18  2016,31.29,31.45,31.75,31.00,204.16K,-0.57%
Mar 17  2016,31.47,30.56,32.35,30.24,342.97K,3.35%
Mar 16  2016,30.45,29.99,30.89,29.99,189.65K,1.70%
Mar 15  2016,29.94,30.66,30.99,29.00,385.62K,-2.35%
Mar 14  2016,30.66,29.75,30.74,29.37,260.06K,3.72%
Mar 11  2016,29.56,28.47,30.92,28.30,382.17K,5.16%
Mar 10  2016,28.11,28.10,28.36,27.83,152.98K,0.39%
Mar 09  2016,28.00,27.35,28.10,27.35,140.85K,3.13%
Mar 08  2016,27.15,27.42,27.42,26.60,97.36K,0.07%
Mar 07  2016,27.13,26.06,27.26,26.00,108.87K,4.19%
Mar 04  2016,26.04,26.59,26.63,25.89,112.53K,-0.53%
Mar 03  2016,26.18,27.00,27.18,26.14,129.88K,-2.78%
Mar 02  2016,26.93,26.99,27.16,26.16,128.05K,0.64%
Mar 01  2016,26.76,26.18,26.86,26.09,111.87K,3.36%
Feb 29  2016,25.89,25.26,26.00,25.26,134.59K,1.93%
Feb 26  2016,25.40,25.99,26.11,25.29,109.06K,-1.70%
Feb 25  2016,25.84,25.12,26.25,25.12,108.32K,2.87%
Feb 24  2016,25.12,24.87,25.20,24.87,86.00K,0.56%
Feb 23  2016,24.98,25.09,25.26,24.66,46.24K,-0.32%
Feb 22  2016,25.06,25.09,25.34,25.05,52.09K,0.44%
Feb 19  2016,24.95,25.07,25.07,24.53,65.32K,-0.60%
Feb 18  2016,25.10,24.44,25.27,24.44,61.05K,3.08%
Feb 17  2016,24.35,24.44,24.62,24.01,285.20K,-0.29%
Feb 16  2016,24.42,24.09,24.73,24.09,146.58K,0.66%
Feb 12  2016,24.26,24.73,24.75,24.17,122.10K,-1.38%
Feb 11  2016,24.60,24.85,25.05,24.31,94.87K,-3.07%
Feb 10  2016,25.38,25.26,25.46,25.15,87.65K,0.59%
Feb 09  2016,25.23,23.73,25.36,23.50,188.13K,2.48%
Feb 08  2016,24.62,26.32,26.46,24.35,199.21K,-7.89%
Feb 05  2016,26.73,27.13,27.17,26.58,93.32K,-0.52%
Feb 04  2016,26.87,26.31,27.05,26.26,101.98K,1.93%
Feb 03  2016,26.36,26.00,26.89,25.75,159.00K,0.76%
Feb 02  2016,26.16,27.29,27.29,26.13,190.75K,-3.36%
Feb 01  2016,27.07,26.83,27.34,26.20,115.80K,1.46%
Jan 29  2016,26.68,25.93,26.76,25.93,139.40K,3.01%
Jan 28  2016,25.90,27.39,27.39,25.51,355.35K,-4.71%
Jan 27  2016,27.18,27.80,27.87,26.94,204.11K,-1.77%
Jan 26  2016,27.67,27.81,28.10,27.58,132.63K,-0.11%
Jan 25  2016,27.70,27.74,28.10,27.55,84.72K,-0.61%
Jan 22  2016,27.87,27.34,28.20,27.34,147.59K,3.03%
Jan 21  2016,27.05,27.60,27.61,26.99,126.67K,-2.06%
Jan 20  2016,27.62,27.45,27.75,26.94,169.92K,-0.18%
Jan 19  2016,27.67,27.62,28.22,27.47,209.44K,0.40%
Jan 18  2016,27.56,27.01,27.75,27.01,118.43K,-0.18%
Jan 15  2016,27.61,27.25,27.95,27.04,280.96K,-0.68%
Jan 14  2016,27.80,27.32,27.88,26.94,217.41K,-0.43%
Jan 13  2016,27.92,28.47,28.52,27.73,123.40K,-1.17%
Jan 12  2016,28.25,27.60,28.29,27.55,187.36K,2.58%
Jan 11  2016,27.54,28.35,28.45,27.36,137.86K,-2.99%
Jan 08  2016,28.39,28.15,28.69,28.15,195.19K,0.85%
Jan 07  2016,28.15,27.59,28.39,27.20,315.69K,-1.02%
Jan 06  2016,28.44,29.27,29.28,28.31,196.67K,-3.03%
Jan 05  2016,29.33,27.91,29.72,27.72,450.14K,5.88%
Jan 04  2016,27.70,28.10,28.10,27.16,230.11K,-2.19%
Dec 31  2015,28.32,28.24,28.53,27.78,137.56K,0.28%
Dec 30  2015,28.24,28.55,28.55,27.95,103.16K,0.28%
Dec 29  2015,28.16,26.75,28.78,26.75,247.93K,5.27%
Dec 24  2015,26.75,26.88,26.94,26.75,53.26K,-0.71%
Dec 23  2015,26.94,27.15,27.40,26.80,265.13K,-0.30%
Dec 22  2015,27.02,27.33,27.34,26.85,112.91K,-1.31%
Dec 21  2015,27.38,26.75,27.59,26.75,230.38K,1.60%
Dec 18  2015,26.95,27.17,27.40,26.50,2.18M,-0.96%
Dec 17  2015,27.21,26.91,27.35,26.85,262.09K,0.85%
Dec 16  2015,26.98,27.40,27.67,26.72,260.40K,-1.60%
Dec 15  2015,27.42,26.84,27.58,26.06,281.54K,3.28%
Dec 14  2015,26.55,27.10,27.42,26.48,439.12K,-2.07%
Dec 11  2015,27.11,27.17,27.47,26.88,150.56K,-0.62%
Dec 10  2015,27.28,27.14,27.36,26.78,101.90K,0.74%
Dec 09  2015,27.08,27.24,27.47,27.00,121.06K,-0.77%
Dec 08  2015,27.29,27.04,27.49,26.87,376.95K,0.81%
Dec 07  2015,27.07,27.25,27.25,26.64,116.26K,-0.51%
Dec 04  2015,27.21,27.24,27.35,26.75,134.16K,-0.04%
Dec 03  2015,27.22,26.99,27.45,26.67,463.83K,1.23%
Dec 02  2015,26.89,26.72,27.13,26.64,342.35K,1.13%
Dec 01  2015,26.59,26.38,26.74,26.13,275.14K,1.60%
Nov 30  2015,26.17,26.18,26.48,26.00,254.60K,0.23%
Nov 27  2015,26.11,26.01,26.12,25.90,112.74K,0.46%
Nov 26  2015,25.99,25.68,26.17,25.68,69.78K,-0.54%
Nov 25  2015,26.13,25.68,26.25,25.68,231.64K,1.40%
Nov 24  2015,25.77,26.09,26.18,25.64,163.64K,-1.42%
Nov 23  2015,26.14,25.95,26.17,25.89,226.23K,1.08%
Nov 20  2015,25.86,26.30,26.30,25.52,209.23K,-0.81%
Nov 19  2015,26.07,25.94,26.30,25.88,570.47K,1.01%
Nov 18  2015,25.81,25.78,26.08,25.64,128.17K,0.70%
Nov 17  2015,25.63,25.19,25.97,25.00,176.14K,1.22%
Nov 16  2015,25.32,24.23,25.32,24.21,168.02K,3.94%
Nov 13  2015,24.36,25.01,25.01,23.81,187.00K,-2.75%
Nov 12  2015,25.05,25.02,25.25,24.75,249.15K,-0.91%
Nov 11  2015,25.28,23.75,25.52,23.75,438.77K,5.77%
Nov 10  2015,23.90,24.16,24.40,22.80,586.02K,12.58%
Nov 09  2015,21.23,20.57,21.32,20.44,241.00K,6.15%
Nov 06  2015,20.00,20.56,20.56,19.91,117.16K,-2.30%
Nov 05  2015,20.47,20.65,20.86,20.30,203.96K,0.74%
Nov 04  2015,20.32,19.00,20.32,18.86,250.70K,7.06%
Nov 03  2015,18.98,19.03,19.10,18.64,73.65K,-0.26%
Nov 02  2015,19.03,18.96,19.13,18.86,74.96K,0.37%
Oct 30  2015,18.96,19.22,19.49,18.63,131.44K,-1.61%
Oct 29  2015,19.27,18.97,19.30,18.58,122.53K,1.96%
Oct 28  2015,18.90,19.10,19.14,18.51,110.28K,-0.79%
Oct 27  2015,19.05,19.22,19.32,19.00,107.16K,0.05%
Oct 26  2015,19.04,19.43,19.54,19.00,78.24K,-0.99%
Oct 23  2015,19.23,19.07,19.40,18.88,121.35K,3.61%
Oct 22  2015,18.56,18.52,18.85,18.04,248.41K,0.32%
Oct 21  2015,18.50,18.64,18.88,18.46,176.97K,-1.60%
Oct 20  2015,18.80,18.90,19.26,18.75,106.97K,-0.74%
Oct 19  2015,18.94,19.23,19.45,18.84,93.37K,-1.92%
Oct 16  2015,19.31,19.90,19.92,19.02,223.77K,-3.21%
Oct 15  2015,19.95,19.45,20.00,19.35,70.39K,2.89%
Oct 14  2015,19.39,19.45,19.70,19.30,99.05K,-0.36%
Oct 13  2015,19.46,19.30,19.51,19.23,83.19K,0.62%
Oct 09  2015,19.34,19.60,19.85,19.34,89.32K,-1.33%
Oct 08  2015,19.60,19.30,19.73,19.30,99.40K,1.55%
Oct 07  2015,19.30,19.62,19.86,19.27,138.03K,-1.53%
Oct 06  2015,19.60,19.96,20.09,19.55,194.36K,-1.36%
Oct 05  2015,19.87,20.13,20.20,19.74,167.52K,0.05%
Oct 02  2015,19.86,20.22,20.27,19.85,201.07K,-2.69%
Oct 01  2015,20.41,20.00,20.84,19.85,229.93K,2.05%
Sep 30  2015,20.00,19.25,20.50,19.21,272.26K,4.06%
Sep 29  2015,19.22,19.19,19.28,18.85,119.28K,0.05%
Sep 28  2015,19.21,18.96,19.27,18.41,101.93K,-0.21%
Sep 25  2015,19.25,19.41,19.60,18.95,82.27K,-0.77%
Sep 24  2015,19.40,19.31,19.51,19.07,72.33K,-0.05%
Sep 23  2015,19.41,19.88,19.88,19.30,35.51K,-2.27%
Sep 22  2015,19.86,19.67,19.92,19.44,105.49K,0.10%
Sep 21  2015,19.84,19.10,19.86,19.04,152.64K,5.25%
Sep 18  2015,18.85,18.75,19.04,18.69,144.09K,0.53%
Sep 17  2015,18.75,18.77,19.10,18.69,79.40K,0.48%
Sep 16  2015,18.66,18.64,18.88,18.58,72.65K,0.43%
Sep 15  2015,18.58,18.24,18.62,18.17,79.52K,1.75%
Sep 14  2015,18.26,18.06,18.46,18.06,40.24K,0.27%
Sep 11  2015,18.21,18.40,18.48,18.01,30.73K,-1.41%
