Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.71,5.71,5.76,5.54,2.08M,4.01%
Apr 18  2016,5.49,5.69,5.71,5.41,1.53M,2.81%
Apr 15  2016,5.34,5.23,5.37,5.21,1.42M,2.50%
Apr 14  2016,5.21,5.29,5.38,5.11,1.59M,-1.70%
Apr 13  2016,5.30,5.28,5.42,5.28,1.20M,-1.49%
Apr 12  2016,5.38,5.56,5.62,5.36,1.75M,-2.00%
Apr 11  2016,5.49,5.53,5.71,5.42,2.24M,2.04%
Apr 08  2016,5.38,5.20,5.45,5.16,2.34M,4.47%
Apr 07  2016,5.15,5.07,5.27,5.07,1.71M,3.00%
Apr 06  2016,5.00,4.88,5.02,4.86,773.22K,0.81%
Apr 05  2016,4.96,4.97,5.01,4.81,1.21M,3.98%
Apr 04  2016,4.77,4.92,4.95,4.76,778.01K,-3.05%
Apr 01  2016,4.92,4.77,4.95,4.73,1.13M,1.44%
Mar 31  2016,4.85,5.09,5.10,4.85,1.46M,-3.39%
Mar 30  2016,5.02,4.99,5.06,4.91,1.92M,0.00%
Mar 29  2016,5.02,4.64,5.02,4.60,1.55M,8.42%
Mar 28  2016,4.63,4.75,4.76,4.54,946.37K,-1.28%
Mar 24  2016,4.69,4.59,4.79,4.57,1.57M,2.40%
Mar 23  2016,4.58,4.78,4.86,4.56,2.81M,-8.40%
Mar 22  2016,5.00,5.06,5.12,4.91,1.19M,0.40%
Mar 21  2016,4.98,4.80,5.06,4.78,1.77M,-1.97%
Mar 18  2016,5.08,5.03,5.16,4.96,2.17M,0.99%
Mar 17  2016,5.03,5.14,5.30,4.97,2.55M,-0.59%
Mar 16  2016,5.06,4.76,5.12,4.69,2.02M,4.98%
Mar 15  2016,4.82,4.68,4.82,4.60,1.16M,2.34%
Mar 14  2016,4.71,5.00,5.04,4.68,2.10M,-5.61%
Mar 11  2016,4.99,5.15,5.17,4.95,1.52M,-2.54%
Mar 10  2016,5.12,5.19,5.38,5.07,2.59M,1.19%
Mar 09  2016,5.06,4.88,5.12,4.78,4.03M,4.12%
Mar 08  2016,4.86,5.22,5.32,4.85,2.03M,-5.81%
Mar 07  2016,5.16,5.16,5.25,4.95,3.16M,3.20%
Mar 04  2016,5.00,4.97,5.25,4.87,4.39M,1.01%
Mar 03  2016,4.95,4.55,4.95,4.54,2.62M,10.49%
Mar 02  2016,4.48,4.39,4.55,4.36,1.17M,3.23%
Mar 01  2016,4.34,4.61,4.68,4.30,1.59M,-5.24%
Feb 29  2016,4.58,4.40,4.58,4.40,1.35M,7.76%
Feb 26  2016,4.25,4.37,4.47,4.25,1.55M,-4.92%
Feb 25  2016,4.47,4.47,4.52,4.32,2.62M,-0.89%
Feb 24  2016,4.51,4.67,4.79,4.44,2.50M,1.58%
Feb 23  2016,4.44,4.44,4.64,4.36,2.46M,5.97%
Feb 22  2016,4.19,4.00,4.22,4.00,1.59M,1.45%
Feb 19  2016,4.13,4.25,4.37,4.10,1.97M,-2.59%
Feb 18  2016,4.24,3.86,4.29,3.85,2.74M,10.13%
Feb 17  2016,3.85,3.82,3.86,3.66,1.84M,2.94%
Feb 16  2016,3.74,3.95,4.08,3.71,2.27M,-8.56%
Feb 12  2016,4.09,4.00,4.19,3.95,2.41M,-0.24%
Feb 11  2016,4.10,4.24,4.44,3.99,3.16M,9.04%
Feb 10  2016,3.76,3.68,3.84,3.56,3.31M,1.08%
Feb 09  2016,3.72,3.93,4.02,3.69,1.91M,-5.82%
Feb 08  2016,3.95,4.12,4.34,3.92,2.15M,-1.00%
Feb 05  2016,3.99,3.66,4.01,3.61,1.47M,5.84%
Feb 04  2016,3.77,3.52,3.77,3.51,1.75M,9.28%
Feb 03  2016,3.45,3.38,3.48,3.32,1.81M,2.07%
Feb 02  2016,3.38,3.45,3.55,3.30,1.01M,-5.59%
Feb 01  2016,3.58,3.54,3.60,3.43,943.81K,3.77%
Jan 29  2016,3.45,3.41,3.50,3.37,1.32M,1.17%
Jan 28  2016,3.41,3.40,3.58,3.35,1.04M,-2.01%
Jan 27  2016,3.48,3.24,3.48,3.21,1.41M,6.42%
Jan 26  2016,3.27,3.03,3.29,3.03,2.22M,9.73%
Jan 25  2016,2.98,2.94,3.00,2.89,2.39M,3.83%
Jan 22  2016,2.87,2.71,2.90,2.71,1.13M,2.87%
Jan 21  2016,2.79,2.79,2.84,2.70,1.19M,-1.41%
Jan 20  2016,2.83,2.70,2.86,2.58,1.70M,8.43%
Jan 19  2016,2.61,2.84,2.89,2.56,1.20M,-7.77%
Jan 18  2016,2.83,3.00,3.00,2.81,436.06K,-2.75%
Jan 15  2016,2.91,3.11,3.13,2.90,1.12M,-3.32%
Jan 14  2016,3.01,3.11,3.14,2.95,1.10M,-3.83%
Jan 13  2016,3.13,3.05,3.20,3.04,910.48K,1.95%
Jan 12  2016,3.07,3.10,3.12,2.96,1.06M,-2.54%
Jan 11  2016,3.15,3.37,3.37,3.12,983.53K,-5.97%
Jan 08  2016,3.35,3.24,3.40,3.22,1.28M,-2.90%
Jan 07  2016,3.45,3.44,3.53,3.21,3.09M,3.60%
Jan 06  2016,3.33,3.26,3.44,3.26,1.76M,3.74%
Jan 05  2016,3.21,3.29,3.32,3.19,1.66M,-2.13%
Jan 04  2016,3.28,3.31,3.36,3.16,1.78M,1.86%
Dec 31  2015,3.22,3.19,3.22,3.14,1.36M,0.94%
Dec 30  2015,3.19,3.13,3.19,3.07,539.39K,0.63%
Dec 29  2015,3.17,3.30,3.35,3.14,413.39K,-5.93%
Dec 24  2015,3.37,3.16,3.37,3.16,462.36K,7.32%
Dec 23  2015,3.14,3.13,3.17,3.07,3.84M,0.32%
Dec 22  2015,3.13,3.22,3.28,3.11,1.63M,-2.80%
Dec 21  2015,3.22,3.22,3.28,3.18,1.46M,1.90%
Dec 18  2015,3.16,3.18,3.29,3.14,1.55M,1.28%
Dec 17  2015,3.12,3.20,3.24,3.06,1.52M,-7.14%
Dec 16  2015,3.36,3.32,3.38,3.20,2.79M,4.67%
Dec 15  2015,3.21,3.14,3.23,3.12,742.13K,2.23%
Dec 14  2015,3.14,3.38,3.42,3.11,1.29M,-9.77%
Dec 11  2015,3.48,3.34,3.50,3.30,897.00K,2.96%
Dec 10  2015,3.38,3.24,3.49,3.24,1.38M,3.36%
Dec 09  2015,3.27,3.26,3.34,3.20,1.07M,1.87%
Dec 08  2015,3.21,3.23,3.25,3.10,1.74M,-0.31%
Dec 07  2015,3.22,3.40,3.48,3.19,955.63K,-6.94%
Dec 04  2015,3.46,3.26,3.48,3.26,1.31M,6.46%
Dec 03  2015,3.25,3.20,3.33,3.12,1.47M,3.17%
Dec 02  2015,3.15,3.07,3.18,3.03,1.28M,0.32%
Dec 01  2015,3.14,2.97,3.15,2.93,3.29M,6.80%
Nov 30  2015,2.94,2.90,2.99,2.89,591.28K,0.68%
Nov 27  2015,2.92,2.94,3.01,2.85,640.57K,-3.31%
Nov 26  2015,3.02,2.92,3.05,2.91,217.40K,2.72%
Nov 25  2015,2.94,2.98,3.02,2.87,1.15M,1.03%
Nov 24  2015,2.91,2.84,2.93,2.81,2.64M,5.05%
Nov 23  2015,2.77,2.70,2.86,2.69,910.90K,1.84%
Nov 20  2015,2.72,2.98,3.01,2.69,1.51M,-8.72%
Nov 19  2015,2.98,3.00,3.03,2.95,1.67M,0.34%
Nov 18  2015,2.97,2.81,2.97,2.81,2.01M,4.21%
Nov 17  2015,2.85,2.96,2.96,2.81,924.77K,-3.72%
Nov 16  2015,2.96,2.97,2.99,2.90,1.35M,2.42%
Nov 13  2015,2.89,2.92,2.96,2.83,2.20M,-0.69%
Nov 12  2015,2.91,3.05,3.11,2.91,3.66M,-5.83%
Nov 11  2015,3.09,3.09,3.16,3.07,400.85K,-1.28%
Nov 10  2015,3.13,3.12,3.16,3.08,520.61K,-1.88%
Nov 09  2015,3.19,3.07,3.19,3.06,694.02K,3.57%
Nov 06  2015,3.08,3.03,3.10,3.00,1.22M,-1.60%
Nov 05  2015,3.13,3.22,3.24,3.08,855.64K,-3.10%
Nov 04  2015,3.23,3.30,3.31,3.21,541.09K,-0.62%
Nov 03  2015,3.25,3.21,3.28,3.17,1.30M,0.31%
Nov 02  2015,3.24,3.18,3.30,3.12,471.86K,0.00%
Oct 30  2015,3.24,3.08,3.34,3.07,1.16M,1.25%
Oct 29  2015,3.20,3.51,3.55,3.16,1.94M,-11.36%
Oct 28  2015,3.61,3.83,3.89,3.58,1.49M,-2.96%
Oct 27  2015,3.72,3.62,3.72,3.56,1.26M,2.20%
Oct 26  2015,3.64,3.89,3.92,3.64,797.49K,-6.43%
Oct 23  2015,3.89,3.74,3.98,3.64,1.66M,5.99%
Oct 22  2015,3.67,3.60,3.74,3.58,983.81K,1.94%
Oct 21  2015,3.60,3.75,3.79,3.57,2.20M,-5.26%
