Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,25.73,26.37,26.37,25.55,66.41K,-2.20%
Apr 18  2016,26.31,25.78,26.36,25.75,116.92K,1.82%
Apr 15  2016,25.84,25.90,26.11,25.35,82.87K,-0.31%
Apr 14  2016,25.92,25.87,26.09,25.69,50.39K,0.19%
Apr 13  2016,25.87,26.00,26.06,25.50,115.79K,-0.08%
Apr 12  2016,25.89,26.47,26.47,25.85,130.73K,-1.86%
Apr 11  2016,26.38,26.50,26.71,26.20,94.11K,-0.38%
Apr 08  2016,26.48,26.75,26.75,26.25,82.79K,0.34%
Apr 07  2016,26.39,27.00,27.00,25.78,191.14K,-3.12%
Apr 06  2016,27.24,26.47,27.34,26.29,131.91K,3.38%
Apr 05  2016,26.35,26.21,26.61,26.20,87.67K,-0.11%
Apr 04  2016,26.38,26.50,26.62,26.16,125.80K,-0.30%
Apr 01  2016,26.46,25.62,26.46,25.50,85.70K,2.40%
Mar 31  2016,25.84,25.60,26.07,25.25,92.95K,0.74%
Mar 30  2016,25.65,25.88,26.15,25.12,175.12K,-0.08%
Mar 29  2016,25.67,24.10,26.19,24.03,259.61K,5.99%
Mar 28  2016,24.22,24.39,24.54,23.95,79.19K,-0.49%
Mar 24  2016,24.34,25.00,25.04,24.30,75.11K,-2.37%
Mar 23  2016,24.93,24.90,25.32,24.79,90.45K,-0.60%
Mar 22  2016,25.08,25.29,25.29,24.76,159.44K,-1.53%
Mar 21  2016,25.47,25.68,25.78,25.08,132.61K,-1.32%
Mar 18  2016,25.81,25.78,25.89,25.48,92.44K,0.23%
Mar 17  2016,25.75,25.38,25.95,25.24,166.13K,1.46%
Mar 16  2016,25.38,25.23,25.60,25.23,130.63K,0.59%
Mar 15  2016,25.23,25.05,25.34,24.80,102.33K,-0.24%
Mar 14  2016,25.29,25.36,25.60,25.18,85.76K,-0.35%
Mar 11  2016,25.38,24.75,25.97,24.75,137.96K,3.59%
Mar 10  2016,24.50,25.01,25.12,24.29,108.08K,-2.04%
Mar 09  2016,25.01,24.67,25.05,24.57,109.85K,1.96%
Mar 08  2016,24.53,24.58,25.00,24.20,173.10K,-0.65%
Mar 07  2016,24.69,24.50,24.95,24.50,121.18K,0.57%
Mar 04  2016,24.55,24.75,24.95,24.30,334.61K,-0.81%
Mar 03  2016,24.75,24.35,25.05,24.21,341.61K,2.02%
Mar 02  2016,24.26,23.60,24.26,23.19,142.59K,3.54%
Mar 01  2016,23.43,22.08,23.50,22.08,246.94K,5.35%
Feb 29  2016,22.24,21.97,22.30,21.90,89.33K,0.82%
Feb 26  2016,22.06,21.87,22.36,21.87,55.19K,0.91%
Feb 25  2016,21.86,21.55,21.95,21.50,126.31K,1.44%
Feb 24  2016,21.55,21.75,21.83,20.77,226.10K,-1.33%
Feb 23  2016,21.84,22.65,23.12,21.80,179.91K,-4.50%
Feb 22  2016,22.87,22.03,22.91,22.03,179.20K,3.86%
Feb 19  2016,22.02,21.30,22.24,21.30,33.54K,-1.03%
Feb 18  2016,22.25,22.76,22.82,22.05,280.17K,-1.55%
Feb 17  2016,22.60,21.14,22.69,21.14,252.54K,7.57%
Feb 16  2016,21.01,21.00,21.20,20.54,114.11K,1.45%
Feb 12  2016,20.71,20.48,20.93,20.31,203.72K,3.29%
Feb 11  2016,20.05,20.47,20.59,19.59,237.14K,-3.14%
Feb 10  2016,20.70,20.18,20.99,19.95,307.17K,2.63%
Feb 09  2016,20.17,19.77,20.46,19.44,454.39K,1.36%
Feb 08  2016,19.90,21.88,21.92,19.66,404.81K,-9.05%
Feb 05  2016,21.88,23.05,23.14,21.87,297.61K,-5.40%
Feb 04  2016,23.13,23.02,23.60,22.89,184.64K,0.48%
Feb 03  2016,23.02,22.77,23.20,21.93,322.59K,2.40%
Feb 02  2016,22.48,23.53,23.70,22.39,251.13K,-5.94%
Feb 01  2016,23.90,23.57,24.50,23.29,211.65K,-2.29%
Jan 29  2016,24.46,24.52,24.81,24.12,308.56K,-0.12%
Jan 28  2016,24.49,24.94,24.94,23.68,281.63K,3.68%
Jan 27  2016,23.62,24.27,24.57,23.45,206.11K,-2.84%
Jan 26  2016,24.31,24.45,24.47,23.86,143.11K,0.21%
Jan 25  2016,24.26,25.14,25.14,23.73,192.48K,-4.38%
Jan 22  2016,25.37,24.60,26.09,24.60,214.42K,5.10%
Jan 21  2016,24.14,23.55,24.64,23.14,152.91K,2.64%
Jan 20  2016,23.52,23.62,23.83,22.56,339.54K,-2.20%
Jan 19  2016,24.05,25.41,25.42,23.52,200.99K,-3.99%
Jan 18  2016,25.05,25.88,25.88,25.00,105.71K,-0.71%
Jan 15  2016,25.23,25.03,25.85,24.64,238.48K,-1.64%
