Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,28.59,28.89,28.89,28.27,148.16K,-0.28%
Apr 18  2016,28.67,28.68,28.90,28.48,82.18K,0.07%
Apr 15  2016,28.65,28.75,29.00,28.50,82.39K,-0.59%
Apr 14  2016,28.82,28.75,29.20,28.62,112.09K,0.24%
Apr 13  2016,28.75,28.59,28.84,28.50,570.18K,0.98%
Apr 12  2016,28.47,28.91,28.99,28.45,127.88K,-1.59%
Apr 11  2016,28.93,28.84,29.50,28.70,123.07K,0.70%
Apr 08  2016,28.73,29.13,29.21,28.34,212.31K,-0.90%
Apr 07  2016,28.99,28.84,29.42,28.65,97.50K,0.38%
Apr 06  2016,28.88,28.60,28.92,28.36,420.76K,1.09%
Apr 05  2016,28.57,29.03,29.20,28.50,103.95K,-1.62%
Apr 04  2016,29.04,29.03,29.22,28.90,66.45K,0.28%
Apr 01  2016,28.96,28.90,29.27,28.65,72.71K,0.14%
Mar 31  2016,28.92,29.70,29.70,28.70,82.95K,-2.49%
Mar 30  2016,29.66,29.17,30.04,29.06,88.39K,2.03%
Mar 29  2016,29.07,29.39,29.77,29.07,83.22K,-1.89%
Mar 28  2016,29.63,29.52,29.80,29.11,121.61K,1.26%
Mar 24  2016,29.26,28.69,30.13,28.69,152.66K,2.38%
Mar 23  2016,28.58,28.20,28.93,28.20,151.30K,1.28%
Mar 22  2016,28.22,28.68,28.73,27.85,259.50K,-1.67%
Mar 21  2016,28.70,29.00,29.30,28.67,148.14K,-0.83%
Mar 18  2016,28.94,29.49,29.69,28.94,421.49K,-1.56%
Mar 17  2016,29.40,29.07,29.78,29.07,168.73K,1.03%
Mar 16  2016,29.10,29.63,29.77,29.00,290.25K,-2.25%
Mar 15  2016,29.77,30.12,30.91,29.65,173.26K,-3.09%
Mar 14  2016,30.72,31.13,31.60,30.48,109.52K,-2.45%
Mar 11  2016,31.49,31.41,32.00,31.40,53.62K,0.41%
Mar 10  2016,31.36,31.51,31.76,30.92,63.20K,-0.25%
Mar 09  2016,31.44,32.10,32.26,31.41,88.72K,-2.51%
Mar 08  2016,32.25,32.00,32.43,31.93,78.90K,0.56%
Mar 07  2016,32.07,32.17,32.50,31.88,93.62K,-0.09%
Mar 04  2016,32.10,32.18,32.22,31.90,77.66K,-0.12%
Mar 03  2016,32.14,31.70,32.19,31.70,125.05K,1.16%
Mar 02  2016,31.77,31.85,31.87,31.01,144.60K,-0.59%
Mar 01  2016,31.96,31.59,32.22,31.36,98.52K,1.85%
Feb 29  2016,31.38,31.37,31.97,31.02,80.85K,-0.06%
Feb 26  2016,31.40,32.72,33.00,31.39,170.40K,-4.00%
Feb 25  2016,32.71,31.82,32.73,31.67,126.84K,2.80%
Feb 24  2016,31.82,31.29,31.84,31.11,65.68K,1.60%
Feb 23  2016,31.32,31.09,31.39,30.90,213.57K,0.38%
Feb 22  2016,31.20,31.77,31.77,31.01,114.30K,-0.54%
Feb 19  2016,31.37,31.77,31.80,31.11,171.00K,-0.76%
Feb 18  2016,31.61,30.68,31.78,30.50,167.25K,3.17%
Feb 17  2016,30.64,30.43,30.99,30.26,144.88K,1.19%
Feb 16  2016,30.28,31.29,31.40,30.26,107.84K,-2.95%
Feb 12  2016,31.20,30.50,31.41,30.47,136.65K,2.40%
Feb 11  2016,30.47,30.02,30.55,30.00,106.30K,0.40%
Feb 10  2016,30.35,29.99,30.50,29.98,109.42K,1.61%
Feb 09  2016,29.87,29.29,30.05,29.29,225.34K,0.64%
Feb 08  2016,29.68,29.60,29.75,29.43,66.44K,-0.57%
Feb 05  2016,29.85,30.37,30.48,29.66,161.68K,-1.71%
Feb 04  2016,30.37,30.47,30.81,30.23,85.48K,-1.91%
Feb 03  2016,30.96,30.40,31.00,30.24,172.14K,1.94%
Feb 02  2016,30.37,30.07,30.42,30.04,70.63K,0.10%
Feb 01  2016,30.34,30.57,30.57,30.00,107.99K,-0.62%
Jan 29  2016,30.53,29.31,30.53,29.28,208.57K,4.23%
Jan 28  2016,29.29,28.52,29.44,28.52,86.14K,2.70%
Jan 27  2016,28.52,28.32,28.80,28.26,63.26K,0.78%
Jan 26  2016,28.30,28.50,28.67,28.04,88.30K,-0.81%
Jan 25  2016,28.53,28.54,28.86,28.30,99.96K,-0.17%
Jan 22  2016,28.58,28.37,28.72,28.15,130.56K,1.31%
Jan 21  2016,28.21,28.11,28.28,27.71,118.68K,0.61%
Jan 20  2016,28.04,27.64,28.12,27.60,157.01K,1.15%
Jan 19  2016,27.72,27.08,28.08,27.06,178.33K,2.63%
Jan 18  2016,27.01,27.97,28.00,26.59,52.63K,-2.60%
Jan 15  2016,27.73,27.65,27.77,27.02,167.77K,-0.43%
Jan 14  2016,27.85,27.80,27.88,27.25,52.25K,0.07%
Jan 13  2016,27.83,28.39,28.42,27.81,77.56K,-1.00%
Jan 12  2016,28.11,28.13,28.56,27.66,75.66K,-0.04%
Jan 11  2016,28.12,28.51,28.51,27.90,49.22K,-1.44%
Jan 08  2016,28.53,27.50,28.65,27.45,111.10K,3.37%
Jan 07  2016,27.60,28.09,28.09,27.54,66.18K,-2.37%
