Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.96,20.99,21.21,20.91,520.49K,-0.19%
Apr 18  2016,21.00,20.80,21.00,20.80,254.42K,0.53%
Apr 15  2016,20.89,20.85,21.08,20.85,195.38K,-0.29%
Apr 14  2016,20.95,21.00,21.01,20.83,331.74K,-0.19%
Apr 13  2016,20.99,21.14,21.14,20.96,541.51K,0.19%
Apr 12  2016,20.95,21.51,21.54,20.95,534.59K,-2.65%
Apr 11  2016,21.52,21.80,21.84,21.49,222.94K,-1.24%
Apr 08  2016,21.79,21.90,21.95,21.73,261.36K,-0.27%
Apr 07  2016,21.85,21.74,21.85,21.71,246.84K,0.18%
Apr 06  2016,21.81,21.80,21.84,21.72,381.65K,-0.18%
Apr 05  2016,21.85,21.69,21.90,21.49,284.40K,0.46%
Apr 04  2016,21.75,21.74,21.77,21.52,183.74K,0.32%
Apr 01  2016,21.68,21.42,21.76,21.25,739.65K,1.21%
Mar 31  2016,21.42,21.39,21.70,21.25,664.32K,0.23%
Mar 30  2016,21.37,21.09,21.63,21.00,383.61K,1.81%
Mar 29  2016,20.99,20.84,21.04,20.67,188.38K,0.24%
Mar 28  2016,20.94,20.84,20.99,20.70,187.23K,0.77%
Mar 24  2016,20.78,20.90,21.10,20.61,330.30K,-1.24%
Mar 23  2016,21.04,21.02,21.11,20.91,166.67K,-0.05%
Mar 22  2016,21.05,20.89,21.20,20.79,582.05K,0.57%
Mar 21  2016,20.93,20.75,20.95,20.68,228.42K,0.87%
Mar 18  2016,20.75,21.00,21.21,20.56,2.44M,-1.00%
Mar 17  2016,20.96,20.76,21.09,20.56,403.93K,1.11%
Mar 16  2016,20.73,20.60,20.93,20.50,458.79K,0.73%
Mar 15  2016,20.58,20.24,20.68,20.13,299.56K,1.23%
Mar 14  2016,20.33,20.27,20.45,20.08,386.04K,0.25%
Mar 11  2016,20.28,20.29,20.46,20.09,324.22K,0.60%
Mar 10  2016,20.16,20.55,20.63,20.07,489.46K,-1.99%
Mar 09  2016,20.57,20.57,20.71,20.50,773.73K,0.15%
Mar 08  2016,20.54,20.46,20.64,20.20,441.55K,0.69%
Mar 07  2016,20.40,20.02,20.64,20.02,301.03K,1.75%
Mar 04  2016,20.05,20.02,20.08,19.90,339.97K,0.75%
Mar 03  2016,19.90,20.07,20.07,19.84,282.49K,-0.55%
Mar 02  2016,20.01,19.58,20.08,19.31,634.29K,2.51%
Mar 01  2016,19.52,19.06,19.78,18.97,615.83K,2.63%
Feb 29  2016,19.02,18.81,19.18,18.70,1.86M,1.39%
Feb 26  2016,18.76,18.66,19.38,18.66,996.46K,0.75%
Feb 25  2016,18.62,18.60,18.89,17.75,863.34K,-0.21%
Feb 24  2016,18.66,18.84,18.89,18.65,246.94K,-1.27%
Feb 23  2016,18.90,19.15,19.46,18.84,341.91K,-1.31%
Feb 22  2016,19.15,19.03,19.25,18.96,242.66K,2.13%
Feb 19  2016,18.75,19.09,19.22,18.72,456.73K,-2.45%
Feb 18  2016,19.22,19.17,19.48,19.10,818.49K,0.79%
Feb 17  2016,19.07,18.50,19.23,18.50,453.59K,3.81%
Feb 16  2016,18.37,18.37,18.44,18.07,261.93K,1.16%
Feb 12  2016,18.16,18.16,18.33,17.96,277.49K,0.72%
