Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,19.23,19.17,19.23,19.05,70.70K,0.73%
Apr 18  2016,19.09,18.96,19.16,18.78,58.01K,1.01%
Apr 15  2016,18.90,19.01,19.10,18.83,83.39K,-0.84%
Apr 14  2016,19.06,19.48,19.48,19.00,58.57K,-1.75%
Apr 13  2016,19.40,19.40,19.48,19.00,100.52K,2.05%
Apr 12  2016,19.01,19.09,19.37,18.85,94.55K,0.26%
Apr 11  2016,18.96,18.68,18.97,18.43,98.62K,2.21%
Apr 08  2016,18.55,18.51,18.62,18.43,70.04K,0.76%
Apr 07  2016,18.41,18.45,18.63,18.39,48.83K,-0.16%
Apr 06  2016,18.44,18.59,18.67,18.36,39.91K,-0.59%
Apr 05  2016,18.55,18.54,18.67,18.39,77.41K,-0.48%
Apr 04  2016,18.64,18.55,18.64,18.43,51.84K,0.49%
Apr 01  2016,18.55,18.68,18.88,18.52,89.41K,-0.70%
Mar 31  2016,18.68,18.60,18.73,18.51,141.55K,0.65%
Mar 30  2016,18.56,18.71,18.75,18.55,53.70K,-0.32%
Mar 29  2016,18.62,18.65,18.75,18.52,77.22K,-0.32%
Mar 28  2016,18.68,18.59,18.74,18.55,43.79K,0.70%
Mar 24  2016,18.55,18.48,18.62,18.16,105.00K,0.71%
Mar 23  2016,18.42,19.22,19.30,18.41,138.55K,-4.21%
Mar 22  2016,19.23,19.34,19.35,19.06,130.60K,-0.57%
Mar 21  2016,19.34,19.00,19.34,18.91,122.95K,2.22%
Mar 18  2016,18.92,19.11,19.38,18.85,313.37K,-0.32%
Mar 17  2016,18.98,18.69,19.20,18.65,145.52K,2.04%
Mar 16  2016,18.60,18.22,18.86,18.20,199.67K,2.25%
Mar 15  2016,18.19,18.46,18.46,18.05,135.78K,-1.99%
Mar 14  2016,18.56,18.01,18.60,18.01,149.88K,0.43%
Mar 11  2016,18.48,18.85,18.85,18.46,132.96K,-1.18%
Mar 10  2016,18.70,18.69,18.93,18.50,131.74K,-0.48%
Mar 09  2016,18.79,18.81,19.03,18.65,125.89K,0.37%
Mar 08  2016,18.72,18.60,18.95,18.51,150.70K,0.97%
Mar 07  2016,18.54,18.72,19.19,18.40,126.52K,-0.54%
Mar 04  2016,18.64,18.75,19.09,18.60,110.74K,-0.27%
Mar 03  2016,18.69,18.44,18.74,18.44,71.82K,1.91%
Mar 02  2016,18.34,17.90,18.45,17.90,106.04K,3.32%
Mar 01  2016,17.75,17.75,17.94,17.62,91.67K,0.57%
Feb 29  2016,17.65,17.47,17.85,17.47,75.71K,1.03%
Feb 26  2016,17.47,17.57,17.75,17.40,97.09K,0.69%
Feb 25  2016,17.35,17.60,17.60,17.24,103.46K,-1.70%
Feb 24  2016,17.65,17.47,17.71,17.35,46.66K,0.80%
Feb 23  2016,17.51,17.66,17.71,17.46,43.45K,-0.85%
Feb 22  2016,17.66,17.75,17.78,17.36,148.84K,0.86%
Feb 19  2016,17.51,17.52,17.74,17.09,129.40K,-0.06%
Feb 18  2016,17.52,17.08,17.60,16.87,98.86K,3.79%
Feb 17  2016,16.88,16.51,17.10,16.48,382.03K,2.74%
Feb 16  2016,16.43,16.44,16.55,16.20,218.02K,1.11%
Feb 12  2016,16.25,16.24,16.71,16.19,91.70K,0.62%
Feb 11  2016,16.15,16.29,16.43,16.00,61.13K,-1.40%
Feb 10  2016,16.38,16.50,16.77,16.38,63.66K,-0.79%
Feb 09  2016,16.51,16.71,16.80,16.40,80.01K,-1.90%
Feb 08  2016,16.83,17.44,17.49,16.69,89.71K,-3.61%
Feb 05  2016,17.46,17.45,17.46,17.22,65.37K,0.11%
Feb 04  2016,17.44,17.20,17.48,17.20,81.79K,1.10%
Feb 03  2016,17.25,17.28,17.34,17.03,62.88K,0.17%
Feb 02  2016,17.22,17.10,17.25,16.76,157.40K,0.35%
Feb 01  2016,17.16,17.24,17.46,17.00,149.15K,-0.12%
Jan 29  2016,17.18,17.05,17.51,16.64,499.53K,1.54%
Jan 28  2016,16.92,16.87,16.95,16.37,163.80K,0.89%
Jan 27  2016,16.77,16.90,16.99,16.56,99.78K,-2.10%
Jan 26  2016,17.13,16.50,17.13,16.47,226.01K,4.26%
Jan 25  2016,16.43,16.77,17.09,16.38,138.64K,-1.79%
Jan 22  2016,16.73,16.38,16.87,16.30,109.56K,2.95%
Jan 21  2016,16.25,16.49,16.55,16.10,149.84K,-0.98%
Jan 20  2016,16.41,16.00,16.70,15.63,138.75K,1.17%
Jan 19  2016,16.22,15.97,16.23,15.67,103.18K,2.85%
Jan 18  2016,15.77,16.45,16.87,15.77,48.37K,-4.71%
Jan 15  2016,16.55,16.00,16.57,15.94,102.29K,1.16%
Jan 14  2016,16.36,16.24,16.37,15.75,107.50K,0.00%
Jan 13  2016,16.36,16.38,16.87,16.18,117.27K,-0.18%
Jan 12  2016,16.39,16.54,16.81,16.05,158.77K,-0.73%
Jan 11  2016,16.51,16.92,17.29,16.41,107.11K,-2.48%
Jan 08  2016,16.93,17.25,17.25,16.75,90.13K,0.42%
Jan 07  2016,16.86,17.40,17.40,16.85,183.92K,-3.60%
Jan 06  2016,17.49,17.66,17.68,17.40,72.55K,-1.24%
Jan 05  2016,17.71,17.96,18.00,17.55,137.44K,-1.39%
Jan 04  2016,17.96,17.55,18.05,17.55,113.04K,2.28%
Dec 31  2015,17.56,17.62,17.88,17.55,57.76K,-0.23%
Dec 30  2015,17.60,17.69,17.71,17.49,75.82K,0.57%
Dec 29  2015,17.50,17.92,17.92,17.33,95.93K,-2.34%
Dec 24  2015,17.92,17.58,17.95,17.35,55.03K,2.22%
Dec 23  2015,17.53,17.17,17.67,17.17,122.67K,2.22%
Dec 22  2015,17.15,17.03,17.24,16.94,161.32K,1.24%
Dec 21  2015,16.94,16.66,17.23,16.60,204.53K,1.62%
Dec 18  2015,16.67,16.72,16.90,16.48,1.47M,-0.06%
Dec 17  2015,16.68,16.97,17.04,16.51,222.77K,-1.30%
Dec 16  2015,16.90,16.56,16.98,16.52,213.77K,2.30%
Dec 15  2015,16.52,16.47,16.57,16.35,150.97K,0.92%
Dec 14  2015,16.37,16.47,16.52,16.10,145.84K,-1.09%
Dec 11  2015,16.55,16.60,16.61,16.41,82.86K,-0.78%
Dec 10  2015,16.68,16.61,16.80,16.49,105.14K,0.66%
Dec 09  2015,16.57,16.59,16.80,16.45,112.89K,-0.12%
Dec 08  2015,16.59,16.80,16.83,16.40,177.82K,-1.72%
Dec 07  2015,16.88,17.50,17.55,16.69,217.15K,-3.98%
Dec 04  2015,17.58,17.84,17.95,17.52,151.81K,-1.62%
Dec 03  2015,17.87,17.89,17.90,17.71,94.83K,-0.17%
Dec 02  2015,17.90,18.44,18.52,17.52,151.40K,-3.30%
Dec 01  2015,18.51,18.31,18.51,18.22,82.63K,0.71%
Nov 30  2015,18.38,18.34,18.50,18.27,79.35K,0.16%
Nov 27  2015,18.35,18.27,18.40,18.20,62.70K,0.44%
Nov 26  2015,18.27,18.11,18.28,17.79,50.34K,0.50%
Nov 25  2015,18.18,18.28,18.28,18.07,121.04K,-0.38%
Nov 24  2015,18.25,18.14,18.29,18.00,151.36K,0.27%
Nov 23  2015,18.20,18.07,18.23,18.03,84.74K,0.44%
Nov 20  2015,18.12,18.07,18.15,17.96,96.59K,0.22%
Nov 19  2015,18.08,18.09,18.09,17.77,104.42K,-0.06%
Nov 18  2015,18.09,18.30,18.33,17.97,200.40K,-1.04%
Nov 17  2015,18.28,18.30,18.32,18.09,301.61K,0.16%
Nov 16  2015,18.25,18.31,18.40,18.03,90.41K,0.11%
Nov 13  2015,18.23,18.12,18.30,18.10,89.71K,0.28%
Nov 12  2015,18.18,18.20,18.27,18.05,110.31K,-0.60%
Nov 11  2015,18.29,18.63,18.63,18.20,120.14K,-1.83%
