Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.82,7.87,7.87,7.73,380.27K,1.69%
Apr 18  2016,7.69,7.86,7.86,7.67,172.20K,-0.13%
Apr 15  2016,7.70,7.55,7.81,7.53,356.76K,2.39%
Apr 14  2016,7.52,7.67,7.67,7.38,354.95K,-1.57%
Apr 13  2016,7.64,7.68,7.77,7.59,322.10K,-1.67%
Apr 12  2016,7.77,7.91,7.99,7.60,509.95K,-1.65%
Apr 11  2016,7.90,7.73,8.07,7.69,1.35M,5.19%
Apr 08  2016,7.51,7.21,7.61,7.17,523.80K,4.16%
Apr 07  2016,7.21,7.12,7.30,7.12,413.44K,4.04%
Apr 06  2016,6.93,6.93,7.08,6.78,687.21K,-0.57%
Apr 05  2016,6.97,6.74,7.13,6.74,369.08K,5.61%
Apr 04  2016,6.60,6.72,6.75,6.55,476.26K,-1.79%
Apr 01  2016,6.72,6.45,6.74,6.39,287.70K,2.13%
Mar 31  2016,6.58,6.74,6.78,6.57,418.63K,-1.50%
Mar 30  2016,6.68,6.78,6.79,6.45,575.72K,-2.34%
Mar 29  2016,6.84,6.58,6.85,6.47,362.48K,4.91%
Mar 28  2016,6.52,6.55,6.66,6.38,188.59K,-0.46%
Mar 24  2016,6.55,6.56,6.59,6.38,311.51K,0.15%
Mar 23  2016,6.54,6.64,6.77,6.51,483.65K,-4.39%
Mar 22  2016,6.84,7.01,7.13,6.74,330.78K,-1.44%
Mar 21  2016,6.94,6.88,7.14,6.86,356.63K,0.43%
Mar 18  2016,6.91,6.91,7.02,6.69,580.74K,0.44%
Mar 17  2016,6.88,7.17,7.24,6.86,550.63K,-2.96%
Mar 16  2016,7.09,6.65,7.11,6.58,525.20K,5.19%
Mar 15  2016,6.74,6.60,6.76,6.43,318.69K,1.66%
Mar 14  2016,6.63,6.96,7.05,6.58,451.86K,-1.92%
Mar 11  2016,6.76,7.20,7.20,6.74,382.21K,-5.98%
Mar 10  2016,7.19,6.84,7.36,6.84,512.21K,5.58%
Mar 09  2016,6.81,6.77,6.88,6.45,415.16K,-1.02%
Mar 08  2016,6.88,7.00,7.03,6.75,550.74K,0.58%
Mar 07  2016,6.84,6.90,7.17,6.70,499.65K,2.24%
Mar 04  2016,6.69,6.78,7.05,6.67,834.51K,-0.74%
Mar 03  2016,6.74,6.60,6.79,6.57,238.13K,2.59%
Mar 02  2016,6.57,6.53,6.67,6.46,289.43K,1.55%
Mar 01  2016,6.47,6.73,6.75,6.33,1.13M,-3.43%
Feb 29  2016,6.70,6.53,6.70,6.53,272.89K,3.40%
Feb 26  2016,6.48,6.46,6.62,6.27,372.47K,-1.22%
Feb 25  2016,6.56,6.67,6.74,6.45,381.77K,-1.80%
Feb 24  2016,6.68,6.87,6.95,6.54,578.72K,0.60%
Feb 23  2016,6.64,6.63,6.89,6.56,367.40K,2.63%
Feb 22  2016,6.47,6.50,6.74,6.47,462.03K,-2.71%
Feb 19  2016,6.65,6.85,6.85,6.57,494.09K,-1.19%
Feb 18  2016,6.73,6.35,6.78,6.35,563.25K,5.32%
Feb 17  2016,6.39,6.42,6.58,6.26,438.11K,0.95%
Feb 16  2016,6.33,6.53,6.78,6.23,438.95K,-5.38%
Feb 12  2016,6.69,6.51,6.73,6.42,412.24K,2.29%
Feb 11  2016,6.54,6.66,6.88,6.40,755.58K,6.00%
Feb 10  2016,6.17,5.87,6.20,5.77,618.38K,4.05%
Feb 09  2016,5.93,6.39,6.43,5.87,526.72K,-6.47%
Feb 08  2016,6.34,6.35,6.68,6.29,864.35K,0.96%
Feb 05  2016,6.28,5.83,6.31,5.81,383.16K,5.72%
Feb 04  2016,5.94,6.13,6.13,5.90,358.81K,-0.67%
Feb 03  2016,5.98,5.75,6.10,5.70,358.36K,4.73%
Feb 02  2016,5.71,5.75,5.90,5.67,254.63K,-0.70%
Feb 01  2016,5.75,5.96,6.05,5.74,296.59K,-2.54%
Jan 29  2016,5.90,5.71,5.91,5.63,345.24K,3.69%
Jan 28  2016,5.69,5.72,5.82,5.60,342.73K,-3.56%
Jan 27  2016,5.90,5.70,5.98,5.64,348.33K,2.61%
Jan 26  2016,5.75,5.65,5.95,5.60,307.57K,3.23%
Jan 25  2016,5.57,5.48,5.58,5.37,354.29K,2.77%
Jan 22  2016,5.42,5.23,5.49,5.13,356.39K,3.04%
Jan 21  2016,5.26,5.43,5.43,5.18,369.08K,-4.54%
Jan 20  2016,5.51,5.23,5.59,5.09,485.12K,6.58%
Jan 19  2016,5.17,5.47,5.55,5.10,407.91K,-5.31%
Jan 18  2016,5.46,5.51,5.56,5.41,78.54K,-0.91%
Jan 15  2016,5.51,5.59,5.62,5.32,455.70K,3.18%
Jan 14  2016,5.34,5.59,5.60,5.27,667.00K,-4.47%
Jan 13  2016,5.59,5.59,5.77,5.50,359.63K,-0.89%
Jan 12  2016,5.64,5.71,5.71,5.49,395.79K,-2.08%
Jan 11  2016,5.76,6.01,6.03,5.71,436.60K,-3.52%
Jan 08  2016,5.97,5.88,6.14,5.79,449.78K,-0.83%
Jan 07  2016,6.02,6.04,6.09,5.68,652.62K,1.52%
Jan 06  2016,5.93,6.10,6.19,5.93,378.18K,-1.50%
Jan 05  2016,6.02,6.02,6.18,5.98,388.80K,0.00%
Jan 04  2016,6.02,6.00,6.20,5.97,524.47K,3.61%
Dec 31  2015,5.81,5.90,5.92,5.72,167.84K,-1.36%
Dec 30  2015,5.89,5.76,5.94,5.75,167.39K,0.51%
Dec 29  2015,5.86,6.00,6.00,5.71,242.17K,-3.93%
Dec 24  2015,6.10,5.97,6.14,5.97,133.16K,0.33%
Dec 23  2015,6.08,5.98,6.12,5.91,171.20K,1.33%
Dec 22  2015,6.00,6.05,6.14,5.94,202.05K,-0.66%
Dec 21  2015,6.04,6.00,6.26,5.94,459.56K,2.90%
Dec 18  2015,5.87,5.72,6.06,5.68,837.64K,5.96%
Dec 17  2015,5.54,5.96,6.05,5.48,743.41K,-10.21%
Dec 16  2015,6.17,6.03,6.34,5.98,770.51K,4.93%
Dec 15  2015,5.88,5.90,6.03,5.83,601.93K,0.34%
Dec 14  2015,5.86,5.92,6.02,5.79,607.18K,-1.51%
Dec 11  2015,5.95,5.64,6.01,5.64,296.93K,4.39%
Dec 10  2015,5.70,5.57,5.78,5.57,364.61K,1.24%
Dec 09  2015,5.63,5.67,5.77,5.58,420.24K,2.18%
Dec 08  2015,5.51,5.52,5.63,5.41,262.53K,0.36%
Dec 07  2015,5.49,5.63,5.69,5.43,321.15K,-3.17%
Dec 04  2015,5.67,5.35,5.71,5.33,421.55K,6.78%
Dec 03  2015,5.31,5.34,5.36,5.25,325.85K,0.95%
Dec 02  2015,5.26,5.06,5.32,4.97,327.26K,0.96%
Dec 01  2015,5.21,5.06,5.26,4.96,298.44K,3.78%
Nov 30  2015,5.02,4.83,5.02,4.82,400.05K,4.58%
Nov 27  2015,4.80,4.75,4.84,4.64,178.38K,-1.64%
Nov 26  2015,4.88,4.75,4.89,4.75,33.29K,2.09%
Nov 25  2015,4.78,4.76,4.88,4.72,186.83K,-0.42%
Nov 24  2015,4.80,4.79,4.90,4.75,214.65K,0.63%
Nov 23  2015,4.77,4.67,4.81,4.66,132.94K,2.36%
Nov 20  2015,4.66,4.82,4.89,4.61,176.62K,-3.52%
Nov 19  2015,4.83,4.74,4.87,4.72,171.15K,2.11%
Nov 18  2015,4.73,4.66,4.76,4.51,166.64K,3.73%
Nov 17  2015,4.56,4.80,4.80,4.55,221.96K,-5.98%
Nov 16  2015,4.85,4.77,4.91,4.77,142.53K,2.11%
Nov 13  2015,4.75,4.64,4.75,4.54,157.99K,3.26%
Nov 12  2015,4.60,4.52,4.65,4.49,156.60K,-0.43%
Nov 11  2015,4.62,4.52,4.66,4.48,113.83K,2.44%
Nov 10  2015,4.51,4.54,4.62,4.42,142.44K,-1.53%
Nov 09  2015,4.58,4.34,4.60,4.32,233.22K,5.53%
Nov 06  2015,4.34,4.42,4.42,4.05,252.20K,-4.41%
Nov 05  2015,4.54,4.74,4.75,4.54,213.15K,-4.42%
Nov 04  2015,4.75,4.81,4.87,4.71,207.41K,-1.04%
Nov 03  2015,4.80,4.78,4.85,4.71,140.35K,-0.83%
Nov 02  2015,4.84,4.66,4.88,4.66,273.22K,2.54%
Oct 30  2015,4.72,4.82,4.84,4.71,161.23K,-2.07%
Oct 29  2015,4.82,4.87,4.93,4.74,196.97K,-2.43%
Oct 28  2015,4.94,5.13,5.18,4.81,345.78K,-2.37%
Oct 27  2015,5.06,4.99,5.12,4.87,153.93K,1.61%
Oct 26  2015,4.98,5.19,5.22,4.98,150.57K,-3.49%
Oct 23  2015,5.16,5.00,5.20,4.89,266.55K,5.09%
Oct 22  2015,4.91,4.76,4.92,4.68,278.02K,3.37%
Oct 21  2015,4.75,4.87,4.88,4.72,320.51K,-2.26%
Oct 20  2015,4.86,4.75,4.92,4.75,217.22K,1.89%
Oct 19  2015,4.77,4.85,4.94,4.71,210.21K,-2.05%
Oct 16  2015,4.87,5.13,5.21,4.87,182.53K,-5.80%
Oct 15  2015,5.17,5.12,5.23,5.03,256.24K,1.57%
Oct 14  2015,5.09,4.92,5.22,4.92,422.83K,4.52%
Oct 13  2015,4.87,4.85,4.92,4.82,143.48K,-0.41%
Oct 09  2015,4.89,4.96,5.00,4.80,225.50K,1.66%
Oct 08  2015,4.81,4.84,4.95,4.74,202.77K,-2.04%
Oct 07  2015,4.91,4.98,4.98,4.63,297.00K,0.20%
Oct 06  2015,4.90,4.94,5.03,4.86,334.75K,0.82%
Oct 05  2015,4.86,4.89,5.00,4.86,195.80K,-0.61%
Oct 02  2015,4.89,4.78,4.90,4.71,166.58K,6.30%
Oct 01  2015,4.60,4.84,4.92,4.58,191.37K,-4.76%
Sep 30  2015,4.83,4.70,4.84,4.64,268.08K,2.33%
Sep 29  2015,4.72,4.66,4.88,4.66,133.84K,0.43%
Sep 28  2015,4.70,4.84,4.90,4.66,214.14K,-5.43%
Sep 25  2015,4.97,5.04,5.13,4.96,303.90K,-2.93%
Sep 24  2015,5.12,4.95,5.16,4.88,362.23K,6.67%
Sep 23  2015,4.80,4.76,4.84,4.72,123.58K,2.56%
Sep 22  2015,4.68,4.85,4.95,4.64,177.50K,-5.65%
Sep 21  2015,4.96,4.88,5.07,4.87,191.08K,0.20%
Sep 18  2015,4.95,4.90,4.97,4.78,865.78K,1.64%
Sep 17  2015,4.87,4.76,4.87,4.67,594.16K,0.83%
Sep 16  2015,4.83,4.68,4.86,4.66,391.85K,5.00%
Sep 15  2015,4.60,4.62,4.72,4.54,233.64K,0.00%
Sep 14  2015,4.60,4.84,4.85,4.57,366.20K,-5.54%
Sep 11  2015,4.87,4.61,4.88,4.56,199.18K,5.87%
Sep 10  2015,4.60,4.57,4.73,4.53,153.90K,1.77%
Sep 09  2015,4.52,4.62,4.70,4.49,179.98K,-2.59%
Sep 08  2015,4.64,4.79,4.80,4.61,123.89K,-1.28%
Sep 04  2015,4.70,4.55,4.70,4.55,139.58K,1.51%
Sep 03  2015,4.63,4.61,4.88,4.57,163.27K,-1.70%
Sep 02  2015,4.71,4.75,4.83,4.60,148.59K,-0.84%
Sep 01  2015,4.75,4.89,4.97,4.72,171.38K,-3.46%
Aug 31  2015,4.92,4.93,4.97,4.74,265.32K,-1.40%
Aug 28  2015,4.99,4.70,5.04,4.70,348.17K,6.40%
Aug 27  2015,4.69,4.59,4.83,4.53,377.68K,2.63%
Aug 26  2015,4.57,4.24,4.69,4.24,347.29K,-0.44%
Aug 25  2015,4.59,4.51,4.64,4.25,252.42K,4.79%
Aug 24  2015,4.38,4.60,4.95,4.36,425.13K,-7.40%
Aug 21  2015,4.73,4.79,4.92,4.66,241.19K,-0.42%
Aug 20  2015,4.75,4.97,5.08,4.71,270.35K,-2.66%
Aug 19  2015,4.88,4.75,4.90,4.73,171.81K,3.83%
Aug 18  2015,4.70,4.68,4.76,4.61,96.59K,-2.69%
Aug 17  2015,4.83,4.58,4.86,4.58,147.05K,6.62%
Aug 14  2015,4.53,4.68,4.68,4.44,157.37K,-0.44%
Aug 13  2015,4.55,4.70,4.87,4.54,244.72K,-5.41%
Aug 12  2015,4.81,4.66,4.90,4.66,581.38K,3.44%
Aug 11  2015,4.65,4.45,4.66,4.20,240.90K,4.97%
Aug 10  2015,4.43,4.07,4.43,4.07,252.91K,7.79%
Aug 07  2015,4.11,4.14,4.32,4.10,159.01K,0.98%
Aug 06  2015,4.07,4.01,4.12,3.90,137.23K,4.36%
Aug 05  2015,3.90,3.96,4.06,3.89,102.52K,-2.26%
Aug 04  2015,3.99,3.93,4.04,3.90,148.09K,-0.25%
Jul 31  2015,4.00,3.95,4.01,3.87,245.35K,3.90%
Jul 30  2015,3.85,4.08,4.13,3.85,170.89K,-7.67%
Jul 29  2015,4.17,4.05,4.18,3.99,200.52K,3.99%
Jul 28  2015,4.01,3.99,4.06,3.92,94.09K,2.56%
Jul 27  2015,3.91,4.09,4.31,3.90,284.89K,-5.33%
Jul 24  2015,4.13,3.68,4.16,3.63,313.86K,9.55%
Jul 23  2015,3.77,3.83,3.88,3.65,277.79K,-1.57%
Jul 22  2015,3.83,3.65,3.88,3.55,151.57K,2.68%
Jul 21  2015,3.73,3.45,3.73,3.45,182.97K,9.06%
Jul 20  2015,3.42,3.75,3.77,3.42,340.52K,-11.86%
Jul 17  2015,3.88,3.98,3.99,3.83,335.03K,-2.76%
Jul 16  2015,3.99,4.00,4.07,3.93,59.78K,-0.75%
Jul 15  2015,4.02,4.24,4.25,4.01,72.31K,-5.19%
Jul 14  2015,4.24,4.30,4.40,4.20,71.65K,0.47%
Jul 13  2015,4.22,4.10,4.24,3.99,54.19K,4.20%
Jul 10  2015,4.05,4.04,4.15,3.99,66.31K,1.25%
Jul 09  2015,4.00,4.11,4.11,3.94,59.55K,-1.72%
Jul 08  2015,4.07,4.04,4.25,4.01,86.12K,2.01%
Jul 07  2015,3.99,4.24,4.32,3.99,152.21K,-8.06%
Jul 06  2015,4.34,4.19,4.40,4.13,161.56K,3.83%
Jul 03  2015,4.18,4.15,4.18,4.15,16.17K,2.45%
Jul 02  2015,4.08,4.10,4.15,4.05,112.73K,-4.90%
Jun 30  2015,4.29,4.32,4.41,4.22,110.26K,-0.92%
Jun 29  2015,4.33,4.37,4.46,4.31,77.73K,-0.46%
Jun 26  2015,4.35,4.46,4.48,4.34,46.99K,-2.25%
Jun 25  2015,4.45,4.49,4.49,4.37,85.65K,-0.45%
Jun 24  2015,4.47,4.51,4.59,4.47,64.07K,-1.54%
Jun 23  2015,4.54,4.51,4.60,4.51,37.28K,-0.44%
Jun 22  2015,4.56,4.70,4.79,4.54,112.46K,-5.00%
Jun 19  2015,4.80,4.63,4.85,4.55,525.86K,3.23%
Jun 18  2015,4.65,4.72,4.73,4.59,106.21K,0.43%
Jun 17  2015,4.63,4.55,4.64,4.50,106.20K,1.54%
Jun 16  2015,4.56,4.62,4.63,4.55,81.73K,-1.30%
Jun 15  2015,4.62,4.65,4.73,4.59,144.35K,-0.65%
Jun 12  2015,4.65,4.65,4.70,4.62,108.23K,-0.21%
Jun 11  2015,4.66,4.85,4.89,4.66,93.27K,-4.51%
Jun 10  2015,4.88,5.02,5.02,4.85,95.34K,-1.41%
Jun 09  2015,4.95,5.09,5.10,4.91,103.82K,-2.17%
Jun 08  2015,5.06,5.01,5.07,4.96,88.69K,1.40%
Jun 05  2015,4.99,5.10,5.12,4.98,155.02K,-3.67%
Jun 04  2015,5.18,5.03,5.18,4.89,160.27K,2.98%
Jun 03  2015,5.03,5.12,5.16,5.00,70.16K,-2.71%
Jun 02  2015,5.17,5.15,5.19,5.10,111.95K,0.78%
Jun 01  2015,5.13,5.14,5.20,5.08,126.30K,1.18%
May 29  2015,5.07,5.19,5.22,5.02,100.29K,-0.98%
May 28  2015,5.12,5.08,5.16,5.02,144.26K,1.79%
May 27  2015,5.03,4.95,5.06,4.95,75.92K,1.21%
May 26  2015,4.97,4.99,4.99,4.87,155.17K,-0.60%
May 25  2015,5.00,5.01,5.02,5.00,17.16K,-0.40%
May 22  2015,5.02,4.99,5.08,4.93,70.42K,0.60%
May 21  2015,4.99,5.04,5.11,4.98,86.71K,-0.99%
May 20  2015,5.04,4.90,5.07,4.90,118.34K,2.86%
May 19  2015,4.90,4.84,4.98,4.83,175.30K,-1.80%
May 15  2015,4.99,4.95,5.06,4.93,128.15K,0.81%
May 14  2015,4.95,5.00,5.07,4.90,1.30M,0.20%
May 13  2015,4.94,4.85,4.98,4.83,284.53K,2.92%
May 12  2015,4.80,4.80,4.81,4.75,74.52K,0.84%
May 11  2015,4.76,4.82,4.82,4.72,96.07K,0.63%
May 08  2015,4.73,4.70,4.74,4.60,47.34K,0.85%
May 07  2015,4.69,4.56,4.69,4.52,187.78K,1.30%
May 06  2015,4.63,4.67,4.67,4.57,222.14K,-0.86%
May 05  2015,4.67,4.65,4.70,4.62,137.92K,0.21%
May 04  2015,4.66,4.65,4.67,4.54,125.36K,1.53%
May 01  2015,4.59,4.57,4.67,4.53,118.49K,-0.65%
Apr 30  2015,4.62,4.72,4.75,4.62,296.95K,-3.35%
Apr 29  2015,4.78,4.69,4.81,4.57,232.32K,1.70%
Apr 28  2015,4.70,4.51,4.70,4.50,242.62K,4.44%
Apr 27  2015,4.50,4.34,4.51,4.34,302.37K,3.45%
Apr 24  2015,4.35,4.34,4.46,4.34,191.43K,-1.14%
Apr 23  2015,4.40,4.36,4.45,4.34,121.75K,1.38%
Apr 22  2015,4.34,4.49,4.50,4.34,312.90K,-3.12%
Apr 21  2015,4.48,4.51,4.53,4.45,89.05K,-0.67%
Apr 20  2015,4.51,4.45,4.52,4.36,142.66K,0.22%
Apr 17  2015,4.50,4.40,4.51,4.40,85.32K,1.81%
Apr 16  2015,4.42,4.48,4.48,4.35,154.39K,0.91%
Apr 15  2015,4.38,4.37,4.42,4.33,252.08K,1.86%
Apr 14  2015,4.30,4.35,4.42,4.29,122.87K,-1.60%
Apr 13  2015,4.37,4.51,4.54,4.31,137.78K,-3.53%
Apr 10  2015,4.53,4.38,4.54,4.38,132.80K,5.10%
Apr 09  2015,4.31,4.29,4.37,4.24,210.23K,-0.46%
Apr 08  2015,4.33,4.28,4.38,4.23,314.29K,1.88%
Apr 07  2015,4.25,4.30,4.30,4.14,179.82K,0.00%
Apr 06  2015,4.25,4.19,4.27,4.09,266.30K,7.32%
Apr 02  2015,3.96,3.90,4.01,3.85,171.89K,0.25%
Apr 01  2015,3.95,3.78,4.03,3.67,263.42K,5.90%
Mar 31  2015,3.73,3.65,3.75,3.63,143.87K,1.08%
Mar 30  2015,3.69,3.77,3.82,3.69,91.94K,-3.15%
Mar 27  2015,3.81,3.71,3.88,3.66,97.43K,2.70%
Mar 26  2015,3.71,3.98,4.01,3.70,294.58K,-4.63%
Mar 25  2015,3.89,3.97,4.01,3.87,169.41K,-0.77%
Mar 24  2015,3.92,4.00,4.07,3.90,201.50K,-1.75%
Mar 23  2015,3.99,3.96,4.14,3.91,279.04K,-0.99%
Mar 20  2015,4.03,3.88,4.05,3.83,607.47K,4.40%
Mar 19  2015,3.86,3.83,3.99,3.78,159.70K,0.52%
Mar 18  2015,3.84,3.62,3.84,3.61,207.68K,5.49%
Mar 17  2015,3.64,3.71,3.84,3.62,283.99K,-3.70%
Mar 16  2015,3.78,3.99,4.00,3.66,249.20K,-5.97%
Mar 13  2015,4.02,3.84,4.09,3.77,164.68K,4.96%
Mar 12  2015,3.83,3.88,3.91,3.75,151.62K,-1.29%
Mar 11  2015,3.88,3.56,3.89,3.46,216.63K,8.38%
Mar 10  2015,3.58,3.80,3.95,3.46,309.16K,-5.29%
Mar 09  2015,3.78,4.16,4.16,3.78,245.61K,-8.25%
