Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.920,4.790,5.020,4.750,430.65K,3.14%
Apr 18  2016,4.770,4.500,4.830,4.500,225.72K,2.36%
Apr 15  2016,4.660,4.830,4.940,4.570,544.53K,-6.43%
Apr 14  2016,4.980,5.290,5.290,4.860,327.96K,-5.14%
Apr 13  2016,5.250,5.210,5.360,5.150,368.26K,-0.19%
Apr 12  2016,5.260,4.870,5.420,4.830,530.83K,9.36%
Apr 11  2016,4.810,4.900,5.000,4.760,157.33K,0.00%
Apr 08  2016,4.810,4.710,4.820,4.640,275.16K,6.65%
Apr 07  2016,4.510,4.670,4.670,4.480,218.58K,-2.80%
Apr 06  2016,4.640,4.580,4.675,4.560,390.16K,3.34%
Apr 05  2016,4.490,4.560,4.560,4.450,226.57K,-1.10%
Apr 04  2016,4.540,4.900,4.920,4.520,243.33K,-5.22%
Apr 01  2016,4.790,4.760,4.920,4.700,208.29K,-2.24%
Mar 31  2016,4.900,5.150,5.180,4.770,503.49K,-5.04%
Mar 30  2016,5.160,5.080,5.225,5.030,294.81K,3.82%
Mar 29  2016,4.970,4.720,5.080,4.660,260.12K,2.05%
Mar 28  2016,4.870,4.900,4.900,4.640,220.55K,-0.81%
Mar 24  2016,4.910,4.700,5.020,4.500,359.76K,4.25%
Mar 23  2016,4.710,4.750,4.890,4.550,420.63K,-4.46%
Mar 22  2016,4.930,4.790,5.070,4.790,308.14K,-0.60%
Mar 21  2016,4.960,4.750,4.960,4.640,147.68K,4.42%
Mar 18  2016,4.750,5.130,5.130,4.710,569.73K,-2.26%
Mar 17  2016,4.860,4.650,4.930,4.630,633.79K,7.28%
Mar 16  2016,4.530,4.570,4.650,4.525,453.79K,1.12%
Mar 15  2016,4.480,4.500,4.550,4.330,313.39K,-1.75%
Mar 14  2016,4.560,4.850,4.850,4.520,603.98K,-7.13%
Mar 11  2016,4.910,5.000,5.060,4.810,407.73K,0.82%
Mar 10  2016,4.870,4.790,5.060,4.680,401.42K,1.04%
Mar 09  2016,4.820,4.770,4.990,4.530,743.18K,0.00%
Mar 08  2016,4.820,5.050,5.150,4.770,417.98K,-4.74%
Mar 07  2016,5.060,5.270,5.500,5.010,434.81K,-2.88%
Mar 04  2016,5.210,4.910,5.240,4.890,1.22M,7.64%
Mar 03  2016,4.840,4.650,4.960,4.650,511.83K,2.33%
Mar 02  2016,4.730,4.630,4.840,4.610,425.46K,0.85%
Mar 01  2016,4.690,4.430,4.880,4.350,562.90K,6.11%
Feb 29  2016,4.420,4.310,4.480,4.280,191.62K,2.55%
Feb 26  2016,4.310,4.330,4.380,4.200,198.93K,2.13%
Feb 25  2016,4.220,4.300,4.340,4.020,215.78K,-0.24%
Feb 24  2016,4.230,3.950,4.300,3.890,169.49K,5.75%
Feb 23  2016,4.000,4.240,4.290,3.950,239.28K,-5.21%
Feb 22  2016,4.220,4.250,4.360,4.160,330.76K,2.43%
Feb 19  2016,4.120,4.170,4.220,3.990,206.20K,-2.37%
Feb 18  2016,4.220,4.400,4.400,4.030,346.50K,0.48%
Feb 17  2016,4.200,4.000,4.240,3.940,354.30K,6.87%
Feb 16  2016,3.930,4.150,4.220,3.790,165.71K,-3.44%
Feb 12  2016,4.070,4.200,4.260,3.920,256.82K,1.75%
Feb 11  2016,4.000,3.910,4.010,3.750,236.14K,2.56%
Feb 10  2016,3.900,3.980,4.160,3.780,364.51K,-2.99%
Feb 09  2016,4.020,4.170,4.240,3.900,444.11K,-6.51%
Feb 08  2016,4.300,4.270,4.620,4.270,245.44K,-4.02%
Feb 05  2016,4.480,4.430,4.570,4.340,236.45K,-0.22%
Feb 04  2016,4.490,4.470,4.610,4.330,681.81K,3.22%
Feb 03  2016,4.350,4.110,4.355,3.890,612.63K,7.14%
Feb 02  2016,4.060,4.160,4.160,3.930,366.41K,-4.25%
Feb 01  2016,4.240,4.180,4.400,4.160,250.44K,-5.78%
Jan 29  2016,4.500,4.340,4.530,4.110,646.20K,4.65%
Jan 28  2016,4.300,4.260,4.430,4.200,1.12M,4.37%
Jan 27  2016,4.120,3.840,4.360,3.840,584.83K,4.57%
Jan 26  2016,3.940,3.750,3.950,3.670,308.45K,7.95%
Jan 25  2016,3.650,3.860,3.930,3.620,522.44K,-6.17%
Jan 22  2016,3.890,3.880,3.960,3.600,1.02M,11.78%
Jan 21  2016,3.480,3.260,3.630,3.205,678.50K,4.82%
Jan 20  2016,3.320,2.840,3.390,2.720,830.64K,13.70%
Jan 19  2016,2.920,3.030,3.045,2.810,968.52K,0.69%
Jan 18  2016,2.900,3.100,3.100,2.890,58.48K,-1.36%
Jan 15  2016,2.940,2.960,3.010,2.880,615.02K,-5.47%
Jan 14  2016,3.110,3.050,3.190,2.930,794.46K,4.71%
Jan 13  2016,2.970,3.230,3.230,2.960,568.56K,-2.94%
Jan 12  2016,3.060,3.300,3.350,2.960,1.13M,-6.13%
Jan 11  2016,3.260,3.490,3.510,3.230,438.07K,-5.51%
Jan 08  2016,3.450,3.400,3.550,3.340,481.57K,0.58%
Jan 07  2016,3.430,3.580,3.610,3.390,555.30K,-7.05%
Jan 06  2016,3.690,3.930,3.930,3.680,422.58K,-8.89%
Jan 05  2016,4.050,3.960,4.070,3.870,312.64K,2.27%
Jan 04  2016,3.960,4.120,4.180,3.920,429.05K,-2.70%
Dec 31  2015,4.070,3.890,4.140,3.890,234.75K,2.01%
Dec 30  2015,3.990,4.030,4.130,3.900,195.78K,-4.32%
Dec 29  2015,4.170,4.110,4.380,4.040,160.75K,1.71%
Dec 24  2015,4.100,4.100,4.370,4.040,109.67K,-3.76%
Dec 23  2015,4.260,3.850,4.310,3.800,501.54K,12.11%
Dec 22  2015,3.800,3.850,3.900,3.730,343.64K,-0.26%
Dec 21  2015,3.810,3.620,3.860,3.520,190.54K,6.42%
Dec 18  2015,3.580,3.440,3.690,3.440,555.26K,3.77%
Dec 17  2015,3.450,3.400,3.510,3.390,249.79K,-0.29%
Dec 16  2015,3.460,3.280,3.530,3.280,511.45K,0.58%
Dec 15  2015,3.440,3.390,3.550,3.390,1.24M,2.08%
Dec 14  2015,3.370,3.620,3.620,3.340,607.01K,-7.16%
Dec 11  2015,3.630,3.810,3.820,3.540,544.92K,-6.68%
Dec 10  2015,3.890,3.660,3.960,3.610,693.44K,3.73%
Dec 09  2015,3.750,3.890,4.000,3.670,692.70K,1.90%
Dec 08  2015,3.680,3.370,3.710,3.280,915.34K,7.92%
Dec 07  2015,3.410,3.810,3.810,3.340,694.83K,-13.23%
Dec 04  2015,3.930,3.950,4.060,3.750,734.70K,-1.50%
Dec 03  2015,3.990,3.910,4.100,3.840,836.15K,2.31%
Dec 02  2015,3.900,4.100,4.170,3.830,455.50K,-5.57%
Dec 01  2015,4.130,4.070,4.210,4.040,409.46K,1.47%
Nov 30  2015,4.070,4.300,4.350,4.050,354.25K,-3.78%
Nov 27  2015,4.230,4.270,4.300,4.140,275.61K,0.24%
Nov 26  2015,4.220,4.280,4.340,4.150,157.23K,-2.76%
Nov 25  2015,4.340,4.150,4.530,4.120,1.22M,3.83%
Nov 24  2015,4.180,4.200,4.250,4.150,1.16M,3.47%
Nov 23  2015,4.040,4.000,4.280,4.000,477.53K,2.02%
