Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,77.14,77.20,78.05,76.53,68.69K,-0.03%
Apr 18  2016,77.16,76.66,77.51,76.31,75.86K,0.60%
Apr 15  2016,76.70,76.33,76.91,76.15,79.63K,0.25%
Apr 14  2016,76.51,76.58,76.82,75.69,164.13K,-0.04%
Apr 13  2016,76.54,77.24,77.24,76.31,126.08K,-0.36%
Apr 12  2016,76.82,76.53,76.98,75.99,95.57K,0.59%
Apr 11  2016,76.37,77.75,77.93,76.32,120.97K,-1.62%
Apr 08  2016,77.63,77.50,77.92,76.81,100.76K,0.19%
Apr 07  2016,77.48,78.70,78.70,76.70,117.68K,-1.75%
Apr 06  2016,78.86,78.10,79.53,78.10,143.13K,1.09%
Apr 05  2016,78.01,79.24,79.50,77.53,150.22K,-2.08%
Apr 04  2016,79.67,78.00,79.92,77.67,135.67K,2.05%
Apr 01  2016,78.07,79.05,79.08,77.81,152.79K,-1.38%
Mar 31  2016,79.16,79.62,80.10,78.52,356.99K,-0.68%
Mar 30  2016,79.70,78.68,80.39,78.61,168.53K,1.74%
Mar 29  2016,78.34,78.69,78.73,78.09,82.77K,-0.42%
Mar 28  2016,78.67,77.69,78.96,77.68,88.44K,1.22%
Mar 24  2016,77.72,77.99,77.99,77.35,130.33K,-0.33%
Mar 23  2016,77.98,78.33,78.90,77.90,133.45K,-0.38%
Mar 22  2016,78.28,78.12,78.81,77.49,187.68K,-0.25%
Mar 21  2016,78.48,77.20,78.89,77.00,157.24K,1.64%
Mar 18  2016,77.21,77.03,77.35,76.42,283.11K,0.12%
Mar 17  2016,77.12,76.61,77.36,76.26,160.79K,0.76%
Mar 16  2016,76.54,77.34,77.65,76.54,190.06K,-0.46%
Mar 15  2016,76.89,76.79,77.42,76.25,196.46K,-0.13%
Mar 14  2016,76.99,78.02,78.65,76.81,188.61K,-1.23%
Mar 11  2016,77.95,78.00,78.06,77.11,222.97K,0.55%
Mar 10  2016,77.52,77.47,77.95,77.03,313.54K,0.36%
Mar 09  2016,77.24,78.55,78.59,77.24,215.58K,-1.23%
Mar 08  2016,78.20,78.32,78.93,78.00,191.90K,0.00%
Mar 07  2016,78.20,77.19,78.52,77.00,259.62K,1.31%
Mar 04  2016,77.19,78.06,78.06,77.03,203.72K,-0.86%
Mar 03  2016,77.86,78.45,78.82,77.40,307.98K,-0.75%
Mar 02  2016,78.45,79.10,79.19,77.25,317.77K,-0.92%
Mar 01  2016,79.18,80.18,80.40,78.86,747.85K,-0.53%
Feb 29  2016,79.60,82.99,83.00,79.50,244.58K,-4.29%
Feb 26  2016,83.17,83.01,83.45,82.09,102.10K,-0.66%
Feb 25  2016,83.72,82.10,83.72,82.10,83.75K,2.00%
Feb 24  2016,82.08,81.50,82.21,80.60,74.44K,0.54%
Feb 23  2016,81.64,81.70,82.38,81.48,74.93K,0.16%
Feb 22  2016,81.51,81.51,82.29,80.97,124.25K,0.79%
Feb 19  2016,80.87,80.70,81.22,80.01,165.39K,-0.21%
Feb 18  2016,81.04,81.48,81.82,80.19,100.49K,-0.27%
Feb 17  2016,81.26,80.20,81.37,79.25,152.49K,1.94%
Feb 16  2016,79.71,79.18,80.05,78.31,295.25K,1.54%
Feb 12  2016,78.50,78.26,79.30,77.74,171.68K,0.44%
Feb 11  2016,78.16,78.35,78.35,75.47,302.88K,-0.98%
Feb 10  2016,78.93,80.00,80.00,78.74,117.41K,0.09%
Feb 09  2016,78.86,78.86,80.00,78.38,244.51K,-0.39%
Feb 08  2016,79.17,79.68,80.00,78.55,207.59K,-1.79%
Feb 05  2016,80.61,82.72,82.72,80.32,144.49K,-1.81%
Feb 04  2016,82.10,83.02,83.25,81.40,135.03K,-1.08%
Feb 03  2016,83.00,82.98,83.31,81.87,99.91K,0.13%
Feb 02  2016,82.89,82.41,82.89,81.34,87.63K,0.25%
Feb 01  2016,82.68,82.91,83.23,82.13,139.12K,-1.25%
Jan 29  2016,83.73,83.12,83.73,82.83,182.85K,0.95%
Jan 28  2016,82.94,82.84,83.01,81.75,57.52K,0.53%
Jan 27  2016,82.50,83.43,83.57,82.31,156.79K,-1.11%
Jan 26  2016,83.43,83.59,83.88,82.78,125.98K,0.36%
Jan 25  2016,83.13,83.36,83.70,82.79,65.09K,-0.29%
Jan 22  2016,83.37,82.15,84.00,82.09,149.17K,2.58%
Jan 21  2016,81.27,80.97,81.73,80.37,126.87K,0.61%
Jan 20  2016,80.78,81.27,81.81,80.02,270.41K,-1.19%
Jan 19  2016,81.75,81.34,82.26,80.73,162.99K,1.58%
Jan 18  2016,80.48,82.21,82.74,80.11,101.29K,-3.30%
Jan 15  2016,83.23,82.74,83.37,82.23,197.98K,-0.72%
Jan 14  2016,83.83,84.53,84.53,82.87,167.46K,-0.39%
Jan 13  2016,84.16,85.35,85.35,83.90,240.97K,-0.95%
Jan 12  2016,84.97,84.14,86.72,83.70,184.49K,1.02%
Jan 11  2016,84.11,83.87,84.25,82.85,124.00K,0.37%
Jan 08  2016,83.80,83.60,84.26,83.39,59.18K,0.90%
Jan 07  2016,83.05,83.81,83.87,82.21,114.65K,-2.20%
Jan 06  2016,84.92,84.98,85.57,84.37,89.72K,-0.82%
Jan 05  2016,85.62,84.54,86.09,84.54,85.99K,1.15%
Jan 04  2016,84.65,84.27,84.72,83.23,95.50K,-0.20%
Dec 31  2015,84.82,85.50,86.10,84.76,56.64K,-0.08%
Dec 30  2015,84.89,87.43,87.86,84.80,122.99K,-3.14%
Dec 29  2015,87.64,86.01,87.68,85.64,72.21K,2.29%
Dec 24  2015,85.68,84.34,86.16,84.01,33.05K,1.98%
Dec 23  2015,84.02,84.02,84.60,83.16,62.72K,0.54%
Dec 22  2015,83.57,84.05,84.23,82.44,58.65K,-0.57%
Dec 21  2015,84.05,83.84,84.73,83.35,93.53K,0.76%
Dec 18  2015,83.42,83.97,84.01,82.91,256.86K,-0.87%
Dec 17  2015,84.15,84.05,84.98,83.36,117.13K,0.12%
Dec 16  2015,84.05,82.05,84.30,81.81,71.33K,2.60%
Dec 15  2015,81.92,82.08,83.33,81.45,126.32K,0.26%
Dec 14  2015,81.71,82.25,83.09,81.36,128.35K,-0.89%
Dec 11  2015,82.44,83.71,84.50,81.81,126.64K,-2.21%
Dec 10  2015,84.30,80.83,84.54,80.60,156.78K,4.36%
Dec 09  2015,80.78,80.40,81.50,80.07,193.65K,0.52%
Dec 08  2015,80.36,80.28,80.88,80.01,97.07K,-0.53%
Dec 07  2015,80.79,80.91,81.03,80.31,109.80K,-0.25%
Dec 04  2015,80.99,80.98,81.23,80.45,81.63K,0.00%
Dec 03  2015,80.99,81.55,81.55,80.25,68.64K,-0.69%
Dec 02  2015,81.55,81.93,82.51,81.14,64.18K,-0.69%
Dec 01  2015,82.12,82.35,82.95,81.64,79.23K,-0.15%
Nov 30  2015,82.24,81.81,82.79,81.45,191.66K,0.46%
Nov 27  2015,81.86,81.67,82.20,81.26,33.66K,0.12%
Nov 26  2015,81.76,81.55,82.03,80.75,20.05K,0.26%
Nov 25  2015,81.55,81.20,82.49,80.51,89.62K,0.60%
Nov 24  2015,81.06,82.56,82.77,80.25,106.53K,-2.15%
Nov 23  2015,82.84,82.50,83.34,82.46,38.54K,0.23%
Nov 20  2015,82.65,82.71,83.34,82.05,104.92K,0.07%
Nov 19  2015,82.59,81.72,82.84,81.72,159.73K,1.18%
Nov 18  2015,81.63,82.03,82.54,81.25,78.40K,-0.41%
Nov 17  2015,81.97,81.90,82.92,81.44,140.36K,0.18%
