Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.070,4.180,4.180,4.030,1.84M,-0.49%
Apr 18  2016,4.090,4.150,4.160,4.030,1.78M,1.74%
Apr 15  2016,4.020,4.000,4.120,3.980,4.54M,0.75%
Apr 14  2016,3.990,4.040,4.110,3.900,3.71M,-1.72%
Apr 13  2016,4.060,4.070,4.130,4.050,2.63M,-1.69%
Apr 12  2016,4.130,4.190,4.220,4.130,3.44M,-0.72%
Apr 11  2016,4.160,4.050,4.200,4.030,3.83M,4.52%
Apr 08  2016,3.980,3.970,4.010,3.900,2.24M,0.00%
Apr 07  2016,3.980,3.850,4.030,3.830,4.29M,6.42%
Apr 06  2016,3.740,3.710,3.760,3.650,1.74M,0.00%
Apr 05  2016,3.740,3.610,3.750,3.600,2.73M,5.95%
Apr 04  2016,3.530,3.540,3.600,3.520,1.99M,-0.28%
Apr 01  2016,3.540,3.510,3.560,3.440,1.91M,-0.84%
Mar 31  2016,3.570,3.660,3.690,3.500,2.10M,-1.65%
Mar 30  2016,3.630,3.680,3.690,3.520,1.98M,-2.42%
Mar 29  2016,3.720,3.580,3.780,3.550,3.13M,4.79%
Mar 28  2016,3.550,3.590,3.630,3.500,983.49K,-0.28%
Mar 24  2016,3.560,3.590,3.670,3.550,1.94M,0.00%
Mar 23  2016,3.560,3.510,3.640,3.500,1.59M,-3.78%
Mar 22  2016,3.700,3.760,3.800,3.680,3.67M,0.27%
Mar 21  2016,3.690,3.710,3.760,3.630,1.57M,-0.54%
Mar 18  2016,3.710,3.540,3.780,3.540,34.40M,4.21%
Mar 17  2016,3.560,3.850,3.900,3.510,6.79M,-6.81%
Mar 16  2016,3.820,3.450,3.850,3.370,6.64M,9.14%
Mar 15  2016,3.500,3.450,3.540,3.370,5.22M,1.45%
Mar 14  2016,3.450,3.530,3.600,3.410,10.98M,-9.45%
Mar 11  2016,3.810,3.970,4.070,3.770,3.37M,-3.79%
Mar 10  2016,3.960,3.790,4.020,3.780,3.22M,3.13%
Mar 09  2016,3.840,3.820,3.940,3.780,4.61M,-3.52%
Mar 08  2016,3.980,4.140,4.160,3.970,2.52M,-2.45%
Mar 07  2016,4.080,3.890,4.110,3.890,6.32M,8.51%
Mar 04  2016,3.760,3.980,4.180,3.710,4.78M,-2.59%
Mar 03  2016,3.860,3.590,3.900,3.530,2.82M,8.43%
Mar 02  2016,3.560,3.580,3.610,3.520,2.22M,1.42%
Mar 01  2016,3.510,3.770,3.780,3.470,2.94M,-6.15%
Feb 29  2016,3.740,3.640,3.740,3.640,2.29M,4.18%
Feb 26  2016,3.590,3.590,3.670,3.530,1.53M,-2.45%
Feb 25  2016,3.680,3.720,3.750,3.590,4.63M,-1.34%
Feb 24  2016,3.730,3.780,3.970,3.650,3.02M,3.61%
Feb 23  2016,3.600,3.640,3.710,3.540,1.77M,0.84%
Feb 22  2016,3.570,3.500,3.640,3.480,1.73M,-1.38%
Feb 19  2016,3.620,3.810,3.900,3.570,4.18M,-7.42%
Feb 18  2016,3.910,3.760,4.010,3.720,3.91M,3.71%
Feb 17  2016,3.770,3.800,3.830,3.680,2.43M,1.89%
Feb 16  2016,3.700,3.700,3.950,3.680,3.07M,-3.39%
Feb 12  2016,3.830,3.700,3.850,3.620,1.25M,2.68%
Feb 11  2016,3.730,3.760,3.875,3.560,3.79M,7.18%
Feb 10  2016,3.480,3.550,3.600,3.460,4.25M,-2.79%
Feb 09  2016,3.580,3.740,3.860,3.530,3.12M,-3.76%
Feb 08  2016,3.720,3.520,3.770,3.510,3.65M,11.04%
Feb 05  2016,3.350,3.210,3.355,3.110,2.22M,1.82%
Feb 04  2016,3.290,3.140,3.330,3.140,3.48M,4.44%
Feb 03  2016,3.150,3.070,3.170,3.040,2.43M,1.61%
Feb 02  2016,3.100,3.100,3.180,3.020,2.33M,-0.32%
Feb 01  2016,3.110,2.890,3.140,2.880,2.83M,7.61%
Jan 29  2016,2.890,2.780,2.890,2.770,1.36M,2.12%
Jan 28  2016,2.830,2.900,2.900,2.800,1.35M,-4.07%
Jan 27  2016,2.950,2.750,2.970,2.710,2.09M,6.50%
Jan 26  2016,2.770,2.680,2.830,2.680,1.82M,4.53%
Jan 25  2016,2.650,2.650,2.720,2.620,934.80K,1.15%
Jan 22  2016,2.620,2.530,2.640,2.520,1.25M,1.55%
Jan 21  2016,2.580,2.600,2.630,2.500,1.07M,-0.77%
Jan 20  2016,2.600,2.690,2.700,2.520,1.27M,-0.76%
Jan 19  2016,2.620,2.660,2.690,2.540,2.12M,-2.24%
Jan 18  2016,2.680,2.710,2.770,2.650,416.77K,-0.37%
Jan 15  2016,2.690,2.750,2.800,2.670,1.10M,0.75%
Jan 14  2016,2.670,2.740,2.775,2.640,2.68M,-2.91%
Jan 13  2016,2.750,2.860,2.930,2.740,1.79M,-5.17%
Jan 12  2016,2.900,2.920,2.940,2.790,2.48M,-1.69%
Jan 11  2016,2.950,3.070,3.070,2.890,1.54M,-1.99%
Jan 08  2016,3.010,2.980,3.075,2.960,1.20M,-0.99%
Jan 07  2016,3.040,3.020,3.180,3.000,2.78M,2.36%
Jan 06  2016,2.970,2.900,2.980,2.900,1.74M,2.77%
