Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,70.19,69.82,70.28,69.24,214.37K,0.43%
Apr 18  2016,69.89,69.34,70.26,69.30,101.73K,0.76%
Apr 15  2016,69.36,69.96,69.96,68.74,149.60K,-0.72%
Apr 14  2016,69.86,68.99,70.05,68.62,220.05K,1.06%
Apr 13  2016,69.13,68.29,69.14,68.09,111.11K,1.74%
Apr 12  2016,67.95,69.06,69.10,67.78,138.63K,-1.62%
Apr 11  2016,69.07,68.66,69.43,68.29,159.50K,0.67%
Apr 08  2016,68.61,69.40,69.40,68.25,202.14K,-0.64%
Apr 07  2016,69.05,70.51,70.52,68.64,285.56K,-2.51%
Apr 06  2016,70.83,69.78,71.11,69.35,311.11K,1.43%
Apr 05  2016,69.83,68.51,69.85,68.32,253.18K,1.73%
Apr 04  2016,68.64,67.46,68.81,67.46,230.35K,1.87%
Apr 01  2016,67.38,67.14,67.92,66.65,169.18K,0.15%
Mar 31  2016,67.28,67.74,67.81,66.80,221.01K,-0.64%
Mar 30  2016,67.71,67.21,68.12,67.05,171.57K,1.21%
Mar 29  2016,66.90,65.70,67.21,65.45,162.36K,1.80%
Mar 28  2016,65.72,65.86,65.86,65.28,72.47K,-0.17%
Mar 24  2016,65.83,65.25,66.07,65.01,128.29K,0.41%
Mar 23  2016,65.56,65.10,65.81,65.07,147.60K,0.85%
Mar 22  2016,65.01,64.39,65.18,64.39,192.48K,0.25%
Mar 21  2016,64.85,64.32,65.12,64.24,116.80K,0.67%
Mar 18  2016,64.42,65.26,65.40,64.11,274.45K,-1.27%
Mar 17  2016,65.25,65.47,66.03,65.10,195.74K,-0.34%
Mar 16  2016,65.47,64.27,66.32,64.11,314.71K,1.95%
Mar 15  2016,64.22,64.89,65.50,64.09,293.50K,-1.18%
Mar 14  2016,64.99,65.62,65.64,64.72,223.86K,-0.85%
Mar 11  2016,65.55,65.36,65.96,64.86,216.38K,0.91%
Mar 10  2016,64.96,65.19,65.26,63.97,215.55K,0.11%
Mar 09  2016,64.89,66.25,66.39,64.80,281.89K,-1.52%
Mar 08  2016,65.89,65.20,66.08,65.20,148.39K,0.61%
Mar 07  2016,65.49,65.42,66.39,65.42,137.31K,-0.41%
Mar 04  2016,65.76,67.00,67.27,65.37,197.29K,-1.89%
Mar 03  2016,67.03,67.64,68.17,67.00,233.28K,-1.18%
Mar 02  2016,67.83,67.74,67.98,66.87,147.90K,0.16%
Mar 01  2016,67.72,67.90,68.14,67.10,166.56K,0.67%
Feb 29  2016,67.27,66.65,68.21,66.65,278.52K,0.67%
Feb 26  2016,66.82,67.20,67.56,66.61,113.80K,-0.03%
Feb 25  2016,66.84,67.00,67.05,66.16,268.35K,-0.07%
Feb 24  2016,66.89,67.01,67.30,66.25,318.51K,-0.71%
Feb 23  2016,67.37,68.51,68.88,67.24,227.24K,-1.91%
