Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,15.14,14.80,15.21,14.80,594.07K,3.63%
Apr 18  2016,14.61,14.75,14.79,14.51,195.42K,0.48%
Apr 15  2016,14.54,14.37,14.58,14.21,239.40K,0.69%
Apr 14  2016,14.44,14.50,14.66,14.27,294.97K,-0.55%
Apr 13  2016,14.52,14.42,14.75,14.42,403.62K,-0.95%
Apr 12  2016,14.66,14.75,14.79,14.44,416.74K,-0.20%
Apr 11  2016,14.69,14.44,14.74,14.42,727.18K,3.02%
Apr 08  2016,14.26,13.96,14.26,13.93,424.32K,1.78%
Apr 07  2016,14.01,14.20,14.21,13.95,505.22K,-0.50%
Apr 06  2016,14.08,13.93,14.15,13.84,314.75K,0.50%
Apr 05  2016,14.01,13.74,14.02,13.58,476.16K,2.64%
Apr 04  2016,13.65,13.77,13.78,13.42,529.74K,-1.09%
Apr 01  2016,13.80,13.75,13.80,13.27,596.30K,-0.50%
Mar 31  2016,13.87,13.83,14.00,13.64,408.82K,1.39%
Mar 30  2016,13.68,13.74,13.96,13.60,716.10K,-0.94%
Mar 29  2016,13.81,12.96,13.81,12.96,670.32K,7.05%
Mar 28  2016,12.90,13.01,13.04,12.58,267.27K,0.00%
Mar 24  2016,12.90,13.07,13.14,12.84,365.63K,-1.30%
Mar 23  2016,13.07,13.20,13.36,13.00,566.37K,-3.54%
Mar 22  2016,13.55,13.69,13.75,13.32,536.19K,-0.15%
Mar 21  2016,13.57,13.33,13.68,13.24,724.37K,1.42%
Mar 18  2016,13.38,13.67,13.77,13.20,2.33M,-1.62%
Mar 17  2016,13.60,14.35,14.40,13.51,1.02M,-4.70%
Mar 16  2016,14.27,13.80,14.30,13.30,949.58K,2.59%
Mar 15  2016,13.91,14.00,14.04,13.43,782.96K,-1.07%
Mar 14  2016,14.06,14.64,14.70,13.78,528.12K,-1.47%
Mar 11  2016,14.27,14.43,14.52,14.13,440.88K,-1.45%
Mar 10  2016,14.48,14.04,14.58,13.90,649.02K,4.10%
Mar 09  2016,13.91,14.12,14.23,13.81,580.67K,-1.90%
Mar 08  2016,14.18,14.96,15.20,14.15,586.68K,-4.51%
Mar 07  2016,14.85,14.12,14.85,14.12,1.00M,6.45%
Mar 04  2016,13.95,13.85,14.50,13.66,1.62M,1.09%
Mar 03  2016,13.80,13.65,13.90,13.52,762.73K,0.95%
Mar 02  2016,13.67,13.72,13.77,13.60,369.65K,0.37%
Mar 01  2016,13.62,13.94,14.00,13.50,534.52K,-2.51%
Feb 29  2016,13.97,13.90,14.05,13.81,390.72K,0.50%
Feb 26  2016,13.90,14.00,14.20,13.62,534.35K,-2.04%
Feb 25  2016,14.19,13.99,14.34,13.91,358.12K,1.43%
