Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.82,17.24,17.90,17.24,1.28M,8.39%
Apr 18  2016,16.44,16.56,16.68,16.23,580.49K,0.49%
Apr 15  2016,16.36,15.82,16.49,15.64,528.98K,3.81%
Apr 14  2016,15.76,16.13,16.18,15.41,618.91K,-2.66%
Apr 13  2016,16.19,16.34,16.52,16.12,611.73K,-1.64%
Apr 12  2016,16.46,16.57,16.72,16.20,983.93K,0.92%
Apr 11  2016,16.31,15.98,16.36,15.92,678.26K,4.75%
Apr 08  2016,15.57,15.17,15.78,14.96,679.20K,4.15%
Apr 07  2016,14.95,14.81,15.21,14.73,493.47K,3.75%
Apr 06  2016,14.41,14.25,14.41,14.04,467.34K,0.28%
Apr 05  2016,14.37,14.11,14.48,13.93,443.35K,4.21%
Apr 04  2016,13.79,14.25,14.30,13.71,260.31K,-3.23%
Apr 01  2016,14.25,13.77,14.25,13.60,498.84K,0.92%
Mar 31  2016,14.12,14.51,14.51,14.04,519.31K,-0.91%
Mar 30  2016,14.25,14.50,14.63,13.99,451.12K,-1.99%
Mar 29  2016,14.54,13.94,14.69,13.78,506.72K,4.83%
Mar 28  2016,13.87,14.15,14.19,13.60,336.05K,-1.63%
Mar 24  2016,14.10,13.67,14.23,13.53,598.77K,4.29%
Mar 23  2016,13.52,13.56,14.16,13.26,638.78K,-4.52%
Mar 22  2016,14.16,14.74,14.77,13.98,427.86K,-2.48%
Mar 21  2016,14.52,14.03,14.74,13.87,651.19K,2.54%
Mar 18  2016,14.16,13.74,14.31,13.74,1.14M,2.76%
Mar 17  2016,13.78,14.48,14.61,13.75,821.33K,-3.64%
Mar 16  2016,14.30,13.41,14.37,13.21,591.40K,4.76%
Mar 15  2016,13.65,13.42,13.68,13.10,476.43K,1.34%
Mar 14  2016,13.47,14.13,14.17,13.36,565.72K,-0.81%
Mar 11  2016,13.58,13.88,13.98,13.41,651.74K,-2.23%
Mar 10  2016,13.89,13.57,14.15,13.57,614.03K,3.43%
Mar 09  2016,13.43,13.23,13.60,12.92,710.12K,-0.22%
Mar 08  2016,13.46,14.01,14.20,13.21,659.14K,-2.82%
Mar 07  2016,13.85,13.75,14.30,13.42,710.51K,2.59%
Mar 04  2016,13.50,13.70,14.55,13.43,831.55K,0.00%
Mar 03  2016,13.50,12.96,13.66,12.89,525.45K,4.25%
Mar 02  2016,12.95,12.39,13.11,12.36,809.95K,5.11%
Mar 01  2016,12.32,12.72,13.01,12.16,514.44K,-5.16%
Feb 29  2016,12.99,12.90,13.20,12.82,523.53K,-0.23%
Feb 26  2016,13.02,12.73,13.30,12.58,530.18K,0.31%
Feb 25  2016,12.98,12.84,13.07,12.64,542.20K,0.62%
Feb 24  2016,12.90,13.35,13.54,12.71,627.09K,-0.69%
Feb 23  2016,12.99,13.31,13.35,12.83,655.27K,1.01%
Feb 22  2016,12.86,12.53,13.15,12.44,559.05K,0.94%
Feb 19  2016,12.74,13.08,13.38,12.67,487.59K,-2.82%
Feb 18  2016,13.11,11.62,13.28,11.59,890.57K,7.99%
