Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,7.57,7.00,7.64,6.87,1.64M,12.65%
Apr 18  2016,6.72,6.27,7.14,6.15,1.29M,-0.44%
Apr 15  2016,6.75,6.78,7.00,6.59,877.47K,-4.53%
Apr 14  2016,7.07,7.89,7.89,6.98,1.20M,-8.77%
Apr 13  2016,7.75,7.77,8.08,7.39,795.89K,-0.26%
Apr 12  2016,7.77,7.20,7.98,7.20,1.42M,9.59%
Apr 11  2016,7.09,6.87,7.15,6.76,997.11K,5.82%
Apr 08  2016,6.70,6.58,6.89,6.51,1.34M,7.72%
Apr 07  2016,6.22,6.28,6.43,5.91,699.70K,-2.20%
Apr 06  2016,6.36,6.31,6.65,6.16,1.01M,4.26%
Apr 05  2016,6.10,6.11,6.27,5.79,1.07M,-1.29%
Apr 04  2016,6.18,6.60,6.66,6.11,900.90K,-5.79%
Apr 01  2016,6.56,6.38,6.78,6.30,1.09M,-3.53%
Mar 31  2016,6.80,7.00,7.16,6.72,1.22M,-2.86%
Mar 30  2016,7.00,7.15,7.50,6.72,1.00M,1.01%
Mar 29  2016,6.93,6.78,6.98,6.42,923.96K,-1.28%
Mar 28  2016,7.02,7.16,7.26,6.72,729.61K,-2.77%
Mar 24  2016,7.22,6.79,7.61,6.58,906.91K,1.98%
Mar 23  2016,7.08,7.51,7.59,7.06,1.19M,-8.53%
Mar 22  2016,7.74,7.18,7.90,7.05,1.62M,3.06%
Mar 21  2016,7.51,8.15,8.15,7.10,1.70M,-8.08%
Mar 18  2016,8.17,9.50,9.75,7.96,6.62M,-14.63%
Mar 17  2016,9.57,9.02,9.57,8.63,1.45M,10.38%
Mar 16  2016,8.67,8.58,8.85,8.23,1.03M,3.71%
Mar 15  2016,8.36,8.57,8.57,7.95,1.01M,-5.64%
Mar 14  2016,8.86,8.42,9.00,8.15,1.16M,0.80%
Mar 11  2016,8.79,8.79,9.38,8.65,1.23M,3.41%
Mar 10  2016,8.50,8.70,8.73,8.17,969.15K,-3.74%
Mar 09  2016,8.83,8.80,9.15,8.55,1.18M,4.25%
Mar 08  2016,8.47,9.04,9.17,8.45,1.65M,-5.89%
Mar 07  2016,9.00,8.28,9.30,8.15,2.19M,11.80%
Mar 04  2016,8.05,7.95,8.35,7.60,1.92M,3.60%
Mar 03  2016,7.77,7.30,7.99,7.18,2.66M,8.37%
Mar 02  2016,7.17,6.83,7.37,6.70,2.23M,5.44%
Mar 01  2016,6.80,6.05,7.06,5.88,2.95M,16.64%
Feb 29  2016,5.83,5.60,5.97,5.57,1.30M,6.00%
Feb 26  2016,5.50,5.55,5.82,5.41,1.21M,3.97%
Feb 25  2016,5.29,5.30,5.31,4.96,629.57K,1.15%
Feb 24  2016,5.23,4.85,5.39,4.78,1.51M,3.98%
Feb 23  2016,5.03,5.20,5.25,4.87,745.62K,-4.91%
Feb 22  2016,5.29,5.22,5.45,5.16,912.87K,5.80%
Feb 19  2016,5.00,4.68,5.18,4.50,986.65K,0.00%
Feb 18  2016,5.00,5.23,5.26,4.65,1.05M,0.40%
Feb 17  2016,4.98,4.46,5.21,4.45,1.58M,14.22%
Feb 16  2016,4.36,4.72,4.72,4.21,748.23K,-2.24%
Feb 12  2016,4.46,4.51,4.63,4.31,1.00M,5.19%
Feb 11  2016,4.24,3.74,4.42,3.63,993.83K,7.61%
Feb 10  2016,3.94,4.39,4.44,3.91,1.47M,-8.58%
Feb 09  2016,4.31,4.90,5.10,4.25,1.11M,-12.58%
Feb 08  2016,4.93,5.29,5.66,4.90,995.92K,-9.54%
Feb 05  2016,5.45,5.25,5.62,4.95,1.13M,3.61%
Feb 04  2016,5.26,5.64,5.81,4.76,2.09M,-3.31%
Feb 03  2016,5.44,4.53,5.71,4.06,2.15M,29.52%
Feb 02  2016,4.20,4.23,4.27,4.04,1.83M,-4.76%
Feb 01  2016,4.41,4.72,4.72,4.20,1.43M,-4.13%
Jan 29  2016,4.60,4.60,4.83,4.43,2.04M,2.68%
Jan 28  2016,4.48,5.00,5.19,4.36,2.98M,-0.88%
Jan 27  2016,4.52,4.35,4.97,4.28,1.62M,2.96%
Jan 26  2016,4.39,4.07,4.47,3.93,1.59M,10.30%
Jan 25  2016,3.98,3.98,4.37,3.89,1.06M,-8.08%
Jan 22  2016,4.33,4.43,4.75,4.13,1.59M,9.62%
Jan 21  2016,3.95,3.82,4.38,3.12,2.36M,15.16%
Jan 20  2016,3.43,3.48,3.60,2.86,2.15M,-5.77%
Jan 19  2016,3.64,4.09,4.09,3.55,1.26M,-7.14%
Jan 18  2016,3.92,4.02,4.16,3.90,578.70K,-5.31%
Jan 15  2016,4.14,3.89,4.20,3.68,1.20M,-5.26%
Jan 14  2016,4.37,4.00,4.44,3.73,1.59M,10.91%
Jan 13  2016,3.94,4.69,4.73,3.80,1.55M,-9.63%
Jan 12  2016,4.36,5.00,5.00,4.14,1.59M,-9.17%
Jan 11  2016,4.80,5.14,5.14,4.57,1.23M,-8.05%
Jan 08  2016,5.22,5.19,5.37,4.62,1.88M,2.55%
Jan 07  2016,5.09,5.21,5.47,5.04,1.34M,-7.45%
Jan 06  2016,5.50,5.98,6.05,5.43,1.12M,-12.00%
Jan 05  2016,6.25,6.54,6.57,5.94,1.17M,-5.45%
Jan 04  2016,6.61,6.15,6.64,6.05,1.01M,8.01%
Dec 31  2015,6.12,5.79,6.18,5.71,677.58K,5.88%
Dec 30  2015,5.78,6.06,6.18,5.63,835.65K,-7.37%
Dec 29  2015,6.24,6.65,6.77,6.11,826.60K,-3.55%
Dec 24  2015,6.47,6.60,6.78,6.26,415.33K,-0.92%
