Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,12.200,11.850,12.210,11.750,409.79K,5.17%
Apr 18  2016,11.600,11.230,11.740,10.960,438.18K,0.52%
Apr 15  2016,11.540,11.750,11.780,11.520,203.71K,-3.43%
Apr 14  2016,11.950,12.270,12.320,11.650,410.97K,-2.29%
Apr 13  2016,12.230,12.100,12.410,11.980,504.79K,0.99%
Apr 12  2016,12.110,11.380,12.240,11.340,623.86K,6.60%
Apr 11  2016,11.360,11.220,11.400,11.160,141.62K,2.34%
Apr 08  2016,11.100,11.270,11.270,11.080,204.53K,2.30%
Apr 07  2016,10.850,11.140,11.300,10.820,216.20K,-4.49%
Apr 06  2016,11.360,11.000,11.390,10.900,308.57K,5.09%
Apr 05  2016,10.810,10.730,10.910,10.590,173.99K,0.19%
Apr 04  2016,10.790,11.080,11.370,10.660,99.37K,-2.53%
Apr 01  2016,11.070,10.880,11.170,10.500,581.78K,1.10%
Mar 31  2016,10.950,10.840,11.110,10.790,457.74K,1.01%
Mar 30  2016,10.840,10.980,11.200,10.820,201.33K,0.18%
Mar 29  2016,10.820,10.750,10.850,10.580,460.41K,-2.08%
Mar 28  2016,11.050,11.420,11.420,10.950,212.69K,-3.07%
Mar 24  2016,11.400,11.190,11.450,11.060,252.44K,0.53%
Mar 23  2016,11.340,11.530,11.730,11.260,236.19K,-3.74%
Mar 22  2016,11.780,11.310,11.910,11.000,488.50K,1.90%
Mar 21  2016,11.560,11.540,11.630,11.420,331.18K,0.78%
Mar 18  2016,11.470,11.720,11.960,11.350,1.37M,-0.52%
Mar 17  2016,11.530,11.000,11.570,10.960,580.65K,5.59%
Mar 16  2016,10.920,10.680,10.950,10.660,286.02K,3.41%
Mar 15  2016,10.560,10.720,10.750,10.400,269.92K,-2.04%
Mar 14  2016,10.780,10.920,11.000,10.650,372.26K,-2.00%
Mar 11  2016,11.000,10.680,11.010,10.680,383.32K,4.76%
Mar 10  2016,10.500,10.500,10.960,10.210,422.06K,-0.19%
Mar 09  2016,10.520,10.470,10.750,10.360,372.14K,2.33%
Mar 08  2016,10.280,10.400,10.400,10.130,399.15K,-2.00%
Mar 07  2016,10.490,10.650,10.700,10.340,409.01K,0.00%
Mar 04  2016,10.490,10.470,10.820,10.300,307.83K,1.16%
Mar 03  2016,10.370,10.210,10.470,10.010,355.50K,2.37%
Mar 02  2016,10.130,10.030,10.250,9.770,361.53K,0.30%
Mar 01  2016,10.100,10.000,10.320,9.720,319.03K,3.38%
Feb 29  2016,9.770,9.600,9.900,9.560,362.76K,2.52%
Feb 26  2016,9.530,9.440,9.660,9.440,319.79K,2.36%
Feb 25  2016,9.310,9.120,9.400,9.000,358.15K,-0.11%
Feb 24  2016,9.320,9.190,9.350,9.120,224.22K,-0.43%
Feb 23  2016,9.360,9.790,9.790,9.320,305.98K,-3.60%
Feb 22  2016,9.710,9.670,9.870,9.600,427.94K,4.52%
Feb 19  2016,9.290,9.420,9.470,9.260,377.38K,-3.33%
Feb 18  2016,9.610,9.850,9.890,9.460,460.34K,-0.21%
Feb 17  2016,9.630,9.340,9.670,9.340,946.44K,5.82%
Feb 16  2016,9.100,9.270,9.350,8.940,764.92K,1.00%
Feb 12  2016,9.010,8.940,9.210,8.840,524.90K,2.39%
Feb 11  2016,8.800,8.620,8.870,8.540,463.02K,-0.34%
Feb 10  2016,8.830,8.860,9.110,8.510,376.71K,0.34%
Feb 09  2016,8.800,8.930,9.060,8.730,445.93K,-1.79%
Feb 08  2016,8.960,9.040,9.090,8.680,277.77K,-1.75%
Feb 05  2016,9.120,9.170,9.200,8.750,307.72K,-0.76%
Feb 04  2016,9.190,9.200,9.220,8.870,389.46K,0.99%
Feb 03  2016,9.100,8.950,9.130,8.400,466.92K,6.43%
Feb 02  2016,8.550,8.560,8.690,8.380,625.82K,-2.17%
Feb 01  2016,8.740,9.010,9.010,8.520,1.18M,-5.31%
Jan 29  2016,9.230,9.440,9.530,8.970,454.38K,-1.07%
Jan 28  2016,9.330,9.550,9.800,9.230,432.81K,1.08%
Jan 27  2016,9.230,8.980,9.460,8.960,486.92K,2.10%
Jan 26  2016,9.040,9.000,9.130,8.710,1.28M,2.84%
Jan 25  2016,8.790,9.040,9.270,8.700,491.25K,-4.87%
Jan 22  2016,9.240,8.860,9.300,8.780,1.27M,9.09%
Jan 21  2016,8.470,7.950,8.640,7.790,614.96K,6.54%
Jan 20  2016,7.950,8.030,8.120,7.740,1.04M,-4.79%
Jan 19  2016,8.350,8.400,8.590,8.200,579.57K,0.36%
Jan 18  2016,8.320,8.260,8.500,8.120,495.55K,-0.95%
Jan 15  2016,8.400,8.620,8.740,8.010,808.75K,-4.98%
Jan 14  2016,8.840,8.820,8.930,8.530,900.93K,1.14%
Jan 13  2016,8.740,9.000,9.260,8.580,690.22K,0.46%
Jan 12  2016,8.700,9.420,9.420,8.480,525.93K,-0.57%
Jan 11  2016,8.750,9.090,9.140,8.600,356.90K,-5.10%
Jan 08  2016,9.220,9.200,9.490,9.180,348.24K,1.21%
Jan 07  2016,9.110,9.430,9.440,9.080,275.44K,-4.81%
Jan 06  2016,9.570,9.770,9.780,9.550,351.26K,-4.87%
Jan 05  2016,10.060,9.890,10.200,9.740,198.28K,0.90%
Jan 04  2016,9.970,10.190,10.570,9.790,207.22K,-1.87%
Dec 31  2015,10.160,9.970,10.210,9.900,214.08K,0.30%
Dec 30  2015,10.130,10.190,10.390,10.090,256.25K,-0.98%
Dec 29  2015,10.230,10.080,10.300,9.910,189.13K,3.33%
Dec 24  2015,9.900,10.290,10.290,9.900,167.56K,-3.41%
Dec 23  2015,10.250,9.850,10.270,9.800,963.02K,5.02%
Dec 22  2015,9.760,9.750,9.900,9.600,233.68K,-1.41%
Dec 21  2015,9.900,10.480,10.480,9.770,182.66K,-1.69%
Dec 18  2015,10.070,9.860,10.180,9.860,918.01K,1.31%
Dec 17  2015,9.940,10.050,10.140,9.900,540.46K,-0.30%
Dec 16  2015,9.970,10.080,10.240,9.800,480.16K,-2.06%
Dec 15  2015,10.180,10.000,10.230,9.960,604.17K,3.14%
Dec 14  2015,9.870,9.980,10.000,9.780,238.14K,-2.08%
Dec 11  2015,10.080,10.250,10.280,9.950,252.11K,-2.04%
Dec 10  2015,10.290,10.000,10.415,9.990,341.77K,0.10%
Dec 09  2015,10.280,10.390,10.730,10.100,271.05K,-0.19%
Dec 08  2015,10.300,9.700,10.370,9.700,479.68K,3.83%
Dec 07  2015,9.920,10.490,10.490,9.790,361.54K,-7.20%
Dec 04  2015,10.690,10.900,10.900,10.500,380.83K,-2.46%
Dec 03  2015,10.960,10.870,11.170,10.800,275.50K,2.43%
Dec 02  2015,10.700,10.820,11.000,10.620,247.14K,-2.46%
Dec 01  2015,10.970,10.920,11.120,10.800,474.69K,0.46%
Nov 30  2015,10.920,10.940,11.120,10.800,312.30K,1.20%
Nov 27  2015,10.790,10.650,10.850,10.630,134.21K,0.09%
Nov 26  2015,10.780,10.960,10.960,10.750,24.68K,0.09%
Nov 25  2015,10.770,10.680,10.970,10.530,230.86K,0.37%
Nov 24  2015,10.730,10.600,10.990,10.560,312.04K,1.71%
Nov 23  2015,10.550,10.490,10.750,10.360,165.71K,0.48%
Nov 20  2015,10.500,10.500,10.740,10.460,320.81K,-0.94%
Nov 19  2015,10.600,10.420,10.690,10.420,327.04K,-0.38%
Nov 18  2015,10.640,10.650,10.750,10.460,289.34K,1.33%
Nov 17  2015,10.500,10.530,10.610,10.480,270.16K,-1.69%
Nov 16  2015,10.680,10.300,10.730,10.150,372.44K,2.99%
Nov 13  2015,10.370,10.110,10.610,9.980,395.47K,1.57%
Nov 12  2015,10.210,10.250,10.600,10.160,265.58K,-4.04%
Nov 11  2015,10.640,10.880,10.890,10.420,220.68K,-3.18%
Nov 10  2015,10.990,10.920,11.000,10.710,389.82K,0.83%
Nov 09  2015,10.900,11.030,11.230,10.750,194.04K,-0.37%
Nov 06  2015,10.940,10.780,11.020,10.540,267.45K,0.00%
Nov 05  2015,10.940,10.920,11.110,10.810,261.77K,-0.73%
Nov 04  2015,11.020,11.250,11.550,10.985,694.04K,-2.65%
Nov 03  2015,11.320,10.570,11.520,10.520,1.55M,12.97%
Nov 02  2015,10.020,9.990,10.120,9.690,329.53K,2.04%
Oct 30  2015,9.820,9.640,9.840,9.470,271.70K,2.29%
Oct 29  2015,9.600,9.850,10.110,9.590,290.61K,-2.54%
Oct 28  2015,9.850,9.350,10.090,9.330,464.30K,5.57%
Oct 27  2015,9.330,9.430,9.530,9.180,258.81K,-2.00%
Oct 26  2015,9.520,9.810,9.870,9.510,292.35K,-3.05%
Oct 23  2015,9.820,9.900,10.130,9.650,416.77K,-1.31%
Oct 22  2015,9.950,10.000,10.190,9.840,680.01K,0.51%
Oct 21  2015,9.900,10.210,10.300,9.870,301.10K,-3.51%
Oct 20  2015,10.260,9.900,10.390,9.850,533.05K,3.95%
Oct 19  2015,9.870,10.230,10.240,9.830,284.42K,-4.55%
Oct 16  2015,10.340,10.350,10.480,10.270,693.77K,1.47%
Oct 15  2015,10.190,10.290,10.410,10.070,513.48K,-1.55%
Oct 14  2015,10.350,10.020,10.370,9.770,305.87K,3.71%
Oct 13  2015,9.980,10.200,10.410,9.830,746.08K,-4.13%
Oct 09  2015,10.410,10.750,10.940,10.360,568.66K,-2.62%
Oct 08  2015,10.690,10.600,10.750,10.430,350.06K,1.14%
Oct 07  2015,10.570,10.230,10.710,10.230,968.74K,3.73%
Oct 06  2015,10.190,9.980,10.540,9.970,471.17K,3.35%
Oct 05  2015,9.860,9.600,9.970,9.480,406.96K,3.90%
Oct 02  2015,9.490,9.170,9.510,9.090,209.18K,2.71%
Oct 01  2015,9.240,9.390,9.530,9.180,372.92K,-0.11%
Sep 30  2015,9.250,8.700,9.390,8.700,476.16K,6.94%
Sep 29  2015,8.650,8.700,8.770,8.580,407.69K,-0.80%
Sep 28  2015,8.720,8.730,8.910,8.590,309.99K,-1.80%
Sep 25  2015,8.880,9.300,9.330,8.750,437.66K,-2.84%
Sep 24  2015,9.140,9.030,9.190,8.750,417.30K,1.22%
Sep 23  2015,9.030,9.230,9.230,8.890,152.96K,-1.53%
Sep 22  2015,9.170,9.280,9.300,9.000,154.34K,-2.45%
Sep 21  2015,9.400,9.370,9.500,9.290,223.83K,1.18%
Sep 18  2015,9.290,9.370,9.520,9.130,838.28K,-2.82%
Sep 17  2015,9.560,9.430,9.750,9.350,340.31K,2.03%
Sep 16  2015,9.370,9.100,9.440,9.020,569.83K,3.65%
Sep 15  2015,9.040,9.090,9.130,8.940,301.47K,0.67%
Sep 14  2015,8.980,8.840,9.050,8.780,250.30K,0.67%
Sep 11  2015,8.920,9.110,9.180,8.770,440.03K,-3.57%
Sep 10  2015,9.250,9.030,9.290,8.880,564.92K,4.28%
Sep 09  2015,8.870,9.210,9.290,8.730,856.50K,-4.00%
Sep 08  2015,9.240,9.530,9.660,9.200,818.90K,-2.84%
Sep 04  2015,9.510,9.400,9.660,9.360,893.14K,1.39%
Sep 03  2015,9.380,9.240,9.640,9.140,293.50K,1.74%
Sep 02  2015,9.220,9.090,9.340,8.880,833.91K,3.02%
Sep 01  2015,8.950,8.840,9.035,8.660,588.51K,-1.32%
Aug 31  2015,9.070,8.510,9.170,8.510,1.35M,2.95%
Aug 28  2015,8.810,8.230,8.860,8.180,654.38K,7.18%
Aug 27  2015,8.220,7.910,8.430,7.910,431.03K,8.02%
Aug 26  2015,7.610,7.690,7.700,7.420,161.66K,0.79%
Aug 25  2015,7.550,7.590,8.100,7.530,434.05K,2.30%
Aug 24  2015,7.380,7.160,7.630,7.160,386.86K,-5.26%
Aug 21  2015,7.790,8.070,8.150,7.680,397.51K,-3.35%
Aug 20  2015,8.060,7.920,8.180,7.900,238.61K,1.38%
Aug 19  2015,7.950,8.300,8.350,7.900,245.56K,-5.24%
Aug 18  2015,8.390,8.530,8.530,8.330,274.94K,-1.18%
Aug 17  2015,8.490,8.560,8.650,8.430,203.06K,-0.59%
Aug 14  2015,8.540,8.670,8.930,8.500,254.36K,-1.50%
Aug 13  2015,8.670,8.730,8.810,8.530,258.47K,-1.03%
Aug 12  2015,8.760,8.640,8.910,8.580,211.27K,-0.23%
Aug 11  2015,8.780,8.610,8.820,8.460,347.95K,-1.79%
Aug 10  2015,8.940,8.540,9.000,8.450,348.89K,4.56%
Aug 07  2015,8.550,8.760,8.790,8.480,349.60K,-0.58%
Aug 06  2015,8.600,8.490,8.620,8.140,310.10K,1.65%
Aug 05  2015,8.460,8.500,9.160,8.430,767.70K,1.44%
Aug 04  2015,8.340,8.300,8.730,8.170,285.69K,-3.58%
Jul 31  2015,8.650,8.900,8.920,8.550,403.09K,-2.37%
Jul 30  2015,8.860,8.740,9.030,8.650,206.30K,1.03%
Jul 29  2015,8.770,8.430,8.830,8.430,620.88K,4.16%
Jul 28  2015,8.420,8.160,8.550,8.110,901.95K,2.56%
Jul 27  2015,8.210,8.640,8.730,8.160,963.94K,-7.02%
Jul 24  2015,8.830,9.060,9.150,8.760,555.28K,-2.00%
Jul 23  2015,9.010,9.140,9.320,8.850,365.06K,-0.77%
Jul 22  2015,9.080,8.980,9.100,8.780,375.85K,0.22%
Jul 21  2015,9.060,8.920,9.170,8.880,315.90K,2.03%
Jul 20  2015,8.880,9.510,9.600,8.780,375.25K,-7.21%
Jul 17  2015,9.570,9.770,9.770,9.440,239.46K,-1.54%
Jul 16  2015,9.720,9.760,9.780,9.600,135.79K,0.62%
Jul 15  2015,9.660,9.600,9.940,9.590,365.54K,-0.41%
Jul 14  2015,9.700,9.370,9.780,9.370,209.97K,2.54%
Jul 13  2015,9.460,9.390,9.520,9.380,241.45K,-0.42%
Jul 10  2015,9.500,9.600,9.600,9.315,309.82K,-0.31%
Jul 09  2015,9.530,9.320,9.640,9.310,312.80K,3.03%
Jul 08  2015,9.250,9.630,9.815,9.200,277.53K,-5.23%
Jul 07  2015,9.760,9.510,9.850,9.420,422.39K,1.46%
Jul 06  2015,9.620,9.930,10.000,9.520,209.99K,-5.31%
Jul 03  2015,10.160,10.070,10.260,10.010,54.12K,-0.29%
Jul 02  2015,10.190,10.420,10.570,9.990,173.29K,-2.67%
Jun 30  2015,10.470,10.340,10.510,10.270,338.37K,2.05%
Jun 29  2015,10.260,10.490,10.500,10.150,156.26K,-3.30%
Jun 26  2015,10.610,10.500,10.740,10.470,169.42K,-1.49%
Jun 25  2015,10.770,10.620,10.920,10.620,343.20K,1.32%
Jun 24  2015,10.630,10.920,11.010,10.590,1.42M,-2.30%
Jun 23  2015,10.880,10.610,10.970,10.610,339.67K,2.54%
Jun 22  2015,10.610,10.490,10.720,10.310,420.41K,2.02%
Jun 19  2015,10.400,10.580,10.760,10.290,714.49K,-2.07%
Jun 18  2015,10.620,10.990,10.990,10.600,130.78K,-2.39%
Jun 17  2015,10.880,10.930,11.100,10.760,347.89K,1.02%
Jun 16  2015,10.770,10.840,11.000,10.760,162.62K,-0.46%
Jun 15  2015,10.820,10.610,10.900,10.520,375.38K,0.37%
Jun 12  2015,10.780,10.870,10.900,10.700,365.01K,-1.28%
Jun 11  2015,10.920,10.930,10.980,10.750,290.75K,0.83%
Jun 10  2015,10.830,10.600,11.020,10.600,591.49K,3.74%
Jun 09  2015,10.440,10.270,10.550,10.270,444.01K,1.85%
Jun 08  2015,10.250,10.330,10.370,10.170,208.18K,-1.25%
Jun 05  2015,10.380,10.160,10.500,10.160,253.35K,0.97%
Jun 04  2015,10.280,10.330,10.350,10.050,341.90K,-1.15%
Jun 03  2015,10.400,10.450,10.610,10.390,151.07K,-1.23%
Jun 02  2015,10.530,10.230,10.620,10.230,469.52K,4.05%
Jun 01  2015,10.120,10.300,10.300,9.980,134.51K,-0.59%
May 29  2015,10.180,9.900,10.230,9.900,270.51K,2.62%
May 28  2015,9.920,9.800,9.940,9.800,377.93K,0.20%
May 27  2015,9.900,9.870,9.970,9.780,432.12K,-0.10%
May 26  2015,9.910,10.110,10.110,9.810,198.50K,-3.22%
May 25  2015,10.240,10.210,10.315,10.160,101.15K,-0.97%
May 22  2015,10.340,10.250,10.450,10.230,302.50K,-0.48%
May 21  2015,10.390,10.160,10.390,10.090,220.18K,2.87%
May 20  2015,10.100,10.000,10.170,9.920,487.66K,1.71%
May 19  2015,9.930,9.920,10.065,9.860,627.60K,-0.50%
May 15  2015,9.980,9.760,10.050,9.640,334.10K,1.01%
May 14  2015,9.880,10.200,10.200,9.820,534.33K,-3.61%
May 13  2015,10.250,10.280,10.540,10.200,705.11K,0.79%
May 12  2015,10.170,9.520,10.470,9.520,2.39M,7.05%
May 11  2015,9.500,9.650,9.680,9.450,193.49K,-1.55%
May 08  2015,9.650,9.420,9.700,9.340,544.13K,3.65%
May 07  2015,9.310,9.710,9.760,9.210,538.52K,-5.48%
May 06  2015,9.850,9.530,10.000,9.530,1.18M,4.01%
May 05  2015,9.470,9.600,9.980,9.425,592.32K,-1.15%
May 04  2015,9.580,9.720,9.840,9.540,221.66K,-1.03%
May 01  2015,9.680,9.480,9.720,9.430,527.80K,0.00%
Apr 30  2015,9.680,9.630,9.750,9.390,471.22K,0.83%
Apr 29  2015,9.600,9.130,9.650,9.130,537.74K,4.35%
Apr 28  2015,9.200,9.220,9.380,9.175,216.53K,-0.76%
Apr 27  2015,9.270,9.410,9.410,9.240,209.51K,-0.11%
Apr 24  2015,9.280,9.400,9.460,9.170,243.82K,-1.28%
Apr 23  2015,9.400,9.180,9.440,9.140,842.75K,3.07%
Apr 22  2015,9.120,8.990,9.250,8.940,382.59K,0.55%
Apr 21  2015,9.070,9.270,9.310,8.990,401.04K,-2.16%
Apr 20  2015,9.270,9.170,9.350,9.170,741.75K,1.76%
Apr 17  2015,9.110,9.150,9.190,8.880,847.77K,-0.98%
Apr 16  2015,9.200,9.130,9.240,8.990,2.01M,-2.95%
Apr 15  2015,9.480,9.450,9.920,9.380,456.06K,1.94%
Apr 14  2015,9.300,9.030,9.360,8.970,1.59M,3.45%
Apr 13  2015,8.990,8.840,9.050,8.780,313.61K,1.58%
Apr 10  2015,8.850,8.770,8.930,8.650,234.18K,-0.78%
Apr 09  2015,8.920,8.690,8.980,8.590,453.40K,3.48%
Apr 08  2015,8.620,9.020,9.030,8.500,514.40K,-5.07%
Apr 07  2015,9.080,8.780,9.195,8.735,427.45K,1.45%
Apr 06  2015,8.950,8.700,9.020,8.630,356.72K,4.68%
Apr 02  2015,8.550,8.360,8.640,8.330,203.77K,1.91%
Apr 01  2015,8.390,8.070,8.480,8.060,461.64K,3.97%
Mar 31  2015,8.070,8.120,8.300,8.035,349.04K,-2.06%
Mar 30  2015,8.240,8.170,8.270,8.070,226.19K,1.35%
Mar 27  2015,8.130,8.160,8.210,7.900,246.61K,-1.22%
Mar 26  2015,8.230,8.170,8.420,8.150,317.70K,0.98%
Mar 25  2015,8.150,8.100,8.210,7.970,290.08K,2.13%
Mar 24  2015,7.980,7.950,8.070,7.920,253.49K,0.88%
Mar 23  2015,7.910,7.900,8.210,7.890,148.91K,-0.75%
Mar 20  2015,7.970,7.660,7.990,7.620,572.13K,4.73%
Mar 19  2015,7.610,7.720,7.740,7.540,126.42K,-2.31%
Mar 18  2015,7.790,7.430,7.820,7.300,208.27K,4.99%
Mar 17  2015,7.420,7.370,7.480,7.190,143.51K,1.64%
Mar 16  2015,7.300,7.270,7.420,7.270,213.51K,-3.69%
Mar 13  2015,7.580,7.650,7.690,7.530,212.02K,-2.45%
Mar 12  2015,7.770,7.790,7.900,7.690,276.84K,1.17%
Mar 11  2015,7.680,7.600,7.760,7.240,1.02M,0.26%
Mar 10  2015,7.660,7.750,7.925,7.620,454.70K,-4.01%
Mar 09  2015,7.980,8.000,8.140,7.930,269.07K,-0.87%
Mar 06  2015,8.050,8.010,8.120,7.990,193.29K,-1.11%
Mar 05  2015,8.140,8.110,8.180,8.000,215.56K,0.37%
Mar 04  2015,8.110,8.120,8.240,7.940,511.71K,0.12%
Mar 03  2015,8.100,7.850,8.140,7.760,279.13K,5.19%
Mar 02  2015,7.700,7.810,7.850,7.630,360.33K,-2.16%
