Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.80,22.59,22.85,22.53,185.95K,1.06%
Apr 18  2016,22.56,21.99,22.68,21.87,155.83K,1.67%
Apr 15  2016,22.19,21.71,22.21,21.71,88.47K,1.00%
Apr 14  2016,21.97,22.07,22.18,21.80,201.13K,-0.81%
Apr 13  2016,22.15,21.87,22.16,21.75,190.08K,1.28%
Apr 12  2016,21.87,21.53,22.05,21.52,298.22K,1.20%
Apr 11  2016,21.61,21.55,22.02,21.45,198.84K,0.23%
Apr 08  2016,21.56,21.25,21.70,21.25,203.86K,1.94%
Apr 07  2016,21.15,21.10,21.25,20.88,276.73K,0.24%
Apr 06  2016,21.10,21.00,21.16,20.65,392.26K,1.69%
Apr 05  2016,20.75,21.03,21.07,20.50,182.24K,-1.61%
Apr 04  2016,21.09,21.05,21.20,20.89,127.05K,0.29%
Apr 01  2016,21.03,21.25,21.31,20.87,152.91K,-1.68%
Mar 31  2016,21.39,21.25,21.49,21.17,194.34K,0.38%
Mar 30  2016,21.31,21.31,21.55,21.27,118.16K,0.28%
Mar 29  2016,21.25,20.93,21.50,20.85,153.10K,1.29%
Mar 28  2016,20.98,21.28,21.28,20.93,155.03K,-0.80%
Mar 24  2016,21.15,21.32,21.45,21.06,145.95K,-1.31%
Mar 23  2016,21.43,21.40,21.44,21.19,123.72K,0.05%
Mar 22  2016,21.42,21.28,21.51,21.27,75.84K,-0.05%
Mar 21  2016,21.43,21.24,21.54,21.24,114.03K,-0.23%
Mar 18  2016,21.48,21.70,21.88,21.29,348.44K,-0.69%
Mar 17  2016,21.63,21.59,21.69,21.42,222.64K,0.84%
Mar 16  2016,21.45,21.54,21.57,21.19,308.96K,0.61%
Mar 15  2016,21.32,21.33,21.48,21.05,314.30K,-0.28%
Mar 14  2016,21.38,21.58,22.04,21.06,578.65K,-2.42%
Mar 11  2016,21.91,22.02,22.58,21.88,248.17K,-0.54%
Mar 10  2016,22.03,22.16,22.50,21.90,190.63K,0.18%
Mar 09  2016,21.99,22.00,22.50,21.73,473.20K,3.58%
Mar 08  2016,21.23,21.53,21.53,20.95,223.52K,-1.39%
Mar 07  2016,21.53,21.85,21.90,21.14,504.03K,-0.05%
Mar 04  2016,21.54,22.21,22.32,21.23,292.80K,-3.02%
Mar 03  2016,22.21,21.39,22.37,21.39,327.52K,5.01%
Mar 02  2016,21.15,21.13,21.29,20.90,136.59K,-0.33%
Mar 01  2016,21.22,21.02,21.40,20.70,241.03K,2.27%
Feb 29  2016,20.75,20.83,21.10,20.74,194.29K,-0.24%
Feb 26  2016,20.80,21.06,21.37,20.74,223.18K,-0.81%
Feb 25  2016,20.97,20.32,21.00,20.32,224.59K,0.72%
Feb 24  2016,20.82,20.50,21.11,20.50,138.50K,0.34%
Feb 23  2016,20.75,21.00,21.17,20.63,146.91K,-1.57%
Feb 22  2016,21.08,21.05,21.34,20.97,209.78K,1.05%
Feb 19  2016,20.86,21.00,21.00,20.52,156.07K,-1.37%
Feb 18  2016,21.15,20.50,21.43,20.50,270.78K,1.20%
Feb 17  2016,20.90,20.45,20.96,20.45,215.11K,2.00%
Feb 16  2016,20.49,20.31,20.63,20.18,217.93K,1.09%
