Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,18.76,18.05,18.80,18.05,219.73K,5.16%
Apr 18  2016,17.84,16.79,17.85,16.59,66.08K,4.39%
Apr 15  2016,17.09,17.17,17.40,16.85,66.36K,-1.56%
Apr 14  2016,17.36,17.46,17.65,17.06,79.34K,0.00%
Apr 13  2016,17.36,17.75,18.00,17.31,139.91K,-2.03%
Apr 12  2016,17.72,17.05,17.90,17.01,113.28K,4.05%
Apr 11  2016,17.03,16.41,17.07,16.41,137.35K,3.65%
Apr 08  2016,16.43,15.96,16.53,15.93,344.48K,4.78%
Apr 07  2016,15.68,15.90,15.90,15.50,64.85K,-1.51%
Apr 06  2016,15.92,15.87,16.06,15.76,56.31K,1.53%
Apr 05  2016,15.68,16.00,16.00,15.56,43.88K,-0.32%
Apr 04  2016,15.73,15.96,16.01,15.60,133.44K,-1.44%
Apr 01  2016,15.96,16.20,16.25,15.77,174.88K,-3.27%
Mar 31  2016,16.50,16.11,16.64,16.11,88.78K,2.04%
Mar 30  2016,16.17,16.60,16.77,16.17,97.18K,-1.58%
Mar 29  2016,16.43,16.19,16.50,16.00,38.24K,0.37%
Mar 28  2016,16.37,16.53,16.53,16.25,139.05K,-0.67%
Mar 24  2016,16.48,16.50,16.70,16.44,57.50K,-1.44%
Mar 23  2016,16.72,16.81,17.02,16.60,96.03K,-1.30%
Mar 22  2016,16.94,17.00,17.20,16.76,96.88K,-1.34%
Mar 21  2016,17.17,17.50,17.50,17.13,153.77K,-1.09%
Mar 18  2016,17.36,17.92,17.95,16.96,1.31M,-1.70%
Mar 17  2016,17.66,17.21,17.79,17.20,234.20K,3.70%
Mar 16  2016,17.03,17.00,17.05,16.83,185.70K,1.73%
Mar 15  2016,16.74,16.74,16.77,16.33,202.13K,-0.71%
Mar 14  2016,16.86,16.59,17.02,16.35,496.66K,1.75%
Mar 11  2016,16.57,15.92,16.64,15.92,116.73K,4.28%
Mar 10  2016,15.89,16.09,16.09,15.62,324.24K,-1.12%
Mar 09  2016,16.07,16.50,16.57,16.05,108.81K,-1.41%
Mar 08  2016,16.30,16.81,16.81,15.93,291.23K,-3.44%
Mar 07  2016,16.88,16.88,17.14,16.73,587.93K,0.42%
Mar 04  2016,16.81,16.99,17.13,16.50,494.15K,-0.36%
Mar 03  2016,16.87,16.84,17.00,16.67,137.75K,0.66%
Mar 02  2016,16.76,16.98,16.99,16.51,240.74K,-0.89%
Mar 01  2016,16.91,16.62,17.05,16.35,169.32K,2.55%
Feb 29  2016,16.49,16.61,17.00,16.42,295.86K,0.67%
Feb 26  2016,16.38,16.15,16.46,15.57,374.48K,-1.03%
Feb 25  2016,16.55,16.40,16.60,16.11,89.28K,-0.24%
Feb 24  2016,16.59,16.20,16.85,16.20,117.83K,-0.18%
Feb 23  2016,16.62,16.90,16.91,16.57,80.69K,-2.46%
Feb 22  2016,17.04,17.05,17.15,16.57,243.77K,2.16%
Feb 19  2016,16.68,16.73,17.02,16.15,173.16K,-0.18%
Feb 18  2016,16.71,16.92,17.00,16.61,107.13K,-0.18%
Feb 17  2016,16.74,16.00,17.07,15.93,125.76K,5.02%
Feb 16  2016,15.94,16.54,16.62,15.79,110.37K,-1.24%
Feb 12  2016,16.14,15.50,16.32,15.49,142.16K,5.63%
Feb 11  2016,15.28,15.22,16.06,15.00,148.07K,-3.23%
Feb 10  2016,15.79,16.00,16.25,15.65,107.40K,-2.05%
Feb 09  2016,16.12,16.61,16.61,16.07,150.28K,-4.10%
Feb 08  2016,16.81,17.13,17.21,16.75,78.27K,-2.21%
Feb 05  2016,17.19,17.23,17.33,16.86,67.30K,-0.23%
Feb 04  2016,17.23,17.60,17.67,17.00,66.65K,-0.35%
Feb 03  2016,17.29,17.36,17.40,16.86,130.46K,1.35%
Feb 02  2016,17.06,16.21,17.17,16.21,145.84K,0.06%
Feb 01  2016,17.05,18.27,18.29,16.84,231.12K,-4.91%
Jan 29  2016,17.93,18.18,18.42,17.71,513.25K,-0.77%
Jan 28  2016,18.07,17.44,18.17,17.32,176.47K,6.67%
Jan 27  2016,16.94,16.84,17.32,16.55,220.90K,1.80%
Jan 26  2016,16.64,16.24,16.82,16.12,230.92K,4.00%
Jan 25  2016,16.00,16.91,16.91,15.96,298.16K,-5.88%
Jan 22  2016,17.00,16.47,17.39,16.47,256.44K,5.26%
Jan 21  2016,16.15,15.19,16.29,15.01,367.67K,5.83%
