Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,36.49,36.19,36.51,35.84,736.16K,1.22%
Apr 18  2016,36.05,35.00,36.25,35.00,1.58M,1.61%
Apr 15  2016,35.48,35.58,35.80,35.25,802.35K,-1.17%
Apr 14  2016,35.90,36.00,36.00,35.64,519.18K,0.11%
Apr 13  2016,35.86,35.32,35.98,35.08,878.32K,2.22%
Apr 12  2016,35.08,34.76,35.49,34.52,1.16M,1.30%
Apr 11  2016,34.63,34.96,34.99,34.50,575.63K,-0.72%
Apr 08  2016,34.88,34.70,35.04,34.66,1.20M,1.37%
Apr 07  2016,34.41,34.58,34.79,34.19,503.32K,-0.58%
Apr 06  2016,34.61,33.99,34.66,33.98,780.66K,2.15%
Apr 05  2016,33.88,34.00,34.12,33.75,813.43K,-0.59%
Apr 04  2016,34.08,34.38,34.40,34.05,581.04K,-0.61%
Apr 01  2016,34.29,34.90,34.91,34.16,756.71K,-2.34%
Mar 31  2016,35.11,34.72,35.24,34.64,1.26M,0.92%
Mar 30  2016,34.79,34.00,34.99,33.99,2.03M,3.14%
Mar 29  2016,33.73,33.70,33.97,33.52,1.06M,-0.47%
Mar 28  2016,33.89,33.77,33.92,33.57,622.71K,0.53%
Mar 24  2016,33.71,33.50,33.97,33.40,988.96K,0.03%
Mar 23  2016,33.70,34.59,34.68,33.59,1.38M,-2.29%
Mar 22  2016,34.49,34.00,34.73,33.93,1.14M,1.23%
Mar 21  2016,34.07,34.16,34.50,34.03,770.36K,-0.55%
Mar 18  2016,34.26,35.00,35.41,34.20,3.75M,-3.60%
Mar 17  2016,35.54,35.75,35.86,35.20,1.12M,0.08%
Mar 16  2016,35.51,35.15,35.70,34.80,860.38K,1.46%
Mar 15  2016,35.00,34.47,35.05,34.39,599.02K,1.07%
Mar 14  2016,34.63,34.28,34.76,34.22,626.42K,0.58%
Mar 11  2016,34.43,34.05,34.47,33.63,656.10K,2.62%
Mar 10  2016,33.55,34.36,34.37,33.35,884.39K,-1.73%
Mar 09  2016,34.14,34.36,34.60,34.03,1.32M,-0.03%
Mar 08  2016,34.15,34.22,34.27,33.87,745.13K,0.00%
