Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,1.70,1.63,1.71,1.63,1.52M,5.59%
Apr 18  2016,1.61,1.51,1.63,1.51,1.62M,0.62%
Apr 15  2016,1.60,1.56,1.62,1.51,1.15M,0.00%
Apr 14  2016,1.60,1.60,1.64,1.56,1.36M,-1.84%
Apr 13  2016,1.63,1.69,1.72,1.63,1.69M,-2.40%
Apr 12  2016,1.67,1.63,1.69,1.60,3.17M,3.73%
Apr 11  2016,1.61,1.63,1.66,1.61,2.18M,0.00%
Apr 08  2016,1.61,1.58,1.64,1.56,2.41M,5.92%
Apr 07  2016,1.52,1.54,1.56,1.49,1.66M,-1.94%
Apr 06  2016,1.55,1.49,1.59,1.47,2.41M,6.16%
Apr 05  2016,1.46,1.49,1.53,1.43,2.63M,-5.19%
Apr 04  2016,1.54,1.55,1.61,1.50,2.78M,-3.75%
Apr 01  2016,1.60,1.58,1.70,1.56,4.61M,-5.88%
Mar 31  2016,1.70,1.54,1.73,1.53,5.91M,11.11%
Mar 30  2016,1.53,1.44,1.55,1.44,3.31M,6.99%
Mar 29  2016,1.43,1.38,1.43,1.36,903.97K,1.42%
Mar 28  2016,1.41,1.44,1.44,1.36,792.92K,0.71%
Mar 24  2016,1.40,1.34,1.42,1.28,2.38M,2.94%
Mar 23  2016,1.36,1.34,1.43,1.33,8.18M,3.82%
Mar 22  2016,1.31,1.30,1.31,1.27,1.89M,2.34%
Mar 21  2016,1.28,1.45,1.45,1.26,7.89M,-9.22%
Mar 18  2016,1.41,1.32,1.51,1.29,47.56M,8.46%
Mar 17  2016,1.30,1.34,1.35,1.29,3.38M,0.00%
Mar 16  2016,1.30,1.28,1.32,1.24,4.71M,2.36%
Mar 15  2016,1.27,1.17,1.27,1.16,5.78M,4.96%
Mar 14  2016,1.21,1.25,1.27,1.18,7.20M,-7.63%
Mar 11  2016,1.31,1.37,1.40,1.27,3.60M,-1.50%
Mar 10  2016,1.33,1.31,1.34,1.27,4.41M,0.00%
Mar 09  2016,1.33,1.33,1.34,1.25,8.50M,3.91%
Mar 08  2016,1.28,1.35,1.35,1.22,8.10M,-5.19%
Mar 07  2016,1.35,1.32,1.37,1.30,5.27M,7.14%
Mar 04  2016,1.26,1.16,1.30,1.16,5.44M,10.53%
Mar 03  2016,1.14,1.16,1.23,1.11,9.69M,-3.39%
Mar 02  2016,1.18,1.04,1.19,1.01,5.69M,13.46%
Mar 01  2016,1.04,1.02,1.04,1.01,6.25M,2.97%
Feb 29  2016,1.01,1.01,1.04,0.98,10.85M,1.00%
Feb 26  2016,1.00,0.98,1.02,0.97,3.62M,7.53%
Feb 25  2016,0.93,1.02,1.05,0.93,6.40M,-9.71%
Feb 24  2016,1.03,0.95,1.03,0.95,2.26M,5.10%
Feb 23  2016,0.98,1.05,1.06,0.97,2.11M,-5.77%
Feb 22  2016,1.04,1.06,1.07,1.04,767.13K,2.97%
Feb 19  2016,1.01,1.02,1.04,1.00,631.32K,-1.94%
Feb 18  2016,1.03,1.10,1.10,1.03,1.18M,-1.90%
Feb 17  2016,1.05,1.02,1.06,1.00,2.22M,5.00%
Feb 16  2016,1.00,1.08,1.09,0.98,26.90M,-3.85%
Feb 12  2016,1.04,0.97,1.08,0.97,1.62M,10.64%
Feb 11  2016,0.94,0.88,0.95,0.84,1.51M,3.30%
Feb 10  2016,0.91,0.96,0.99,0.91,1.60M,-3.19%
Feb 09  2016,0.94,1.02,1.02,0.94,1.79M,-6.93%
Feb 08  2016,1.01,1.02,1.05,1.01,1.06M,-3.81%
Feb 05  2016,1.05,1.06,1.09,1.04,1.25M,-0.94%
Feb 04  2016,1.06,1.08,1.13,1.04,1.18M,-0.93%
Feb 03  2016,1.07,1.07,1.09,0.98,2.43M,1.90%
Feb 02  2016,1.05,1.08,1.08,1.01,2.00M,-7.08%
Feb 01  2016,1.13,1.13,1.13,1.07,1.70M,-3.42%
Jan 29  2016,1.17,1.09,1.17,1.06,2.42M,10.38%
Jan 28  2016,1.06,1.01,1.07,0.99,1.84M,10.42%
Jan 27  2016,0.96,0.87,0.99,0.85,2.21M,6.67%
Jan 26  2016,0.90,0.80,0.90,0.79,3.03M,15.38%
Jan 25  2016,0.78,0.86,0.91,0.78,2.41M,-7.14%
Jan 22  2016,0.84,0.82,0.85,0.78,2.67M,12.00%
Jan 21  2016,0.75,0.76,0.83,0.75,2.25M,-7.41%
Jan 20  2016,0.81,0.74,0.81,0.66,1.96M,8.00%
Jan 19  2016,0.75,0.75,0.81,0.73,2.85M,2.74%
Jan 18  2016,0.73,0.73,0.77,0.73,390.04K,-6.41%
Jan 15  2016,0.78,0.73,0.80,0.71,1.13M,-6.02%
Jan 14  2016,0.83,0.70,0.83,0.69,2.00M,15.28%
Jan 13  2016,0.72,0.79,0.80,0.71,2.58M,-6.49%
Jan 12  2016,0.77,0.87,0.87,0.71,1.80M,-7.23%
Jan 11  2016,0.83,0.97,0.97,0.81,1.16M,-14.43%
Jan 08  2016,0.97,1.00,1.01,0.92,1.41M,-1.02%
Jan 07  2016,0.98,1.01,1.02,0.97,1.30M,-4.85%
Jan 06  2016,1.03,1.03,1.08,1.01,2.31M,-2.83%
Jan 05  2016,1.06,1.06,1.08,1.04,710.58K,0.00%
Jan 04  2016,1.06,1.03,1.07,1.02,1.86M,3.92%
Dec 31  2015,1.02,0.97,1.02,0.95,737.17K,5.15%
Dec 30  2015,0.97,1.02,1.02,0.97,792.79K,-3.96%
Dec 29  2015,1.01,1.07,1.08,1.01,1.47M,-8.18%
Dec 24  2015,1.10,1.11,1.12,1.07,581.00K,0.00%
Dec 23  2015,1.10,1.05,1.11,1.04,2.04M,7.84%
Dec 22  2015,1.02,1.04,1.07,1.00,956.11K,-2.86%
Dec 21  2015,1.05,1.02,1.08,1.01,1.84M,0.96%
Dec 18  2015,1.04,1.00,1.04,0.98,5.00M,1.96%
Dec 17  2015,1.02,1.01,1.03,0.98,1.92M,0.00%
Dec 16  2015,1.02,1.04,1.09,0.96,3.32M,-2.86%
Dec 15  2015,1.05,1.09,1.11,1.04,2.07M,-0.94%
Dec 14  2015,1.06,1.12,1.18,1.05,2.18M,-7.83%
Dec 11  2015,1.15,1.18,1.20,1.12,1.58M,-8.00%
Dec 10  2015,1.25,1.16,1.26,1.15,2.23M,3.31%
Dec 09  2015,1.21,1.12,1.25,1.12,3.32M,9.01%
Dec 08  2015,1.11,1.05,1.12,1.02,2.58M,4.72%
Dec 07  2015,1.06,1.10,1.12,1.05,3.09M,-8.62%
Dec 04  2015,1.16,1.16,1.17,1.10,1.57M,-1.69%
Dec 03  2015,1.18,1.18,1.21,1.16,668.43K,3.51%
Dec 02  2015,1.14,1.20,1.27,1.14,1.99M,-6.56%
Dec 01  2015,1.22,1.16,1.23,1.13,2.50M,7.02%
Nov 30  2015,1.14,1.11,1.17,1.11,4.94M,4.59%
Nov 27  2015,1.09,1.12,1.13,1.09,278.61K,-2.68%
Nov 26  2015,1.12,1.13,1.16,1.11,238.01K,-0.88%
Nov 25  2015,1.13,1.11,1.18,1.10,1.24M,0.89%
Nov 24  2015,1.12,1.13,1.14,1.10,1.33M,2.75%
Nov 23  2015,1.09,1.09,1.13,1.08,1.25M,0.00%
Nov 20  2015,1.09,1.13,1.15,1.09,2.58M,-6.03%
Nov 19  2015,1.16,1.16,1.18,1.13,821.37K,0.00%
Nov 18  2015,1.16,1.19,1.22,1.16,1.92M,0.00%
Nov 17  2015,1.16,1.27,1.28,1.15,3.55M,-10.77%
Nov 16  2015,1.30,1.11,1.32,1.11,2.29M,18.18%
Nov 13  2015,1.10,1.09,1.21,1.09,2.58M,-0.90%
Nov 12  2015,1.11,1.11,1.19,1.09,1.82M,-4.31%
Nov 11  2015,1.16,1.26,1.26,1.16,1.14M,-9.38%
Nov 10  2015,1.28,1.26,1.30,1.24,2.54M,1.59%
Nov 09  2015,1.26,1.27,1.33,1.25,839.80K,-0.79%
Nov 06  2015,1.27,1.30,1.32,1.26,4.52M,-3.79%
Nov 05  2015,1.32,1.30,1.37,1.30,861.80K,-2.94%
Nov 04  2015,1.36,1.50,1.50,1.33,2.01M,-6.85%
Nov 03  2015,1.46,1.37,1.46,1.37,2.06M,8.15%
Nov 02  2015,1.35,1.24,1.35,1.24,986.47K,5.47%
Oct 30  2015,1.28,1.24,1.33,1.20,1.85M,4.92%
Oct 29  2015,1.22,1.15,1.25,1.15,2.35M,3.39%
Oct 28  2015,1.18,1.10,1.20,1.10,1.44M,9.26%
Oct 27  2015,1.08,1.12,1.13,1.06,1.74M,-5.26%
Oct 26  2015,1.14,1.20,1.21,1.12,832.47K,-4.20%
Oct 23  2015,1.19,1.18,1.25,1.18,1.77M,0.85%
Oct 22  2015,1.18,1.24,1.25,1.17,750.34K,-1.67%
Oct 21  2015,1.20,1.25,1.27,1.19,849.19K,-6.25%
Oct 20  2015,1.28,1.28,1.32,1.25,841.72K,-0.78%
Oct 19  2015,1.29,1.37,1.37,1.29,1.04M,-7.19%
Oct 16  2015,1.39,1.47,1.48,1.38,825.43K,-2.80%
Oct 15  2015,1.43,1.39,1.45,1.35,915.66K,1.42%
Oct 14  2015,1.41,1.41,1.46,1.37,831.13K,-1.40%
Oct 13  2015,1.43,1.42,1.49,1.36,2.09M,-4.67%
Oct 09  2015,1.50,1.63,1.65,1.49,2.18M,-5.06%
Oct 08  2015,1.58,1.45,1.62,1.44,2.07M,7.48%
Oct 07  2015,1.47,1.50,1.55,1.46,4.41M,4.26%
