Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,1.33,1.28,1.33,1.28,1.21M,4.72%
Apr 18  2016,1.27,1.18,1.29,1.17,4.79M,-0.78%
Apr 15  2016,1.28,1.23,1.29,1.22,1.02M,2.40%
Apr 14  2016,1.25,1.28,1.29,1.24,1.39M,-1.57%
Apr 13  2016,1.27,1.32,1.32,1.25,1.38M,-3.79%
Apr 12  2016,1.32,1.21,1.33,1.21,2.79M,9.09%
Apr 11  2016,1.21,1.19,1.22,1.18,1.06M,2.54%
Apr 08  2016,1.18,1.19,1.21,1.17,1.47M,2.61%
Apr 07  2016,1.15,1.16,1.19,1.15,513.56K,-1.71%
Apr 06  2016,1.17,1.19,1.20,1.16,691.43K,0.86%
Apr 05  2016,1.16,1.17,1.18,1.13,889.62K,0.87%
Apr 04  2016,1.15,1.19,1.20,1.15,625.70K,-4.17%
Apr 01  2016,1.20,1.18,1.20,1.16,956.85K,0.00%
Mar 31  2016,1.20,1.19,1.21,1.18,497.19K,0.84%
Mar 30  2016,1.19,1.22,1.25,1.18,1.29M,0.00%
Mar 29  2016,1.19,1.17,1.21,1.15,822.72K,-0.83%
Mar 28  2016,1.20,1.19,1.21,1.15,699.14K,1.69%
Mar 24  2016,1.18,1.16,1.21,1.13,1.25M,0.00%
Mar 23  2016,1.18,1.20,1.22,1.17,2.04M,-4.07%
Mar 22  2016,1.23,1.22,1.28,1.21,1.16M,-2.38%
Mar 21  2016,1.26,1.25,1.28,1.18,3.98M,6.78%
Mar 18  2016,1.18,1.33,1.34,1.17,5.38M,-8.53%
Mar 17  2016,1.29,1.32,1.36,1.29,1.75M,2.38%
Mar 16  2016,1.26,1.30,1.33,1.23,2.08M,-0.79%
Mar 15  2016,1.27,1.22,1.28,1.13,2.28M,0.00%
Mar 14  2016,1.27,1.27,1.28,1.22,1.62M,-5.22%
Mar 11  2016,1.34,1.45,1.48,1.31,2.78M,-2.90%
Mar 10  2016,1.38,1.43,1.54,1.34,3.44M,-12.66%
Mar 09  2016,1.58,1.62,1.65,1.56,1.57M,3.27%
Mar 08  2016,1.53,1.76,1.77,1.53,3.13M,-11.05%
Mar 07  2016,1.72,1.63,1.73,1.62,2.38M,7.50%
Mar 04  2016,1.60,1.53,1.64,1.53,1.89M,5.26%
Mar 03  2016,1.52,1.48,1.56,1.45,1.71M,4.83%
Mar 02  2016,1.45,1.29,1.46,1.29,2.32M,10.69%
Mar 01  2016,1.31,1.29,1.33,1.28,1.71M,2.34%
Feb 29  2016,1.28,1.30,1.32,1.27,1.19M,-1.54%
Feb 26  2016,1.30,1.32,1.32,1.26,1.59M,2.36%
Feb 25  2016,1.27,1.31,1.31,1.20,1.48M,-3.79%
Feb 24  2016,1.32,1.21,1.32,1.19,1.73M,4.76%
Feb 23  2016,1.26,1.38,1.38,1.26,1.28M,-7.35%
Feb 22  2016,1.36,1.39,1.44,1.33,1.73M,5.43%
Feb 19  2016,1.29,1.28,1.32,1.26,1.12M,-3.01%
Feb 18  2016,1.33,1.37,1.37,1.30,3.22M,0.76%
Feb 17  2016,1.32,1.20,1.33,1.20,2.89M,10.92%
Feb 16  2016,1.19,1.18,1.21,1.16,1.27M,4.39%
Feb 12  2016,1.14,1.07,1.14,1.05,2.09M,10.68%
Feb 11  2016,1.03,0.96,1.03,0.96,1.18M,1.98%
Feb 10  2016,1.01,0.99,1.04,0.97,877.04K,2.02%
Feb 09  2016,0.99,1.03,1.07,0.97,1.21M,-6.60%
Feb 08  2016,1.06,1.06,1.09,1.03,1.29M,-3.64%
Feb 05  2016,1.10,1.08,1.10,1.02,1.07M,3.77%
Feb 04  2016,1.06,1.07,1.11,1.03,1.60M,0.00%
Feb 03  2016,1.06,0.99,1.06,0.95,2.28M,10.42%
Feb 02  2016,0.96,0.94,0.97,0.91,1.47M,-3.03%
Feb 01  2016,0.99,0.96,0.99,0.91,1.88M,-1.98%
Jan 29  2016,1.01,1.06,1.08,1.01,2.44M,-1.94%
Jan 28  2016,1.03,1.06,1.07,1.01,1.96M,5.10%
Jan 27  2016,0.98,0.95,1.05,0.93,2.20M,1.03%
Jan 26  2016,0.97,0.94,0.98,0.92,1.59M,7.78%
Jan 25  2016,0.90,0.96,0.99,0.89,2.01M,-10.00%
Jan 22  2016,1.00,0.99,1.01,0.93,2.74M,14.94%
Jan 21  2016,0.87,0.76,0.87,0.76,3.03M,14.47%
Jan 20  2016,0.76,0.78,0.80,0.70,2.97M,-3.80%
Jan 19  2016,0.79,0.82,0.87,0.79,1.41M,-1.25%
Jan 18  2016,0.80,0.86,0.86,0.80,528.82K,-6.98%
Jan 15  2016,0.86,0.76,0.86,0.75,2.23M,2.38%
Jan 14  2016,0.84,0.80,0.87,0.79,3.97M,6.33%
Jan 13  2016,0.79,0.89,0.93,0.79,2.36M,-5.95%
Jan 12  2016,0.84,0.90,0.91,0.75,2.91M,-2.33%
Jan 11  2016,0.86,0.99,0.99,0.85,1.68M,-13.13%
Jan 08  2016,0.99,1.02,1.02,0.95,1.98M,1.02%
Jan 07  2016,0.98,1.08,1.10,0.96,3.29M,-12.50%
Jan 06  2016,1.12,1.15,1.16,1.11,2.93M,-6.67%
Jan 05  2016,1.20,1.20,1.22,1.17,1.57M,-1.64%
