Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.56,4.46,4.62,4.33,339.86K,2.24%
Apr 18  2016,4.46,4.19,4.47,4.02,650.53K,7.47%
Apr 15  2016,4.15,4.51,4.89,4.15,586.42K,-15.82%
Apr 14  2016,4.93,5.04,5.15,4.77,444.88K,-0.60%
Apr 13  2016,4.96,4.34,5.05,4.25,894.86K,15.89%
Apr 12  2016,4.28,3.94,4.29,3.94,301.41K,7.81%
Apr 11  2016,3.97,4.07,4.07,3.82,222.20K,-0.75%
Apr 08  2016,4.00,4.02,4.03,3.90,179.09K,0.25%
Apr 07  2016,3.99,4.10,4.13,3.92,140.27K,-1.97%
Apr 06  2016,4.07,4.07,4.16,3.91,184.11K,1.75%
Apr 05  2016,4.00,3.96,4.15,3.88,103.30K,0.50%
Apr 04  2016,3.98,4.15,4.25,3.94,269.02K,-1.24%
Apr 01  2016,4.03,4.23,4.23,4.02,141.13K,-2.89%
Mar 31  2016,4.15,4.18,4.26,4.10,181.72K,-0.24%
Mar 30  2016,4.16,4.15,4.39,4.08,211.25K,0.73%
Mar 29  2016,4.13,4.10,4.18,3.99,204.13K,0.73%
Mar 28  2016,4.10,4.16,4.27,4.02,335.22K,-7.03%
Mar 24  2016,4.41,4.42,4.53,4.25,530.17K,0.23%
Mar 23  2016,4.40,4.62,4.78,4.38,274.26K,-3.30%
Mar 22  2016,4.55,4.70,4.71,4.38,205.18K,-3.19%
Mar 21  2016,4.70,4.46,4.72,4.29,258.04K,9.56%
Mar 18  2016,4.29,4.43,4.49,4.14,370.11K,-2.28%
Mar 17  2016,4.39,4.62,4.65,4.34,586.23K,-5.59%
Mar 16  2016,4.65,4.79,5.00,4.65,428.23K,-1.90%
Mar 15  2016,4.74,5.20,5.32,4.64,553.17K,-9.71%
Mar 14  2016,5.25,5.59,6.00,5.03,1.26M,-6.58%
Mar 11  2016,5.62,5.02,5.81,4.96,1.34M,13.77%
Mar 10  2016,4.94,4.80,5.37,4.69,1.42M,6.70%
Mar 09  2016,4.63,4.16,4.70,4.00,1.62M,18.72%
Mar 08  2016,3.90,5.51,6.99,3.76,3.23M,-66.09%
Mar 07  2016,11.50,11.66,12.12,11.36,76.19K,-1.63%
Mar 04  2016,11.69,11.97,12.35,11.63,153.16K,-1.27%
Mar 03  2016,11.84,11.55,11.98,11.50,170.28K,2.78%
Mar 02  2016,11.52,10.92,11.55,10.83,181.62K,5.59%
Mar 01  2016,10.91,10.39,10.95,10.18,325.31K,6.13%
Feb 29  2016,10.28,10.54,10.60,10.24,62.81K,-1.15%
Feb 26  2016,10.40,10.30,10.46,10.24,41.95K,2.16%
Feb 25  2016,10.18,10.00,10.20,9.73,57.11K,1.80%
Feb 24  2016,10.00,10.29,10.29,9.86,116.19K,-3.66%
Feb 23  2016,10.38,10.68,10.68,10.32,101.34K,-2.99%
Feb 22  2016,10.70,10.43,11.05,10.40,94.75K,3.98%
Feb 19  2016,10.29,10.22,10.36,9.89,85.88K,0.59%
Feb 18  2016,10.23,10.55,10.57,10.10,119.98K,-2.29%
Feb 17  2016,10.47,10.41,10.74,10.35,138.15K,1.75%
Feb 16  2016,10.29,10.23,10.41,10.04,107.73K,3.21%
Feb 12  2016,9.97,9.63,10.13,9.63,40.22K,4.29%
Feb 11  2016,9.56,9.75,10.12,9.53,103.81K,-4.40%
Feb 10  2016,10.00,10.32,10.63,9.82,134.37K,-2.44%
Feb 09  2016,10.25,10.75,10.82,10.23,131.50K,-5.44%
Feb 08  2016,10.84,10.66,10.89,10.31,111.61K,1.21%
Feb 05  2016,10.71,10.07,10.75,9.96,109.84K,5.21%
Feb 04  2016,10.18,10.04,10.44,9.95,462.74K,1.60%
Feb 03  2016,10.02,9.36,10.03,9.16,171.60K,12.08%
Feb 02  2016,8.94,9.70,9.70,8.91,191.36K,-2.72%
Feb 01  2016,9.19,10.38,10.38,9.19,92.65K,-8.10%
Jan 29  2016,10.00,10.22,10.52,9.85,104.29K,-2.06%
Jan 28  2016,10.21,10.00,10.53,9.98,207.22K,3.13%
Jan 27  2016,9.90,9.81,10.06,9.76,145.95K,-0.40%
Jan 26  2016,9.94,9.87,10.14,9.57,90.61K,1.33%
Jan 25  2016,9.81,10.02,10.06,9.51,264.46K,-2.49%
Jan 22  2016,10.06,9.63,10.12,9.50,212.63K,6.79%
Jan 21  2016,9.42,8.52,9.61,8.45,330.89K,10.43%
Jan 20  2016,8.53,8.57,8.60,7.84,532.34K,-0.81%
Jan 19  2016,8.60,9.60,9.86,8.43,257.54K,-7.82%
Jan 18  2016,9.33,9.79,9.82,9.33,97.61K,-4.99%
Jan 15  2016,9.82,10.58,10.76,9.14,417.86K,-11.61%
Jan 14  2016,11.11,10.00,11.14,9.83,593.85K,9.03%
