Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,31.24,31.20,31.52,30.53,381.22K,0.81%
Apr 18  2016,30.99,29.97,31.70,29.64,434.27K,1.54%
Apr 15  2016,30.52,30.40,30.82,30.11,271.95K,-1.23%
Apr 14  2016,30.90,30.51,31.05,30.21,602.60K,0.91%
Apr 13  2016,30.62,30.81,31.20,30.41,416.77K,-0.65%
Apr 12  2016,30.82,29.29,31.03,29.15,682.50K,5.66%
Apr 11  2016,29.17,28.75,29.26,28.64,366.31K,1.67%
Apr 08  2016,28.69,28.58,28.80,28.00,512.03K,2.10%
Apr 07  2016,28.10,28.44,28.48,27.70,359.84K,-0.85%
Apr 06  2016,28.34,27.43,28.50,27.27,1.08M,4.11%
Apr 05  2016,27.22,26.80,27.29,26.61,348.46K,1.49%
Apr 04  2016,26.82,27.36,27.36,26.50,589.30K,-1.36%
Apr 01  2016,27.19,28.45,28.50,27.06,772.56K,-5.88%
Mar 31  2016,28.89,28.73,29.00,28.20,620.91K,0.45%
Mar 30  2016,28.76,28.22,28.86,28.20,366.49K,2.75%
Mar 29  2016,27.99,27.39,28.08,27.22,361.34K,0.72%
Mar 28  2016,27.79,28.17,28.27,27.38,151.57K,-1.35%
Mar 24  2016,28.17,27.47,28.42,27.32,266.61K,1.59%
Mar 23  2016,27.73,27.96,28.13,27.40,344.32K,-0.47%
Mar 22  2016,27.86,28.03,28.30,27.86,331.65K,-0.82%
Mar 21  2016,28.09,27.72,28.12,27.68,342.89K,0.25%
Mar 18  2016,28.02,28.33,28.56,27.62,442.88K,-0.50%
Mar 17  2016,28.16,28.23,28.47,28.01,709.70K,1.19%
Mar 16  2016,27.83,28.00,28.29,27.72,497.61K,0.32%
Mar 15  2016,27.74,28.34,28.42,27.22,637.80K,-3.04%
Mar 14  2016,28.61,29.23,29.48,28.34,388.10K,-2.98%
Mar 11  2016,29.49,29.48,29.84,29.21,349.14K,1.06%
Mar 10  2016,29.18,29.45,29.45,28.30,716.43K,-0.65%
Mar 09  2016,29.37,29.48,29.65,29.12,424.91K,1.31%
Mar 08  2016,28.99,30.06,30.08,28.81,623.43K,-4.42%
Mar 07  2016,30.33,29.93,30.45,29.50,612.33K,2.57%
Mar 04  2016,29.57,28.44,29.71,28.00,733.18K,5.16%
Mar 03  2016,28.12,28.56,28.96,27.88,617.36K,0.43%
Mar 02  2016,28.00,27.71,28.59,27.70,557.95K,-1.16%
Mar 01  2016,28.33,28.14,28.45,27.65,487.79K,1.76%
Feb 29  2016,27.84,27.66,27.91,27.33,628.48K,0.83%
Feb 26  2016,27.61,29.02,29.56,27.60,554.10K,-4.33%
Feb 25  2016,28.86,29.01,29.39,28.70,298.74K,-1.54%
Feb 24  2016,29.31,28.54,29.66,28.50,613.09K,1.28%
Feb 23  2016,28.94,29.69,30.30,28.69,520.05K,-2.89%
Feb 22  2016,29.80,29.96,30.65,29.55,466.02K,1.29%
Feb 19  2016,29.42,29.30,30.09,28.86,856.36K,-0.34%
Feb 18  2016,29.52,31.73,32.19,29.49,976.71K,-6.40%
Feb 17  2016,31.54,30.32,31.66,30.17,819.42K,5.48%
Feb 16  2016,29.90,29.95,30.35,29.39,734.26K,1.36%
Feb 12  2016,29.50,30.04,30.70,29.24,1.22M,0.82%
Feb 11  2016,29.26,28.96,29.94,28.70,538.06K,-0.58%
Feb 10  2016,29.43,29.16,30.24,29.10,478.35K,-0.91%
Feb 09  2016,29.70,30.12,30.46,29.42,1.28M,-3.19%
Feb 08  2016,30.68,30.72,31.56,30.33,833.21K,-0.55%
Feb 05  2016,30.85,30.22,31.02,29.73,525.66K,1.38%
Feb 04  2016,30.43,30.20,30.55,29.54,360.39K,1.23%
Feb 03  2016,30.06,28.77,30.21,28.06,505.95K,6.07%
Feb 02  2016,28.34,28.20,28.71,27.75,935.55K,-2.44%
Feb 01  2016,29.05,29.60,29.74,28.66,648.14K,-3.58%
Jan 29  2016,30.13,29.99,30.76,29.42,820.80K,1.28%
Jan 28  2016,29.75,29.09,29.98,28.55,1.02M,4.42%
Jan 27  2016,28.49,29.10,29.70,28.48,1.15M,-2.80%
Jan 26  2016,29.31,28.23,29.45,27.72,547.49K,5.39%
Jan 25  2016,27.81,27.98,28.44,27.74,883.16K,-1.52%
Jan 22  2016,28.24,28.29,28.66,27.60,1.42M,3.41%
Jan 21  2016,27.31,26.36,28.12,26.13,960.04K,4.20%
Jan 20  2016,26.21,25.70,26.43,24.60,1.36M,1.79%
Jan 19  2016,25.75,26.01,26.61,25.16,339.04K,0.27%
Jan 18  2016,25.68,25.81,26.33,25.25,137.84K,-3.49%
Jan 15  2016,26.61,25.66,26.74,25.48,508.87K,-1.00%
Jan 14  2016,26.88,25.30,26.92,24.52,1.09M,4.67%
Jan 13  2016,25.68,25.80,26.39,25.21,953.92K,1.95%
Jan 12  2016,25.19,24.83,25.40,24.06,1.60M,0.84%
Jan 11  2016,24.98,25.55,25.56,24.50,384.87K,-2.84%
Jan 08  2016,25.71,25.60,26.09,25.16,743.58K,0.63%
Jan 07  2016,25.55,24.30,26.27,24.26,918.72K,3.19%
Jan 06  2016,24.76,24.39,24.89,24.07,411.89K,-0.88%
Jan 05  2016,24.98,25.82,25.86,24.77,750.49K,-3.81%
Jan 04  2016,25.97,24.66,26.38,24.59,655.13K,4.42%
Dec 31  2015,24.87,24.83,25.30,24.52,273.13K,1.10%
Dec 30  2015,24.60,25.09,25.78,24.42,371.14K,-4.91%
Dec 29  2015,25.87,25.94,26.50,25.18,723.57K,2.70%
Dec 24  2015,25.19,25.72,25.81,25.15,256.88K,-1.76%
Dec 23  2015,25.64,24.70,25.75,24.41,649.84K,5.43%
Dec 22  2015,24.32,24.05,24.59,23.92,644.64K,0.58%
Dec 21  2015,24.18,24.11,24.40,23.58,729.21K,-0.08%
Dec 18  2015,24.20,22.81,24.25,22.78,1.55M,4.85%
Dec 17  2015,23.08,22.92,23.24,22.44,898.34K,2.67%
Dec 16  2015,22.48,22.26,22.59,21.61,815.15K,-0.27%
Dec 15  2015,22.54,22.03,22.61,21.55,986.23K,2.13%
Dec 14  2015,22.07,23.00,23.11,21.98,910.76K,-4.87%
Dec 11  2015,23.20,24.16,24.18,23.05,493.80K,-5.27%
Dec 10  2015,24.49,23.59,24.64,23.32,887.56K,2.55%
Dec 09  2015,23.88,24.45,24.93,23.46,790.05K,-1.16%
Dec 08  2015,24.16,23.51,24.67,23.18,1.20M,1.17%
Dec 07  2015,23.88,24.51,24.55,23.68,993.64K,-4.78%
Dec 04  2015,25.08,25.60,25.89,24.87,674.94K,-3.32%
Dec 03  2015,25.94,26.96,27.04,25.76,781.28K,-2.85%
Dec 02  2015,26.70,27.15,27.41,26.57,821.51K,-2.31%
Dec 01  2015,27.33,27.03,27.80,27.02,755.08K,0.66%
Nov 30  2015,27.15,26.57,27.50,26.57,927.80K,1.50%
Nov 27  2015,26.75,26.45,26.80,26.45,118.00K,0.72%
Nov 26  2015,26.56,27.09,27.09,26.56,53.00K,-1.96%
Nov 25  2015,27.09,26.66,27.51,26.44,305.02K,1.01%
Nov 24  2015,26.82,26.85,27.24,26.79,520.62K,0.19%
Nov 23  2015,26.77,26.79,27.30,26.25,366.99K,-0.34%
Nov 20  2015,26.86,27.34,27.36,26.80,242.81K,-1.40%
Nov 19  2015,27.24,27.19,27.68,26.84,460.48K,-0.29%
Nov 18  2015,27.32,28.04,28.07,27.14,434.64K,-1.76%
Nov 17  2015,27.81,28.61,28.62,27.49,613.14K,-3.37%
Nov 16  2015,28.78,27.94,29.10,27.87,516.09K,3.30%
Nov 13  2015,27.86,27.35,28.29,26.81,405.16K,3.57%
Nov 12  2015,26.90,26.70,27.75,26.26,505.68K,0.30%
Nov 11  2015,26.82,27.81,27.86,26.71,375.42K,-3.80%
Nov 10  2015,27.88,28.36,28.58,27.46,300.99K,-1.24%
Nov 09  2015,28.23,28.10,28.70,28.00,317.72K,0.32%
Nov 06  2015,28.14,28.51,28.62,27.90,532.57K,-1.88%
Nov 05  2015,28.68,28.11,29.06,27.78,774.79K,2.25%
Nov 04  2015,28.05,28.22,28.40,27.16,619.90K,0.21%
Nov 03  2015,27.99,27.17,28.16,27.17,902.32K,3.55%
Nov 02  2015,27.03,26.74,27.07,26.53,578.52K,0.11%
Oct 30  2015,27.00,27.40,27.41,26.66,923.96K,-1.17%
Oct 29  2015,27.32,27.69,28.28,27.24,546.09K,-1.51%
Oct 28  2015,27.74,27.68,28.03,27.24,515.41K,0.73%
Oct 27  2015,27.54,27.90,27.96,27.10,677.72K,-2.34%
Oct 26  2015,28.20,29.75,29.75,28.02,687.51K,-5.69%
Oct 23  2015,29.90,30.31,30.31,29.67,575.89K,-1.97%
Oct 22  2015,30.50,30.93,31.22,30.47,421.24K,-0.10%
Oct 21  2015,30.53,31.05,31.20,30.48,662.97K,-2.30%
Oct 20  2015,31.25,31.09,32.06,30.94,463.01K,0.74%
Oct 19  2015,31.02,30.96,31.19,30.78,1.43M,-0.61%
Oct 16  2015,31.21,32.00,32.00,31.21,1.06M,-1.76%
Oct 15  2015,31.77,32.01,32.12,31.27,657.99K,-1.34%
Oct 14  2015,32.20,31.15,32.24,31.15,689.28K,3.01%
Oct 13  2015,31.26,31.26,31.69,31.07,1.71M,-1.11%
Oct 09  2015,31.61,31.60,32.14,31.30,687.00K,0.25%
Oct 08  2015,31.53,30.68,32.23,30.45,642.43K,2.77%
Oct 07  2015,30.68,30.72,31.18,30.44,472.32K,1.25%
Oct 06  2015,30.30,29.43,30.40,29.35,490.51K,3.52%
Oct 05  2015,29.27,28.57,30.25,28.44,525.30K,3.90%
Oct 02  2015,28.17,27.99,28.25,27.23,611.80K,-0.11%
Oct 01  2015,28.20,28.30,28.90,27.56,833.77K,1.62%
Sep 30  2015,27.75,26.94,27.80,26.49,591.48K,3.31%
Sep 29  2015,26.86,27.17,27.48,26.85,507.93K,-0.33%
Sep 28  2015,26.95,27.57,27.66,26.80,604.88K,-2.67%
