Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,22.72,21.25,22.77,21.25,3.30M,5.97%
Apr 18  2016,21.44,21.00,21.56,20.99,1.64M,1.66%
Apr 15  2016,21.09,20.75,21.18,20.55,1.44M,1.10%
Apr 14  2016,20.86,21.27,21.29,20.71,1.99M,-2.43%
Apr 13  2016,21.38,20.89,21.39,20.77,2.10M,3.59%
Apr 12  2016,20.64,20.46,20.80,20.03,2.76M,0.73%
Apr 11  2016,20.49,20.67,20.70,20.40,1.74M,-1.35%
Apr 08  2016,20.77,20.96,21.14,20.62,2.54M,-1.52%
Apr 07  2016,21.09,21.29,21.34,21.00,1.72M,-1.08%
Apr 06  2016,21.32,21.21,21.34,20.82,2.02M,0.66%
Apr 05  2016,21.18,21.40,21.50,21.07,2.13M,-1.12%
Apr 04  2016,21.42,22.11,22.15,21.20,2.70M,-3.43%
Apr 01  2016,22.18,22.16,22.19,21.68,2.63M,0.32%
Mar 31  2016,22.11,22.70,22.72,22.02,3.34M,-2.08%
Mar 30  2016,22.58,23.01,23.25,22.52,1.95M,-1.31%
Mar 29  2016,22.88,22.54,23.02,22.17,2.01M,0.79%
Mar 28  2016,22.70,22.68,22.81,22.17,1.52M,0.31%
Mar 24  2016,22.63,22.80,22.80,22.08,2.11M,-1.31%
Mar 23  2016,22.93,23.91,23.91,22.84,2.46M,-3.00%
Mar 22  2016,23.64,24.60,24.61,23.61,3.43M,-4.56%
Mar 21  2016,24.77,24.73,25.01,24.64,1.84M,0.45%
Mar 18  2016,24.66,24.70,24.91,24.31,7.88M,-0.48%
Mar 17  2016,24.78,24.34,25.02,24.25,2.54M,2.19%
Mar 16  2016,24.25,24.47,24.80,24.06,1.76M,-0.82%
Mar 15  2016,24.45,24.41,24.66,24.06,1.74M,0.41%
Mar 14  2016,24.35,24.16,24.63,23.90,2.22M,0.79%
Mar 11  2016,24.16,24.36,24.62,24.01,2.28M,-0.82%
Mar 10  2016,24.36,25.25,25.30,24.12,2.61M,-2.99%
Mar 09  2016,25.11,24.94,25.34,24.65,2.91M,2.36%
Mar 08  2016,24.53,25.07,25.07,24.40,2.33M,-1.25%
Mar 07  2016,24.84,24.74,25.77,24.66,3.74M,1.18%
Mar 04  2016,24.55,25.10,25.33,24.29,2.84M,-1.68%
Mar 03  2016,24.97,24.53,25.02,24.41,2.56M,1.96%
Mar 02  2016,24.49,23.06,24.55,23.04,3.92M,5.65%
Mar 01  2016,23.18,23.11,23.55,22.93,2.41M,1.09%
Feb 29  2016,22.93,23.11,23.45,22.70,2.74M,-0.82%
Feb 26  2016,23.12,22.86,23.43,22.79,1.93M,1.99%
Feb 25  2016,22.67,22.74,22.86,22.20,1.81M,0.04%
Feb 24  2016,22.66,21.75,22.75,21.34,2.51M,3.14%
Feb 23  2016,21.97,22.04,22.11,21.33,2.41M,-0.32%
Feb 22  2016,22.04,22.22,22.45,22.01,2.20M,-0.09%
Feb 19  2016,22.06,23.37,23.39,22.06,2.55M,-6.64%
Feb 18  2016,23.63,23.33,23.69,22.86,2.60M,1.37%
Feb 17  2016,23.31,21.55,23.38,21.55,3.19M,7.22%
Feb 16  2016,21.74,21.62,21.78,21.17,2.05M,1.73%
Feb 12  2016,21.37,22.08,22.19,21.19,3.31M,-2.06%
Feb 11  2016,21.82,21.01,22.01,20.85,2.67M,2.49%
Feb 10  2016,21.29,22.27,22.27,21.22,1.96M,-3.18%
Feb 09  2016,21.99,22.01,22.03,21.31,3.57M,-0.90%
Feb 08  2016,22.19,23.03,23.11,22.14,2.74M,-4.64%
Feb 05  2016,23.27,23.14,23.50,22.77,1.91M,0.78%
Feb 04  2016,23.09,22.09,23.24,22.09,2.83M,4.06%
Feb 03  2016,22.19,21.34,22.22,21.01,3.24M,4.82%
Feb 02  2016,21.17,21.86,21.93,21.12,2.99M,-4.34%
Feb 01  2016,22.13,22.74,22.74,21.93,2.12M,-3.11%
Jan 29  2016,22.84,21.93,22.97,21.39,3.81M,5.16%
Jan 28  2016,21.72,20.67,21.90,20.65,3.86M,1.31%
Jan 27  2016,21.44,21.15,21.85,20.89,3.88M,1.04%
Jan 26  2016,21.22,21.43,21.75,21.10,3.22M,0.28%
Jan 25  2016,21.16,22.47,22.47,20.88,5.75M,-7.11%
Jan 22  2016,22.78,23.13,23.64,22.46,3.11M,-0.09%
Jan 21  2016,22.80,23.60,23.65,22.66,4.21M,-3.31%
Jan 20  2016,23.58,23.29,23.63,22.47,3.18M,-0.30%
Jan 19  2016,23.65,23.66,24.04,23.20,3.25M,2.69%
Jan 18  2016,23.03,23.56,23.67,22.78,579.80K,-2.83%
Jan 15  2016,23.70,22.62,23.88,22.50,2.45M,1.72%
Jan 14  2016,23.30,22.56,23.38,22.11,2.66M,3.46%
Jan 13  2016,22.52,22.41,22.68,22.15,2.33M,1.40%
Jan 12  2016,22.21,21.70,22.46,21.50,3.86M,1.14%
Jan 11  2016,21.96,23.03,23.05,21.88,3.07M,-3.64%
Jan 08  2016,22.79,22.95,23.04,22.60,1.89M,0.09%
Jan 07  2016,22.77,22.50,22.98,22.29,2.86M,0.09%
Jan 06  2016,22.75,23.45,23.45,22.59,2.49M,-3.72%
Jan 05  2016,23.63,24.20,24.27,23.40,1.98M,-2.36%
Jan 04  2016,24.20,23.52,24.21,23.32,2.32M,2.11%
Dec 31  2015,23.70,24.05,24.33,23.64,1.42M,-2.15%
Dec 30  2015,24.22,24.57,24.94,24.07,1.32M,-1.14%
Dec 29  2015,24.50,25.09,25.10,24.48,1.27M,-2.35%
Dec 24  2015,25.09,25.50,25.50,24.88,778.27K,-1.30%
Dec 23  2015,25.42,24.82,25.84,24.74,2.37M,3.54%
Dec 22  2015,24.55,23.85,24.86,23.73,1.73M,3.02%
Dec 21  2015,23.83,24.31,24.36,23.63,1.98M,-1.57%
Dec 18  2015,24.21,23.95,24.82,23.95,4.84M,0.83%
Dec 17  2015,24.01,25.00,25.00,23.98,1.75M,-2.40%
Dec 16  2015,24.60,23.91,24.68,23.75,2.25M,3.45%
Dec 15  2015,23.78,23.33,23.85,23.19,2.44M,3.30%
Dec 14  2015,23.02,23.91,23.91,22.89,3.19M,-3.44%
Dec 11  2015,23.84,24.30,24.35,23.81,2.20M,-2.57%
Dec 10  2015,24.47,24.36,24.96,24.26,2.07M,0.49%
Dec 09  2015,24.35,24.27,24.84,24.25,1.93M,0.37%
Dec 08  2015,24.26,24.71,24.97,24.23,2.08M,-2.77%
Dec 07  2015,24.95,25.39,25.39,24.67,1.76M,-1.54%
Dec 04  2015,25.34,25.51,25.62,25.16,1.58M,-0.98%
Dec 03  2015,25.59,25.91,26.17,25.52,1.76M,-0.43%
Dec 02  2015,25.70,26.71,26.82,25.70,2.27M,-3.56%
Dec 01  2015,26.65,27.14,27.28,26.61,2.07M,-1.41%
Nov 30  2015,27.03,26.26,27.18,26.14,2.21M,3.56%
Nov 27  2015,26.10,26.63,26.63,26.10,1.01M,-2.28%
Nov 26  2015,26.71,26.34,26.85,26.28,416.20K,1.25%
Nov 25  2015,26.38,26.58,26.67,26.26,1.17M,-0.49%
Nov 24  2015,26.51,26.26,26.78,26.07,2.98M,0.68%
Nov 23  2015,26.33,26.60,27.05,26.33,2.30M,-1.27%
Nov 20  2015,26.67,27.70,27.70,26.61,1.86M,-2.77%
Nov 19  2015,27.43,27.34,27.70,27.20,1.53M,0.37%
Nov 18  2015,27.33,26.77,27.49,26.76,1.81M,1.52%
Nov 17  2015,26.92,27.44,27.53,26.72,2.02M,-1.64%
Nov 16  2015,27.37,27.07,27.64,26.83,1.54M,1.07%
Nov 13  2015,27.08,26.94,27.25,26.44,1.67M,0.52%
Nov 12  2015,26.94,26.31,27.24,26.21,2.28M,1.97%
Nov 11  2015,26.42,26.92,26.92,26.34,1.05M,-1.56%
Nov 10  2015,26.84,27.70,27.81,26.75,2.23M,-3.03%
Nov 09  2015,27.68,27.22,27.73,26.98,2.58M,1.88%
Nov 06  2015,27.17,27.56,27.57,26.89,1.99M,-1.09%
Nov 05  2015,27.47,28.39,28.39,27.40,2.11M,-1.04%
Nov 04  2015,27.76,28.85,28.87,27.72,2.46M,-3.04%
Nov 03  2015,28.63,27.48,29.22,27.30,4.19M,3.92%
Nov 02  2015,27.55,26.49,27.65,26.42,2.54M,4.04%
Oct 30  2015,26.48,27.24,27.24,26.14,4.28M,-3.07%
Oct 29  2015,27.32,27.60,27.85,26.88,4.12M,-2.95%
Oct 28  2015,28.15,28.11,28.63,27.95,2.77M,0.14%
Oct 27  2015,28.11,28.55,28.55,27.85,2.49M,-1.71%
Oct 26  2015,28.60,28.99,29.13,28.58,1.63M,-0.80%
Oct 23  2015,28.83,28.53,29.29,28.42,2.15M,2.31%
Oct 22  2015,28.18,27.70,28.30,27.61,2.47M,1.84%
Oct 21  2015,27.67,28.36,28.42,27.55,1.68M,-1.95%
Oct 20  2015,28.22,28.53,28.74,28.18,1.31M,-0.88%
Oct 19  2015,28.47,28.50,28.52,27.97,2.66M,0.99%
Oct 16  2015,28.19,28.51,28.55,28.19,1.10M,-0.67%
Oct 15  2015,28.38,28.78,28.78,28.33,1.35M,-0.42%
Oct 14  2015,28.50,28.05,28.64,27.91,2.06M,1.71%
Oct 13  2015,28.02,28.29,28.29,27.74,1.84M,-0.36%
Oct 09  2015,28.12,28.72,28.77,28.07,2.02M,-1.44%
Oct 08  2015,28.53,28.64,28.79,28.24,3.76M,-1.38%
Oct 07  2015,28.93,27.75,29.01,27.65,3.98M,4.78%
Oct 06  2015,27.61,27.51,28.37,27.51,2.80M,0.69%
Oct 05  2015,27.42,28.07,28.07,27.22,3.47M,1.67%
Oct 02  2015,26.97,26.00,26.98,25.80,2.18M,3.41%
Oct 01  2015,26.08,27.46,27.47,26.00,2.97M,-4.92%
Sep 30  2015,27.43,27.44,27.65,27.02,1.91M,0.66%
Sep 29  2015,27.25,27.00,27.76,26.99,2.50M,1.11%
Sep 28  2015,26.95,27.42,27.42,26.48,3.04M,-1.93%
Sep 25  2015,27.48,28.29,28.29,27.40,2.17M,-1.86%
Sep 24  2015,28.00,27.84,28.16,27.41,3.43M,0.25%
Sep 23  2015,27.93,29.47,29.50,27.88,2.61M,-4.81%
Sep 22  2015,29.34,30.79,30.80,29.11,3.77M,-6.47%
Sep 21  2015,31.37,32.17,32.17,31.25,2.54M,-2.76%
Sep 18  2015,32.26,32.61,32.61,32.03,6.13M,-2.42%
Sep 17  2015,33.06,33.65,33.66,33.00,899.73K,-1.67%
Sep 16  2015,33.62,33.15,33.70,32.77,2.10M,1.60%
Sep 15  2015,33.09,32.62,33.18,32.51,1.11M,1.44%
Sep 14  2015,32.62,33.14,33.17,32.60,921.38K,-1.33%
Sep 11  2015,33.06,33.31,33.37,32.96,2.15M,-1.34%
Sep 10  2015,33.51,33.64,33.93,33.38,2.10M,-0.89%
