Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,30.34,30.50,30.55,30.17,600.05K,-0.43%
Apr 18  2016,30.47,29.98,30.49,29.98,2.24M,1.06%
Apr 15  2016,30.15,30.16,30.25,30.05,401.68K,-0.33%
Apr 14  2016,30.25,30.25,30.40,30.12,317.03K,0.27%
Apr 13  2016,30.17,29.87,30.28,29.82,382.54K,1.38%
Apr 12  2016,29.76,29.68,29.93,29.56,591.17K,0.57%
Apr 11  2016,29.59,29.63,29.79,29.55,395.86K,-0.03%
Apr 08  2016,29.60,29.22,29.60,29.21,611.91K,1.89%
Apr 07  2016,29.05,29.30,29.30,28.90,541.10K,-1.53%
Apr 06  2016,29.50,29.30,29.53,29.21,584.77K,0.82%
Apr 05  2016,29.26,29.58,29.62,29.17,689.53K,-1.58%
Apr 04  2016,29.73,29.79,30.04,29.62,296.40K,-0.44%
Apr 01  2016,29.86,29.76,29.92,29.57,436.41K,-0.33%
Mar 31  2016,29.96,29.76,30.05,29.76,739.69K,0.60%
Mar 30  2016,29.78,29.85,30.08,29.74,437.46K,0.34%
Mar 29  2016,29.68,29.75,29.85,29.43,622.46K,-0.74%
Mar 28  2016,29.90,29.85,29.93,29.52,538.31K,0.57%
Mar 24  2016,29.73,30.22,30.24,29.36,686.38K,-2.17%
Mar 23  2016,30.39,30.75,30.75,30.08,635.63K,0.23%
Mar 22  2016,30.32,30.19,30.50,30.00,486.66K,-0.30%
Mar 21  2016,30.41,30.25,30.45,29.97,342.93K,0.63%
Mar 18  2016,30.22,30.48,30.55,29.95,3.01M,-0.98%
Mar 17  2016,30.52,29.85,30.63,29.75,755.54K,2.55%
Mar 16  2016,29.76,29.74,30.08,29.67,654.36K,-0.03%
Mar 15  2016,29.77,29.60,29.80,29.44,822.94K,0.30%
Mar 14  2016,29.68,29.41,29.76,29.31,997.75K,0.95%
Mar 11  2016,29.40,28.79,29.40,28.60,827.26K,2.94%
Mar 10  2016,28.56,29.16,29.21,28.38,649.29K,-1.35%
Mar 09  2016,28.95,29.00,29.12,28.84,1.07M,0.38%
Mar 08  2016,28.84,28.40,28.96,28.27,813.10K,0.00%
Mar 07  2016,28.84,28.85,28.98,28.54,1.06M,-0.07%
Mar 04  2016,28.86,28.85,28.97,28.62,876.73K,0.66%
Mar 03  2016,28.67,29.14,29.19,28.61,764.51K,-1.07%
Mar 02  2016,28.98,29.30,29.52,28.75,629.24K,-1.40%
Mar 01  2016,29.39,29.61,29.88,29.24,1.05M,-0.03%
Feb 29  2016,29.40,29.35,29.49,29.13,784.30K,0.44%
