Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,32.36,32.41,32.58,32.15,493.77K,-0.25%
Apr 18  2016,32.44,32.02,32.57,32.02,313.90K,0.75%
Apr 15  2016,32.20,32.18,32.24,32.03,277.28K,-0.34%
Apr 14  2016,32.31,32.10,32.36,32.07,342.60K,0.72%
Apr 13  2016,32.08,31.91,32.17,31.81,857.95K,1.07%
Apr 12  2016,31.74,31.54,31.81,31.52,366.70K,0.83%
Apr 11  2016,31.48,31.76,31.90,31.44,272.24K,-0.41%
Apr 08  2016,31.61,31.61,31.91,31.46,824.54K,0.51%
Apr 07  2016,31.45,31.31,31.47,31.10,535.48K,0.26%
Apr 06  2016,31.37,31.91,31.97,31.37,1.11M,-2.61%
Apr 05  2016,32.21,32.20,32.22,31.81,509.15K,-0.46%
Apr 04  2016,32.36,32.40,32.54,32.16,336.34K,-0.09%
Apr 01  2016,32.39,32.29,32.41,32.08,387.92K,-0.25%
Mar 31  2016,32.47,32.20,32.51,32.20,718.60K,0.84%
Mar 30  2016,32.20,32.58,32.58,32.12,473.20K,-0.62%
Mar 29  2016,32.40,32.45,32.58,32.18,507.51K,-0.52%
Mar 28  2016,32.57,32.33,32.60,32.04,449.68K,1.21%
Mar 24  2016,32.18,32.68,32.73,31.76,859.27K,-2.37%
Mar 23  2016,32.96,32.94,33.12,32.66,562.00K,1.20%
Mar 22  2016,32.57,32.30,32.77,32.30,414.67K,-0.67%
Mar 21  2016,32.79,32.98,32.98,32.45,383.00K,-0.36%
Mar 18  2016,32.91,32.95,32.99,32.46,784.40K,0.09%
Mar 17  2016,32.88,32.00,32.94,31.95,773.97K,2.78%
Mar 16  2016,31.99,32.35,32.45,31.98,396.94K,-0.81%
Mar 15  2016,32.25,32.24,32.25,31.94,352.78K,-0.25%
Mar 14  2016,32.33,32.24,32.43,32.12,298.87K,0.19%
Mar 11  2016,32.27,31.97,32.30,31.76,419.49K,1.89%
Mar 10  2016,31.67,32.27,32.27,31.39,382.58K,-1.12%
Mar 09  2016,32.03,31.99,32.31,31.83,557.82K,0.69%
Mar 08  2016,31.81,31.40,31.94,31.29,448.03K,1.05%
Mar 07  2016,31.48,31.60,31.94,31.32,719.78K,0.87%
Mar 04  2016,31.21,30.98,31.27,30.83,594.18K,1.04%
Mar 03  2016,30.89,31.22,31.29,30.83,610.70K,-0.93%
Mar 02  2016,31.18,31.52,31.77,30.97,465.88K,-1.48%
Mar 01  2016,31.65,31.70,31.96,31.60,325.34K,0.38%
Feb 29  2016,31.53,31.44,31.77,31.28,395.61K,0.48%
Feb 26  2016,31.38,31.01,31.45,30.90,261.94K,1.82%
Feb 25  2016,30.82,30.83,30.90,30.54,344.06K,0.29%
Feb 24  2016,30.73,30.61,30.78,29.89,489.07K,-0.19%
Feb 23  2016,30.79,31.36,31.46,30.69,437.06K,-2.04%
Feb 22  2016,31.43,31.88,31.91,31.25,517.04K,-0.10%
Feb 19  2016,31.46,31.19,31.46,30.95,337.42K,0.19%
Feb 18  2016,31.40,31.51,31.62,31.22,412.68K,-0.22%
Feb 17  2016,31.47,31.00,31.50,30.85,529.24K,2.18%
Feb 16  2016,30.80,30.31,30.80,30.02,586.14K,2.80%
Feb 12  2016,29.96,29.35,29.96,29.35,474.44K,2.96%
Feb 11  2016,29.10,29.41,29.53,28.84,560.45K,-2.45%
Feb 10  2016,29.83,30.27,30.64,29.79,261.66K,-1.13%
Feb 09  2016,30.17,30.73,30.75,29.94,505.26K,-2.43%
Feb 08  2016,30.92,31.25,31.29,30.77,229.25K,-1.93%
Feb 05  2016,31.53,31.50,31.82,31.30,364.26K,-0.32%
Feb 04  2016,31.63,31.40,31.96,31.36,317.52K,0.51%
Feb 03  2016,31.47,31.58,31.70,31.07,317.26K,0.13%
Feb 02  2016,31.43,31.84,31.86,31.34,331.56K,-2.18%
Feb 01  2016,32.13,32.25,32.25,31.72,364.95K,-0.62%
