Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,25.03,24.19,25.05,23.87,485.95K,5.26%
Apr 18  2016,23.78,22.79,24.23,22.74,550.60K,-0.50%
Apr 15  2016,23.90,23.61,24.38,23.48,369.20K,-1.24%
Apr 14  2016,24.20,24.13,24.45,23.80,393.63K,0.46%
Apr 13  2016,24.09,24.27,24.50,23.69,602.28K,0.12%
Apr 12  2016,24.06,23.08,24.58,23.03,706.56K,4.97%
Apr 11  2016,22.92,23.34,23.66,22.90,561.49K,-1.12%
Apr 08  2016,23.18,23.30,23.48,23.06,424.40K,2.11%
Apr 07  2016,22.70,23.29,23.44,22.59,685.75K,-2.53%
Apr 06  2016,23.29,23.29,23.51,22.75,1.16M,1.22%
Apr 05  2016,23.01,22.80,23.20,22.75,324.68K,-0.17%
Apr 04  2016,23.05,23.78,24.47,22.84,671.17K,-4.20%
Apr 01  2016,24.06,24.45,24.45,23.46,574.60K,-2.35%
Mar 31  2016,24.64,24.31,24.70,24.16,462.21K,1.32%
Mar 30  2016,24.32,24.92,24.92,24.18,461.77K,-0.37%
Mar 29  2016,24.41,23.76,24.41,23.65,485.22K,-0.65%
Mar 28  2016,24.57,25.06,25.10,24.31,420.94K,-1.96%
Mar 24  2016,25.06,23.90,25.15,23.90,497.98K,1.83%
Mar 23  2016,24.61,25.24,25.33,24.41,517.24K,-3.22%
Mar 22  2016,25.43,26.00,26.09,25.42,446.74K,-1.81%
Mar 21  2016,25.90,25.89,26.22,25.62,1.01M,-0.23%
Mar 18  2016,25.96,25.22,26.07,25.22,4.61M,3.14%
Mar 17  2016,25.17,24.98,25.26,24.62,1.58M,2.53%
Mar 16  2016,24.55,24.57,25.04,24.29,832.95K,0.49%
Mar 15  2016,24.43,24.29,24.46,23.86,1.43M,0.45%
Mar 14  2016,24.32,24.74,24.89,23.97,601.39K,-1.78%
Mar 11  2016,24.76,24.39,25.03,24.39,783.67K,1.56%
Mar 10  2016,24.38,24.21,24.58,23.93,825.99K,0.87%
Mar 09  2016,24.17,24.55,24.80,23.74,1.22M,-0.08%
Mar 08  2016,24.19,25.16,25.55,23.94,2.02M,-6.17%
Mar 07  2016,25.78,24.84,26.52,24.81,1.72M,4.71%
Mar 04  2016,24.62,24.38,25.56,24.31,1.96M,3.01%
Mar 03  2016,23.90,23.40,23.93,23.10,1.76M,3.15%
Mar 02  2016,23.17,22.22,23.27,21.89,1.52M,3.95%
Mar 01  2016,22.29,22.97,23.30,21.75,2.12M,1.18%
Feb 29  2016,22.03,21.60,22.49,21.46,4.40M,3.09%
Feb 26  2016,21.37,21.44,22.33,20.91,1.31M,3.74%
Feb 25  2016,20.60,20.32,20.62,19.51,893.28K,1.03%
Feb 24  2016,20.39,19.83,20.52,19.57,885.41K,0.94%
Feb 23  2016,20.20,20.49,20.62,19.79,1.04M,-1.56%
Feb 22  2016,20.52,20.19,20.85,20.05,940.61K,3.12%
Feb 19  2016,19.90,19.89,20.18,19.37,683.93K,-1.24%
Feb 18  2016,20.15,21.03,21.46,20.05,829.20K,-2.80%
Feb 17  2016,20.73,19.90,20.84,19.78,1.18M,5.82%
Feb 16  2016,19.59,19.65,19.75,19.22,1.37M,1.71%
Feb 12  2016,19.26,19.62,19.62,18.80,1.66M,0.84%
Feb 11  2016,19.10,18.76,19.52,18.42,1.35M,0.05%
Feb 10  2016,19.09,19.09,19.65,18.84,1.49M,-0.57%
Feb 09  2016,19.20,19.29,19.57,18.85,1.75M,-0.98%
Feb 08  2016,19.39,19.45,19.58,18.93,1.08M,-0.36%
Feb 05  2016,19.46,19.95,20.05,19.36,825.26K,-2.65%
Feb 04  2016,19.99,19.73,20.22,19.56,1.11M,3.09%
Feb 03  2016,19.39,18.83,19.57,18.24,1.08M,4.14%
Feb 02  2016,18.62,18.52,18.68,18.03,801.43K,-1.27%
Feb 01  2016,18.86,19.53,19.69,18.69,1.10M,-5.42%
Jan 29  2016,19.94,19.74,20.21,19.23,2.46M,3.48%
Jan 28  2016,19.27,19.30,19.66,18.76,1.49M,5.19%
Jan 27  2016,18.32,18.55,18.90,18.03,1.10M,-1.29%
Jan 26  2016,18.56,18.19,19.05,18.19,2.09M,2.94%
Jan 25  2016,18.03,18.60,18.81,17.89,1.59M,-3.12%
Jan 22  2016,18.61,18.99,19.34,18.40,1.82M,1.69%
Jan 21  2016,18.30,18.24,19.25,17.69,1.10M,0.83%
Jan 20  2016,18.15,19.00,19.00,17.15,1.74M,-6.97%
Jan 19  2016,19.51,20.04,20.36,19.33,927.93K,-1.51%
Jan 18  2016,19.81,19.77,19.81,19.58,113.43K,-0.95%
Jan 15  2016,20.00,19.08,20.06,19.08,1.04M,-1.43%
Jan 14  2016,20.29,19.68,20.62,19.27,782.37K,3.68%
Jan 13  2016,19.57,19.40,20.08,19.19,1.84M,3.00%
Jan 12  2016,19.00,19.12,19.46,18.19,1.71M,-1.14%
