Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,6.21,6.22,6.33,6.13,2.12M,0.65%
Apr 18  2016,6.17,5.62,6.19,5.62,2.10M,3.18%
Apr 15  2016,5.98,5.95,6.08,5.84,591.67K,-1.97%
Apr 14  2016,6.10,6.20,6.24,5.98,1.16M,-0.97%
Apr 13  2016,6.16,6.25,6.25,6.00,1.72M,-1.28%
Apr 12  2016,6.24,5.89,6.32,5.80,2.54M,7.77%
Apr 11  2016,5.79,5.45,5.81,5.45,1.62M,7.42%
Apr 08  2016,5.39,5.56,5.60,5.38,904.85K,1.13%
Apr 07  2016,5.33,5.44,5.59,5.27,675.37K,-2.74%
Apr 06  2016,5.48,5.47,5.58,5.35,1.03M,2.43%
Apr 05  2016,5.35,5.27,5.50,5.24,835.48K,1.13%
Apr 04  2016,5.29,5.40,5.49,5.25,679.34K,-1.49%
Apr 01  2016,5.37,5.29,5.42,5.19,950.80K,-1.29%
Mar 31  2016,5.44,5.50,5.50,5.32,1.62M,-0.73%
Mar 30  2016,5.48,5.57,5.77,5.44,1.31M,0.55%
Mar 29  2016,5.45,5.39,5.54,5.29,975.60K,-0.73%
Mar 28  2016,5.49,5.51,5.59,5.31,702.79K,-0.36%
Mar 24  2016,5.51,5.40,5.57,5.27,2.29M,-0.36%
Mar 23  2016,5.53,5.63,5.78,5.47,1.27M,-2.98%
Mar 22  2016,5.70,5.73,5.79,5.63,906.49K,-1.89%
Mar 21  2016,5.81,5.70,5.98,5.69,1.40M,-1.02%
Mar 18  2016,5.87,6.37,6.40,5.80,3.45M,-6.38%
Mar 17  2016,6.27,6.03,6.35,6.00,1.77M,5.38%
Mar 16  2016,5.95,5.83,5.99,5.77,1.58M,3.66%
Mar 15  2016,5.74,5.98,6.01,5.57,2.95M,-6.51%
Mar 14  2016,6.14,6.02,6.18,5.85,2.15M,-1.13%
Mar 11  2016,6.21,5.95,6.40,5.81,2.27M,7.25%
Mar 10  2016,5.79,5.64,5.98,5.57,3.07M,0.87%
Mar 09  2016,5.74,5.88,5.97,5.62,3.46M,-1.54%
Mar 08  2016,5.83,6.24,6.26,5.69,6.14M,-7.61%
Mar 07  2016,6.31,6.19,6.64,6.18,5.28M,1.77%
Mar 04  2016,6.20,5.54,6.33,5.44,4.63M,12.93%
Mar 03  2016,5.49,4.84,5.56,4.84,4.11M,12.50%
Mar 02  2016,4.88,4.52,4.91,4.47,2.98M,6.55%
Mar 01  2016,4.58,4.37,4.62,4.26,1.58M,5.53%
Feb 29  2016,4.34,4.41,4.54,4.25,2.31M,-1.36%
Feb 26  2016,4.40,4.36,4.46,4.31,1.51M,4.76%
Feb 25  2016,4.20,4.25,4.30,4.06,1.42M,-2.33%
Feb 24  2016,4.30,4.11,4.35,4.03,1.36M,1.42%
Feb 23  2016,4.24,4.37,4.50,4.18,2.70M,-4.72%
Feb 22  2016,4.45,4.51,4.66,4.45,2.41M,2.53%
Feb 19  2016,4.34,4.28,4.38,4.15,1.43M,-1.36%
Feb 18  2016,4.40,4.73,4.73,4.33,3.94M,-4.14%
Feb 17  2016,4.59,4.29,4.73,4.28,3.67M,8.51%
Feb 16  2016,4.23,4.04,4.26,3.97,1.41M,6.82%
Feb 12  2016,3.96,3.91,4.01,3.75,1.41M,6.74%
Feb 11  2016,3.71,3.70,4.08,3.42,3.44M,-2.37%
Feb 10  2016,3.80,3.95,4.15,3.80,1.60M,-5.00%
Feb 09  2016,4.00,4.19,4.19,3.92,2.51M,-6.54%
Feb 08  2016,4.28,4.45,4.48,4.22,1.59M,-6.75%
Feb 05  2016,4.59,4.43,4.59,4.32,1.52M,2.23%
Feb 04  2016,4.49,4.37,4.57,4.24,1.83M,3.94%
Feb 03  2016,4.32,4.21,4.34,3.94,2.31M,4.85%
Feb 02  2016,4.12,4.14,4.21,4.02,1.43M,-4.41%
Feb 01  2016,4.31,4.60,4.60,4.26,1.71M,-9.64%
Jan 29  2016,4.77,4.84,4.90,4.62,1.89M,-0.63%
Jan 28  2016,4.80,4.85,4.91,4.53,1.93M,5.49%
Jan 27  2016,4.55,4.22,4.72,4.18,2.16M,7.57%
Jan 26  2016,4.23,4.21,4.35,4.09,1.45M,2.92%
Jan 25  2016,4.11,4.27,4.47,4.09,1.96M,-7.43%
Jan 22  2016,4.44,4.50,4.58,4.34,5.37M,4.96%
Jan 21  2016,4.23,3.94,4.28,3.91,1.99M,6.82%
Jan 20  2016,3.96,3.78,4.03,3.56,3.69M,0.25%
Jan 19  2016,3.95,4.22,4.27,3.93,1.74M,-4.82%
Jan 18  2016,4.15,4.03,4.24,4.03,226.07K,-2.58%
Jan 15  2016,4.26,4.18,4.32,4.14,1.79M,-4.05%
Jan 14  2016,4.44,4.30,4.47,4.08,1.88M,3.74%
Jan 13  2016,4.28,4.58,4.67,4.26,3.54M,-2.73%
Jan 12  2016,4.40,4.64,4.66,4.23,1.91M,-2.44%
Jan 11  2016,4.51,4.60,4.65,4.39,1.81M,-3.22%
Jan 08  2016,4.66,4.85,4.89,4.61,1.67M,-2.51%
Jan 07  2016,4.78,5.00,5.05,4.77,3.28M,-6.09%
Jan 06  2016,5.09,5.23,5.37,5.07,2.47M,-6.26%
Jan 05  2016,5.43,5.45,5.52,5.38,1.96M,-1.63%
Jan 04  2016,5.52,5.40,5.62,5.38,3.02M,0.91%
Dec 31  2015,5.47,5.27,5.50,5.26,697.81K,3.40%
Dec 30  2015,5.29,5.43,5.57,5.27,1.20M,-5.37%
Dec 29  2015,5.59,5.66,5.75,5.47,952.36K,-2.27%
Dec 24  2015,5.72,5.83,5.90,5.71,816.08K,-1.38%
Dec 23  2015,5.80,5.45,5.81,5.45,1.39M,8.41%
Dec 22  2015,5.35,5.20,5.36,5.15,1.31M,2.88%
Dec 21  2015,5.20,5.23,5.27,5.10,1.79M,-0.95%
Dec 18  2015,5.25,5.05,5.26,5.03,1.57M,3.96%
Dec 17  2015,5.05,5.13,5.21,5.02,1.10M,-2.70%
Dec 16  2015,5.19,5.06,5.32,5.01,1.45M,1.96%
Dec 15  2015,5.09,5.07,5.24,5.06,1.95M,2.62%
Dec 14  2015,4.96,4.94,5.07,4.85,1.68M,-0.40%
Dec 11  2015,4.98,4.95,5.01,4.85,1.78M,-1.97%
Dec 10  2015,5.08,4.79,5.11,4.73,1.89M,5.39%
Dec 09  2015,4.82,4.70,4.88,4.57,2.09M,3.43%
Dec 08  2015,4.66,4.50,4.73,4.47,2.08M,1.53%
Dec 07  2015,4.59,4.82,4.82,4.56,1.67M,-6.33%
Dec 04  2015,4.90,5.09,5.18,4.87,5.89M,-5.77%
Dec 03  2015,5.20,5.36,5.45,5.17,1.31M,-1.33%
Dec 02  2015,5.27,5.61,5.64,5.23,1.89M,-7.05%
Dec 01  2015,5.67,5.80,5.87,5.64,1.14M,-1.39%
Nov 30  2015,5.75,5.69,5.85,5.62,1.04M,2.50%
Nov 27  2015,5.61,5.70,5.84,5.60,588.19K,-3.61%
Nov 26  2015,5.82,5.71,5.87,5.71,107.92K,0.00%
Nov 25  2015,5.82,5.63,6.00,5.63,1.85M,-1.02%
Nov 24  2015,5.88,5.42,5.90,5.41,2.41M,9.91%
Nov 23  2015,5.35,5.07,5.37,5.05,1.22M,5.11%
Nov 20  2015,5.09,5.11,5.17,4.94,924.76K,-0.78%
Nov 19  2015,5.13,5.29,5.43,5.10,1.31M,-4.82%
Nov 18  2015,5.39,5.40,5.51,5.34,1.99M,1.51%
Nov 17  2015,5.31,5.33,5.45,5.19,1.26M,-0.75%
Nov 16  2015,5.35,5.15,5.37,5.10,1.31M,4.09%
Nov 13  2015,5.14,5.11,5.20,4.97,1.08M,0.19%
Nov 12  2015,5.13,5.10,5.33,5.07,1.75M,-2.29%
Nov 11  2015,5.25,5.40,5.41,5.17,1.38M,-2.96%
Nov 10  2015,5.41,5.46,5.56,5.34,1.06M,-1.64%
Nov 09  2015,5.50,5.44,5.62,5.34,1.47M,0.00%
Nov 06  2015,5.50,5.27,5.55,5.27,749.25K,1.29%
Nov 05  2015,5.43,5.43,5.63,5.38,1.35M,-1.63%
Nov 04  2015,5.52,5.57,5.65,5.40,1.70M,-2.13%
Nov 03  2015,5.64,5.38,5.66,5.37,2.44M,6.42%
Nov 02  2015,5.30,5.20,5.32,5.15,1.01M,1.92%
Oct 30  2015,5.20,5.09,5.23,4.93,2.13M,4.00%
Oct 29  2015,5.00,5.26,5.37,5.00,1.77M,-5.66%
Oct 28  2015,5.30,5.15,5.49,5.06,2.78M,5.16%
Oct 27  2015,5.04,5.09,5.13,4.93,4.18M,-2.70%
Oct 26  2015,5.18,5.52,5.56,5.16,2.96M,-7.83%
Oct 23  2015,5.62,6.06,6.06,5.60,2.07M,-7.11%
Oct 22  2015,6.05,5.94,6.28,5.90,2.69M,3.42%
Oct 21  2015,5.85,5.86,5.98,5.75,1.27M,-2.01%
Oct 20  2015,5.97,5.77,6.04,5.75,1.20M,3.83%
Oct 19  2015,5.75,5.92,6.03,5.73,2.07M,-4.33%
