Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.93,8.87,9.00,8.68,695.42K,4.94%
Apr 18  2016,8.51,8.50,8.65,8.30,512.26K,2.65%
Apr 15  2016,8.29,8.27,8.42,8.16,699.81K,0.48%
Apr 14  2016,8.25,8.45,8.45,7.99,677.91K,-2.48%
Apr 13  2016,8.46,8.54,8.67,8.41,576.52K,-2.53%
Apr 12  2016,8.68,8.59,8.82,8.42,646.29K,1.05%
Apr 11  2016,8.59,8.00,8.64,7.96,1.30M,9.57%
Apr 08  2016,7.84,7.45,7.95,7.43,706.80K,5.09%
Apr 07  2016,7.46,7.42,7.50,7.27,1.09M,3.32%
Apr 06  2016,7.22,7.10,7.22,7.05,232.35K,0.56%
Apr 05  2016,7.18,7.06,7.21,7.01,443.78K,4.21%
Apr 04  2016,6.89,7.15,7.16,6.84,288.98K,-3.37%
Apr 01  2016,7.13,6.82,7.16,6.73,416.71K,2.30%
Mar 31  2016,6.97,7.22,7.30,6.94,421.71K,-2.92%
Mar 30  2016,7.18,7.04,7.19,6.82,586.56K,0.98%
Mar 29  2016,7.11,6.80,7.20,6.72,452.58K,4.71%
Mar 28  2016,6.79,6.80,6.80,6.55,385.33K,0.00%
Mar 24  2016,6.79,6.71,6.87,6.62,347.47K,1.80%
Mar 23  2016,6.67,6.92,6.97,6.58,782.16K,-6.97%
Mar 22  2016,7.17,7.30,7.34,7.05,411.46K,0.42%
Mar 21  2016,7.14,6.82,7.29,6.82,418.47K,3.33%
Mar 18  2016,6.91,7.00,7.05,6.80,2.11M,-1.85%
Mar 17  2016,7.04,7.20,7.42,6.99,1.09M,-2.63%
Mar 16  2016,7.23,6.64,7.24,6.52,1.23M,8.72%
Mar 15  2016,6.65,6.81,6.81,6.49,705.26K,-1.92%
Mar 14  2016,6.78,6.84,7.09,6.73,814.07K,0.44%
Mar 11  2016,6.75,7.13,7.20,6.62,842.58K,-5.06%
Mar 10  2016,7.11,6.98,7.25,6.90,538.56K,3.49%
Mar 09  2016,6.87,6.72,7.06,6.59,691.27K,0.00%
Mar 08  2016,6.87,7.38,7.45,6.74,1.16M,-5.11%
Mar 07  2016,7.24,7.63,7.68,7.05,869.29K,-3.60%
Mar 04  2016,7.51,7.01,7.79,6.81,2.25M,4.89%
Mar 03  2016,7.16,6.33,7.19,6.32,1.26M,13.65%
Mar 02  2016,6.30,6.12,6.32,6.06,539.97K,3.79%
Mar 01  2016,6.07,6.44,6.44,6.01,520.48K,-3.96%
Feb 29  2016,6.32,6.12,6.32,6.11,544.34K,4.64%
Feb 26  2016,6.04,6.26,6.26,6.00,430.54K,-3.21%
Feb 25  2016,6.24,6.25,6.40,6.18,480.69K,-0.16%
Feb 24  2016,6.25,6.41,6.54,6.19,1.26M,0.48%
Feb 23  2016,6.22,6.50,6.51,6.17,1.49M,-10.12%
Feb 22  2016,6.92,6.85,7.07,6.80,373.96K,-1.84%
Feb 19  2016,7.05,7.05,7.28,6.91,497.15K,0.28%
Feb 18  2016,7.03,6.62,7.11,6.52,847.78K,6.03%
Feb 17  2016,6.63,6.68,6.87,6.49,549.63K,0.45%
Feb 16  2016,6.60,6.95,7.12,6.60,693.36K,-8.71%
Feb 12  2016,7.23,7.00,7.26,6.94,359.02K,2.99%
Feb 11  2016,7.02,7.20,7.47,7.00,733.09K,4.78%
Feb 10  2016,6.70,6.71,6.77,6.40,392.99K,-0.15%
Feb 09  2016,6.71,7.07,7.25,6.70,422.30K,-4.01%
Feb 08  2016,6.99,7.10,7.36,6.98,344.02K,1.45%
Feb 05  2016,6.89,6.50,6.94,6.35,350.57K,4.87%
Feb 04  2016,6.57,6.90,6.95,6.52,323.19K,-1.50%
Feb 03  2016,6.67,6.36,6.77,6.29,899.45K,5.37%
Feb 02  2016,6.33,6.33,6.43,6.12,336.37K,0.48%
