Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.100,2.170,2.200,2.090,2.85M,-4.11%
Apr 18  2016,2.190,2.470,2.470,2.050,5.35M,-17.05%
Apr 15  2016,2.640,2.560,2.640,2.500,421.03K,4.35%
Apr 14  2016,2.530,2.540,2.560,2.420,533.45K,-1.17%
Apr 13  2016,2.560,2.510,2.580,2.460,1.01M,0.00%
Apr 12  2016,2.560,2.610,2.610,2.490,1.17M,-1.16%
Apr 11  2016,2.590,2.470,2.680,2.460,3.05M,7.92%
Apr 08  2016,2.400,2.390,2.470,2.380,749.13K,0.42%
Apr 07  2016,2.390,2.370,2.450,2.360,1.39M,2.14%
Apr 06  2016,2.340,2.400,2.400,2.270,1.21M,-1.68%
Apr 05  2016,2.380,2.360,2.410,2.320,1.11M,3.03%
Apr 04  2016,2.310,2.410,2.430,2.255,1.05M,-3.75%
Apr 01  2016,2.400,2.280,2.410,2.270,500.94K,1.69%
Mar 31  2016,2.360,2.410,2.430,2.360,362.78K,-0.42%
Mar 30  2016,2.370,2.350,2.470,2.310,740.24K,0.42%
Mar 29  2016,2.360,2.270,2.400,2.180,1.98M,6.31%
Mar 28  2016,2.220,2.350,2.380,2.180,1.08M,-4.31%
Mar 24  2016,2.320,2.390,2.420,2.290,438.53K,-2.52%
Mar 23  2016,2.380,2.470,2.500,2.365,933.45K,-5.93%
Mar 22  2016,2.530,2.650,2.660,2.520,460.57K,-2.69%
Mar 21  2016,2.600,2.500,2.640,2.500,702.01K,2.36%
Mar 18  2016,2.540,2.630,2.640,2.460,11.41M,-4.15%
Mar 17  2016,2.650,2.740,2.820,2.590,3.25M,-1.49%
Mar 16  2016,2.690,2.410,2.720,2.390,2.36M,9.35%
Mar 15  2016,2.460,2.400,2.490,2.300,1.25M,2.93%
Mar 14  2016,2.390,2.480,2.510,2.360,1.12M,-2.05%
Mar 11  2016,2.440,2.580,2.600,2.400,893.44K,-5.06%
Mar 10  2016,2.570,2.540,2.590,2.450,784.84K,3.21%
Mar 09  2016,2.490,2.450,2.550,2.400,1.14M,-1.19%
Mar 08  2016,2.520,2.640,2.660,2.450,777.55K,-3.45%
Mar 07  2016,2.610,2.290,2.630,2.270,1.86M,16.00%
Mar 04  2016,2.250,2.310,2.500,2.210,4.70M,-2.17%
Mar 03  2016,2.300,2.160,2.320,2.150,1.73M,7.98%
Mar 02  2016,2.130,2.060,2.160,2.050,915.69K,2.90%
Mar 01  2016,2.070,2.200,2.220,2.020,1.05M,-6.76%
Feb 29  2016,2.220,2.230,2.250,2.190,406.89K,1.83%
Feb 26  2016,2.180,2.240,2.250,2.125,661.78K,-2.24%
Feb 25  2016,2.230,2.280,2.280,2.160,538.51K,-0.45%
Feb 24  2016,2.240,2.310,2.455,2.220,2.17M,0.00%
Feb 23  2016,2.240,1.940,2.240,1.940,1.95M,13.71%
Feb 22  2016,1.970,1.950,2.010,1.935,636.48K,-1.01%
Feb 19  2016,1.990,2.100,2.100,1.990,1.95M,0.51%
Feb 18  2016,1.980,2.020,2.090,1.940,3.58M,-3.88%
Feb 17  2016,2.060,2.110,2.140,2.050,2.19M,-2.37%
Feb 16  2016,2.110,2.240,2.340,2.110,818.02K,-9.83%
Feb 12  2016,2.340,2.300,2.380,2.230,741.34K,0.00%
Feb 11  2016,2.340,2.350,2.560,2.250,2.51M,7.34%
Feb 10  2016,2.180,2.230,2.280,2.110,1.18M,-2.24%
Feb 09  2016,2.230,2.310,2.365,2.220,975.78K,-4.70%
Feb 08  2016,2.340,2.250,2.540,2.250,2.36M,4.00%
Feb 05  2016,2.250,2.400,2.400,2.140,3.97M,-12.79%
Feb 04  2016,2.580,2.800,2.810,2.540,2.60M,-29.32%
Feb 03  2016,3.650,3.590,3.780,3.570,973.04K,2.24%
Feb 02  2016,3.570,3.560,3.640,3.450,232.76K,-1.92%
Feb 01  2016,3.640,3.520,3.700,3.520,590.72K,4.30%
Jan 29  2016,3.490,3.390,3.510,3.360,476.31K,3.56%
Jan 28  2016,3.370,3.400,3.460,3.330,538.48K,-2.88%
Jan 27  2016,3.470,3.300,3.470,3.270,1.63M,4.20%
Jan 26  2016,3.330,3.020,3.340,3.010,630.62K,9.18%
Jan 25  2016,3.050,3.020,3.160,2.970,443.10K,3.74%
Jan 22  2016,2.940,2.800,2.990,2.780,476.35K,3.16%
Jan 21  2016,2.850,2.830,2.860,2.710,409.29K,-1.04%
Jan 20  2016,2.880,2.760,2.890,2.710,492.52K,5.88%
Jan 19  2016,2.720,2.940,2.980,2.660,1.29M,-8.72%
Jan 18  2016,2.980,2.900,2.980,2.900,73.04K,0.00%
Jan 15  2016,2.980,3.120,3.130,2.910,496.99K,-0.67%
Jan 14  2016,3.000,3.290,3.290,2.990,996.96K,-9.64%
Jan 13  2016,3.320,3.180,3.340,3.150,683.33K,3.75%
Jan 12  2016,3.200,3.340,3.350,3.120,518.14K,-5.33%
Jan 11  2016,3.380,3.580,3.640,3.320,410.89K,-6.37%
Jan 08  2016,3.610,3.620,3.660,3.510,602.72K,-2.43%
Jan 07  2016,3.700,3.550,3.780,3.540,1.20M,6.94%
Jan 06  2016,3.460,3.330,3.470,3.290,923.52K,5.17%
Jan 05  2016,3.290,3.260,3.300,3.210,357.36K,1.86%
Jan 04  2016,3.230,3.210,3.320,3.180,341.10K,3.53%
Dec 31  2015,3.120,3.090,3.140,3.060,120.95K,0.65%
Dec 30  2015,3.100,3.190,3.200,3.030,457.42K,-4.32%
Dec 29  2015,3.240,3.380,3.380,3.220,155.65K,-4.42%
Dec 24  2015,3.390,3.240,3.400,3.240,168.62K,4.31%
Dec 23  2015,3.250,3.190,3.250,3.160,185.36K,2.20%
Dec 22  2015,3.180,3.320,3.330,3.150,385.36K,-4.22%
Dec 21  2015,3.320,3.360,3.420,3.280,352.44K,-0.30%
Dec 18  2015,3.330,3.170,3.340,3.090,593.35K,9.54%
Dec 17  2015,3.040,3.150,3.180,3.030,431.05K,-7.32%
Dec 16  2015,3.280,3.090,3.310,3.050,793.99K,8.25%
Dec 15  2015,3.030,3.090,3.140,3.000,591.95K,-0.66%
Dec 14  2015,3.050,3.280,3.280,2.980,571.42K,-7.29%
Dec 11  2015,3.290,3.220,3.330,3.220,184.66K,0.00%
Dec 10  2015,3.290,3.230,3.310,3.220,163.21K,1.54%
Dec 09  2015,3.240,3.240,3.360,3.220,234.22K,1.25%
Dec 08  2015,3.200,3.240,3.260,3.170,259.34K,-0.93%
Dec 07  2015,3.230,3.310,3.340,3.200,917.38K,-3.58%
Dec 04  2015,3.350,3.130,3.360,3.120,587.22K,8.06%
Dec 03  2015,3.100,3.100,3.110,3.030,305.36K,0.32%
Dec 02  2015,3.090,2.980,3.110,2.980,952.77K,0.00%
Dec 01  2015,3.090,3.060,3.160,3.035,574.95K,2.66%
Nov 30  2015,3.010,2.990,3.060,2.920,442.00K,0.00%
Nov 27  2015,3.010,2.900,3.050,2.880,230.56K,-1.95%
Nov 26  2015,3.070,2.960,3.090,2.960,85.03K,4.78%
Nov 25  2015,2.930,2.890,2.990,2.860,120.01K,0.34%
Nov 24  2015,2.920,2.820,2.930,2.690,524.71K,6.18%
Nov 23  2015,2.750,2.780,2.910,2.750,432.42K,-5.50%
Nov 20  2015,2.910,3.060,3.110,2.820,495.74K,-4.90%
Nov 19  2015,3.060,2.900,3.070,2.900,483.83K,4.44%
Nov 18  2015,2.930,2.800,2.950,2.770,330.17K,5.78%
Nov 17  2015,2.770,2.850,2.890,2.740,1.19M,-4.48%
Nov 16  2015,2.900,2.950,2.990,2.880,617.14K,-0.34%
Nov 13  2015,2.910,2.790,2.940,2.770,332.17K,2.83%
Nov 12  2015,2.830,2.820,2.940,2.750,254.24K,-3.08%
Nov 11  2015,2.920,2.730,2.940,2.730,261.98K,5.80%
Nov 10  2015,2.760,2.710,2.800,2.690,983.40K,0.73%
Nov 09  2015,2.740,2.730,2.740,2.660,602.67K,1.48%
Nov 06  2015,2.700,2.640,2.780,2.560,365.44K,1.50%
Nov 05  2015,2.660,2.760,2.780,2.640,297.37K,-3.97%
Nov 04  2015,2.770,2.940,2.960,2.750,395.34K,-3.82%
Nov 03  2015,2.880,2.970,3.000,2.810,1.17M,-5.26%
Nov 02  2015,3.040,3.030,3.050,2.950,884.21K,1.00%
Oct 30  2015,3.010,3.100,3.110,3.000,288.84K,-2.59%
Oct 29  2015,3.090,3.310,3.310,3.050,493.67K,-6.65%
Oct 28  2015,3.310,3.450,3.610,3.250,576.35K,-2.07%
Oct 27  2015,3.380,3.440,3.500,3.310,342.71K,-0.29%
Oct 26  2015,3.390,3.420,3.470,3.340,312.84K,-1.45%
Oct 23  2015,3.440,3.380,3.490,3.310,400.02K,4.24%
Oct 22  2015,3.300,3.350,3.460,3.290,410.07K,-1.49%
Oct 21  2015,3.350,3.490,3.490,3.290,397.67K,-4.56%
Oct 20  2015,3.510,3.490,3.620,3.470,395.22K,1.45%
Oct 19  2015,3.460,3.710,3.710,3.370,681.98K,-6.74%
Oct 16  2015,3.710,3.830,3.850,3.700,1.31M,-3.39%
Oct 15  2015,3.840,3.860,3.870,3.770,1.85M,0.00%
