Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,3.29,3.22,3.29,3.18,1.38M,1.86%
Apr 18  2016,3.23,3.18,3.27,3.17,1.06M,0.62%
Apr 15  2016,3.21,3.24,3.25,3.19,584.27K,-0.93%
Apr 14  2016,3.24,3.13,3.25,3.10,1.61M,3.85%
Apr 13  2016,3.12,3.12,3.14,3.07,539.42K,0.00%
Apr 12  2016,3.12,3.14,3.15,3.10,574.29K,-0.32%
Apr 11  2016,3.13,3.14,3.18,3.09,772.84K,0.00%
Apr 08  2016,3.13,3.15,3.18,3.10,572.48K,-0.32%
Apr 07  2016,3.14,3.16,3.18,3.07,1.07M,-1.87%
Apr 06  2016,3.20,3.15,3.22,3.12,839.30K,1.59%
Apr 05  2016,3.15,3.23,3.24,3.15,1.15M,-2.17%
Apr 04  2016,3.22,3.23,3.27,3.18,960.43K,-0.31%
Apr 01  2016,3.23,3.06,3.25,3.04,2.08M,4.87%
Mar 31  2016,3.08,2.97,3.11,2.89,2.07M,0.00%
Mar 30  2016,3.08,3.12,3.18,3.06,1.11M,-0.65%
Mar 29  2016,3.10,3.09,3.12,2.97,1.30M,-0.64%
Mar 28  2016,3.12,3.13,3.17,3.03,1.05M,0.32%
Mar 24  2016,3.11,2.92,3.17,2.85,2.46M,6.87%
Mar 23  2016,2.91,3.20,3.22,2.83,10.57M,-8.20%
Mar 22  2016,3.17,3.48,3.49,3.11,3.41M,-7.85%
Mar 21  2016,3.44,3.29,3.47,3.28,2.08M,4.56%
Mar 18  2016,3.29,3.27,3.39,3.19,8.54M,0.92%
Mar 17  2016,3.26,3.21,3.29,3.12,1.84M,1.56%
Mar 16  2016,3.21,3.10,3.21,3.08,1.34M,4.56%
Mar 15  2016,3.07,3.18,3.18,2.97,1.76M,-3.15%
Mar 14  2016,3.17,3.16,3.26,3.15,1.07M,0.32%
Mar 11  2016,3.16,3.15,3.18,3.10,1.12M,2.27%
Mar 10  2016,3.09,3.24,3.30,3.07,2.19M,-3.74%
Mar 09  2016,3.21,3.12,3.21,3.06,2.01M,3.22%
Mar 08  2016,3.11,3.07,3.15,2.98,1.83M,1.97%
Mar 07  2016,3.05,2.90,3.06,2.85,1.58M,5.54%
Mar 04  2016,2.89,3.00,3.00,2.86,1.46M,-0.69%
Mar 03  2016,2.91,2.78,2.93,2.74,1.56M,5.43%
Mar 02  2016,2.76,2.70,2.77,2.65,721.23K,1.47%
Mar 01  2016,2.72,2.66,2.75,2.65,1.07M,4.21%
Feb 29  2016,2.61,2.68,2.68,2.55,676.63K,-1.88%
Feb 26  2016,2.66,2.72,2.75,2.62,628.06K,-0.75%
Feb 25  2016,2.68,2.77,2.79,2.62,1.61M,0.00%
Feb 24  2016,2.68,2.39,2.70,2.32,2.14M,12.13%
Feb 23  2016,2.39,2.35,2.45,2.32,781.30K,0.84%
Feb 22  2016,2.37,2.40,2.43,2.34,1.05M,0.00%
Feb 19  2016,2.37,2.43,2.47,2.35,1.09M,-4.82%
Feb 18  2016,2.49,2.54,2.55,2.37,2.06M,-0.80%
Feb 17  2016,2.51,2.44,2.55,2.40,2.04M,9.13%
