Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,39.05,39.32,39.37,38.86,205.32K,-0.96%
Apr 18  2016,39.43,39.40,39.50,39.16,126.31K,0.13%
Apr 15  2016,39.38,38.99,39.74,38.81,209.96K,-0.40%
Apr 14  2016,39.54,39.63,39.78,39.40,451.77K,-0.23%
Apr 13  2016,39.63,38.95,39.75,38.95,271.46K,1.96%
Apr 12  2016,38.87,39.33,39.35,38.80,346.75K,-1.04%
Apr 11  2016,39.28,39.59,39.75,39.18,343.14K,-1.08%
Apr 08  2016,39.71,40.20,40.26,39.61,251.68K,-1.07%
Apr 07  2016,40.14,39.76,40.18,39.44,275.48K,1.34%
Apr 06  2016,39.61,39.35,40.03,39.12,492.17K,0.43%
Apr 05  2016,39.44,39.01,39.53,37.00,995.70K,-2.67%
Apr 04  2016,40.52,40.50,40.57,40.31,259.13K,0.10%
Apr 01  2016,40.48,40.50,40.81,40.31,242.38K,0.25%
Mar 31  2016,40.38,39.82,40.44,39.67,345.68K,1.13%
Mar 30  2016,39.93,40.76,40.77,39.80,134.67K,-2.11%
Mar 29  2016,40.79,40.21,41.02,40.21,213.34K,1.12%
Mar 28  2016,40.34,40.82,40.82,40.20,140.41K,-1.25%
Mar 24  2016,40.85,40.62,40.91,40.58,156.40K,0.20%
Mar 23  2016,40.77,40.84,41.18,40.74,250.47K,0.47%
Mar 22  2016,40.58,40.62,40.86,40.37,305.96K,-0.47%
Mar 21  2016,40.77,40.81,40.99,40.69,207.89K,-0.27%
Mar 18  2016,40.88,40.90,40.98,40.60,298.38K,-0.29%
Mar 17  2016,41.00,40.64,41.17,40.43,284.84K,0.29%
Mar 16  2016,40.88,41.41,41.41,40.76,384.75K,-1.11%
Mar 15  2016,41.34,40.71,41.48,40.71,294.71K,1.50%
Mar 14  2016,40.73,40.90,40.96,40.59,308.17K,-0.73%
Mar 11  2016,41.03,41.36,41.37,40.80,443.40K,-0.53%
Mar 10  2016,41.25,40.97,41.39,40.87,353.01K,1.03%
Mar 09  2016,40.83,41.07,41.41,40.71,442.17K,-0.39%
Mar 08  2016,40.99,40.44,41.26,40.44,344.39K,0.96%
Mar 07  2016,40.60,40.48,40.67,40.19,239.27K,0.20%
Mar 04  2016,40.52,40.93,41.17,40.47,249.62K,-0.98%
Mar 03  2016,40.92,40.62,40.93,40.02,294.21K,0.37%
Mar 02  2016,40.77,40.95,41.24,40.45,532.45K,-0.27%
Mar 01  2016,40.88,40.58,41.21,40.39,666.82K,1.11%
Feb 29  2016,40.43,40.82,40.91,40.00,6.55M,-0.12%
Feb 26  2016,40.48,40.52,41.65,40.48,578.23K,-0.02%
Feb 25  2016,40.49,41.47,41.47,40.32,730.46K,0.12%
Feb 24  2016,40.44,41.96,41.96,40.15,781.11K,0.95%
Feb 23  2016,40.06,40.07,40.34,39.82,255.27K,-0.02%
Feb 22  2016,40.07,41.03,41.03,39.49,279.03K,-1.74%
Feb 19  2016,40.78,41.06,41.12,40.63,210.40K,-0.80%
Feb 18  2016,41.11,40.25,41.12,40.25,356.98K,2.16%
Feb 17  2016,40.24,40.56,41.05,40.11,618.59K,-0.12%
Feb 16  2016,40.29,39.86,40.53,39.69,520.62K,2.08%
Feb 12  2016,39.47,38.61,39.61,38.48,527.72K,3.14%
Feb 11  2016,38.27,37.90,38.36,37.86,377.28K,-0.03%
Feb 10  2016,38.28,37.95,38.55,37.95,284.36K,1.32%
Feb 09  2016,37.78,37.73,38.08,37.40,351.44K,-0.18%
Feb 08  2016,37.85,38.23,38.23,37.70,271.04K,-1.33%
Feb 05  2016,38.36,38.83,39.10,38.26,398.27K,-1.57%
Feb 04  2016,38.97,38.76,39.18,38.52,498.08K,0.36%
Feb 03  2016,38.83,38.86,38.97,38.35,647.60K,-0.31%
Feb 02  2016,38.95,39.10,39.25,38.42,398.10K,-0.20%
Feb 01  2016,39.03,39.06,39.33,38.93,450.13K,-0.91%
Jan 29  2016,39.39,38.93,39.49,38.85,467.03K,1.21%
Jan 28  2016,38.92,39.15,39.34,38.63,637.31K,-0.21%
Jan 27  2016,39.00,39.32,39.72,38.93,632.16K,-1.27%
Jan 26  2016,39.50,39.40,39.57,38.99,1.15M,0.23%
Jan 25  2016,39.41,39.10,39.88,39.10,472.68K,0.18%
Jan 22  2016,39.34,38.71,39.67,38.71,1.95M,1.34%
Jan 21  2016,38.82,39.32,40.51,38.70,2.98M,-1.20%
Jan 20  2016,39.29,36.86,39.58,36.86,3.20M,5.11%
Jan 19  2016,37.38,35.49,37.43,34.92,4.61M,10.53%
Jan 18  2016,33.82,34.05,34.11,33.60,69.64K,-1.02%
Jan 15  2016,34.17,34.02,34.29,33.91,399.01K,-0.64%
Jan 14  2016,34.39,34.08,34.45,33.62,334.95K,0.94%
Jan 13  2016,34.07,35.13,35.21,33.99,443.86K,-3.10%
Jan 12  2016,35.16,34.11,35.24,34.11,521.64K,0.66%
Jan 11  2016,34.93,35.55,35.55,34.71,378.59K,-1.33%
Jan 08  2016,35.40,34.96,36.00,34.89,1.45M,1.67%
Jan 07  2016,34.82,34.52,34.88,34.21,524.16K,-0.60%
Jan 06  2016,35.03,35.00,35.17,34.24,835.06K,0.78%
Jan 05  2016,34.76,34.21,35.00,34.01,2.31M,7.32%
Jan 04  2016,32.39,32.46,32.91,31.76,649.93K,-0.64%
Dec 31  2015,32.60,32.17,33.50,32.12,358.50K,1.40%
Dec 30  2015,32.15,32.01,32.23,32.01,153.11K,0.47%
Dec 29  2015,32.00,32.21,32.35,31.94,205.86K,-0.71%
Dec 24  2015,32.23,32.32,32.42,32.16,73.13K,-0.15%
Dec 23  2015,32.28,32.32,32.69,32.25,241.81K,0.12%
Dec 22  2015,32.24,32.20,32.36,31.79,312.78K,1.07%
Dec 21  2015,31.90,31.97,32.25,31.70,321.34K,0.82%
Dec 18  2015,31.64,31.35,31.82,31.01,565.58K,1.44%
Dec 17  2015,31.19,30.88,31.77,30.68,570.49K,1.99%
Dec 16  2015,30.58,30.39,30.69,30.16,309.54K,2.10%
Dec 15  2015,29.95,29.35,30.09,29.30,363.51K,2.53%
Dec 14  2015,29.21,29.66,29.81,29.11,209.60K,-1.68%
Dec 11  2015,29.71,30.07,30.15,29.49,173.86K,-1.46%
Dec 10  2015,30.15,30.08,30.25,29.93,180.10K,0.00%
Dec 09  2015,30.15,30.32,30.48,30.12,145.75K,-0.82%
Dec 08  2015,30.40,30.20,30.50,30.19,198.26K,0.00%
Dec 07  2015,30.40,30.18,30.45,29.85,194.15K,0.26%
Dec 04  2015,30.32,30.40,30.67,30.01,130.09K,-0.03%
Dec 03  2015,30.33,31.32,31.32,30.01,339.75K,-3.16%
Dec 02  2015,31.32,31.23,31.55,31.19,197.64K,0.13%
Dec 01  2015,31.28,31.53,31.65,30.88,427.75K,-0.95%
Nov 30  2015,31.58,30.95,31.75,30.95,217.71K,2.04%
Nov 27  2015,30.95,30.51,31.11,30.51,185.24K,1.64%
Nov 26  2015,30.45,30.85,30.85,30.45,19.22K,-0.68%
Nov 25  2015,30.66,30.44,30.83,30.44,254.57K,0.66%
Nov 24  2015,30.46,30.47,30.55,30.02,183.35K,-0.39%
Nov 23  2015,30.58,30.58,30.73,30.45,255.38K,0.36%
Nov 20  2015,30.47,30.67,30.79,30.41,130.64K,-0.36%
Nov 19  2015,30.58,30.82,30.85,30.54,159.15K,-0.68%
Nov 18  2015,30.79,31.26,31.54,30.78,322.52K,-1.38%
Nov 17  2015,31.22,31.27,31.32,30.94,195.95K,-0.45%
Nov 16  2015,31.36,31.10,31.53,30.94,80.76K,0.74%
Nov 13  2015,31.13,30.90,31.31,30.89,85.03K,0.39%
Nov 12  2015,31.01,31.18,31.46,30.80,181.42K,-1.49%
Nov 11  2015,31.48,31.86,31.93,31.38,127.62K,-0.82%
Nov 10  2015,31.74,31.44,31.78,31.21,188.21K,0.47%
Nov 09  2015,31.59,31.06,31.82,30.88,169.70K,1.71%
Nov 06  2015,31.06,31.22,31.58,30.67,158.06K,-0.51%
Nov 05  2015,31.22,30.93,31.26,30.57,142.32K,1.30%
Nov 04  2015,30.82,31.24,31.35,30.77,235.31K,-1.31%
Nov 03  2015,31.23,31.25,31.39,30.98,334.95K,-0.10%
Nov 02  2015,31.26,31.57,31.73,30.97,459.67K,-0.57%
Oct 30  2015,31.44,29.99,32.30,29.73,1.16M,6.22%
Oct 29  2015,29.60,29.74,29.82,29.43,153.34K,-0.27%
Oct 28  2015,29.68,29.32,29.72,29.22,236.18K,0.78%
Oct 27  2015,29.45,29.10,29.59,28.97,391.17K,1.34%
Oct 26  2015,29.06,30.45,30.71,28.95,559.70K,-4.94%
Oct 23  2015,30.57,30.69,30.70,29.92,444.53K,0.39%
Oct 22  2015,30.45,29.60,30.88,29.19,807.51K,2.56%
Oct 21  2015,29.69,29.99,30.14,29.17,1.16M,-1.43%
Oct 20  2015,30.12,29.47,31.35,27.00,3.21M,-14.55%
Oct 19  2015,35.25,35.15,35.44,35.12,216.92K,0.00%
Oct 16  2015,35.25,35.49,35.61,35.14,205.49K,-0.42%
Oct 15  2015,35.40,35.60,35.60,35.09,203.55K,-0.28%
Oct 14  2015,35.50,35.95,35.95,35.32,211.66K,-1.03%
Oct 13  2015,35.87,35.35,35.95,35.35,205.08K,0.99%
Oct 09  2015,35.52,35.45,35.59,35.26,129.20K,0.57%
Oct 08  2015,35.32,35.24,35.67,35.17,132.75K,0.17%
Oct 07  2015,35.26,35.09,35.38,34.90,96.70K,1.06%
Oct 06  2015,34.89,35.58,35.58,34.84,190.98K,-1.75%
Oct 05  2015,35.51,35.18,35.55,35.14,254.61K,1.46%
Oct 02  2015,35.00,34.89,35.06,34.71,156.90K,-0.31%
Oct 01  2015,35.11,35.22,35.23,34.76,192.62K,-0.51%
Sep 30  2015,35.29,34.90,35.29,34.82,208.79K,1.50%
Sep 29  2015,34.77,34.95,35.08,34.53,139.60K,-0.54%
Sep 28  2015,34.96,35.06,35.25,34.81,285.91K,-0.96%
Sep 25  2015,35.30,35.76,36.00,35.26,204.18K,-0.87%
Sep 24  2015,35.61,35.78,35.90,35.23,225.81K,-0.97%
Sep 23  2015,35.96,36.09,36.25,35.86,162.82K,-0.36%
Sep 22  2015,36.09,36.04,36.25,35.81,136.57K,-0.55%
Sep 21  2015,36.29,36.01,36.72,36.00,183.89K,0.86%
Sep 18  2015,35.98,35.95,36.27,35.42,245.85K,-0.58%
Sep 17  2015,36.19,35.94,36.30,35.94,206.16K,0.53%
Sep 16  2015,36.00,36.17,36.39,35.95,961.65K,-0.22%
Sep 15  2015,36.08,35.63,36.20,35.50,408.68K,1.18%
Sep 14  2015,35.66,35.68,35.75,35.16,104.04K,0.03%
Sep 11  2015,35.65,35.60,35.66,35.38,163.54K,-0.17%
Sep 10  2015,35.71,35.72,35.92,35.63,54.36K,0.00%
Sep 09  2015,35.71,35.90,36.09,35.55,175.77K,-0.14%
Sep 08  2015,35.76,36.00,36.19,35.70,115.60K,0.14%
Sep 04  2015,35.71,35.54,35.85,35.49,47.34K,-0.22%
Sep 03  2015,35.79,35.83,35.94,35.60,106.66K,-0.08%
Sep 02  2015,35.82,35.77,36.15,35.65,115.16K,0.73%
Sep 01  2015,35.56,35.96,36.02,35.47,112.62K,-2.09%
Aug 31  2015,36.32,36.09,36.39,35.79,127.90K,0.58%
Aug 28  2015,36.11,35.93,36.34,35.87,89.98K,0.36%
Aug 27  2015,35.98,35.81,36.30,35.60,129.49K,1.04%
Aug 26  2015,35.61,35.59,35.71,35.07,135.43K,1.40%
Aug 25  2015,35.12,35.50,35.67,35.04,239.34K,0.86%
Aug 24  2015,34.82,33.87,35.46,33.81,308.10K,-0.57%
Aug 21  2015,35.02,35.04,35.32,34.91,180.49K,-1.02%
Aug 20  2015,35.38,35.47,35.62,35.17,63.53K,-0.31%
Aug 19  2015,35.49,35.91,35.91,35.49,166.53K,-1.44%
Aug 18  2015,36.01,36.07,36.21,35.95,78.89K,-0.58%
Aug 17  2015,36.22,36.29,36.48,36.00,163.84K,-0.14%
Aug 14  2015,36.27,35.79,36.29,35.79,78.50K,1.34%
Aug 13  2015,35.79,35.86,36.24,35.65,212.18K,-0.47%
Aug 12  2015,35.96,36.04,36.13,35.54,161.95K,-1.32%
Aug 11  2015,36.44,36.06,36.56,35.92,162.16K,0.50%
Aug 10  2015,36.26,35.90,36.30,35.88,208.14K,1.37%
Aug 07  2015,35.77,36.27,36.27,35.61,155.99K,-1.65%
Aug 06  2015,36.37,36.41,36.50,36.10,219.05K,0.17%
Aug 05  2015,36.31,35.93,36.38,35.81,171.59K,1.88%
Aug 04  2015,35.64,35.65,35.82,35.28,216.34K,0.11%
Jul 31  2015,35.60,35.42,36.07,35.35,398.55K,1.02%
Jul 30  2015,35.24,33.49,35.63,33.23,352.95K,5.98%
Jul 29  2015,33.25,32.31,33.31,32.31,243.72K,2.56%
Jul 28  2015,32.42,31.90,32.47,31.84,166.03K,1.47%
Jul 27  2015,31.95,31.64,31.99,31.64,353.06K,-0.16%
Jul 24  2015,32.00,32.13,32.40,31.84,456.32K,-0.59%
Jul 23  2015,32.19,32.29,32.34,32.00,136.90K,-0.31%
Jul 22  2015,32.29,32.67,32.75,32.27,201.42K,-1.49%
Jul 21  2015,32.78,32.62,32.92,32.60,167.31K,0.28%
Jul 20  2015,32.69,32.95,33.02,32.57,152.33K,-1.21%
Jul 17  2015,33.09,33.11,33.27,32.98,99.70K,0.42%
Jul 16  2015,32.95,32.80,33.32,32.80,208.79K,0.49%
Jul 15  2015,32.79,32.65,32.99,32.65,122.94K,0.49%
Jul 14  2015,32.63,32.73,32.96,32.63,181.75K,-0.31%
Jul 13  2015,32.73,32.27,33.07,32.27,289.56K,1.02%
Jul 10  2015,32.40,32.64,32.72,32.22,226.20K,-0.25%
Jul 09  2015,32.48,32.95,33.11,32.31,245.51K,-1.22%
Jul 08  2015,32.88,33.45,33.64,32.85,407.73K,-1.94%
Jul 07  2015,33.53,33.45,33.68,33.39,185.25K,0.00%
Jul 06  2015,33.53,33.30,33.69,33.30,115.43K,0.27%
Jul 03  2015,33.44,33.41,33.64,33.36,43.51K,-0.36%
Jul 02  2015,33.56,33.54,34.04,33.33,152.97K,0.18%
Jun 30  2015,33.50,33.30,33.63,33.24,137.96K,0.42%
Jun 29  2015,33.36,34.00,34.00,33.17,216.14K,-2.37%
Jun 26  2015,34.17,34.42,34.49,34.10,128.63K,-0.26%
Jun 25  2015,34.26,34.51,34.73,34.12,241.09K,-1.18%
Jun 24  2015,34.67,34.45,34.69,34.40,355.02K,0.06%
Jun 23  2015,34.65,34.28,34.72,34.28,199.28K,0.99%
Jun 22  2015,34.31,34.25,34.56,34.16,153.27K,0.32%
Jun 19  2015,34.20,34.24,34.59,34.08,296.72K,-0.29%
Jun 18  2015,34.30,34.21,34.47,33.95,114.80K,0.38%
Jun 17  2015,34.17,34.11,34.88,34.04,259.80K,0.26%
Jun 16  2015,34.08,34.01,34.21,33.89,140.54K,0.12%
Jun 15  2015,34.04,34.25,34.31,33.86,124.38K,-0.84%
Jun 12  2015,34.33,34.13,34.61,34.05,105.54K,0.35%
Jun 11  2015,34.21,34.10,34.41,33.79,526.45K,0.35%
Jun 10  2015,34.09,34.10,34.22,33.89,85.61K,0.26%
Jun 09  2015,34.00,33.94,34.20,33.56,129.54K,0.44%
Jun 08  2015,33.85,34.00,34.10,33.75,259.42K,-0.76%
Jun 05  2015,34.11,34.05,34.36,33.95,165.01K,0.29%
Jun 04  2015,34.01,34.17,34.50,33.95,330.04K,-0.76%
Jun 03  2015,34.27,33.88,34.48,33.88,516.86K,2.33%
Jun 02  2015,33.49,34.94,34.95,33.27,776.32K,-4.23%
Jun 01  2015,34.97,34.90,35.16,34.51,152.01K,0.66%
May 29  2015,34.74,34.70,34.95,34.55,188.08K,0.23%
May 28  2015,34.66,34.98,35.12,34.50,298.86K,-1.00%
May 27  2015,35.01,34.80,35.24,34.68,166.71K,0.72%
May 26  2015,34.76,34.80,35.00,34.23,213.21K,-0.11%
May 25  2015,34.80,34.52,35.17,34.52,20.39K,-0.14%
May 22  2015,34.85,34.70,34.92,34.52,149.72K,0.46%
May 21  2015,34.69,34.67,35.14,34.64,259.63K,0.06%
May 20  2015,34.67,34.99,34.99,34.61,333.06K,-0.72%
May 19  2015,34.92,34.50,34.99,34.40,323.98K,2.05%
May 15  2015,34.22,34.20,34.46,34.11,128.35K,0.32%
May 14  2015,34.11,34.09,34.40,34.00,108.09K,0.32%
May 13  2015,34.00,34.29,34.29,33.74,143.81K,-0.61%
May 12  2015,34.21,33.86,34.34,33.66,223.22K,0.50%
