Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.00,4.99,5.02,4.96,445.52K,0.81%
Apr 18  2016,4.96,4.91,4.96,4.86,299.06K,1.43%
Apr 15  2016,4.89,4.90,4.91,4.87,221.61K,-0.41%
Apr 14  2016,4.91,4.92,4.92,4.87,255.17K,0.20%
Apr 13  2016,4.90,4.90,4.93,4.87,344.53K,0.20%
Apr 12  2016,4.89,4.95,4.96,4.87,433.52K,-0.81%
Apr 11  2016,4.93,4.89,4.97,4.87,354.62K,0.82%
Apr 08  2016,4.89,4.83,4.89,4.80,667.37K,1.66%
Apr 07  2016,4.81,4.82,4.86,4.78,325.78K,-0.82%
Apr 06  2016,4.85,4.84,4.86,4.80,517.43K,0.62%
Apr 05  2016,4.82,4.89,4.90,4.79,1.15M,-2.03%
Apr 04  2016,4.92,4.88,4.94,4.86,1.60M,0.41%
Apr 01  2016,4.90,4.76,4.91,4.70,749.62K,2.94%
Mar 31  2016,4.76,4.68,4.77,4.66,795.84K,2.15%
Mar 30  2016,4.66,4.65,4.68,4.60,699.46K,1.53%
Mar 29  2016,4.59,4.65,4.66,4.59,357.07K,-1.71%
Mar 28  2016,4.67,4.65,4.69,4.61,156.19K,1.08%
Mar 24  2016,4.62,4.63,4.64,4.60,246.19K,0.22%
Mar 23  2016,4.61,4.73,4.74,4.61,407.58K,-2.95%
Mar 22  2016,4.75,4.75,4.77,4.73,250.34K,-0.21%
Mar 21  2016,4.76,4.70,4.76,4.68,397.51K,0.63%
Mar 18  2016,4.73,4.66,4.73,4.63,1.21M,2.16%
Mar 17  2016,4.63,4.69,4.71,4.63,971.92K,-1.07%
Mar 16  2016,4.68,4.65,4.69,4.57,771.59K,0.86%
Mar 15  2016,4.64,4.67,4.67,4.61,201.37K,-0.85%
Mar 14  2016,4.68,4.67,4.70,4.63,954.83K,0.43%
Mar 11  2016,4.66,4.64,4.70,4.59,1.17M,1.30%
Mar 10  2016,4.60,4.69,4.73,4.57,749.79K,-1.92%
Mar 09  2016,4.69,4.68,4.71,4.67,646.51K,0.21%
Mar 08  2016,4.68,4.68,4.72,4.65,398.24K,0.00%
Mar 07  2016,4.68,4.71,4.72,4.66,305.34K,-0.43%
Mar 04  2016,4.70,4.68,4.70,4.67,344.91K,1.08%
Mar 03  2016,4.65,4.60,4.66,4.59,385.90K,1.09%
Mar 02  2016,4.60,4.56,4.65,4.56,433.83K,0.44%
Mar 01  2016,4.58,4.56,4.62,4.55,540.81K,0.66%
Feb 29  2016,4.55,4.56,4.59,4.55,167.15K,0.22%
Feb 26  2016,4.54,4.62,4.62,4.52,276.64K,-1.94%
Feb 25  2016,4.63,4.52,4.63,4.50,302.00K,1.76%
Feb 24  2016,4.55,4.53,4.55,4.49,153.62K,0.22%
Feb 23  2016,4.54,4.55,4.55,4.50,229.92K,0.00%
Feb 22  2016,4.54,4.53,4.62,4.53,458.43K,0.22%
Feb 19  2016,4.53,4.60,4.60,4.48,598.39K,-1.74%
Feb 18  2016,4.61,4.46,4.65,4.45,706.63K,3.36%
Feb 17  2016,4.46,4.35,4.50,4.32,642.76K,3.48%
Feb 16  2016,4.31,4.34,4.36,4.30,519.03K,0.00%
Feb 12  2016,4.31,4.31,4.35,4.29,201.19K,0.70%
Feb 11  2016,4.28,4.26,4.33,4.26,279.06K,-0.70%
Feb 10  2016,4.31,4.34,4.38,4.30,531.79K,-0.23%
Feb 09  2016,4.32,4.36,4.38,4.31,709.28K,-1.82%
Feb 08  2016,4.40,4.45,4.49,4.39,503.11K,-1.57%
Feb 05  2016,4.47,4.45,4.47,4.42,371.04K,0.45%
Feb 04  2016,4.45,4.43,4.47,4.42,1.32M,0.23%
Feb 03  2016,4.44,4.44,4.46,4.41,704.79K,0.45%
Feb 02  2016,4.42,4.50,4.51,4.41,1.06M,-1.78%
Feb 01  2016,4.50,4.45,4.50,4.42,222.63K,0.90%
Jan 29  2016,4.46,4.43,4.48,4.41,552.37K,1.36%
Jan 28  2016,4.40,4.43,4.45,4.40,650.56K,0.00%
Jan 27  2016,4.40,4.45,4.47,4.40,653.58K,-0.45%
Jan 26  2016,4.42,4.40,4.45,4.39,213.77K,0.68%
Jan 25  2016,4.39,4.40,4.45,4.34,468.03K,0.00%
Jan 22  2016,4.39,4.38,4.42,4.37,361.39K,1.62%
Jan 21  2016,4.32,4.25,4.37,4.22,766.35K,1.65%
Jan 20  2016,4.25,4.20,4.28,4.18,1.22M,0.24%
Jan 19  2016,4.24,4.16,4.26,4.15,1.26M,3.16%
Jan 18  2016,4.11,4.24,4.24,4.10,531.59K,-3.29%
Jan 15  2016,4.25,4.12,4.25,4.10,438.54K,1.67%
Jan 14  2016,4.18,4.24,4.25,4.14,568.73K,-1.18%
Jan 13  2016,4.23,4.23,4.31,4.19,527.50K,-0.47%
Jan 12  2016,4.25,4.24,4.27,4.17,410.15K,0.95%
Jan 11  2016,4.21,4.23,4.23,4.15,861.23K,0.24%
Jan 08  2016,4.20,4.17,4.22,4.16,238.95K,1.69%
Jan 07  2016,4.13,4.24,4.25,4.12,500.50K,-3.05%
Jan 06  2016,4.26,4.34,4.34,4.25,260.42K,-1.62%
Jan 05  2016,4.33,4.36,4.37,4.31,108.05K,-0.46%
Jan 04  2016,4.35,4.38,4.38,4.30,310.42K,-0.46%
Dec 31  2015,4.37,4.42,4.43,4.37,115.65K,-0.91%
Dec 30  2015,4.41,4.41,4.43,4.39,95.43K,0.00%
Dec 29  2015,4.41,4.41,4.42,4.39,104.76K,0.92%
Dec 24  2015,4.37,4.37,4.43,4.34,153.15K,0.23%
Dec 23  2015,4.36,4.43,4.44,4.35,168.17K,-0.68%
Dec 22  2015,4.39,4.38,4.41,4.34,239.01K,1.62%
Dec 21  2015,4.32,4.35,4.39,4.31,420.81K,0.00%
Dec 18  2015,4.32,4.26,4.34,4.20,860.01K,2.13%
Dec 17  2015,4.23,4.32,4.33,4.23,628.47K,-2.31%
Dec 16  2015,4.33,4.24,4.35,4.24,409.31K,2.36%
Dec 15  2015,4.23,4.20,4.25,4.17,619.16K,1.93%
Dec 14  2015,4.15,4.27,4.27,4.14,425.68K,-2.58%
Dec 11  2015,4.26,4.27,4.29,4.25,233.79K,-0.47%
Dec 10  2015,4.28,4.32,4.36,4.27,346.99K,-0.23%
Dec 09  2015,4.29,4.32,4.34,4.26,256.33K,-0.69%
Dec 08  2015,4.32,4.34,4.35,4.30,274.37K,-0.92%
Dec 07  2015,4.36,4.39,4.40,4.32,235.40K,-0.68%
Dec 04  2015,4.39,4.40,4.43,4.37,355.42K,0.00%
Dec 03  2015,4.39,4.42,4.44,4.37,260.14K,-0.68%
Dec 02  2015,4.42,4.47,4.49,4.40,307.14K,-0.90%
Dec 01  2015,4.46,4.46,4.53,4.46,429.03K,-0.89%
Nov 30  2015,4.50,4.51,4.53,4.46,384.25K,0.22%
Nov 27  2015,4.49,4.45,4.52,4.45,612.89K,0.00%
Nov 26  2015,4.49,4.54,4.54,4.47,91.92K,-0.66%
Nov 25  2015,4.52,4.50,4.57,4.49,377.17K,0.22%
