Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,33.16,33.59,33.98,32.87,346.75K,-1.46%
Apr 18  2016,33.65,32.80,33.85,32.77,220.48K,2.72%
Apr 15  2016,32.76,32.02,32.77,31.84,312.34K,2.09%
Apr 14  2016,32.09,32.14,32.25,31.71,162.68K,-0.03%
Apr 13  2016,32.10,32.36,32.41,31.86,257.65K,-0.90%
Apr 12  2016,32.39,33.05,33.11,32.15,293.23K,-1.82%
Apr 11  2016,32.99,33.85,33.85,32.93,238.33K,-2.31%
Apr 08  2016,33.77,34.16,34.16,33.60,121.35K,-0.68%
Apr 07  2016,34.00,34.03,34.04,33.56,292.31K,0.00%
Apr 06  2016,34.00,33.61,34.02,33.61,470.89K,1.25%
Apr 05  2016,33.58,33.90,33.90,33.32,219.85K,-1.15%
Apr 04  2016,33.97,34.02,34.41,33.92,245.61K,0.12%
Apr 01  2016,33.93,34.01,34.10,33.61,213.53K,-0.50%
Mar 31  2016,34.10,34.11,34.62,33.92,440.57K,0.15%
Mar 30  2016,34.05,33.92,34.09,33.75,291.87K,0.77%
Mar 29  2016,33.79,33.41,33.83,33.31,239.52K,1.17%
Mar 28  2016,33.40,33.04,33.60,33.04,219.94K,1.03%
Mar 24  2016,33.06,32.75,33.06,32.58,141.37K,0.61%
Mar 23  2016,32.86,32.52,32.99,32.32,184.66K,0.49%
Mar 22  2016,32.70,33.29,33.29,32.58,247.57K,-1.92%
Mar 21  2016,33.34,33.32,33.65,33.14,248.51K,-0.45%
Mar 18  2016,33.49,33.67,33.98,33.27,292.06K,-0.56%
Mar 17  2016,33.68,33.36,33.85,33.28,251.84K,0.78%
Mar 16  2016,33.42,33.01,33.53,33.01,396.28K,1.18%
Mar 15  2016,33.03,32.85,33.08,32.66,357.38K,-0.18%
Mar 14  2016,33.09,32.91,33.18,32.69,300.43K,1.19%
Mar 11  2016,32.70,32.76,33.00,32.64,244.18K,-0.12%
Mar 10  2016,32.74,32.39,33.16,32.39,398.72K,1.30%
Mar 09  2016,32.32,33.16,33.20,31.53,759.76K,-2.65%
Mar 08  2016,33.20,33.68,33.76,33.07,180.87K,-0.48%
Mar 07  2016,33.36,33.53,33.99,33.30,153.93K,-0.48%
Mar 04  2016,33.52,33.67,33.94,33.37,168.99K,-0.36%
Mar 03  2016,33.64,33.82,34.03,33.56,150.35K,-0.18%
Mar 02  2016,33.70,33.71,33.88,33.27,152.02K,-0.12%
Mar 01  2016,33.74,34.60,34.61,33.55,280.81K,-2.06%
Feb 29  2016,34.45,33.85,34.51,33.74,165.69K,1.98%
Feb 26  2016,33.78,33.62,33.90,33.40,218.26K,0.54%
Feb 25  2016,33.60,33.75,33.77,33.47,163.21K,-0.39%
Feb 24  2016,33.73,33.57,34.01,32.92,212.76K,-0.06%
Feb 23  2016,33.75,33.73,34.28,33.61,168.65K,0.00%
Feb 22  2016,33.75,33.49,33.93,33.49,242.43K,1.44%
Feb 19  2016,33.27,33.55,33.62,33.16,463.95K,-1.60%
Feb 18  2016,33.81,33.50,34.18,33.15,281.35K,1.08%
