Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,23.81,23.84,23.85,23.78,125.84K,-0.13%
Apr 18  2016,23.84,23.81,23.85,23.81,204.18K,0.04%
Apr 15  2016,23.83,23.78,23.83,23.77,164.59K,0.17%
Apr 14  2016,23.79,23.76,23.81,23.76,76.13K,0.13%
Apr 13  2016,23.76,23.78,23.80,23.73,180.82K,0.08%
Apr 12  2016,23.74,23.77,23.82,23.73,182.76K,0.04%
Apr 11  2016,23.73,23.79,23.83,23.72,223.89K,-0.13%
Apr 08  2016,23.76,23.80,23.80,23.73,32.70K,-0.17%
Apr 07  2016,23.80,23.77,23.80,23.74,80.05K,0.13%
Apr 06  2016,23.77,23.77,23.77,23.72,125.10K,0.04%
Apr 05  2016,23.76,23.71,23.77,23.71,123.00K,-0.13%
Apr 04  2016,23.79,23.70,23.79,23.70,178.92K,0.30%
Apr 01  2016,23.72,23.67,23.73,23.59,131.18K,0.21%
Mar 31  2016,23.67,23.75,23.80,23.67,233.91K,-0.55%
Mar 30  2016,23.80,23.80,23.80,23.70,426.27K,0.17%
Mar 29  2016,23.76,23.73,23.78,23.73,144.32K,0.08%
Mar 28  2016,23.74,23.74,23.76,23.71,66.56K,0.04%
Mar 24  2016,23.73,23.66,23.81,23.65,219.06K,0.25%
Mar 23  2016,23.67,23.59,23.67,23.58,309.76K,0.30%
Mar 22  2016,23.60,23.52,23.62,23.41,282.91K,0.08%
Mar 21  2016,23.58,23.51,23.61,23.50,118.97K,0.34%
Mar 18  2016,23.50,23.66,23.71,23.46,606.69K,-0.63%
Mar 17  2016,23.65,23.70,23.73,23.62,248.66K,-0.17%
Mar 16  2016,23.69,23.63,23.70,23.63,160.01K,0.21%
Mar 15  2016,23.64,23.60,23.69,23.57,88.14K,0.08%
Mar 14  2016,23.62,23.65,23.70,23.59,338.54K,-0.25%
Mar 11  2016,23.68,23.69,23.70,23.65,203.47K,0.17%
Mar 10  2016,23.64,23.69,23.71,23.61,341.88K,-0.08%
Mar 09  2016,23.66,23.69,23.72,23.62,757.68K,-0.04%
Mar 08  2016,23.67,23.69,23.70,23.65,170.47K,-0.08%
Mar 07  2016,23.69,23.66,23.72,23.66,210.43K,0.00%
Mar 04  2016,23.69,23.66,23.72,23.65,232.22K,0.08%
Mar 03  2016,23.67,23.61,23.71,23.61,288.13K,0.21%
Mar 02  2016,23.62,23.62,23.63,23.57,514.05K,0.00%
Mar 01  2016,23.62,23.58,23.64,23.58,249.24K,0.17%
Feb 29  2016,23.58,23.54,23.64,23.53,484.44K,0.21%
Feb 26  2016,23.53,23.61,23.65,23.50,252.30K,-0.30%
Feb 25  2016,23.60,23.56,23.65,23.55,165.51K,0.13%
Feb 24  2016,23.57,23.57,23.73,23.57,438.39K,-0.08%
Feb 23  2016,23.59,23.51,23.60,23.49,297.74K,0.38%
Feb 22  2016,23.50,23.53,23.54,23.50,330.07K,0.17%
Feb 19  2016,23.46,23.49,23.54,23.45,280.62K,-0.21%
Feb 18  2016,23.51,23.51,23.53,23.49,417.55K,0.09%
Feb 17  2016,23.49,23.48,23.52,23.42,243.19K,0.30%
Feb 16  2016,23.42,23.40,23.52,23.38,398.71K,-0.04%
Feb 12  2016,23.43,23.40,23.45,23.40,252.97K,0.13%
Feb 11  2016,23.40,23.36,23.44,23.33,608.15K,0.04%
Feb 10  2016,23.39,23.45,23.45,23.35,705.32K,-0.26%
Feb 09  2016,23.45,23.36,23.45,23.34,908.18K,0.09%
Feb 08  2016,23.43,23.35,23.45,23.33,762.76K,0.30%
Feb 05  2016,23.36,23.36,23.40,23.33,2.62M,0.04%
Feb 04  2016,23.35,23.30,23.45,23.22,6.19M,0.21%
Feb 03  2016,23.30,23.44,23.57,23.25,19.60M,97.96%
Feb 02  2016,11.77,12.18,12.21,11.55,391.57K,-4.00%
Feb 01  2016,12.26,12.56,12.56,12.15,174.81K,-0.33%
Jan 29  2016,12.30,11.85,12.38,11.73,216.67K,4.86%
Jan 28  2016,11.73,11.75,12.00,11.63,234.97K,2.80%
Jan 27  2016,11.41,11.35,11.68,11.33,222.29K,0.71%
Jan 26  2016,11.33,11.29,11.46,11.10,113.27K,1.34%
Jan 25  2016,11.18,11.75,11.87,11.12,386.73K,-2.95%
Jan 22  2016,11.52,11.38,11.57,11.36,111.35K,2.49%
Jan 21  2016,11.24,10.84,11.28,10.83,124.43K,3.59%
Jan 20  2016,10.85,10.73,10.89,10.50,218.80K,-1.90%
Jan 19  2016,11.06,11.07,11.15,10.92,82.14K,1.47%
Jan 18  2016,10.90,11.00,11.07,10.66,573.69K,-1.09%
Jan 15  2016,11.02,11.15,11.24,10.90,132.90K,-3.08%
Jan 14  2016,11.37,11.40,11.46,11.10,140.76K,0.09%
Jan 13  2016,11.36,11.47,11.60,11.27,172.92K,-0.09%
Jan 12  2016,11.37,11.27,11.38,11.12,200.85K,1.70%
Jan 11  2016,11.18,11.30,11.33,11.12,325.47K,-0.71%
Jan 08  2016,11.26,11.63,11.63,11.23,128.30K,-2.26%
Jan 07  2016,11.52,11.59,11.80,11.18,149.57K,-1.29%
Jan 06  2016,11.67,11.86,12.04,11.65,205.00K,-2.91%
Jan 05  2016,12.02,12.14,12.20,11.88,151.17K,-1.07%
Jan 04  2016,12.15,12.31,12.31,12.05,108.85K,-1.62%
Dec 31  2015,12.35,12.35,12.42,12.30,74.12K,-1.28%
Dec 30  2015,12.51,12.50,12.64,12.44,86.69K,-0.16%
Dec 29  2015,12.53,12.38,12.54,12.38,60.78K,1.87%
Dec 24  2015,12.30,12.35,12.37,12.30,34.16K,-0.24%
Dec 23  2015,12.33,12.05,12.36,12.02,213.29K,2.49%
Dec 22  2015,12.03,12.00,12.10,11.94,820.19K,0.42%
Dec 21  2015,11.98,12.00,12.04,11.85,216.45K,0.76%
Dec 18  2015,11.89,12.41,12.41,11.87,770.19K,-4.80%
Dec 17  2015,12.49,12.66,12.82,12.36,162.72K,-1.81%
Dec 16  2015,12.72,12.57,12.74,12.54,138.37K,1.84%
Dec 15  2015,12.49,12.56,12.67,12.48,108.09K,-0.48%
Dec 14  2015,12.55,12.46,12.67,12.40,167.08K,0.97%
Dec 11  2015,12.43,12.67,12.67,12.33,304.47K,-2.20%
Dec 10  2015,12.71,12.66,12.77,12.48,345.46K,0.39%
Dec 09  2015,12.66,12.95,12.98,12.66,187.70K,-2.09%
Dec 08  2015,12.93,13.34,13.34,12.81,248.75K,-3.87%
Dec 07  2015,13.45,13.46,13.55,13.26,166.76K,-0.52%
Dec 04  2015,13.52,13.50,13.59,13.37,224.43K,0.30%
Dec 03  2015,13.48,13.58,13.68,13.38,425.81K,-2.03%
Dec 02  2015,13.76,13.45,13.77,13.29,412.39K,3.15%
Dec 01  2015,13.34,13.49,13.52,13.20,373.62K,0.08%
Nov 30  2015,13.33,13.30,13.34,13.14,139.37K,1.14%
Nov 27  2015,13.18,13.22,13.25,13.12,47.37K,0.08%
Nov 26  2015,13.17,13.00,13.21,12.84,90.07K,1.23%
Nov 25  2015,13.01,13.01,13.07,12.95,136.30K,0.31%
Nov 24  2015,12.97,12.74,13.02,12.71,142.04K,1.73%
Nov 23  2015,12.75,12.73,12.84,12.70,100.77K,0.55%
Nov 20  2015,12.68,12.76,12.77,12.58,173.20K,-0.16%
Nov 19  2015,12.70,12.85,12.86,12.58,136.71K,-0.78%
Nov 18  2015,12.80,12.85,12.89,12.70,294.77K,-0.16%
Nov 17  2015,12.82,12.81,12.87,12.69,208.40K,0.79%
Nov 16  2015,12.72,12.31,12.75,12.16,323.03K,3.33%
Nov 13  2015,12.31,12.60,12.65,12.30,350.20K,-2.22%
Nov 12  2015,12.59,12.98,13.00,12.53,280.29K,-2.93%
Nov 11  2015,12.97,12.83,13.22,12.76,349.56K,2.69%
Nov 10  2015,12.63,13.10,13.10,12.38,318.60K,-1.94%
Nov 09  2015,12.88,13.12,13.12,12.46,416.92K,-3.74%
Nov 06  2015,13.38,13.80,13.81,13.37,220.11K,-2.69%
Nov 05  2015,13.75,13.65,13.84,13.60,206.67K,-0.15%
Nov 04  2015,13.77,13.77,13.79,13.60,222.22K,0.00%
Nov 03  2015,13.77,13.75,13.77,13.56,261.89K,-0.07%
Nov 02  2015,13.78,13.68,13.80,13.59,104.70K,0.95%
Oct 30  2015,13.65,13.91,13.98,13.57,92.54K,-1.87%
Oct 29  2015,13.91,13.87,14.02,13.81,66.53K,-0.22%
Oct 28  2015,13.94,14.00,14.02,13.80,77.60K,-0.43%
Oct 27  2015,14.00,14.02,14.05,13.93,215.27K,-0.64%
Oct 26  2015,14.09,14.18,14.21,14.00,35.59K,-0.35%
Oct 23  2015,14.14,14.14,14.15,14.05,31.79K,0.35%
Oct 22  2015,14.09,14.15,14.18,14.05,109.75K,0.00%
