Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,9.69,9.73,9.82,9.56,1.25M,0.94%
Apr 18  2016,9.60,9.00,9.84,9.00,1.43M,0.95%
Apr 15  2016,9.51,9.52,9.65,9.39,1.65M,-1.25%
Apr 14  2016,9.63,9.78,9.88,9.49,1.98M,-1.53%
Apr 13  2016,9.78,9.60,9.93,9.44,1.79M,1.87%
Apr 12  2016,9.60,9.33,9.80,9.24,1.71M,3.45%
Apr 11  2016,9.28,9.22,9.37,9.10,1.02M,0.98%
Apr 08  2016,9.19,9.20,9.28,9.07,463.95K,2.45%
Apr 07  2016,8.97,9.09,9.13,8.91,236.49K,-2.29%
Apr 06  2016,9.18,9.00,9.23,8.78,867.71K,3.26%
Apr 05  2016,8.89,8.84,9.01,8.78,387.28K,0.57%
Apr 04  2016,8.84,8.95,9.04,8.74,430.49K,-0.90%
Apr 01  2016,8.92,8.95,9.04,8.63,819.56K,-1.76%
Mar 31  2016,9.08,9.03,9.19,9.01,792.96K,-0.22%
Mar 30  2016,9.10,9.44,9.50,9.05,1.26M,-2.47%
Mar 29  2016,9.33,9.14,9.39,9.12,674.33K,-0.96%
Mar 28  2016,9.42,9.29,9.44,9.08,722.04K,1.62%
Mar 24  2016,9.27,9.24,9.42,9.19,766.63K,-1.38%
Mar 23  2016,9.40,9.41,9.48,9.29,472.66K,-1.78%
Mar 22  2016,9.57,9.35,9.58,9.26,1.06M,2.13%
Mar 21  2016,9.37,9.32,9.42,9.17,888.33K,-0.11%
Mar 18  2016,9.38,9.71,9.72,9.23,2.68M,-1.47%
Mar 17  2016,9.52,9.57,9.63,9.48,1.24M,0.85%
Mar 16  2016,9.44,9.45,9.62,9.42,780.31K,0.32%
Mar 15  2016,9.41,9.50,9.50,9.13,984.12K,-1.57%
Mar 14  2016,9.56,9.70,9.75,9.48,684.67K,-2.05%
Mar 11  2016,9.76,9.60,9.87,9.55,1.58M,2.95%
