Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,52.21,52.47,52.47,51.72,488.50K,-0.59%
Apr 18  2016,52.52,51.43,52.54,50.90,595.35K,2.20%
Apr 15  2016,51.39,50.33,51.60,50.33,320.69K,2.27%
Apr 14  2016,50.25,50.93,51.07,50.00,231.07K,-1.30%
Apr 13  2016,50.91,51.00,51.32,50.30,392.67K,0.49%
Apr 12  2016,50.66,50.63,50.98,50.25,360.17K,0.42%
Apr 11  2016,50.45,50.09,51.81,50.09,510.53K,1.94%
Apr 08  2016,49.49,49.34,49.80,48.80,434.98K,-1.79%
Apr 07  2016,50.39,51.11,51.20,50.02,321.38K,-1.66%
Apr 06  2016,51.24,50.19,51.24,50.05,386.72K,1.93%
Apr 05  2016,50.27,50.90,50.90,49.72,353.44K,-1.18%
Apr 04  2016,50.87,51.08,51.34,50.39,215.95K,-0.49%
Apr 01  2016,51.12,50.37,51.47,50.10,260.05K,1.35%
Mar 31  2016,50.44,50.72,50.92,50.07,407.95K,-1.10%
Mar 30  2016,51.00,51.03,51.50,50.78,305.24K,0.47%
Mar 29  2016,50.76,50.43,51.08,49.81,387.39K,0.57%
Mar 28  2016,50.47,49.95,50.65,49.74,251.68K,1.28%
Mar 24  2016,49.83,50.28,50.29,49.40,228.96K,-0.84%
Mar 23  2016,50.25,50.96,50.96,49.89,296.34K,0.28%
Mar 22  2016,50.11,50.32,50.56,49.70,343.96K,-0.77%
Mar 21  2016,50.50,51.19,51.40,50.06,359.87K,-1.29%
Mar 18  2016,51.16,50.65,51.50,50.38,2.01M,1.31%
Mar 17  2016,50.50,50.49,50.97,49.50,829.09K,0.26%
Mar 16  2016,50.37,50.24,50.99,49.67,660.23K,0.76%
Mar 15  2016,49.99,51.94,51.94,49.76,607.83K,-3.46%
Mar 14  2016,51.78,51.32,51.94,50.96,382.06K,1.57%
Mar 11  2016,50.98,50.46,51.32,49.94,358.88K,1.63%
Mar 10  2016,50.16,50.74,51.08,49.61,372.90K,-0.16%
Mar 09  2016,50.24,50.29,50.96,50.11,467.66K,0.46%
Mar 08  2016,50.01,50.35,50.69,49.84,314.92K,-0.66%
Mar 07  2016,50.34,49.55,50.53,49.14,471.99K,1.39%
Mar 04  2016,49.65,49.20,50.15,49.15,315.18K,0.61%
Mar 03  2016,49.35,49.06,49.56,48.63,356.56K,1.21%
Mar 02  2016,48.76,48.23,49.01,48.02,534.49K,0.85%
Mar 01  2016,48.35,47.58,48.88,47.44,576.16K,1.83%
Feb 29  2016,47.48,46.33,47.80,46.05,544.79K,2.26%
Feb 26  2016,46.43,45.96,46.60,45.28,261.01K,1.75%
Feb 25  2016,45.63,45.46,45.70,44.66,292.22K,0.44%
Feb 24  2016,45.43,44.95,45.54,43.71,370.60K,0.55%
Feb 23  2016,45.18,45.06,45.46,44.41,268.93K,0.76%
Feb 22  2016,44.84,45.20,45.77,44.15,478.26K,-0.31%
Feb 19  2016,44.98,45.75,45.86,44.86,393.52K,-2.09%
Feb 18  2016,45.94,47.31,47.40,45.36,462.70K,-2.88%
Feb 17  2016,47.30,47.00,47.97,46.40,547.68K,0.83%
Feb 16  2016,46.91,47.27,48.24,45.99,864.16K,5.89%
Feb 12  2016,44.30,42.77,44.49,42.77,501.55K,4.65%
Feb 11  2016,42.33,41.81,42.62,41.00,504.82K,-0.54%
Feb 10  2016,42.56,42.30,43.03,41.61,687.26K,1.14%
Feb 09  2016,42.08,42.77,43.34,40.75,702.77K,-1.68%
Feb 08  2016,42.80,44.32,44.32,41.97,570.71K,-3.73%
Feb 05  2016,44.46,45.05,45.60,44.27,463.23K,-0.94%
Feb 04  2016,44.88,44.75,45.26,43.74,648.12K,0.34%
Feb 03  2016,44.73,45.82,45.87,44.33,431.09K,-2.57%
Feb 02  2016,45.91,46.99,47.23,45.27,533.19K,-3.02%
Feb 01  2016,47.34,47.03,47.55,46.50,360.80K,0.06%
Jan 29  2016,47.31,46.54,47.31,46.41,750.49K,1.96%
Jan 28  2016,46.40,46.45,46.55,45.73,373.81K,0.15%
Jan 27  2016,46.33,47.53,47.53,45.58,702.14K,-3.70%
Jan 26  2016,48.11,48.20,48.59,47.41,257.29K,0.31%
Jan 25  2016,47.96,49.18,49.20,47.82,449.96K,-2.48%
Jan 22  2016,49.18,48.89,49.53,48.30,571.51K,1.30%
Jan 21  2016,48.55,47.39,48.94,47.33,475.83K,2.53%
Jan 20  2016,47.35,47.79,48.08,45.67,630.11K,-1.95%
Jan 19  2016,48.29,48.55,49.14,47.71,484.72K,1.47%
Jan 18  2016,47.59,48.42,48.44,47.23,205.47K,-2.12%
