Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,27.60,27.36,27.62,27.29,750.16K,1.55%
Apr 18  2016,27.18,26.51,27.38,26.51,782.94K,2.07%
Apr 15  2016,26.63,26.77,26.79,26.49,658.66K,-0.49%
Apr 14  2016,26.76,26.76,26.90,26.61,319.08K,-0.30%
Apr 13  2016,26.84,26.70,26.99,26.70,358.43K,0.45%
Apr 12  2016,26.72,27.05,27.07,26.72,357.72K,-0.78%
Apr 11  2016,26.93,26.82,27.05,26.75,322.80K,0.30%
Apr 08  2016,26.85,26.73,26.88,26.71,212.89K,0.37%
Apr 07  2016,26.75,26.68,26.88,26.67,345.66K,0.26%
Apr 06  2016,26.68,26.87,26.95,26.63,463.26K,-1.04%
Apr 05  2016,26.96,26.70,27.03,26.70,638.67K,-0.44%
Apr 04  2016,27.08,26.96,27.10,26.67,479.20K,1.69%
Apr 01  2016,26.63,26.51,26.73,26.48,291.49K,0.11%
Mar 31  2016,26.60,26.57,26.78,26.49,1.09M,0.00%
Mar 30  2016,26.60,26.26,26.68,26.24,686.36K,1.64%
Mar 29  2016,26.17,26.40,26.45,26.08,410.94K,-1.25%
Mar 28  2016,26.50,26.33,26.55,26.30,324.54K,0.53%
Mar 24  2016,26.36,26.58,26.74,26.22,522.38K,-1.31%
Mar 23  2016,26.71,26.71,26.94,26.56,517.88K,0.11%
Mar 22  2016,26.68,27.05,27.15,26.63,451.10K,-1.59%
Mar 21  2016,27.11,27.10,27.30,27.05,325.22K,-0.11%
Mar 18  2016,27.14,27.85,27.85,27.10,1.37M,-1.74%
Mar 17  2016,27.62,27.36,27.85,27.20,641.03K,1.40%
Mar 16  2016,27.24,26.78,27.43,26.70,756.07K,1.60%
Mar 15  2016,26.81,26.85,27.03,26.65,421.19K,-0.22%
Mar 14  2016,26.87,26.80,26.87,26.59,297.20K,0.37%
Mar 11  2016,26.77,26.86,26.96,26.62,369.47K,-0.34%
Mar 10  2016,26.86,26.67,26.91,26.50,425.45K,1.09%
Mar 09  2016,26.57,26.26,26.70,26.26,358.37K,1.22%
Mar 08  2016,26.25,26.28,26.36,26.07,313.48K,-0.04%
Mar 07  2016,26.26,26.31,26.48,26.21,299.71K,0.04%
Mar 04  2016,26.25,26.25,26.48,26.02,462.55K,0.34%
Mar 03  2016,26.16,26.12,26.23,25.95,414.50K,0.31%
Mar 02  2016,26.08,25.83,26.23,25.72,780.66K,1.40%
Mar 01  2016,25.72,25.66,25.76,25.61,616.12K,0.31%
Feb 29  2016,25.64,25.66,25.82,25.59,751.34K,-0.16%
Feb 26  2016,25.68,25.95,26.08,25.66,378.65K,-0.85%
Feb 25  2016,25.90,26.04,26.18,25.75,513.33K,-1.11%
Feb 24  2016,26.19,25.61,26.19,25.48,638.46K,1.99%
Feb 23  2016,25.68,25.63,25.78,25.46,268.97K,1.02%
Feb 22  2016,25.42,25.51,25.71,25.42,479.66K,0.16%
Feb 19  2016,25.38,25.66,25.67,25.15,601.19K,-0.24%
Feb 18  2016,25.44,25.09,25.47,25.04,578.53K,1.35%
Feb 17  2016,25.10,24.90,25.19,24.80,682.72K,0.92%
Feb 16  2016,24.87,24.96,25.00,24.66,512.02K,0.48%
Feb 12  2016,24.75,24.41,25.00,24.40,647.96K,1.27%
Feb 11  2016,24.44,24.25,24.64,24.09,577.13K,0.00%
Feb 10  2016,24.44,24.65,24.96,24.30,581.52K,-1.21%
Feb 09  2016,24.74,24.99,25.00,24.48,698.95K,-1.79%
Feb 08  2016,25.19,25.20,25.32,24.90,721.78K,-0.20%
Feb 05  2016,25.24,25.28,25.34,25.09,755.77K,0.68%
Feb 04  2016,25.07,25.17,25.29,24.85,537.45K,0.20%
Feb 03  2016,25.02,24.82,25.29,24.60,1.09M,2.37%
Feb 02  2016,24.44,24.50,24.57,24.15,455.24K,-0.29%
Feb 01  2016,24.51,24.51,24.83,24.50,567.12K,-0.93%
Jan 29  2016,24.74,24.70,24.98,24.50,1.03M,1.23%
Jan 28  2016,24.44,24.21,24.60,24.10,436.63K,1.62%
Jan 27  2016,24.05,24.17,24.29,23.98,697.15K,-0.91%
Jan 26  2016,24.27,24.31,24.48,24.15,824.70K,0.50%
Jan 25  2016,24.15,24.02,24.50,23.81,601.59K,0.67%
Jan 22  2016,23.99,23.34,24.04,23.19,944.68K,3.49%
Jan 21  2016,23.18,23.12,23.34,22.88,1.24M,0.22%
Jan 20  2016,23.13,23.20,23.38,22.77,1.05M,-0.98%
Jan 19  2016,23.36,23.13,23.42,23.00,704.45K,1.96%
Jan 18  2016,22.91,23.26,23.46,22.81,402.85K,-2.18%
Jan 15  2016,23.42,22.60,23.48,22.60,1.33M,2.23%
Jan 14  2016,22.91,22.76,22.91,22.51,760.95K,0.17%
Jan 13  2016,22.87,22.81,23.18,22.75,668.94K,0.62%
Jan 12  2016,22.73,23.00,23.05,22.32,672.15K,-1.04%
Jan 11  2016,22.97,22.96,23.00,22.83,597.27K,0.26%
Jan 08  2016,22.91,22.92,22.98,22.81,779.85K,0.48%
Jan 07  2016,22.80,22.85,23.00,22.68,1.81M,-1.64%
Jan 06  2016,23.18,23.29,23.30,23.13,847.96K,-0.94%
Jan 05  2016,23.40,23.60,23.64,23.40,449.89K,-0.51%
Jan 04  2016,23.52,23.60,23.62,23.33,571.83K,-0.72%
Dec 31  2015,23.69,24.23,24.23,23.69,532.90K,-2.27%
