Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,36.620,36.820,36.820,36.100,91.24K,-0.27%
Apr 18  2016,36.720,36.850,36.900,36.620,67.73K,-0.16%
Apr 15  2016,36.780,36.740,36.780,36.440,91.49K,0.16%
Apr 14  2016,36.720,35.910,36.810,35.880,167.46K,2.46%
Apr 13  2016,35.840,35.620,36.130,35.580,182.30K,1.13%
Apr 12  2016,35.440,35.580,35.780,35.220,73.44K,-0.17%
Apr 11  2016,35.500,35.290,36.000,35.160,109.42K,0.88%
Apr 08  2016,35.190,35.370,36.000,35.030,128.91K,-0.17%
Apr 07  2016,35.250,35.100,35.490,34.800,277.20K,0.26%
Apr 06  2016,35.160,35.220,35.310,34.890,104.35K,0.03%
Apr 05  2016,35.150,35.180,35.630,35.110,103.90K,-0.14%
Apr 04  2016,35.200,35.300,35.480,35.090,159.60K,-0.20%
Apr 01  2016,35.270,35.190,35.450,34.580,220.59K,0.48%
Mar 31  2016,35.100,35.500,35.660,35.010,209.41K,-1.27%
Mar 30  2016,35.550,34.790,35.750,34.670,220.55K,2.30%
Mar 29  2016,34.750,34.310,34.840,34.060,179.86K,1.19%
Mar 28  2016,34.340,34.100,34.460,33.930,97.13K,0.88%
Mar 24  2016,34.040,34.060,34.340,33.530,153.63K,-0.29%
Mar 23  2016,34.140,33.490,34.140,33.480,115.71K,2.18%
Mar 22  2016,33.410,33.180,33.680,33.100,101.36K,0.57%
Mar 21  2016,33.220,32.900,33.250,32.670,82.19K,1.00%
Mar 18  2016,32.890,33.000,33.060,32.660,122.88K,-0.18%
Mar 17  2016,32.950,32.570,33.250,32.400,142.66K,1.14%
Mar 16  2016,32.580,32.930,33.110,32.440,182.42K,-0.91%
Mar 15  2016,32.880,32.990,33.170,32.720,97.38K,-0.36%
Mar 14  2016,33.000,32.530,33.250,32.530,69.77K,1.41%
Mar 11  2016,32.540,32.630,32.630,32.140,232.86K,-0.21%
Mar 10  2016,32.610,33.770,34.120,32.460,226.03K,-3.00%
Mar 09  2016,33.620,33.860,34.000,33.330,188.63K,-0.21%
Mar 08  2016,33.690,33.720,34.100,33.000,238.74K,-0.50%
Mar 07  2016,33.860,33.200,34.530,33.080,286.44K,3.23%
Mar 04  2016,32.800,32.680,33.370,32.590,212.68K,0.92%
Mar 03  2016,32.500,32.350,32.730,32.340,502.05K,0.62%
Mar 02  2016,32.300,32.030,32.560,31.920,580.93K,0.87%
Mar 01  2016,32.020,32.440,32.440,31.740,557.63K,-1.11%
Feb 29  2016,32.380,31.750,33.660,31.670,303.81K,1.86%
Feb 26  2016,31.790,31.430,32.030,29.730,364.69K,1.24%
Feb 25  2016,31.400,31.500,31.660,31.170,136.99K,-0.06%
Feb 24  2016,31.420,31.410,31.760,31.200,136.87K,-0.29%
Feb 23  2016,31.510,31.470,31.880,31.280,199.28K,0.22%
Feb 22  2016,31.440,31.990,32.010,31.270,148.69K,-0.57%
Feb 19  2016,31.620,33.280,33.280,31.500,165.23K,-3.15%
Feb 18  2016,32.650,32.260,32.900,32.070,82.39K,1.75%
Feb 17  2016,32.090,32.420,32.420,31.750,130.52K,-0.40%
Feb 16  2016,32.220,31.850,32.280,31.280,114.98K,2.61%
Feb 12  2016,31.400,31.630,31.890,31.190,132.49K,0.77%
Feb 11  2016,31.160,31.360,31.730,31.020,179.29K,-1.83%
Feb 10  2016,31.740,32.700,33.290,31.660,224.66K,-2.73%
Feb 09  2016,32.630,32.660,33.000,32.130,152.00K,-0.58%
Feb 08  2016,32.820,32.180,32.990,31.790,157.15K,2.56%
Feb 05  2016,32.000,31.230,32.010,31.200,473.66K,3.06%
Feb 04  2016,31.050,31.320,31.400,30.900,104.81K,-0.89%
Feb 03  2016,31.330,31.680,31.680,30.680,166.51K,-1.42%
Feb 02  2016,31.780,32.020,32.190,31.490,184.73K,-1.55%
Feb 01  2016,32.280,31.920,32.340,31.380,141.78K,0.94%
