Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,49.27,49.55,49.70,49.05,1.55M,-1.85%
Apr 18  2016,50.20,50.06,50.52,50.05,679.99K,-0.22%
Apr 15  2016,50.31,50.40,50.62,50.15,416.87K,-0.18%
Apr 14  2016,50.40,50.02,50.53,49.87,809.81K,0.90%
Apr 13  2016,49.95,49.97,50.16,49.48,723.39K,0.34%
Apr 12  2016,49.78,49.55,49.92,49.50,865.46K,0.75%
Apr 11  2016,49.41,50.10,50.14,49.32,929.68K,-1.28%
Apr 08  2016,50.05,50.40,50.49,49.79,896.01K,0.12%
Apr 07  2016,49.99,50.13,50.40,49.87,951.87K,0.44%
Apr 06  2016,49.77,51.03,51.06,49.21,2.39M,-2.26%
Apr 05  2016,50.92,52.01,52.10,50.81,1.04M,-2.58%
Apr 04  2016,52.27,52.20,53.01,52.02,742.41K,0.15%
Apr 01  2016,52.19,51.81,52.31,51.66,859.18K,0.37%
Mar 31  2016,52.00,52.02,52.40,51.81,1.07M,-0.36%
Mar 30  2016,52.19,52.50,52.66,52.17,588.70K,-0.21%
Mar 29  2016,52.30,52.00,52.63,51.71,838.90K,0.65%
Mar 28  2016,51.96,51.49,51.97,51.05,623.92K,0.89%
Mar 24  2016,51.50,50.77,51.59,50.72,479.09K,1.10%
Mar 23  2016,50.94,51.16,51.16,50.62,584.16K,0.73%
Mar 22  2016,50.57,50.70,51.00,50.54,692.47K,-0.73%
Mar 21  2016,50.94,50.34,51.15,50.33,707.42K,1.11%
Mar 18  2016,50.38,51.30,51.30,50.38,2.79M,-2.04%
Mar 17  2016,51.43,51.02,51.72,50.82,808.64K,0.59%
Mar 16  2016,51.13,51.26,51.80,51.03,941.17K,-0.18%
Mar 15  2016,51.22,50.51,51.48,50.51,1.33M,0.89%
Mar 14  2016,50.77,50.75,50.92,50.27,812.57K,0.08%
Mar 11  2016,50.73,50.95,51.01,50.42,721.57K,0.24%
Mar 10  2016,50.61,51.40,51.50,50.25,874.03K,-1.21%
Mar 09  2016,51.23,50.83,51.41,50.52,1.09M,0.45%
Mar 08  2016,51.00,50.27,51.49,50.17,1.41M,1.51%
Mar 07  2016,50.24,49.75,50.46,49.61,938.75K,0.78%
